username,created_at,text
alfinalfinn,2020-06-17 11:19:54,"@subtanyarl Jangan ngeluh dengan keaadan mu yang sekarang, karna banyak orang di luar sana yg ingin berada di posisi mu. Intinya bersyukur aja"
alfinalfinn,2020-06-17 10:46:40,@FootyHumour @rriyarthh 😂
alfinalfinn,2020-06-17 10:04:47,@NetflixID @Kemdikbud_RI @TVRINasional Gokss
alfinalfinn,2020-06-17 08:13:39,Wkwkwk https://t.co/z1LkjgnO4d
alfinalfinn,2020-06-17 08:12:39,@subtanyarl Haha sering begini sih dulu pas kecil
alfinalfinn,2020-06-17 08:11:24,Terima kasih gojek yg sudah mengingatkan ku makan🖤 https://t.co/iUHRkiara4
alfinalfinn,2020-06-16 14:40:48,@tirta_hudhi Saya selalu support dok✊
alfinalfinn,2020-06-16 14:16:28,Manohara cakep bgt di net tv
alfinalfinn,2020-06-16 09:03:32,@UPIfess Gokss
alfinalfinn,2020-06-16 08:39:12,@faizsadad_ Kasih kado PS5 sabi tuh
alfinalfinn,2020-06-16 08:38:04,@subtanyarl Yaliah masih ada aja org komen nya begini 😂
alfinalfinn,2020-06-16 07:41:41,@UPIfess Salah masukin nomer rekening nya kali
alfinalfinn,2020-06-16 00:16:00,@txtdrbekasi Di betot 😂
alfinalfinn,2020-06-15 23:55:07,"Di umur segini udah mikirin masa depan dan mulai banyak impian ga kaya umur2 sebelum nya, yg kurang tinggal aksi nya aja"
alfinalfinn,2020-06-15 11:58:54,@Admiral_Alchemi Iya sama gua juga magang 😂
alfinalfinn,2020-06-15 11:57:56,@yusril_ihyaS Makin lama dah sril ieu mah lulus na 😂
alfinalfinn,2020-06-15 11:38:58,Apa kabar gua yg smt depan PI sama TA 😂
alfinalfinn,2020-06-15 11:38:57,Gokil sih kalo kuliah bakalan daring lagi
alfinalfinn,2020-06-15 11:06:54,@UPIfess Goks
alfinalfinn,2020-06-15 00:04:09,@uusbiasaaja Sabi bang hahaha
