username,created_at,text
Chyntw_,2020-06-17 13:35:17,"Pas sana butuh blokirannya dibuka, giliran sini butuh mau ngehubungin malah diblokir :) serah deh"
Chyntw_,2020-06-17 07:41:32,"Anak ngga bisa milih orangtuanya siapa, tapi orangtua bisa milih mau punya anak atau engga. Jadi jangan punya anak kalo misalnya ngerasa belum sanggup ngebesarinnya, jadi orangtua itu pekerjaan seumur hidup soalnya"
Chyntw_,2020-06-17 01:32:12,@novemberdad Iya kok pada bisa sih
Chyntw_,2020-06-17 00:23:18,@duwimaya @baniniww @animalfess2 Lucu bangeeet
Chyntw_,2020-06-16 14:07:28,@Nineyuktika Teh odynya pernah temu gaaa
Chyntw_,2020-06-16 13:46:09,"Bentar bentar kalo mau ngelabrak, aku siap siap dulu"
Chyntw_,2020-06-16 13:39:28,@faizsadad_ Nanti mau tiba tiba minta beli pulau ah
Chyntw_,2020-06-16 13:37:56,@Nineyuktika Jangan gatel ya kamu
Chyntw_,2020-06-16 13:36:56,@drawanorange Untung dah jadi warga jeruk
Chyntw_,2020-06-16 13:36:14,@wdyplll @collegemenfess Emang kudu budayakan literasi
Chyntw_,2020-06-16 13:35:43,@lilalifa @animalfess2 Ansos juga deh kayanya mah
Chyntw_,2020-06-16 06:36:35,"@collegemenfess Wajar sih swasta, tapi ngga rugi kok nder di UII bayar segitu. Worth the price sama apa yang bakal kamu dapetin di sana. 35 jt juga diangsur 4x, udah dijelasin di websitenya :)"
Chyntw_,2020-06-16 05:04:16,@animalfess2 Kucingku ilang 2 gapernah balik-balik padahal udah minta tolong kucing lain buat nemuin :') curiga kucingku ga pinter bergaul makanya pada males nyarinya
Chyntw_,2020-06-16 05:01:20,@_taphere Yuk
Chyntw_,2020-06-15 14:34:05,@HilmanFadh Reply 88 gada lawan
Chyntw_,2020-06-15 14:25:03,@HilmanFadh Engga trilogi doong shin-wo kan bikin reply 94 sama 97 juga
Chyntw_,2020-06-15 14:10:12,@HilmanFadh Heh udah kelar prisonnya? Gilak cepet banget
Chyntw_,2020-06-15 13:31:55,@AristianaDinda Emang pernah beli bakso?
Chyntw_,2020-06-15 13:31:19,"Kapan tau ada mas mas beli bakso, biasa mah orang minta kecap, saos, sambelnya dipisah. Dia polos bener ngomong 'mas, bumbuin sekalian aja, orang rumah kalo bumbuin ngga enak' 🤭"
Chyntw_,2020-06-15 13:16:59,@Garlianka26 Aku mau belut goreng!
Chyntw_,2020-06-15 13:16:38,"Tadi ada pasangan muda mudi dateng terus pesen 'mbak, beli nasinya' Mo maraaahh 🙃 padahal jelas banget namanya bakso banteng terus rombong bakso segede gaban depan muka"
Chyntw_,2020-06-15 13:16:37,Belakangan bantuin orangtua jualan mumpung belum bisa balik ke Jogja. Selama jualan hampir 2 minggu nemu orang tingkahnya adaaaa aja
Chyntw_,2020-06-15 12:00:16,@mbahndi @Byprass_
Chyntw_,2020-06-15 11:59:16,"@Nineyuktika Dah sering :"""
Chyntw_,2020-06-15 11:58:59,@_taphere Kalo itu sih anda yang doyan pak
Chyntw_,2020-06-15 11:58:48,@Byprass_ Itu obat kurang daraah
Chyntw_,2020-06-14 23:09:43,@amirulfarras @Nineyuktika
Chyntw_,2020-06-14 13:06:06,Obat buat darah rendah apaan sih yang aman rutin dikonsumsi?
Chyntw_,2020-06-14 12:57:34,Emang apapun makanannya minumnya ludah sendiri 🤭 https://t.co/DMkEuoGRFe
Chyntw_,2020-06-14 08:42:43,@Setyawan_Utomo Kenapasiih hastagnyaaaa
Chyntw_,2020-06-14 08:42:17,@mitapusparinii Pengen dong diajak main ke yayasan gitu mit
Chyntw_,2020-06-13 13:36:39,@mitapusparinii Hati aku ga kuat kayanya 😭
Chyntw_,2020-06-13 13:36:14,@HilmanFadh Ga bayangin sakit yang dia rasain sebesar apa sampe kaya gitu
Chyntw_,2020-06-12 10:15:59,"@kumparan Jarang komentar soal ginian tapi serius ini kocak bgt dah, jaksanya mantan komedian tah gimana"
Chyntw_,2020-06-12 10:13:42,"Jangan punya anak kalau nggak siap jadi orangtua, mental anak taruhannya. Anak ini terluka luar dalam, liat dia mukulin dada sambil nangis bikin aku nangis juga. Semoga kehidupan Roy kedepannya akan jauuuhh lebih baik dari sekarang https://t.co/YVJhAkfE3I"
Chyntw_,2020-06-12 05:50:03,@FOODFESS2 Enak ko kriuk kriuk
Chyntw_,2020-06-11 12:35:44,@Nineyuktika Padahal aku cuma cubit sayang
Chyntw_,2020-06-11 10:56:37,Kok bisa orang-orang santai bener sama abangnya bisa ngumpat gitu. Aku manggil ngga pake mas aja ditabok 🙃
Chyntw_,2020-06-10 15:07:09,Hari kesekian mantengin ig bako mine dah balikan apa belom dan ternyata belom :')
Chyntw_,2020-06-10 14:27:04,Gatel banget pengen rapiin berdasarkan penulis/penerbit/ukuran/warna https://t.co/2AWEvISwwO
Chyntw_,2020-06-10 14:08:26,@meglfh Congrats egaaa
