username,created_at,text
DafugMbah,2020-06-17 15:46:48,"@younaprill Siaap,lg ngojol kak demi anak bini dirmh https://t.co/SV2onSAP4e"
DafugMbah,2020-06-17 15:41:02,@aleajwoos Surabaya
DafugMbah,2020-06-17 15:39:57,"@AndiAgriAdnan Ku mau yg tri mas,buat ngojol"
DafugMbah,2020-06-17 14:18:46,@Kesit_ @sabrinafirdausi @TOKOLISTRIKFELI #DukungOBLEkonomiMaju
DafugMbah,2020-06-17 14:16:24,@C4llmeD @calonmantumamaa Ayam geprek
DafugMbah,2020-06-17 13:28:26,@younaprill 1 kata = DAMAI
DafugMbah,2020-06-17 13:25:58,@nyaii131 @anaktiriNadiem Semoga kali ini menang biar bisa beli makan buat anak dirumah selagi sy tinggal ngojol
DafugMbah,2020-06-17 13:22:53,"@babegalak1 Terima kasih pada para donatur dan mas/mbak yg telah membantu warga +62 sekitar khususnya saya yg telah dibantu secara langsung disaat awal masa pandemi.saya msh ingat dikala susah cari orderan ojol,saya dibantu oleh mas/mbak semua...semoga barokah #DapurUmumUntukSesama"
DafugMbah,2020-06-17 13:19:42,@Arieffatih82 @HannahUswee @sabrinafrds @barbiiebrina @TOKOLISTRIKFELI @sabrinafirdausi https://t.co/OthB6Xf2eV
DafugMbah,2020-06-17 06:05:20,@kuis_viral 10 mei #PingkyMovement
DafugMbah,2020-06-17 06:03:27,@kilasrindu AADC #PingkyMovement
DafugMbah,2020-06-17 06:03:07,@kilasrindu Wanita tanah jahanam #PingkyMovement
DafugMbah,2020-06-17 03:37:38,@syalakin_ Mauuu buat bini dirumah
DafugMbah,2020-06-17 02:48:31,@akuadalahakuya Bismillah menang
DafugMbah,2020-06-16 15:30:47,@GiveAwayHandal2 @Pak_GuruSD Done #AyoKeMaghilewaFlores
DafugMbah,2020-06-16 15:14:33,@YaudaKokNgegas Surabaya
DafugMbah,2020-06-16 14:36:49,@Widino @epiluckylaki Mau paket 1 buat jajan anak dirumah.
DafugMbah,2020-06-16 14:33:18,@ettraffollian Senyumnya lebih lebar lagi masnya 😁
DafugMbah,2020-06-16 14:18:45,"@96_alwie21 Mau mas,ora tau menang ki"
DafugMbah,2020-06-16 13:36:13,@QueenZhuu @Pak_GuruSD Lanjooot #AyokeMaghilewa #AyokeMaghilewaFlores
DafugMbah,2020-06-16 13:30:41,@mpusss17 Boleh ini mas?buat anak dirumah https://t.co/SMRsp8VNlR
DafugMbah,2020-06-16 13:27:32,"@dimazdmagan Done,semoga berkah buat beli makan anak dirumah.dan buat masnya,hepi bezzday,semoga barokah dan selalu dalam berada lindungan Allah SWT. https://t.co/rfksgZ3ph8"
DafugMbah,2020-06-16 13:19:29,@aldafadilaa Ovo
DafugMbah,2020-06-16 13:16:02,@PakatDayak @plat__aa Mauuuuu
DafugMbah,2020-06-16 13:14:43,@fuckincts Ovo
DafugMbah,2020-06-16 06:58:26,@Jiminmycatalist OOTD https://t.co/1X7R6Gp2Wc
DafugMbah,2020-06-16 06:12:22,"@kamisambyar Pepaya,duku,pandan,rumput gajah"
DafugMbah,2020-06-16 06:02:03,@AkangAnggaa @calonmantumamaa Ovo
DafugMbah,2020-06-15 18:15:26,@ManafSamuel @25K As sekop
DafugMbah,2020-06-15 17:40:22,@bayutraderYT Semoga menang demi beli jajan anak dirumah @sabrinafrds @TOKOLISTRIKFELI
DafugMbah,2020-06-15 17:35:28,@epiluckylaki #NgebosSenin https://t.co/cW27XkdaVa
DafugMbah,2020-06-15 15:42:35,"@ettraffollian Gpp mah,karma ga pernah tidur kok."
DafugMbah,2020-06-15 15:33:58,@AquaGalon___ID Semoga kali ini menang biar bisa beliin anak nasi goreng enak.orderan ojol hr ini sepi soalnya.
DafugMbah,2020-06-15 09:58:25,@babegalak1 @nakula @vita_AVP Untuk pembagian nasi kotak harusnya mendatangi kampung yang terdampak covid19 dengan cara menitipkannya di depan pos penjagaan apabila dilarang masuk #DapurUmumUntukSesama
DafugMbah,2020-06-15 09:53:33,@crzwow @irujr #RazFAM
DafugMbah,2020-06-15 06:39:13,@fuckincts Mau
DafugMbah,2020-06-15 06:18:33,@Arieffatih82 @HannahUswee Mari kita mulai tatanan kehidupan yg baru @sabrinafrds @TOKOLISTRIKFELI @barbiiebrina @sabrinafirdausi
DafugMbah,2020-06-15 04:27:06,@fuckincts Mau
DafugMbah,2020-06-15 04:25:42,@GiveAwayHandal2 Gopay
DafugMbah,2020-06-15 00:17:19,@crazystill_ @khurimatur Semoga menang buat beli makan anak dirumah
DafugMbah,2020-06-14 23:20:14,@ManafSamuel @50k Escargot
DafugMbah,2020-06-14 22:55:42,@wdyzxxx Done
DafugMbah,2020-06-14 22:55:24,"@fordesake Semoga lulus ,dan ilmunya bisa barokah untuk rakyat dan untuk keluargamu ya"
DafugMbah,2020-06-14 17:22:07,@FirdaAgain https://t.co/sJKhYSnM09
DafugMbah,2020-06-14 17:21:12,@anaktukanges Khabib lebih unggul daripada justin karena khabib merajai ground technique.dan face to face.sedangkan justin hanya mengandalkan power pada stance
DafugMbah,2020-06-14 17:17:28,@96_alwie21 Surabaya #COK
DafugMbah,2020-06-14 15:49:43,@younaprill SAYANG MAMA MAUNG
DafugMbah,2020-06-14 15:03:36,@YaudaKokNgegas Ovo
DafugMbah,2020-06-14 15:03:23,@younaprill Aku mau
DafugMbah,2020-06-14 15:02:49,@yaelahZiva Surabaya
DafugMbah,2020-06-14 15:02:31,@aewin86 Yg kanan
DafugMbah,2020-06-14 15:01:10,@ManafSamuel @25K Lontong balap
DafugMbah,2020-06-14 10:15:18,@crzwow Bisnillah menang buat beliin jajan anak dirumah
DafugMbah,2020-06-14 00:01:54,@GiveawayRecehh Surabaya #PapuaMakinIndonesia
DafugMbah,2020-06-13 18:15:46,"@SisiLisyaZ @MUTFESS_ Semoga apa yg diharapkan segera terkabul,barakallah,tetep ikhtiar di jalan AllahSWT,jaga kesehatan,dan tetap semangat. @TOKOLISTRIKFELI @barbiiebrina @sabrinafirdausi"
DafugMbah,2020-06-13 15:31:15,@younaprill 748
DafugMbah,2020-06-13 15:22:50,@NenekLoso Canggih beud ngalahin PREDATOR 👍 #TNIADdukungNewNormal
DafugMbah,2020-06-13 12:43:52,@ettraffollian Lanjoooot
DafugMbah,2020-06-13 12:30:15,@younaprill Ngacung
DafugMbah,2020-06-13 12:15:26,@dankzia1221 Nangis sambil koprol https://t.co/XeWPZM6g2v
DafugMbah,2020-06-13 10:28:15,@anaktukanges Nginjek pedal rem keliru pedal gas sampe njengat ! #GakSengaja
DafugMbah,2020-06-13 10:27:04,@khurimatur @khurimaturrizam SEMANGAT ya
DafugMbah,2020-06-13 09:14:55,"@briankhrisna Pada akhirnya,mereka kesamber bis kota,ga liat rambu,kebanyakan ciuman ga liat jalan.MAMPUS!"
DafugMbah,2020-06-13 09:09:50,"@ingintiduran 82...semoga order ojol saya hr ini bisa memenuhi kebutuhan anak-bini dirumah,amiiin3"
DafugMbah,2020-06-13 09:07:46,"@babegalak1 @03__nakula Semoga mas @03__nakula selalu dalam lindungan Allah SWT,bisa beraktivitas spt sedia kala,dan selalu sehat,tetap berdoa dan ikhtiar,semua demi Tuhan,negara,dan keluarga.Barakallah 🙏🏻🙏🏻😇😇😇#DapurUmumUntukSesama"
DafugMbah,2020-06-13 07:30:46,@lebahquu Kediri #KebersamaanBangunPapua
DafugMbah,2020-06-13 07:25:12,@nutrijelenakk Hepi bezzday ya
DafugMbah,2020-06-13 07:24:22,"@MUHTARBLUE @sabrinafirdausi @sabrinafrds @barbiiebrina km bs syg,dont give up"
DafugMbah,2020-06-13 04:33:25,@gerylliana Done
DafugMbah,2020-06-12 18:51:17,@Pak_GuruSD Meeting project
DafugMbah,2020-06-12 18:49:59,@96_alwie21 Semoga order ojol mlm ini bs membawa berkah utk keluarga saya #Amiin3x https://t.co/QyyrXTsTYL
DafugMbah,2020-06-12 14:53:58,"@DeleteCdrive Mi rebus,kenyang banyak kuahnya"
DafugMbah,2020-06-12 14:42:11,@h3llatrash @GiaPratamaMD Done https://t.co/8y9be0plZT
DafugMbah,2020-06-12 13:01:41,@mandja_menggoda Done
DafugMbah,2020-06-12 11:51:14,@NenekLoso @rangga_dly #KamiDukungOmnibusLaw
DafugMbah,2020-06-12 11:50:05,@crzwow @adeevanai #RazFAM
DafugMbah,2020-06-12 11:49:34,@adeevanai Snack
DafugMbah,2020-06-12 08:49:22,@larutpagi Ovo
DafugMbah,2020-06-12 08:24:38,"@bubbledeey Tiada yg lbh membahagiakan selain bikin anak senang,saya plg ngojol belikan makan mewah.makan lahap.saya cukup makan nasi garam aj gpp."
DafugMbah,2020-06-12 08:22:31,@BKK_official 1. SUPLEMEN 2. KESEHATAN 3. JERUK 4. VITAMIN C 5. NEW NORMAL @sabrinafrds @sabrinafirdausi @TOKOLISTRIKFELI
DafugMbah,2020-06-12 08:20:03,@IchanPecuss @yaya_immanuel Mau buat anak saya
DafugMbah,2020-06-12 07:38:40,@sayabukanbulan Done https://t.co/KN471XCazK
DafugMbah,2020-06-12 07:36:57,@zezeemut Ovo
DafugMbah,2020-06-12 07:36:22,@syploe Mauu
DafugMbah,2020-06-12 06:51:00,@andikaarcher Ngojol dr begadang sampe siang....Alhamdllh....🙏🏻demi anak-bini https://t.co/eI8qXAbun9
DafugMbah,2020-06-12 06:48:38,@jangan_bosan_ya @tanggallahirr13 Surabaya
DafugMbah,2020-06-12 04:30:38,"@adeevanai Sesakit apapun dirimu disakitin,ketahuilah bahwa KARMA tidak tidur."
DafugMbah,2020-06-12 04:21:09,@FirdaAgain Ajak makan di kantin
DafugMbah,2020-06-12 04:20:34,@syploe 5%
DafugMbah,2020-06-12 02:10:44,@anaktukanges Keluarga atau negara ?
DafugMbah,2020-06-11 16:47:52,@crzwow 835
DafugMbah,2020-06-11 16:47:35,@crzwow 473
DafugMbah,2020-06-11 14:05:48,@zezeemut Ovo
DafugMbah,2020-06-11 13:56:27,@Itrhana @TOKOLISTRIKFELI @barbiiebrina https://t.co/WCal0k4gtk
DafugMbah,2020-06-11 13:52:57,@sourtable Uangnya mau aku belikan makan buat anak saya dirumah.secara saya cm ojol biasa.jarang belikan makanan mewah.sekali2 pgn belikan makan enak bergizi buat anak saya.saya cukup makan nasi kecap+telur dadar aj.
DafugMbah,2020-06-11 13:29:56,@crzwow 821
DafugMbah,2020-06-11 12:02:39,@catatankakihati @Aprilaza9 Ngojol 😢
DafugMbah,2020-06-11 11:58:54,@kuis_viral Capcay kuah #PSNSerapTenagaKerja
DafugMbah,2020-06-11 11:58:27,@kuis_viral Bebek goreng #PSNSerapTenagaKerja
DafugMbah,2020-06-11 11:57:15,@Naimutss Mauuuu
DafugMbah,2020-06-11 11:57:00,@younaprill MamaMaungAnakBiskuat
DafugMbah,2020-06-11 11:56:13,@younaprill Harimau
DafugMbah,2020-06-11 11:55:56,@AndiAgriAdnan Bebek goreng
DafugMbah,2020-06-11 11:10:17,@jeteindonesia @sabrinafirdausi @TOKOLISTRIKFELI @sabrinafrds
DafugMbah,2020-06-11 11:08:37,@GrabID Asmiin grev aki may
DafugMbah,2020-06-11 10:58:02,@younaprill Aing maung 😡
DafugMbah,2020-06-11 10:21:30,@PakatDayak Mauuu
DafugMbah,2020-06-11 10:03:49,@syploe Karet
DafugMbah,2020-06-11 09:43:19,@younaprill Saya mauuuuu
DafugMbah,2020-06-11 09:41:44,@AndiAgriAdnan Nasgor boleh gak mas?buat anak kecil dirumah
