username,created_at,text
Dannytandean,2020-06-17 17:40:06,@tariintan_ @beIIanadya Wkwkwkwk. Penculikan tidak berfaedah
Dannytandean,2020-06-17 17:39:45,@belladinamy @tariintan_ @beIIanadya https://t.co/3SDQBPMNV8
Dannytandean,2020-06-17 17:32:34,@tariintan_ @nadhaifa @beIIanadya WKWKWK uda otomatis yah
Dannytandean,2020-06-17 17:32:09,"@tariintan_ @beIIanadya Ingeet. Kelompok bima hakim lawak, bosko salman pake soft*x di lutut, rajiv drama kemiskinan(?)"
Dannytandean,2020-06-17 17:29:36,Wow https://t.co/ussviOOIjt
Dannytandean,2020-06-17 17:07:10,@tariintan_ @beIIanadya Wkwkwk baru berasa kemarin grup chatnya masih fb 🤣🤣 ketemu angkatan pertama kali di warpas
Dannytandean,2020-06-17 16:53:55,@beIIanadya Kritis peduli kontributif. Wkwk https://t.co/DZiVXhmTVR
Dannytandean,2020-06-17 16:33:40,"@beIIanadya Mabimwa 2020! Lugas, tegas, berani!"
Dannytandean,2020-06-17 09:46:09,"Ketika nge-game, tapi sinyal ga mendukung https://t.co/HrYHKt27ii"
Dannytandean,2020-06-17 09:31:47,@medmediani @rbcgrace @betabelatrix Mungkin itu hasrat terpendam https://t.co/AVvFeyiUsO
Dannytandean,2020-06-16 13:03:59,@JohanAdiyasa Wkwkwkwkk nyamperin nya rusa kelaparan semua brrti
Dannytandean,2020-06-16 11:06:42,🦌🦌 https://t.co/pkMGBPJgnJ
Dannytandean,2020-06-16 09:02:50,Cersei &amp; Jamie Lannister IRL https://t.co/YF4kb4JtAS
Dannytandean,2020-06-15 17:35:29,@beIIanadya @medmediani @ayuudl_ @aahidayah @rbcgrace @tariintan_ https://t.co/23JgJD19DE
Dannytandean,2020-06-15 15:28:16,@tariintan_ @rbcgrace @stifanjamin @medmediani @aahidayah Waw. Apa yg positif?!
Dannytandean,2020-06-15 14:53:37,@medmediani @aahidayah @rbcgrace @tariintan_ https://t.co/M2hnSYTLGd
Dannytandean,2020-06-15 14:07:37,(((Sayang masih sepi))) https://t.co/DTt3veYPQp
Dannytandean,2020-06-15 14:06:58,@tariintan_ @beIIanadya https://t.co/CuGWbrq0rz
Dannytandean,2020-06-15 13:41:47,"@muthiaadani Minosep atau periokin, yg 2%"
Dannytandean,2020-06-15 13:37:54,"@muthiaadani Yg mouthwash?? Kalo masi sakit, ganti ae"
Dannytandean,2020-06-15 13:27:05,"@beIIanadya @tariintan_ Ketua Army Indo nya seliweran terus di tl gw, gimana ga hapal yak. Wkwkwk"
Dannytandean,2020-06-15 12:27:06,@muthiaadani Kumur minosep tee
Dannytandean,2020-06-15 12:18:18,"@beIIanadya @tariintan_ Apa nitip dari jarkoman grup kali. Guys, ada yang mau nitip baju n celana? Gw ga ambil untung kok, he... tulis nama dibawah ya: JH 1 Jin 1 JK 1"
Dannytandean,2020-06-15 08:14:18,@weda_wi @aahidayah Naini @tariintan_ @ayuudl_ @nadhaifa
Dannytandean,2020-06-15 08:05:50,https://t.co/fecUl6Vj2p https://t.co/V75KFfi5ba
Dannytandean,2020-06-15 08:02:56,@deborahchintya @stifanjamin Yg cukurin ntar bisa tersesat https://t.co/QwSvTNPFn7
Dannytandean,2020-06-15 08:01:35,@tariintan_ @nadhaifa @ayuudl_ Wgwgwg. Sempet kebaca ga @nadhaifa
Dannytandean,2020-06-15 08:00:19,@ayuudl_ @nadhaifa @tariintan_ Wgwggw. Spoiler.
