username,created_at,text
Iffamee,2020-06-17 16:46:46,@dheadst Anak baik peluk dulu sini. https://t.co/3HCmtz1twE
Iffamee,2020-06-17 16:43:21,@dheadst Aku diem aku diem https://t.co/CSKXcI75SC
Iffamee,2020-06-17 16:40:12,@dheadst Aduh aduhh sa ae tulang ikan.
Iffamee,2020-06-17 16:23:16,@rezkipr17 @collegemenfess Ih ogeb. Swasta yah mahal. Kalo mau murah masuk negeri!!
Iffamee,2020-06-17 14:47:14,@collegemenfess Jelasin ki kek mana uad @rezkipr17
Iffamee,2020-06-17 14:45:38,"Namanya juga jatuh, yah pasti sakit kalo nggak ditangkep."
Iffamee,2020-06-17 14:43:00,"Ada yang sulit menjatuhkan hati, tapi ketika sudah jatuh hati malah tersakiti."
Iffamee,2020-06-17 09:45:14,Laptop yang berubah fungsi jadi komputer gini nih. Mati listrik udah ga bisa dipake.
Iffamee,2020-06-17 09:27:48,"@afrahsari_ai Heyy, jangan ngada ngada anda."
Iffamee,2020-06-17 09:26:11,"@afrahsari_ai Tapi bangun lagi gara"" kegerahan :("
Iffamee,2020-06-16 20:13:14,Kenapa yah jam segini masih belom tidur. https://t.co/XntP20Dpvm
Iffamee,2020-06-16 07:29:41,"@Masputtt Maap nih, tapi kan itu emang dia ss dari handphone-nya dia?🤔"
Iffamee,2020-06-16 06:18:04,"""Kamu akan bertemu pasanganmu disaat kamu sudah siap"" kataku kepada diri sendiri untuk menghibur diri."
Iffamee,2020-06-15 06:19:34,@afrahsari_ai Heyy https://t.co/Hvv9fGMYkf
Iffamee,2020-06-14 15:32:42,"Habis wisuda, jangan kaget kalo nanti temen"" kuliah yang udah lama ga kontakan tiba"" ngabarin mau nikah. Jangan kaget."
Iffamee,2020-06-14 06:22:40,@rezkipr17 Ape lu!
Iffamee,2020-06-14 06:06:31,@illhaaa_ You're not alone sist :') https://t.co/0wVdfGqzla
Iffamee,2020-06-14 06:04:49,Yang paham aja sih :)
Iffamee,2020-06-14 06:04:15,Kampus 4 UAD: Kampus 6 UAD: https://t.co/yc4cbmTOaH
Iffamee,2020-06-14 05:25:47,@afrahsari_ai Of course!! https://t.co/XvN19gAPXP
Iffamee,2020-06-12 12:56:56,Jangan serius serius banget lah..
Iffamee,2020-06-12 08:12:44,@hanirmdhani Kirain pengen makeup make over :))
Iffamee,2020-06-11 18:05:36,@rahmasar_ Hhmm :((
Iffamee,2020-06-11 18:04:31,"@intanorii Al-'asr , al-ikhlas :))"
Iffamee,2020-06-11 17:53:51,COTO!! https://t.co/jHthlT8Yik
Iffamee,2020-06-11 17:51:34,"Kenapa yah, kalau habis nangis tuh bawaannya laper aja. https://t.co/Xox2b9Ckzl"
Iffamee,2020-06-11 07:17:30,Lagian orang baik kok disia-siain..
Iffamee,2020-06-10 16:07:19,@rezkipr17 https://t.co/cOuvc6mjJd
Iffamee,2020-06-10 15:05:56,Bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bosen bose
Iffamee,2020-06-08 14:48:48,"Suka nyimpen barang dengan dalih ""siapa tau besok kepake"" tapi tau taunya ga kepake."
Iffamee,2020-06-08 14:22:52,Suaranya sopan bener masuk telinga. (https://t.co/e8yM4tIcgo Lyn Lapid) https://t.co/vL3mqZ6cUD
Iffamee,2020-06-08 13:52:45,@collegemenfess Citra baik :))
