username,created_at,text
januarrmdhn,2020-06-16 13:36:42,"@destiayuus Sangat senang sekali banyaknya des, turut senang!"
januarrmdhn,2020-06-16 13:02:54,"Jadinya ikan bakar aja ya, geprek mas bensunya binggung mana yang geprek benerannya."
januarrmdhn,2020-06-16 11:56:56,@qilamarlan Uang sejuta kidzania yang di tunjukin kapan taun masih ada ngga nel? 😂 @NeldaNoer
januarrmdhn,2020-06-16 11:15:40,"@ezash Informasi, penumpang, kereta."
januarrmdhn,2020-06-16 11:10:51,"Terima kasih teruntuk badan, sudah saya buat berkeringat sangat 2 hari ini. Kamu hebat! Ntar tak jajanin ayam geprek cukup ya?!"
januarrmdhn,2020-06-16 11:09:45,@maneatsdragon 💙
januarrmdhn,2020-06-16 10:56:35,"@deaaaaaaja_ @aimprinses @dsuperjes @edoadits @faizsadad_ Kenapa pake anjing anjing gitu ya, kan bisa temenan aja padahal 😔"
januarrmdhn,2020-06-16 10:50:33,@intaniaayuu @negativisme Marahin tan
januarrmdhn,2020-06-14 11:05:12,"@DineDPR Kenapa janjinya ngga mulai dari hari ini aja, bulan depan kan masih ada 15 hari lagi MOMS DINE 😭😂"
januarrmdhn,2020-06-12 13:50:16,"@h3llatrash @GiaPratamaMD Halo monic udah saya isi ya, penasaran sama hasilnya juga. Semoga bisa membantu dan good luck!"
januarrmdhn,2020-06-12 03:00:04,@_lisdafebri Suka sekali dengan kata-kata-Nya
januarrmdhn,2020-06-11 11:44:21,"Efek laper terus di suruh tetep kerja tuh gini nih, de maaf aku ketawa 😂😂 https://t.co/jFNOqPelPv"
januarrmdhn,2020-06-10 02:58:04,Cobain di saquira ah~ https://t.co/cDfUa4kfIH
januarrmdhn,2020-06-07 05:04:28,"@RPamusa Wah membantu sekali untuk anak rantauan sepertiku hahaha, thank you mas!"
januarrmdhn,2020-06-06 05:49:08,@DineDPR @zahirororo Sangat amat bangun kamu ✋
januarrmdhn,2020-06-05 04:26:57,@edimaha233 346gram
januarrmdhn,2020-06-05 02:32:58,"@salmooun Ah suka becanda gitu, masih belajar..."
januarrmdhn,2020-06-04 12:31:44,@cudble Barang kali butuh ka riri 😂 @ririastarina
januarrmdhn,2020-06-04 02:29:11,@outroswt Berguru ke bapak ini untuk stamp tiket pengganti gitu kel? 😂 @alikaikell
januarrmdhn,2020-06-03 04:09:04,"Di bantuin sama ka saffanah juga, terima kasih dedut baikk https://t.co/BWPy8TlpHc"
januarrmdhn,2020-06-03 03:55:51,"Mainan baru untuk ade attaya, semoga sukaa. Tinggal beli batre ya biar pianonya nyala 😁 https://t.co/7B2HOKUNXl"
januarrmdhn,2020-06-03 02:55:39,@DikaSwatans DIKK LEKAS SEMBUH YAK! SEGERA PULIH AAMIIN
januarrmdhn,2020-06-03 02:41:26,@dinaaaayf @alifmakbar_ @danirmdnn @_lisdafebri Ngga tau... Pengen tau...
januarrmdhn,2020-05-31 11:22:18,@DineDPR 😊
januarrmdhn,2020-05-31 03:17:20,https://t.co/QSqt2rq2SB
januarrmdhn,2020-05-31 02:46:12,Follow @11hr11min ✔ Print out ✔ Double tip ✔ Tempel-tempel ✔ Dinikmati ✔ https://t.co/mTSupEidZy
januarrmdhn,2020-05-30 10:17:12,"Senior yang kalo di marahin penumpang selalu legowo, gokil sabarnya ngga ada dua. Selamat ulang tahun ka ody! 👊 https://t.co/HGoHfwIo6F"
januarrmdhn,2020-05-30 09:27:26,@dendenRCM @jeelllll 2 x 3 = 6
januarrmdhn,2020-05-29 08:50:17,"Udah semingguan ini selalu mimpiin keluarga &amp; temen-temen jalan ceritanya selalu sama, pelukan dan minta maaf yang sampai nangis terharu. Duh kangen gini euyyy aslii, sehat-sehat terus semuanya ya."
januarrmdhn,2020-05-29 02:45:41,"alhamdulillahirobbil alamin ya Allah, terima kasih banyak."
januarrmdhn,2020-05-28 11:05:18,@man2aja @hrdbacot Untuk umum bisa gak ya mas? Takut miss kom itu saya baca 1000 anggota komawi takutmya cuma untuk internal aja
januarrmdhn,2020-05-27 13:25:10,#selfreminder https://t.co/5Rv3p0WJkl
januarrmdhn,2020-05-27 01:35:15,@hrdbacot Udah paling bener nih mincot buat lakuin apa kata si mba ini~ https://t.co/46xic5aqNj
januarrmdhn,2020-05-27 01:26:54,@Sistries @VICE_ID Ya Allah aku baca tweet ini pelan-pelan banget takut salah persepsi :(
januarrmdhn,2020-05-25 13:12:46,"Gw percaya manusia tu gak akan ada yang jahat kalo everyone in this world can have a chance to make deep talking for each other. Karena komunikasi yang dibangun saat itu bisa dapet banyak hal yang sebelumnya mungkin sulit dipahami, bahkan mungkin di luar nalar."
januarrmdhn,2020-05-25 12:40:36,"""percaya aja bahwa tanpa kamu berfikir terlalu keras pun, Tuhan akan ngasih petunjuk2nya didepan kamu secara langsung. Jadi mau berfikir itu suatu hal yang tepat atau engga, sebenernya didepan kamu udah ada jawabannya. Jadi gausah mikir terlalu dalem bgt jan"" -Nadia"
januarrmdhn,2020-05-25 09:41:49,"@innaalfiah Halo inaa minal aidzin wal faidzin juga ya mohon maaf lahir dan batin, selamat lebaran 🙏"
januarrmdhn,2020-05-25 00:55:30,@jajanterooos 😂😂😂
januarrmdhn,2020-05-25 00:52:15,"@andihiyat Gak berlaku nih di keluarga jakarta, beres makan wajib cuci piring masing-masing 😂"
januarrmdhn,2020-05-24 13:22:18,@zahirororo Suapin...
januarrmdhn,2020-05-24 13:21:31,@alikaikell Ini tolong gak usah komen ya yang udah dapet r6! Hahaha Sekalian mau tanya baret putih itu maksudnya bebas dari tanggung jawab apa gimana? Tolong kaka senior di pandu junior yang ini 😂
januarrmdhn,2020-05-24 13:19:25,"@jajanterooos Selamat lebaran juga, mohon maaf lahir dan batin yaa *bagi-bagi voucher* hahaha"
januarrmdhn,2020-05-24 11:43:58,Atau paling tidak punya baret hitam di dada kanan atas? Amin ya yaAllah? Hehe
januarrmdhn,2020-05-24 11:40:42,"Hari ini di undang langsung sama kepala stasiun untuk makan ketupat di ruangannya karena tau saya gak pulang ke Bandung begitupun beliau-beliau, terselip doa tadi semoga dikemudian hari bisa kerja di ruangan ini hehe https://t.co/37TWR1L3zw"
januarrmdhn,2020-05-20 22:00:40,@MelindaAghnia Ini siapa siii?? adenya lucu banget
januarrmdhn,2020-05-20 21:13:06,Ampuuun gemes banget ini 😂😂 https://t.co/qpcmhNCkOK
januarrmdhn,2020-05-20 21:06:07,@marijuadur @LatifArif Ospek himpunan kan ya ini maksudnya? Kan kalo ospek kampus kaya gak mungkin gitu ya...
januarrmdhn,2020-05-20 21:00:22,@dildul2705 Balik kanan grak!
januarrmdhn,2020-05-20 16:11:18,https://t.co/YG0zX37yBi
januarrmdhn,2020-05-20 12:08:58,"@_lisdafebri @prayogadhit Mohon maap jalan deket rumahku ""hadeuh"""
januarrmdhn,2020-05-20 12:01:57,@lavieenblev Ini link threadnya nid https://t.co/jHdOmuFRLy
januarrmdhn,2020-05-20 11:57:56,@pandaxxpandaxx Kereeeen
januarrmdhn,2020-05-20 11:54:33,@yoursaltybae @hrdbacot Hadeuh ko bener...
januarrmdhn,2020-05-16 21:30:10,"@teacengklak Iya udah bagus mening gitu aja teh biar tetep ""waras"" kitanya 😂😂"
januarrmdhn,2020-05-16 21:18:45,"@teacengklak Berhubung pemula nih sama series-series kaya gini aku dapet cara supaya engga larut sama emosinya teh khusus film ini ya, nonton episode 1-7 stop seminggu abis tu lanjut lagi sampe episode selesai. Supaya tidak greget ini otak dalam menjalani hidup 😂"
januarrmdhn,2020-05-16 21:15:38,@sinthiaagustin Ah tia jadi tau nih endingnya~
januarrmdhn,2020-05-16 12:29:53,"@refnaas Kurang mang jek nih, cuanki legendaris~"
januarrmdhn,2020-05-16 10:34:27,@merapi_news @cholikk ❤
januarrmdhn,2020-05-15 21:32:02,@teacengklak Tahun ini aku ulang tahun ke tiga puluh satuu
januarrmdhn,2020-05-15 14:44:02,@byan_mitsal @piersamarch @hrdbacot @intandwin @faisaldaus Siaap
januarrmdhn,2020-05-15 09:14:37,@piersamarch @hrdbacot @intandwin @byan_mitsal @faisaldaus
januarrmdhn,2020-05-15 04:58:42,@DineDPR @yonantdwir @VICE_ID Ya kan kalo mimpi ga bisa milih milih sayaang~
januarrmdhn,2020-05-14 21:28:18,@marijuadur @VICE_ID Demi apapun dur muka tuyulnya masih ada di ingetan gw masaaa
januarrmdhn,2020-05-14 21:24:45,@VICE_ID 3 hari kemarin kontol gw di mainin tuyul ANJEEEEAANG 😭😭
januarrmdhn,2020-05-14 12:52:55,@DiffaQinthar *gila ini enak banget mau nangis*
januarrmdhn,2020-05-14 11:49:16,@AzzamIzzulhaq Aamiinn
