username,created_at,text
joeniararief,2020-06-16 12:58:22,"I lost my friend, my partner, my road manager, my vocal director, my songwriter not to mention my brother... Soul Brother, rest in peace @Victoradolf .. God loves you more !! https://t.co/ivywZBFKpU"
joeniararief,2020-06-12 12:30:58,@Pashatama Nontonnya aja aku dah ikutan senang!
joeniararief,2020-06-10 15:44:32,"@Pashatama Yeah yeah yeaahh... Hi5, Sha... !!Apa kabar Bandoeng?"
joeniararief,2020-06-10 15:34:32,The Beatles. The Beatles. The Beatles The Beatles. And...... The Beatles. ( ga bisa didebat! ) https://t.co/pjyvOu47Oi
joeniararief,2020-06-09 04:56:30,The Best i’ve seen and heard so far.. !! https://t.co/gab3fQWtkF
joeniararief,2020-06-06 02:54:38,"Happy birthday, Mr. Dandyman! https://t.co/unCKVrnPOk"
joeniararief,2020-06-04 04:08:58,"Itu yg beatles, kirim Semarang aja Dib.. Perlu adopter baru kyknya, drpd numpuk gitu. https://t.co/gYU7xbxGwT"
joeniararief,2020-05-27 14:21:27,So now you know. https://t.co/XwkFlvrUGf
joeniararief,2020-05-23 01:46:20,"Stay safe, semuanya! https://t.co/0wW6Ognqy5"
joeniararief,2020-05-22 03:33:18,"@IwanZen Aseliiiiiii.... Kyk lupa klo kita belom menang lawan virus ini, semua sembunyi dibalik budaya hari raya pdhl ya karena bosan dan ga perduli aja."
joeniararief,2020-05-21 06:01:25,"Danke banyaaaak, salam buat semua di Ambon.. Stay safe, stay healthy! https://t.co/L9FYtoCjP5"
joeniararief,2020-05-20 05:24:01,"May his beautiful soul Rest in Peace, and dear Melvin thank you for sharing ur talent and gift.. Thanks for ur sangin’! https://t.co/vgd4xio6e0"
joeniararief,2020-05-19 12:20:39,Hahaa makanya tong nebak karena bentuknya !! .... (Sono ka Aom Kusman) https://t.co/Pbij4dDKOg
joeniararief,2020-05-17 18:27:10,"Much Love Jug, sehat dan senang di rumah yahh.... Sayang twitter durasinya terbatas jadi weh videonya ga bisa full! https://t.co/0tJtzieqbh"
joeniararief,2020-05-17 16:24:57,@guntur_696 Mari kita eundeurkan lantai 11 !!
joeniararief,2020-05-17 15:46:31,"Pandemic, got us stay home.. But give us more time to do what we love the most. Singing! Here we do cover version of @AzYet_Inc “Hard to say i’m sorry” - From Indonesia with love, stay happy &amp; healthy y’all! https://t.co/OaqmozELj6"
joeniararief,2020-05-14 04:10:37,"@davidbayu Pernah stay 1 hotel pas acara Soundrenaline di Surabaya, th 2005 seinget gw. Dari kamar sebelah terdengar berkumandang “End of the road” dengan suara melengking dan improve tak lazim.. Eh taunya Bro David.. Respect dan ngefans level gw lgs di titik puncak.. Love u man!"
joeniararief,2020-05-14 02:50:26,Salim sesama jama’ah BoyzIIMeniyah!! https://t.co/kxFFKkMUEs
joeniararief,2020-05-10 15:51:37,#SayaPercayaJokowi
joeniararief,2020-05-09 16:09:58,@motulz Yg dibonceng tangannya jelas patah itu pas mendarat ... Linuuuuu jiiir!!!
joeniararief,2020-05-03 01:30:48,"Dear Pak @hendrarprihadi , bangunin sahur keliling sudah boleh lagi ya.. ? Sudah 2mlm ini area Rumah Sakit Elizabeth ada rombongan bangunin sahur pake bedug ( apa ga kasian sama pasien2 di Rumah Sakit ya? )"
joeniararief,2020-04-27 03:42:24,Dear Pak @jokowi ... Pemain band dan para penyanyi juga mau sembako Pak. https://t.co/GZRPNCWcY3
joeniararief,2020-04-25 16:48:38,@guntur_696 @febbylorentz Amare doong ah! Hahaha lawas.
joeniararief,2020-04-25 16:25:49,@guntur_696 @febbylorentz Nraktir bencong nonton sekalian?
joeniararief,2020-04-19 05:14:12,All we need is Love.. Love is all we need !! https://t.co/czpawMklNM
joeniararief,2020-04-18 03:51:27,@deelestari @potretlawas Mungkin sekali waktu kita ketemu di masa lalu... Saya ge resep nilikan potret2 jaman dulu.
joeniararief,2020-04-12 10:25:50,Worked it out alright! https://t.co/X57SHXAv68
joeniararief,2020-04-11 17:54:35,"@sheknowshoney Mungkin bukan pesimis, tapi menyikapi peristiwa tgl 9 April kemarin, ada penolakan pemakaman jenazah seorang perawat RS yg meninggal krn positif Covid19 oleh warga sekitar pemakaman umum."
joeniararief,2020-04-11 01:31:54,Hareudang hareudaaang...!! https://t.co/uUCIik8Tfn
joeniararief,2020-04-08 18:14:22,"Rest in Peace, Bung! https://t.co/hU6YUap69s"
joeniararief,2020-04-08 13:09:15,"Beristirahatlah dalam damai, Till we meet again Bung! #RIPGlennFredly https://t.co/n2J995Vq23"
joeniararief,2020-04-04 06:14:52,"Sok mangga dangukeun, regepkeun..... “Ngajaredog heula!!” https://t.co/J9Sw1rCEVA"
joeniararief,2020-03-31 09:01:25,"Saya selalu taat dan dukung setiap keputusan pemerintah.. Tapi kalo ini, baiknya jangan dulu konpres Pak @fadjroeL .. Matangkan dulu.. Karena dampak Corona ini merata bukan hanya yg positif saja Pak. https://t.co/oybd9uOTwA"
joeniararief,2020-03-31 01:11:38,志村けんさん、ご冥福をお祈りいたします。 https://t.co/cpQvAInrck
joeniararief,2020-03-30 16:12:16,"@ViosyTederick Ehehe hanas atoh ah aya rencang... Cing sarehat oge sadayana di rorompok nya. Asa harariwang kieu beuki dieu teh. Wayahna ulah kamamana heula, bageur!"
joeniararief,2020-03-30 16:08:02,"@ViosyTederick Naha bet kudu nungguan beres, deer weh ayeuna ateuh. Dibaturan ku Mamang!"
joeniararief,2020-03-30 10:38:00,"@historylvrsclub My heart crushed, seeing all the artefacts.. Especially this one! https://t.co/bPSAY4PBjC"
joeniararief,2020-03-27 12:41:30,"Tolong sebarkan, biar semua paham dan bisa kompak untuk tinggal di rumah. https://t.co/Mv6QUlrsMh"
joeniararief,2020-03-27 06:51:57,"@djundi @driverjambul Niiice yaa... Ayoo bikin juga.... Sama2 Mas Djun, stay healthy and stay safe!"
joeniararief,2020-03-27 06:42:50,"Thank you dah dibikinin ini ya Mas @driverjambul ... I am your happy costumer, indeed... Keren banget, semangat dan berkarya terus Mas!! https://t.co/aWSPEkhGdE"
joeniararief,2020-03-26 15:11:20,Aamiin! https://t.co/uiqcnzrzXY
joeniararief,2020-03-26 11:48:00,"We feel you, Pak.... Semoga diberikan kekuatan lahir dan bathin ya Pak @jokowi .. We need you! https://t.co/wazTmxQu4Z"
joeniararief,2020-03-26 09:50:23,@Indonesi1aTimur Sekali jepret langsung masuk tuh ayam! #bejo https://t.co/4Mi90HcOGe
joeniararief,2020-03-26 04:12:20,Aamiin..!! https://t.co/sgwOfQ3lNU
joeniararief,2020-03-25 14:00:43,"@Shindu @SerieA_Lawas Mario Kempes.... Oh lupa, kita beda generasi!"
joeniararief,2020-03-25 12:19:45,"Semoga Almarhumah diberikan tempat terbaik di sisiNya. Dan Pak @jokowi beserta keluarga diberikan kekuatan, ketabahan dan tawekal menghadapi semua ini... Aamiin! https://t.co/8mRnHt5kSp"
joeniararief,2020-03-25 01:17:13,Asiiiik Bray! https://t.co/41r6J9VLC5
joeniararief,2020-03-24 05:51:43,Yuk kita bantu apa yang kita mampu. #StayHomeStaySafe https://t.co/O67BT6Yf8F
joeniararief,2020-03-24 04:00:17,Consider it done... And Pleasure is all mine..!! https://t.co/Mw0z2Oh7d7
joeniararief,2020-03-23 12:30:18,"Terima kasih Pak Wali and the Ganks.... Semoga warga Semarang sehat2 semuanya, aamiin! https://t.co/z7c022nQkN"
joeniararief,2020-03-22 13:10:47,"@PepengUrbanVibe Enya bener, mending di setop heula weh ah.. Pauuuur!!"
joeniararief,2020-03-22 07:25:54,"Stay strong, indeed! https://t.co/t3IKELgRLh"
joeniararief,2020-03-22 06:09:36,"@intanprettyodd7 Terima kasih Mba Intan... Iyah mepet banget sih ini, tapi kami putuskan utk tudak melanjutkan. Semoga keluarga/ klien nya bisa mengerti. Berat memang tapi harus dilakukan. Semangat ya Mba Intan ! #StayHomeStaySafe"
joeniararief,2020-03-22 06:04:39,"Terima kasih utk semua Twitterians.. Membaca dan menjawab hampir semua balasan twit saya yg berkaitan dengan lanjut ato tidaknya event wedding tgl 25 Maret besok ini... Maka saya dan rekan tim semuanya, semakin yakin utk memutuskan penundaan acara tersebut. Thank you all so much!"
joeniararief,2020-03-22 06:00:40,"You too, man ! #StayHomeStaySafe https://t.co/kfZTpqhvdJ"
joeniararief,2020-03-22 06:00:09,"Ini yg dikhawatirkan, krn buat bbrp orang resepsi adalah bisnis. https://t.co/rXaFGrJFse"
joeniararief,2020-03-22 05:59:10,@xartxet Selamatkan zuppa soup! Hhaaha
joeniararief,2020-03-22 05:58:42,"@bardiq Iyah, sudah sy save maklumatnya dan video2 yg ada dishare tadi.. Semoga bs jadi bahan pelajaran dan dimengerti. Thanks Mas! #StayHomeStaySafe"
joeniararief,2020-03-22 05:57:33,"@oKing___ Masih ada waktu, nanti sore rencana utk pembicaraan soal keputusan. Dari kami sudah pasti minta acara diundur. Terlalu beresiko!"
joeniararief,2020-03-22 05:56:05,"@GabyKalalo Betul Mba.. Udah dijelasin bolak balik tapi tetep keukeuh, pdhl kita pemilik tempat hanya minta acaranya diundur bukan dibatalkan. Semoga denagn bukti surat edaran dan video2 yg ada bs buat mereka buka matanya."
joeniararief,2020-03-22 05:53:31,"@anomdanas Dah gw keep videonya dan gw share ma tim yg lain... Dear keluarga yg ngeyel Nonton ya, semoga jadi pelajaran."
joeniararief,2020-03-22 05:50:50,"@SukaLewatBawah @newsplatter Betul Mas, membaca semua balasan.. Saya dan tim memilih utk memutuskan acara diundur. Thanks yah! #StayHomeStaySafe"
joeniararief,2020-03-22 05:49:40,"@JoseAndre89 Uang dp kami keep, sebagai jaminan kami bukan bermaksud membatalkan tapi minta acara diundur sampe keadaannya memungkinkan utk mengadakan keramaian lagi."
joeniararief,2020-03-22 05:47:16,"@NelMorningstar Biar dimamam T-Rex !! Hahaha.. Aduh menghibur, thanks lhoo ya! #StayHomeStaySafe"
joeniararief,2020-03-22 05:45:48,"@MentariDeswita @ribka_tweet Sedih bacanya...Ada ya orang yg tega di masa2 kyk gini...? They’re not human.. Harus galak Mba, klo halusan kitanya malah ga dianggap. Semoga berhasil!"
joeniararief,2020-03-22 05:44:05,@piyopikavet Jadi macam pesta kostum! Ahahaa... !!
joeniararief,2020-03-22 05:43:33,"@windumuktiw @newsplatter Aamiin Mas, thank you dah didoain.. Semoga segera selesay deh semuanya, acara sih harus diundur. Resikonya ga seimbang!"
joeniararief,2020-03-22 05:42:17,"@Ahladita_AD Aseliiiiik... Kita yg lg parnoan, takut.. Ini malah nekad mo bikin keriaan."
joeniararief,2020-03-22 05:41:04,@gamilaarief Acis na kirang !
joeniararief,2020-03-22 05:40:31,Minimal ada yg terhibur yah... !! https://t.co/D4uebqdmcE
joeniararief,2020-03-22 05:39:42,"@rafzull Ya kami berencana begitu, cape mulutnya Mas.. Bolak balik tetep tambeng!"
joeniararief,2020-03-22 05:38:10,@dj4zzy Saya makin mantap. Acara diundur saja!
joeniararief,2020-03-22 05:37:46,@hapsaaaaa_ Terlalu beresiko.
joeniararief,2020-03-22 05:37:24,@AnggieAncika Thank you!
joeniararief,2020-03-22 05:36:41,"@darmantompul @newsplatter Makasih masukannya, kami pikir memang lbh baik utk diundur saja acaranya. Suka ato tidak, kami harus ambil sikap."
joeniararief,2020-03-22 05:35:18,"@_fireshare @newsplatter Resikonya terlalu tinggi, ga sebanding... Aparat pun saat kyk gini pasti lbh mengedepankan kepentingan orang lbh banyak. Thanks anyway! #StayHomeStaySafe"
joeniararief,2020-03-22 05:33:35,"@yennykhrist @newsplatter Lebih baik kami tunda aja, suka ato engga kami harus tegas. Resikonya tak sebanding! #StayHomeStaySafe"
joeniararief,2020-03-22 05:32:34,Lesson learned! #StayHomeStaySafe https://t.co/Vo0UAPqQZW
joeniararief,2020-03-22 05:31:15,@gusticputra Betul bangeeet!
joeniararief,2020-03-22 04:49:46,@alexsetiawan02 Bukti otentik... Thank you! #StayHomeStaySafe
joeniararief,2020-03-22 04:27:55,@social_junkee Already... Mpe mulut capek jelasin bolak balik.
joeniararief,2020-03-22 04:25:44,"@sembilanpurnama @newsplatter Bisa2 tempat sy yg diblokir dan kena sangsi oleh pemerintah klo pas hari H... Kami harus bergerak dan berkeputusan hari ini, besok paling telat. Acara mundur sudah sewajarnya."
joeniararief,2020-03-22 04:21:46,"@yogsite Ga cancel sih, tapi sy harus minta acara mundur. Dah ga bs ditawar lagi.. Thanks ya! #StayHomeStaySafe"
joeniararief,2020-03-22 04:20:50,"@pitek230 And the list continues..... Disinfektan dan smua instrument kebersihan bisa kita siapkan.. Nyawa cadangan, itu jelas2 kami ga punya!"
joeniararief,2020-03-22 04:19:15,"@egotringo @newsplatter Harusnya sih begitu.. Andaikan semua keluarga bisa mudah diajak kompromi. Tapi klo ini kami harus ambil sikap, acara harus diundur. Mauliate inputnya ya! #StayHomeStaySafe"
joeniararief,2020-03-22 04:17:13,"@domoococo Keselamatan orang banyak, palu sudah diketuk.. Kami harus lebih tegas kali ini. Acara diundur, tak bisa ditawar lagi. Thanks ya Mba! #StayHomeStaySafe"
joeniararief,2020-03-22 04:15:51,"@lalatbuah99 @newsplatter Jangan Mas, jangan paksa sy ngember ahaa.. Cukup sy aja yg jd target tembak mereka. Ta hadepin resikonya. #StayHomeStaySafe"
joeniararief,2020-03-22 04:14:10,"@rachmans Terima kasih inputnya Mas Rachman.. Akhinya kami putuskan acaranya diundur, terlaku beresiko Mas.#StaySafeStayHome"
joeniararief,2020-03-22 04:11:56,"@GabyKalalo Terima kasih Mba, tapi ini tamu undangannya ratusan jadi terlalu beresiko di saat seperti ini. Mundur adalah keputusan yg terbaik, semoga mereka mau mendengar dan mengerti situasinya."
joeniararief,2020-03-22 04:10:27,"@Adam_STOP_IT Yes, i have asked some of our empoyees to stay homes. The thing is, this family seems like pushin their luck to the limit. Really gets on my nerves. Makasih ya, inputnya bikin kami makin yakin utk nolak diteruskan. #StaySafeStayHome"
joeniararief,2020-03-22 03:54:50,@zolayata @newsplatter Salah satu alasan lanjut karena sudah terlanjur sebar undangan. Aduuh why people can be so selfish amd ignorance!
joeniararief,2020-03-22 03:52:23,"@sitroh @newsplatter Makin susah tuh krn pihak keluarga ga bisa diajak kompromi. Sudah dijelasin bolak balik tapi ngotot. Kyknya emang perlu pihak aparat untuk menengahi, semoga mereka akhirnya mau mendengarkan.. Thanks ya! #StaySafeStayHome"
joeniararief,2020-03-22 03:49:47,@ninditaph Semoga dengan hadirnya aparat bisa lbh meyakinkan keluarga yg ngotot acara hrs lanjut.. Thanks yah! #StaySafeStayHome
joeniararief,2020-03-22 03:47:23,"@masisalz Tampaknya kita yg harus lbh tegas, sy pribadi ga berani ambil resikonya terlalu tinggi."
joeniararief,2020-03-22 03:46:13,"@andianisharfina Kontrak semuanya ada, tapi susah klo dah urusannya sama gengsi plus emosi pula.. Jadinya ngotot, dah dijelasin bolak balik, tetep pesennya ga sampe. Woosshaaa!!"
joeniararief,2020-03-22 03:44:39,@OmangRodriguez Siaaap... Thanks masukannya Mas! #StaySafeStayHome
joeniararief,2020-03-22 03:44:07,"@maleeqa___ @newsplatter Andai semua keluarga bisa diajak kompromi seperti keluarga Mas Malik, urusan pasti akan jadi lbh mudah tanpa harus bersitegang. Thanks ya! #StaySafeStayHome"
joeniararief,2020-03-22 03:42:46,Ini yang harus semua pihak Mafhum dan Maklum! https://t.co/tHjq8dXi0G
joeniararief,2020-03-22 03:41:34,"@maleeqa___ @newsplatter Saya hanya bs kirim doa semoga pernikahan Ade nya, samawa dunia akhirat... Gapapa ambil hikmahnya aja, cerita kyk gini bakalan diinget seumur hidup. #StaySafeStayHome"
joeniararief,2020-03-22 03:40:02,"@Pashatama Kyknya harus gitu deh, biar ga usah berpolemik panjang.. Cape mulutnya akutuuu!!"
joeniararief,2020-03-22 03:39:02,@schizology Ngebet banget pengen kaweeeenn.. Heeraaann deh gw nih Jo!
joeniararief,2020-03-22 03:38:17,"@LaLeia @newsplatter Kami tampaknya harus bersikap lbh tegas. Resikonya terlalu besar klo diteruskan. Disinfektan dan alat kebersihan lainnya kita bs sediakan, tapi nyawa cadangan kita yg ga punya! #StaySafeStayHome"
joeniararief,2020-03-22 03:35:37,"@joretni Ga berani lanjut, ini kita dpt pressure nya malah dr keluarga mempelai. Saat kyk gini kita dituntut harus tegas sih."
joeniararief,2020-03-22 03:33:36,"@pascalshinji Waah jadi lahan usaha baru, rumah persemayaman dan layanan pemakaman doang .. Saat kyk gini, org koq ya tetep ndableg.. Ga habis pikir!"
joeniararief,2020-03-22 03:31:49,"@andini_iswara @newsplatter Kami sudah putuskan untuk tidakdilanjutkan, tak ingin resiko terlalu banyak.. Thanks ya!"
joeniararief,2020-03-22 03:31:01,"@erwitami Terima kasih masukannya.. Kami jadi lebih yakin untuk menolak acara dilanjutkan, resikonya terlalu tinggi. #StaySafeStayHome"
joeniararief,2020-03-22 03:29:49,"@terelia_ Setuju banget... Resikonya terlalu tinggi, Thanks! #StaySafeStayHome"
joeniararief,2020-03-22 03:29:19,"@ribka_tweet Sudah saya minta untuk mundur acaranya, tapi keukeuh maunya tetep lanjut. Tapi kami sudah bulat tekad, menolak acara dilanjutkan.. Thanks ya! #StaySafeStayHome"
joeniararief,2020-03-22 03:27:18,@newsplatter Memang perlu ketegasan tampaknya. Mohon maklum bertahun kami di hospitality selalu melayani keinginan para pelanggan. Kali ini kami harus tegas bersikap. terima kasih masukannya! #StaySafeStayHome
joeniararief,2020-03-22 03:24:42,@efenerr @Pashatama Itu yg sudah kita coba sampaikan. Kita minta utk diundur saja. Tapi ini family gaspol ga pake rem.
joeniararief,2020-03-22 03:23:36,Bold and forward eh? I sumhow so agree. Thanks. https://t.co/WeVbI0A0dA
joeniararief,2020-03-22 03:04:23,@Pashatama Itu dia.. Kita dah sampein dr mulai cara baik2 sampe di titik speechless... Ini keluarga keukeuh banget.. Ampuuun deh Sha!
joeniararief,2020-03-22 02:56:56,"My fellow Twitterians... Saya sungguh2 bertanya ke semuanya.. Begini, saya pemilik tempat resepsi tgl 25 Maret besok ada booking acara nikahan. Mesikpun sdh kami minta diundur tapi pihak keluarga dan mempelai tetap maksa lanjut. Saya harus gimana yah?"
joeniararief,2020-03-21 12:29:22,Aameen!❤️🙏🏽 https://t.co/89ItA3PGvz
joeniararief,2020-03-21 05:26:24,"Dari sekian banyak keputusan yang diambil Pak Anies.. Baru 1 ini setuju banget.. Bung Denny, saat ini ada yg jauh lebih penting dari Ekonomi. Stay home, bukan berarti Stop Working, just to make sure we’re all Stay safe! https://t.co/hFe7B22lXV"
joeniararief,2020-03-20 14:53:34,@AmbarwatiRexy Disini banyak tapi takut ninuninunya .. Haha!
joeniararief,2020-03-20 14:37:40,"@AmbarwatiRexy Ta kira ini semacam pengakuan.. “Dan Budi itu adalah Aku!” ... Tiwas mo ta ucapin have a nice Trip, Mbak Yu!"
joeniararief,2020-03-20 06:44:36,Ur request is my command ! ( eusian heula kencleng na Aa ) https://t.co/SYypf5YDRN
joeniararief,2020-03-20 04:53:35,Gagal Total !! https://t.co/slDIkP39kF
joeniararief,2020-03-20 04:45:40,"@joevantaylor @johnlennon Yuhuuu Salam buat putri, istri dan keluarga semuanya di rumah.. Stay home, stay safe yahh!"
