username,created_at,text
JulianDennis1,2020-06-18 13:22:17,@nabillaquerida Meonggg 🐱🐱
JulianDennis1,2020-06-18 13:10:55,@fadhelriafdy Ndeh tambunsu lamak deel hahaha
JulianDennis1,2020-06-18 12:58:00,Hahaha 😂 https://t.co/w3vqIOawNA
JulianDennis1,2020-06-18 12:56:38,@Lucie_yg_ @RckyMtnGirl1965 @catsofinstagram @CatsandMusic That's true 🍻
JulianDennis1,2020-06-18 12:52:33,@sellypurwantii @oki_rahmad Uong mano be yg cantik2 tu sel ?
JulianDennis1,2020-06-18 12:52:13,@sellypurwantii @oki_rahmad Gas malam mingguu 🎉🎉🎉🎉🎉
JulianDennis1,2020-06-18 12:50:58,@rillyanisa Apalagi makan berdua hmm. Eh jd ga join ini sa ? https://t.co/shExt7MFZA
JulianDennis1,2020-06-18 05:58:59,@oki_rahmad 😢😢🐱
JulianDennis1,2020-06-18 05:38:00,@andewok 🐱🐱
JulianDennis1,2020-06-18 05:35:42,@fandey_ Absolutely 🐱
JulianDennis1,2020-06-18 00:29:52,What's up human? https://t.co/W3eQXAf4qg
JulianDennis1,2020-06-17 16:04:17,Foto dulu sebelum tidur 🐱 https://t.co/PunJAwHUGK
JulianDennis1,2020-06-17 15:48:19,"Rest in power Bob. We all love you, we all love cats. 😢😢 https://t.co/AE9PYSdI5O"
JulianDennis1,2020-06-17 12:36:58,@atikhameila Mayan tenar kalau di sini tik. Produk indonesia. 26rb/kg di sini 🐱🎉
JulianDennis1,2020-06-17 12:17:23,4 people followed me // automatically checked by https://t.co/Btj3GTdALr
JulianDennis1,2020-06-16 23:40:19,Produknya matahari sakti bukan? Bagus bagus aja perasaan min. Saya pake produk yg satunya. https://t.co/o5wsL6VvDN https://t.co/IB3b7DTrxl
JulianDennis1,2020-06-16 23:32:10,Istirahat yg tenang meng. Kamu tidak ketemu lg sama human yg kelakuannya kaya iblis. 🙏🐱 https://t.co/p6rFD2mwaX
JulianDennis1,2020-06-16 23:21:38,🙏🐱❤ https://t.co/YmnRMoaTtc
JulianDennis1,2020-06-16 23:03:48,@mhdikhsaaan Gass https://t.co/S8CwAhba4V
JulianDennis1,2020-06-16 14:17:40,@panjilhamm Nah itu nyo bung hahaha https://t.co/uySutb2BHz
JulianDennis1,2020-06-16 14:15:12,"@panjilhamm Iyo bung, musik nan mode tu saketek di siko hahaha. Beko ado se nampak tu hahaha"
JulianDennis1,2020-06-16 14:13:29,@panjilhamm Kawan nan sahobi alun dapek lai hahaha
JulianDennis1,2020-06-16 14:11:19,"@panjilhamm Taragak bung, lah lamo indak aa hahaha"
JulianDennis1,2020-06-16 14:02:45,Tagok adiak ko laiii https://t.co/fmvdA9ncSW
JulianDennis1,2020-06-16 14:01:25,Asikan jadi vokalis teh 🔥 https://t.co/30DxXqB06l
JulianDennis1,2020-06-16 14:00:34,@nabillaquerida Hahaha si mumut tamanuang2 caliak aia hujan turun mah
