username,created_at,text
linggaralfi,2020-06-17 01:26:02,Ibu kucing protective https://t.co/WHGSuYFjmt
linggaralfi,2020-06-16 03:58:45,@isfauz_ Lewat pintu
linggaralfi,2020-06-16 03:11:38,Sampe kenalan sama mb mb bakul tahu bakso cuy
linggaralfi,2020-06-16 03:08:28,"@dewiashita_ cepet, ku ga kenal siapa siapa di smasa ei"
linggaralfi,2020-06-16 01:55:49,@dewiashita_ Ntar siap siap ya kalo ku semaput lagi wkekeke
linggaralfi,2020-06-16 01:20:33,"@dewiashita_ Review jujur dari aku yo sit, aku malah mules yakin. Ga usah coba coba wo chloe ting kalo blm siap :')"
linggaralfi,2020-06-16 01:19:50,@ghozifidaulh 😭😭😭
linggaralfi,2020-06-16 01:02:34,@ghozifidaulh Gimana letak kerennya? Masi setengah jalan mata dah kunang kunang
linggaralfi,2020-06-16 01:00:25,"Ngikutin wo nya chloe ting, seperti review yang lain, ku pingsan dan mual. Keringetan nya pas pingsan nya astaga alay"
linggaralfi,2020-06-15 13:32:26,@txtdrberseragam Apa cuma aku sih yang ngga punya temen polisi 🙄
linggaralfi,2020-06-15 11:08:07,Banyak yg ke trigger. Wow
linggaralfi,2020-06-14 11:04:29,@HepyRestu_ Wah kurang adoh dolanmu 🤣
linggaralfi,2020-06-14 10:23:49,@dewiashita_ Gas la mumpung ku masi di kledung wkwk
linggaralfi,2020-06-14 10:23:19,@FarickSka Apakah mungkin slur? :))
linggaralfi,2020-06-14 08:57:27,"@dewiashita_ Sudah kakak, buat apa merenung di rumah kalo yg lain pada sepedaan di luar 🤣"
linggaralfi,2020-06-14 08:38:31,@HepyRestu_ Pasar entho hep wkwkwk
linggaralfi,2020-06-14 08:38:07,@dewiashita_ Kuy besok nongkrong awokwowkok
linggaralfi,2020-06-14 07:47:57,@dewiashita_ Cuy posisi
linggaralfi,2020-06-14 04:54:35,"@ohmybeautybank Tapi bleaching nya tetep pake cultusia, gmn dong wqwq"
linggaralfi,2020-06-14 04:53:32,"@ohmybeautybank Apa cuma aku yg malah disuruh ortu warnain rambut. Dan jangan pake merk miranda / cultusia katanya, semakin murah semakin permanen warnanya semakin rambut gampang rusak / ubanan katanya :'))"
linggaralfi,2020-06-13 23:27:55,@faradibayuniar Nyoh 🎈🎈 🎈
linggaralfi,2020-06-13 17:03:24,one person unfollowed me // automatically checked by https://t.co/6K7vUr5Hac
linggaralfi,2020-06-13 12:15:02,@faradibayuniar @nitakdw Siwarak mana si?
linggaralfi,2020-06-13 12:01:51,@roynaldodicky Mantan calon pacar? 😶
linggaralfi,2020-06-13 11:25:41,@faradibayuniar Before after bole ni wqwq
linggaralfi,2020-06-13 11:20:29,"@nitakdw Gatau gatau, aku menyerah"
linggaralfi,2020-06-13 11:17:30,@nitakdw Kok merasa tida asing ya...
linggaralfi,2020-06-13 11:16:28,@faradibayuniar Gimana rambut u? Jadi? Wqwq
linggaralfi,2020-06-13 11:16:03,"@azkacahayaasia Tawar harga tertinggi, langsung ambil awokwowkok"
linggaralfi,2020-06-13 05:51:24,Korakora https://t.co/ZbDkAC6Tvf
linggaralfi,2020-06-12 11:34:27,"@lakzmana_raden Masyaallah tabarakallah, jadi hutan negara kita gus"
linggaralfi,2020-06-11 15:12:02,@afiromzitama Akhirnya rasa penasaran ttg outfit mb tay di cover ini sudah terjawab :')
linggaralfi,2020-06-11 15:09:59,"@dewiashita_ Dih sama anjay, menang mager nya daripada kangen nya"
linggaralfi,2020-06-11 14:02:35,@roynaldodicky @faradibayuniar Ini beneran terjadi btw
linggaralfi,2020-06-11 14:01:22,@FarickSka Salahe mancing 🤣
linggaralfi,2020-06-11 13:58:59,@FarickSka Sekali kali nyoba seng murah to kang haha
linggaralfi,2020-06-11 13:57:45,@faradibayuniar Terus tbtb kamu menghampiri ku bersama mantanmu...
linggaralfi,2020-06-11 13:57:17,@Yeolieloey_ Pengen sih..
linggaralfi,2020-06-11 13:02:45,Pengen nasgor nya solaria karena makanan paling murah di menu solaria 😶
linggaralfi,2020-06-11 13:01:30,"Ada orang yg kemarin kemarin jalan jalan terus, sekarang dia punya gejala positif. Mau tanya udah tes apa belum kok ya ngga enak ya.."
linggaralfi,2020-06-11 10:33:31,@Yeolieloey_ Sini tak share https://t.co/qWhAQ6a8yh
linggaralfi,2020-06-11 09:52:55,@isfauz_ @faradibayuniar Imut bener namanya :')
linggaralfi,2020-06-11 09:52:00,"@ToharChNisa Hilih, neng omah ono sego padahal"
linggaralfi,2020-06-11 09:51:07,@Fitrihand1998 Gugling aja ya :'
linggaralfi,2020-06-11 09:45:48,"@isfauz_ @faradibayuniar Berarti ada penglarisnya, kata orang jawa"
linggaralfi,2020-06-10 22:32:47,one person followed me // automatically checked by https://t.co/6K7vUr5Hac
linggaralfi,2020-06-10 14:48:22,Terlanjur pw di rumah terus :')
linggaralfi,2020-06-10 14:47:05,@firdass Tapi kan.....
linggaralfi,2020-06-10 14:46:52,@NindyaVC Tak kiro vionita seng podo jebul tonggone :') wkwk
linggaralfi,2020-06-10 11:48:42,"Punya adik pinter banget bagi duit. Jualan masker, untungnya ga seberapa langsung abis buat beli tahu gimbal sama es campur 😪"
linggaralfi,2020-06-10 00:03:06,"@Prambors Dompet ketinggalan di tempat makan, padahal abis itu mau ke luar kota. Ingetnya pas udah mau sampe :')"
linggaralfi,2020-06-09 14:32:01,@Yeolieloey_ Yah ga tau :( pelosok ya hyung? :((
linggaralfi,2020-06-09 14:30:38,@Yeolieloey_ Alfamart deket dom smg apa Demak hyung?
