username,created_at,text
NadyaUlfahN,2020-06-17 12:19:20,"Tampang mu sangar, tapi ternyata hati mu rapuh ~"
NadyaUlfahN,2020-06-17 12:00:17,"@molindamris Nah ini beda kasus berarti yo mo? Kalo siswa ibu aku tu sebenarnyo biso ngerjoi tugas, emang cuma karena maleh be"
NadyaUlfahN,2020-06-17 11:23:13,"Ibu gw juga sering dibikin kesel sama siswa nya selama WFH ini. Ada siswa2 yang jarang ngumpulin tugas, padahal dari keluarga mampu. https://t.co/eC12m2QLnn"
NadyaUlfahN,2020-06-17 07:26:05,Iya nih minZ wkwkwk https://t.co/DgxEIrKAz9
NadyaUlfahN,2020-06-17 06:02:26,@WadaNiswah @zapfinance Tuul
NadyaUlfahN,2020-06-17 06:02:15,@Lindazaria Coba aja dikepoin lin IG nta wkwkkw
NadyaUlfahN,2020-06-17 04:23:05,Keren kan... Buat yang penghasilannya belum segitu (kayak gw) juga bisa nyesuain alokasi nya. Sejauh ini kayaknya Zap Finance lebih aktif di IG https://t.co/NLVISz0q1m https://t.co/Oi3U8JJYXy
NadyaUlfahN,2020-06-17 04:19:27,"Kalo buat perencanaan keuangan gw lebih relate sama @zapfinance , karena lebih realistis. Pernah lihat di YouTube nya juga ada tips hemat buat anak kosan."
NadyaUlfahN,2020-06-17 00:57:47,"Apa tida eneg ya wkwkwk Ini kalo mulai nya jam 8 pagi, berarti selesai nya jam 9 malam dong 😂 https://t.co/DVago5rmrg"
NadyaUlfahN,2020-06-16 14:34:09,"@Maryazizahhh Aku emang gak ngira kalo kamu nge-fans sih, maksud aku di sini netizen nya yang nge-fans. Orang banyak yang tertarik sama profilnya dia, sedangkan aku dari awal emang heran aja kenapa banyak yang suka. Begitchu"
NadyaUlfahN,2020-06-16 14:31:42,@Maryazizahhh Okaay
NadyaUlfahN,2020-06-16 14:07:58,"@Maryazizahhh Gitu ya, aku belum bisa relate karena dari awal muncul dah ngerasa kurang cocok dan menarik buat aku simak wkwkwk. Yha aku emang rada susah nge-fans dan kagum juga sih sama seseorang/sesuatu."
NadyaUlfahN,2020-06-16 14:02:35,@Maryazizahhh Sangat mudah diterka kan ya wkwkwk
NadyaUlfahN,2020-06-16 13:38:07,"Gw juga kadang masih nanya ke diri sendiri, gw ini udah bersosmed dengan baik dan sopan lom ya? Ada gak ternyata postingan gw yang lebih mengarah ke bullying dibandingkan kritik? Hah https://t.co/UZDxlCUZWU"
NadyaUlfahN,2020-06-16 13:30:55,"Netizen, di sisi lain tampil sebagai juri atau penikmat. Sangat cepat memviralkan sesuatu, entah itu prestasi atau kesalahan. Sedihnya, banyak yang belum bisa membedakan kritik dan bullying. Lalu ketika masalah yang dibahas semakin melebar, bullying bisa semakin tidak terkontrol."
NadyaUlfahN,2020-06-16 13:30:55,"Menarik juga sih fenomena nge-fans lalu nge-hate ini. Akhir2 ini sering kejadian. Influencer2 berusaha menampilkan imaji yang edgy, kekinian, dan bisa jadi teladan. Tapi ternyata sekedar jadi usaha buat di depan layar, tanpa memperbaiki diri betulan."
NadyaUlfahN,2020-06-16 13:30:54,"Biasanya dokter tu care, ilmiah, dan sopan kalo ngejelasin sesuatu. Sementara jawabannya dia gak mencerminkan itu. Tapi banyak netizen yg seneng dan muji2. Sekarang keadaannya malah sebaiknya."
NadyaUlfahN,2020-06-16 13:30:54,"Pas awal2 dokter itu dipuji2 netizen, gw iseng baca reply2 dia di thread QnA yg dia bikin. Dari situ ngerasa aneh sih, beda banget sikap dia dengan teman2 dokter gw, atau dokter2 lain yg terkenal baik di sosmed."
NadyaUlfahN,2020-06-16 13:10:26,@sour_grapefruit Pink Poetih
NadyaUlfahN,2020-06-16 04:47:41,@1002himawari @GiaPratamaMD Iya wkwkwk
NadyaUlfahN,2020-06-16 03:34:48,@ahmadjunaay @GiaPratamaMD Paham bener nih roman2 nya saudagar Quraisy
NadyaUlfahN,2020-06-16 01:45:32,"@GiaPratamaMD Cewek tu harus bener2 liat2 dulu, pegang2, cocok dan nyaman gak kira2 bahan dan model nya. Kalo dah bener2 yakin, baru dibeli"
NadyaUlfahN,2020-06-16 01:43:48,"@GiaPratamaMD Pernah baca, kalo laki2 itu cenderung gak ambil pusing sama jenis celana nya. Jadi apa aja asal bisa dipake, bakal diambil. Sedangkan kalo cewek biasanya lebih selektif dan beda2 keinginan nya"
NadyaUlfahN,2020-06-15 14:24:53,@txtdaripns @ramandika_hanif @Vitataferia @fadhilhafizh_ Ini cuy jawabannya https://t.co/OwAHPPuNF1
NadyaUlfahN,2020-06-15 14:23:42,Ini menarik dan banyak yang belum tahu 👍 https://t.co/OwAHPPuNF1
NadyaUlfahN,2020-06-15 14:20:03,@Zeppelinego @ramandika_hanif @Vitataferia @fadhilhafizh_ Semoga menjawab https://t.co/OwAHPPuNF1
NadyaUlfahN,2020-06-15 13:21:47,@Akari_Sadako Entah ya wkwkwk
NadyaUlfahN,2020-06-15 13:02:07,Tetiba muncul di beranda YouTube. Ngakak banget saking poin2 nya bener. Yaah dibongkar semua 😂 https://t.co/wf0oSSLVOX https://t.co/7LR6JNFsyS
NadyaUlfahN,2020-06-15 07:58:47,Ini apa sih 😂 https://t.co/aGoU7AP1uB
NadyaUlfahN,2020-06-15 07:53:27,"Ternyata udah pernah ada ya fenomena kayak gini dari dulu. Cuma beda di timing dan orang nya aja. Tapi kita beruntung, karena bisa meneladani sebaik-baik sikap yang Rasulullah tampilkan, dalam menghadapi kejadian tsb."
NadyaUlfahN,2020-06-15 07:53:27,"Macam2 usulannya : Orang gila, pendusta, yang tercela, tukang sihir. Padahal sebelum Rasul diutus dan menyampaikan kebenaran, apa julukan yang mereka berikan? Al-Amin (yang dipercaya). Mereka bahkan menasehati anak mereka supaya mencontoh Rasul."
NadyaUlfahN,2020-06-15 07:53:26,"Dulu, bangsawan2 Quraisy Mekkah pernah mengadakan rapat yang membahas cara untuk melawan Rasulullah. Salah satunya adalah memberikan julukan yang kurang baik, sehingga orang2 ilfeel dan ngejauhin Rasulullah."
NadyaUlfahN,2020-06-15 01:06:42,Mayan praktis buat gantiin desinfektan yang mahal https://t.co/VtzHRzVkGn
NadyaUlfahN,2020-06-15 01:04:09,@Akari_Sadako Oalah yang ono wkwkwk
NadyaUlfahN,2020-06-14 23:43:02,@Akari_Sadako VN apa tuch qaqa?
NadyaUlfahN,2020-06-14 11:34:11,"HAHAHAHAHA Sebenarnya heran juga kenapa ada aja yang curhat. Apa tida melihat kehidupan ku yang kurang relate? Kenapa mau2 nya cerita ke manusia amatir dari yang amatir? Wkwkwk Tapi sisi asyiknya, jadi bisa belajar tanpa harus mengalami masalah yang sama 😂 Tengs ya kawan quw https://t.co/FWgFiqQmkU"
NadyaUlfahN,2020-06-14 11:00:44,... https://t.co/UDcCJYuv0q
NadyaUlfahN,2020-06-13 14:03:10,@ridwanhr Nitip https://t.co/w7lCiRJjYS
NadyaUlfahN,2020-06-13 02:29:01,Tuyul kekinian https://t.co/0bO7zPX6fa
NadyaUlfahN,2020-06-13 01:43:04,@trwhyn Iyoo tews ku toenggoeeee
NadyaUlfahN,2020-06-12 21:48:13,@trwhyn Aku di Jakarta tewss. Kapan2 ke Jakarta lagi kabar2in eaa
NadyaUlfahN,2020-06-12 16:56:29,I don't know why I suddenly cry reading this. Semoga keikhlasan dan kesabaran Bapak jadi amal sholeh di hadapan Allah. https://t.co/7Mvxa0MKz8
NadyaUlfahN,2020-06-12 14:35:22,"Gw baru ingat pas SMP pernah susah tidur gara2 takut, pas abis baca kasus yang serem."
NadyaUlfahN,2020-06-12 14:31:28,Ngelihat si Kudo ini keliaran jadi kangen teman seperkomikan dulu. https://t.co/9r4JkcFEp1
NadyaUlfahN,2020-06-12 05:36:55,@ahmadjunaay Betuls
NadyaUlfahN,2020-06-12 04:56:36,@Maryazizahhh Membahas konstipasi dunia wkwkwk
NadyaUlfahN,2020-06-12 04:50:17,@Maryazizahhh Kita syudah tua wkwkwk
NadyaUlfahN,2020-06-12 04:45:51,"Bilakah esok, datang kembali Bermain, berlari, bersama aku Datanglah Bidadari Ku ingin kau temani diriku slalu~ https://t.co/nRqIhmFlLp"
NadyaUlfahN,2020-06-12 04:39:58,Me to myself https://t.co/mAo23IcoOO
NadyaUlfahN,2020-06-12 03:21:18,@trwhyn Waw kok aku takut yaa mendengar nyaa. Kau dimano tewww? Huhuhu kangen euy udah ratusan purnama 😭
NadyaUlfahN,2020-06-12 03:10:04,@HendraGW https://t.co/EDOhPcG8Q7
NadyaUlfahN,2020-06-11 15:46:27,"Ya ampun Shinichi, apa kabarmu sekarang? Maaf selama ini sudah meninggalkan. Tapi sekarang, aku emang belum tertarik baca lagi sih heuheu. https://t.co/m5nZev9KAI"
NadyaUlfahN,2020-06-11 06:42:12,"Anak ini diceritain Ibu kalo last seen WA kakaknya kemarin sore. Dia telepon pagi2, tapi gak diangkat. Dia bilang, dia merasa kehilangan, takut ada apa2. Sa ae dah bocah (btw berasa keren kali ya pose kek gitu) https://t.co/T64DpWAPRp"
NadyaUlfahN,2020-06-10 10:54:01,@molindamris Merayu pakde bengkel saja tida mempan apalagi merayu ku
