username,created_at,text
Prialitaf,2020-06-17 11:53:31,"@shbrnaanis Iyak nis kayanya yang suka nongol di search gw, gw kira itu film hollywood karna judulnya Amar wkwk"
Prialitaf,2020-06-17 11:51:47,"@robiatuladwyah_ Wkwkwk coba dulu wi, yang mellow2 terus petikannya enak"
Prialitaf,2020-06-17 11:34:11,"Percakapan semalem A: eh hollywood juga seru fi F: apa nis? Amar? A: amar w udh pernah nonton dulu di lk21 F: terus apa nis yang seru film hollywood? A: ih judulnya Hollywood (?) F: oh judulnya hollywood, w kira film hollywood wkwk . Beneran gatau ada film judulnya Hollywood 🤣 https://t.co/IHunfoTjoh"
Prialitaf,2020-06-17 11:21:47,@avidazr Yeay 💯 buat bu dokter
Prialitaf,2020-06-17 10:13:14,"Katanya mimpiku kan terwujud, mereka lupa tentang mimpi buruk. -rumpang"
Prialitaf,2020-06-17 03:29:15,@imtiyazfwd Cocok banget jadi muridnya tayas
Prialitaf,2020-06-16 18:43:38,@widiaasst Kalo yang beningnya juga ternyata selalu ada ya checkmate 😭
Prialitaf,2020-06-16 18:36:44,"Pasti ada nih diantara sebulan 1 malem yg bener2 gabisa tidur, terus bukannya berusaha tidur eh malah buka hp, dan ngetwit nyalahin kopi yang diminum tadi, padahal setiap hari juga minum kopi, emang dasar aku."
Prialitaf,2020-06-16 16:47:37,@widiaasst Pernyataan terakhir wkwkwkwk
Prialitaf,2020-06-16 16:36:38,@widiaasst CHECKMATE!!!
Prialitaf,2020-06-16 16:34:44,@robiatuladwyah_ Loh kenapa wi? Cover lagu2nya banda neira coba wiii
Prialitaf,2020-06-16 16:32:44,"@widiaasst Aku gatau karna aku bukan cowo, tapi pengen komen"
Prialitaf,2020-06-16 15:02:45,"@K_DramaIndo Sekali2 didubbing seru sih, kalo udah nonton yang aslinya gapapa, pas nonton yang dubbing buat menikmati visualnya apalagi ada jong suk ama suzy 😍"
Prialitaf,2020-06-16 12:35:29,@drawanorange @ntsana_ wkwkwk managernya sudah sangat mengerti tsana sekali
Prialitaf,2020-06-15 16:06:11,"@elenamarliani @aaddiinnii @Allenss_ Kaya vokalisnya yang nyanyi ""o o kamu ketauan"""
Prialitaf,2020-06-15 16:05:27,"@mpaa__ Baiqlah qaqa, lets go tahun depan, kalo emg tahun ini belum reda 😂"
Prialitaf,2020-06-15 16:03:54,@widiaasst @jiemiardian Yasudah wes di renungkan dulu biar paham
Prialitaf,2020-06-15 15:57:45,@jiemiardian @widiaasst
Prialitaf,2020-06-15 11:48:14,"@aristaambar Anjay, checkmate"
Prialitaf,2020-06-15 11:47:48,"@mpaa__ Aaaammiin, ditabung yaa jangan buat beli shopee atau skinker terus wkwkwk"
Prialitaf,2020-06-15 10:04:15,"Kenapa susah banget rasanya mau move on dari series favorit tuh, udah nyoba langsung nonton yang lain tapi ttp gabisa, pokonya harus diulang terus sampe gumoh sendiri, terlalu jatuh cinta sama karakternya sampe ga rela buat langsung ninggalin :"""""""
Prialitaf,2020-06-15 09:56:51,"@ines_setiawati Iya nes, pernah baca kalo orang luar kan mager baca sub gitu, jadi didubbing biar gausa baca wkwk"
Prialitaf,2020-06-15 09:55:54,"@widiaasst Gaaak, selowww wkwk"
Prialitaf,2020-06-15 09:19:11,"@aaddiinnii @Allenss_ @elenamarliani Gantengsi, tapi ga mirip ahhh wkwk"
Prialitaf,2020-06-15 04:54:39,@anna_lathifa Ngelamar gih luuu
Prialitaf,2020-06-15 02:18:27,@widiaasst Dufan yak nanti
Prialitaf,2020-06-14 16:48:28,@kdrama_menfess So ji sub hehe
Prialitaf,2020-06-14 13:45:51,@RecehEverywhere Wi enak bener nih teriak kek gini wkwk @widiaasst
Prialitaf,2020-06-14 12:17:17,@heyawanis Iyaknih udah diubah
Prialitaf,2020-06-14 12:14:58,"@ines_setiawati Di netflix nes, dubbingnya inggris sihh bukan indo"
Prialitaf,2020-06-14 11:48:09,"Nonton extracurricular di dubbing tuh rasanya kok aneh, mending suara asli aja hft"
