username,created_at,text
sekarumn,2020-06-17 11:33:01,A day practicing line art. Ashley and Triz on the pic!🤍 https://t.co/dxor5pqVoZ
sekarumn,2020-06-17 08:44:43,It struggles me a lot between working silently as anonymous or share it to other as my own personal name?
sekarumn,2020-06-17 07:53:00,@NamiraKhansa_ @meydearp @annuraat Yaallah wkwkwk visualiasinya andang sangat tergambar diotak ya pas nonton ekwkwk
sekarumn,2020-06-17 05:30:06,Tanah abang / mayestik / pasbar udh buka blm si? 🙃
sekarumn,2020-06-17 02:12:10,@repiasss Undangan pernikahan kucing2ku kah?
sekarumn,2020-06-17 00:27:45,"Yang lain udh pd bahas anak bayi, hamil, lahiran, produk yg bagus buat buah kasihnya.. Gue kalo rumpi masih bahas kucing, anak2 kucing, produk makanan yg terbagus apa, obat2annya apa, jenisnya apa, skrg kucingnya udah bisa ngancurin barang apa... hmmm"
sekarumn,2020-06-16 12:33:44,Perasaan kemaren saya sbg mba Sekar cuma ngurusin persalinan bayi kucing... https://t.co/ynkKVha66Y
sekarumn,2020-06-16 12:13:18,Tadi pulang ke rumah kaya liat benda langit jalan menurun cepet bgt gt sekejap
sekarumn,2020-06-16 11:13:21,@sedangemosi Biruu
sekarumn,2020-06-16 10:29:39,@meydearp @nattchew @NamiraKhansa_ Wkwkwk all hail to pinterest and google
sekarumn,2020-06-16 10:23:30,"Ada yg posting penggalan surat2 di alquran terkait menggambar menyerupai makhluk hidup, berpakaian yang menyerupai lawan jenis, pasti ni grgr posting kmrn :( iyasi tersirat doi postingnya, huhu kena adzab apa kali gue ya 🥺😭"
sekarumn,2020-06-16 04:28:10,@nattchew @NamiraKhansa_ @meydearp Hooo ginii wkwk pedang gue dapetnya bantet https://t.co/u2J4564YeM
sekarumn,2020-06-16 03:50:09,@NamiraKhansa_ @meydearp Mooikutaan gimana caranyaaa wkkw
sekarumn,2020-06-15 14:05:48,@salpriadi_ Kirain @dikardi emg lg mau nyulap 😭
sekarumn,2020-06-15 08:37:33,Aku punya sayap https://t.co/r2lqTkN7H9
sekarumn,2020-06-15 08:15:06,"@sindesinner 7,5 wkwk"
sekarumn,2020-06-14 16:06:07,Masakan aku enak enak bgt yaAllah 😭❤️
sekarumn,2020-06-14 15:37:08,@adittlagi Wahh hehe kereeeen kerasa bangganya pasti investasi perlengkapan hasil jerih payah sendirii 💪👍
sekarumn,2020-06-14 13:09:35,@Ainiarhmh @snflwrgrrl @IcaaaKNS Harusnya kmrn lo gue bawain sapu lidi ya Mah bukan pajangan
sekarumn,2020-06-14 13:08:38,@adittlagi Ucedd canggih benerr cpunya😲
sekarumn,2020-06-14 12:51:50,"Bahagia bgt dgr kabar tetangga yg smp skrg blm diamanahkan seorang anak, akhirnya memutuskan miara kucing 🥺🥰 tiap kl ketemu bapaknya aku lg dalam sikon manggil2 Kimi “kimi-kimi, puspuspus, anakku-anakku” sambil basa basi sm bapaknya bahas kucing mgkn sdkt menginspirasi kaliya🥺"
sekarumn,2020-06-14 10:50:40,Oh ada twitternya 🙏
sekarumn,2020-06-14 10:49:57,"Reading @anakjugamanusia on their instagram feeds.... i’ve never thought that people could make words really deep, true and relateable. I meant, jarang bgt org yg menulis dengan topik keluarga se-benar dan se-jujur itu. I cried everytime their posts pop up on my timeline."
sekarumn,2020-06-14 07:16:10,Resting bicccccc face by Kimi #vogue #voguechallange @animalfess2 @voguemagazine @BritishVogue @VogueParis https://t.co/tB2LaifP5g
sekarumn,2020-06-14 05:56:49,@Innosensius_ @moulanism @txtanakfesbuk Wow i feel dat 😭
sekarumn,2020-06-14 04:40:21,@nurikasetya @nadtorus Ehiyakkk? Sumpahh guaa jugaaaaaaa yaallahh 😂
sekarumn,2020-06-13 12:30:06,Susah gasi main kalimba bagi yg gapernah main piano?
sekarumn,2020-06-13 12:11:46,Jajan di amazon rasanya kurang nyaman sama ux nyaa kalo dibandingin tokoped/shopee. Lebih bagus sama nyaman shopee/tokoped .-.
sekarumn,2020-06-13 09:58:32,@zkdjln @DraftAnakIPB Kepikiran itu jg 😭😂
