username,created_at,text
abcdenjiii,2020-06-17 00:33:10,@_asprasetyo @Um_45ya sawo matang🤣🤣🤣
abcdenjiii,2020-06-16 16:35:13,@Um_45ya yaampun sawo hahaa
abcdenjiii,2020-06-16 13:31:37,@gustianarii semangaaat ari. jangan lupa bersyukuur💃
abcdenjiii,2020-06-15 12:13:19,aku ngekek aja liat ini 🤣🤣🤣 @AgungGinanjarK https://t.co/Kdw63wILQ2 https://t.co/WLkYAhPFm6
abcdenjiii,2020-06-15 09:20:24,@_asprasetyo @Um_45ya iya wkwkwkw
abcdenjiii,2020-06-15 05:20:23,@ShopeeID 1. Beli Buku 2. Beli Skincare 3. Beli Outfit
abcdenjiii,2020-06-14 14:35:09,🤣🤣 https://t.co/nrjzu78PRD
abcdenjiii,2020-06-14 14:32:41,@Um_45ya nggajadi deh kak
abcdenjiii,2020-06-14 11:31:31,@Um_45ya ngga dapet free ongkir nih?
abcdenjiii,2020-06-14 11:23:59,@2020akukayaraya @ohmybeautybank ini berapa kak
abcdenjiii,2020-06-14 11:19:58,@Um_45ya kirim ke mandirancan dong sis
abcdenjiii,2020-06-14 00:01:01,adalagi yang baru dongg @Um_45ya haha https://t.co/ijZEcpYrBY
abcdenjiii,2020-06-13 23:49:45,@Um_45ya al fatihah
abcdenjiii,2020-06-13 11:24:02,@nikkoilham yang mengandung biru cuma foto dua inii haha #shotbyphone https://t.co/0YAh8Vzn1f
abcdenjiii,2020-06-13 10:22:25,@Um_45ya pake telepati
abcdenjiii,2020-06-13 10:15:13,"@Um_45ya bikin donat. bikin nastar. bikin roti. bikin bapau. bikin bikin bikin tapi aku yakin bikin nya mah ngga jadi, malah sibuk webtoon🤣🤣"
abcdenjiii,2020-06-13 01:16:36,diprank🤣🤣 https://t.co/viijE6qmzg
abcdenjiii,2020-06-12 14:54:39,@4589yya dulmin emang paling cocok hahaa
abcdenjiii,2020-06-12 14:38:47,@4589yya iyaakk maemun
abcdenjiii,2020-06-12 14:37:00,@diendasx cek cokk
abcdenjiii,2020-06-12 14:36:48,@4589yya sinii sinii
abcdenjiii,2020-06-12 14:36:32,done kak. semoga lancar lancar yaa penelitiannyaa^^ https://t.co/rFVJNObTgW
abcdenjiii,2020-06-12 14:31:58,sedih akutuuu https://t.co/B2KggsvTyH
abcdenjiii,2020-06-12 12:17:21,@diendasx mandirancan ngga gini btw hhh
abcdenjiii,2020-06-12 11:36:52,"@Um_45ya emang iyaa lampu, kata siapa lilin-_-"
abcdenjiii,2020-06-12 11:25:56,senja yang kemaleman ges~~~ https://t.co/hbugtBV6qC
abcdenjiii,2020-06-12 11:24:36,@YuliaWafa receh kebangetan emang🤣🤣
abcdenjiii,2020-06-12 08:26:25,🤣 https://t.co/kjPRAJccS3
abcdenjiii,2020-06-10 14:38:51,@Um_45ya drakor terus
abcdenjiii,2020-06-09 06:49:41,@Um_45ya tapi emang enaak ko
abcdenjiii,2020-06-09 05:41:15,@Um_45ya bagus buat kulit hahaha
abcdenjiii,2020-06-09 04:41:45,jengkooool. enak peteuuy! 🤤 https://t.co/3XFMgJVJnV
abcdenjiii,2020-06-09 04:00:21,🤣🤣🤣 https://t.co/YwF0PybY38
abcdenjiii,2020-06-09 02:35:53,@NursyechaNurul @Um_45ya @_raraland yekan pejuang giveaway tapi ngapernah dapet giveaway wkkwkwkww
abcdenjiii,2020-06-09 02:35:33,yaampun temen aku juga pernah beli outer nya thenblank wkwkw cc: @thenblank https://t.co/3wkkCsnPPn
abcdenjiii,2020-06-09 01:49:47,@Um_45ya @NursyechaNurul @_raraland
abcdenjiii,2020-06-09 01:49:47,"akuu pengen casual shirt, taper pants, basic cardigan, tartan shirt yaaampun aku mau semua tapi belum ada dana hahaha. belanja di thenblank jadi kecanduan terus karena emang bagus, pokoknya worth it buat dipake kuliah ngantor hangout👌 gimana nih min tanggung jawab🤣 https://t.co/TUei7EDF45"
