username,created_at,text
adityandr,2020-06-15 08:52:23,@subtanyarl @AnastPdk jelas ultra milk 😋
adityandr,2020-06-09 13:23:43,@AnastPdk Musiman ea 😂
adityandr,2020-06-04 05:51:23,Honeymoon yg gak jauh2 @AnastPdk 😂 https://t.co/AKZKoFwcbl
adityandr,2020-05-29 13:56:36,Minum teh biar gak ngantuk 🥱 https://t.co/DhJOQj2bJs
adityandr,2020-05-27 12:07:05,@AnastPdk Mas 😂😂😂👍
adityandr,2020-05-20 12:10:49,@AnastPdk Enggak yaa 🙈
adityandr,2020-05-20 11:38:35,@AnastPdk Kae syapa hayo
adityandr,2020-03-31 02:01:22,@AnastPdk Sayangi aku yang paling utama :))))
adityandr,2020-03-26 09:51:26,Tida bole panicccccccccccc
adityandr,2020-03-24 22:37:09,@AnastPdk Aaamiiin 🤩
adityandr,2020-03-24 05:21:20,@AnastPdk Cemangat 🤩
adityandr,2020-03-17 23:36:20,@Madhagaskar @dianpff Ndakra iritasi kulite mad nek alkohol tok
adityandr,2020-03-17 12:06:32,@Madhagaskar @dianpff Malah alkohol 😭 aku pesen neng koncoku hand sanitizer 1L 200rb maddd rasah mumet le nggawe2
adityandr,2020-03-17 12:05:17,@dianpff Murmer lgsg beli aku kalo segitu 😂
adityandr,2020-03-17 11:18:19,"@dianpff Mending laaaa itu, tadi nemu 1nya 7500 dan cuma boleh beli 1 bijiiiiii sedih"
adityandr,2020-03-17 06:04:59,@dianpff Cari di mgl malah belom nemu2 😭
adityandr,2020-03-17 05:59:02,@dianpff Kamu beli maskernya ga nduutttt
adityandr,2020-03-09 07:26:30,@AnastPdk @BerburuSale Mauuuu😂
adityandr,2020-03-09 05:21:19,@BerburuSale @AnastPdk massssss
adityandr,2020-03-03 06:04:22,Koyok meh ajurrrrrrrrr🤯
adityandr,2020-02-28 13:11:07,@AnastPdk Beatnya gak bolong gitu jd aman 🧚‍♀️
adityandr,2020-02-28 13:01:13,@AnastPdk Ulernya ngumpet di tangki bensin 😋
adityandr,2020-02-22 02:45:08,@AnastPdk Gak kawanen tu gak kesusu gak telat juga
adityandr,2020-02-22 01:43:00,@AnastPdk See?
