username,created_at,text
afidazkyy,2020-06-15 03:44:19,"Yo ayooo yg mainan shopee, mau yg tanam candy poly dan saudara2nya, mari bersatu untuk mendapatkan klaim kupon hadiah wkwk. Tinggal klik doang ko ngga repot :') https://t.co/SQARaNTTxh"
afidazkyy,2020-06-14 12:39:14,@ViviRacmdk Sungkem ah sama senior :)
afidazkyy,2020-06-13 23:30:41,Finallyyy menemukan cara makan oatmeal yang ngga bikin eneg 😭 campurin pisang sama yakult
afidazkyy,2020-06-11 04:25:04,Kenapa ya bangun motivasi olahraga kok susah bgt? Lebih susah drpd mempertahankan dia yg nggatau gimana dan dimana wujudnya :')
afidazkyy,2020-06-11 04:23:07,Dompetku meronta ronta :') https://t.co/j2XdYjL5qp
afidazkyy,2020-06-10 12:24:26,Ikhtiar Pengen sehat harus sabar dan konsisten :)
afidazkyy,2020-06-10 03:10:06,🤣🤣🤣 https://t.co/kvVi7kEbBe
afidazkyy,2020-06-08 11:46:58,Mundak akeh :') https://t.co/qVvMjbcAu2
afidazkyy,2020-06-08 11:32:16,"Iyo he, semacam ""ini nilai hiburan untuk mahasiswa"" 👉👈 https://t.co/rr9VTSK8fp"
afidazkyy,2020-06-08 06:22:21,"@Zahsyalala__ Konsul sembarang kalir onlen, nggawe https://t.co/TRC44gJO30 🤣 untung sinyalku sek mayan apik :')"
afidazkyy,2020-06-06 14:52:49,@mlgcollegefess Mauu
afidazkyy,2020-06-06 14:28:46,"Ada yang baru di channel yutubnya Afidatuz Zakiya, hehe. Lumayan biar pidio nya ngga ilang ilang. InsyaAllah kedepannya akan nambah terus konten2 utamanya sholawatan 😍 Monggo, kalau kata yutuber2 terkenal, ""subscribe itu gratis loh gaes"" 🤣🤣 https://t.co/9HKp8Tf7Y1 https://t.co/sTujqotpNB"
afidazkyy,2020-06-04 15:54:24,"@dapurrazwa Pengen masker yg matcha atau charcoal, pengen bukunya kang arif rahman lubis jugaaaa😭 Aku dom Malang https://t.co/dNcs8QebJp"
afidazkyy,2020-06-04 15:40:09,Kenapa nge-halu bisa se nikmat ini 😭 Tapi tapi tapi akhirnya sadar diri kalau itu cuma 'halu'
afidazkyy,2020-06-03 16:33:05,Retweet dulu. Persiapan kalau2 jadi kuliah masuk tatap muka https://t.co/KRqkTQae07
afidazkyy,2020-06-03 16:18:02,@dayatpiliang Tulisannya dalu. Bacanya beda2، ada yg dalu ada yg ndalu
afidazkyy,2020-06-03 15:52:13,@dayatpiliang Wes bengi ndang turu kono 😂
afidazkyy,2020-06-03 11:48:53,Uendel uendel 🤣 https://t.co/KCXyb0IsKV
afidazkyy,2020-06-02 13:14:14,Ngakak woi 😭 https://t.co/xIyxooRkCh
afidazkyy,2020-06-02 11:02:47,"@mypiink_ Ikut ah, dom Malang 😅 Biar pernah maskeran gitu gituan 🤣"
afidazkyy,2020-06-02 08:04:32,Baca baca thread diet sambil makan indomie geprek plus telur. Mantap
afidazkyy,2020-06-02 06:58:48,"@dwihandaanda Hampir sama ka uwik. Tapi kalau aku pengalaman pulang malem gara2 kuliah hehe. Soalnya waktu itu PP dari pondok ke kampus naik angkot kurleb 1,5 jam kalau lalulintas lancar. Pernah luliah sampe maghrib, nungguin angkot lama, sampe pondok hampir jam 9 malem :')"
afidazkyy,2020-06-02 02:54:41,"@Zahsyalala__ Lo lo hayoooo 😂 Tapi jare sek ndelok keputusan e masuk sekolah sek. Lek sekolah masuk ya pkl kyk biasa, lek onlen ya dewe2 ngunuku paling."
afidazkyy,2020-06-02 02:39:14,@Zahsyalala__ Golek guru pamong dewe ngunu a yo paling
afidazkyy,2020-06-02 02:28:01,@Zahsyalala__ Pkl onlen🤣 Sekolah e sek durung buka
afidazkyy,2020-06-01 15:11:21,🙂 https://t.co/sEiX55dArx
afidazkyy,2020-06-01 10:36:30,"Lagi seneng seneng nya mainan shoppe. Tanam, candy, dll. Yok ah main bareng biar nambah nyawa. Tinggal klik klik. https://t.co/9nwBfSlZnB"
afidazkyy,2020-05-31 16:17:28,@BambangYoga6 Nogosari berkostum lepet
afidazkyy,2020-05-30 16:11:39,Bwener🤣 https://t.co/Go9t3NxkW8
afidazkyy,2020-05-29 03:41:24,"@moshirams @GAME_REFF Sudaaaah, panen"
afidazkyy,2020-05-23 13:55:48,Ayo talah rek ojo pengkuh pengkuh dadi wong 😭😭😭 https://t.co/HKxggu4aIu
afidazkyy,2020-05-18 09:06:30,Rejeki dr gusti Allah emang ngga pernah salah tempat :')
afidazkyy,2020-05-10 21:38:31,Oala wes hijrah ta https://t.co/rLI3muDjY3
afidazkyy,2020-05-07 13:53:04,@pappp99 Boceen terooss
afidazkyy,2020-05-07 00:28:13,Ngga cuma aku kan yang bikin grup whatsapp isinya diri sendiri buat bikin catatan penting😂 https://t.co/2P4Taw3z01
afidazkyy,2020-05-04 01:10:13,@FOODFESS2 Tergantung yang lagi diskon yang mana #TimDiskon
afidazkyy,2020-05-01 05:03:32,Sesi kilat https://t.co/HYamaIbxc0
afidazkyy,2020-04-30 00:17:32,Tabunganku wes nipis pol polan lo pak gaono pemasukan. Kate njaluk terus terusan i yo sakno wong tuo. Ealah pak pak sek ntas seneng kate di korting padahal 😭 mosok kalah karo shopee akeh diskonan🤭 https://t.co/kTbsoy7TRR
afidazkyy,2020-04-29 14:27:40,Ayo siram menyiram shopee tanam 😚 https://t.co/4yOFqPgKtT
afidazkyy,2020-04-20 15:10:29,Oh ini yg kemarin rame di grup whatsapp https://t.co/Lv3DHhYj6F
afidazkyy,2020-04-20 07:32:44,"Bukan anak sastra, tapi anak pendidikan Bahasa Arab 😚 Dah lah ngga mau cerita, ya intinya gitu si sama aja 😪 https://t.co/rjJ02Mckz8"
afidazkyy,2020-04-20 07:23:30,@ShopeeID MAU #VoucherBelanjaShopee
afidazkyy,2020-04-20 05:00:48,#VoucherBelanjaShopee https://t.co/Jlvp3ye3nf
afidazkyy,2020-04-19 12:13:40,"Makin deket Ramadhan, makin mellow aja suasananya 😭"
afidazkyy,2020-04-19 05:37:03,Bantu siram tanamanku. Kamu juga bisa panen THR total 10M di Shopee sekarang! https://t.co/oD4RY7BrHY
afidazkyy,2020-04-18 10:19:30,@ShopeeID SAMSUNG A51 #MalmingBarengShopee
afidazkyy,2020-04-18 05:29:24,"Entah, cerita yang sudah lama tersimpan rapi itu kini mulai muncul ke permukaan kembali😶"
afidazkyy,2020-04-17 03:56:35,"Hasil produksi hari ini :) Tidak estetik, tapi uendulita 😭 . Bahaya sih kalau semua udah kumpul di rumah. Doyan jajan, doyan masak masak. Khilaf lagi kan ujung2 nya 😭 https://t.co/E7kEqEVFk5"
afidazkyy,2020-04-17 02:58:31,Alhdulillah jadi makin pinter bercocok tanam 😭 https://t.co/44jpZNXhkV
afidazkyy,2020-04-16 14:16:42,"Akhir2 ini jadi gampang banget hafal iklan di tv. Malah kadang reflek nyanyiin iklan pas lagi jalan atau lagi nganggur gitu. Oh ayolaaah, corontul cepet2 ilang :'("
afidazkyy,2020-04-16 11:06:57,@LNR_10_ Khilaf terus bawaane 😭
afidazkyy,2020-04-16 11:06:36,@bayu_abi Waaaah boleh dicoba 🤤
afidazkyy,2020-04-16 11:06:07,@MasfulatulL Iyo winginane sampe 20.000 punjul barang :')
afidazkyy,2020-04-16 05:45:22,Spicy oreo dong 😭 . Aku yg pernah pisang goreng pake cabe rawit 😭 https://t.co/7Dnj9t4puO
afidazkyy,2020-04-15 12:21:35,Beberapa hari terakhir berhasil istiqomah kalori defisit. Malam ini ternodai karena khilaf 😅 https://t.co/D3bVBi1aaq
afidazkyy,2020-04-15 00:37:56,Bantu siram tanamanku. Kamu juga bisa panen THR total 10M di Shopee sekarang! https://t.co/e23OClFD1h
afidazkyy,2020-04-14 13:47:05,"@negativisme Dr. H. Sanitiar Burhanuddin, S.H., M.H."
afidazkyy,2020-04-14 04:41:38,@ridwannariif1 WA ae
afidazkyy,2020-04-14 03:41:13,"@ridwannariif1 Wkwk aku duwe channel template ppt akeh, gawe lek pas ngedit macem2 dan kepepet😂 arep a"
afidazkyy,2020-04-12 23:15:44,"@kaesangp Peh, alus tapi telak 👏"
afidazkyy,2020-04-12 13:17:49,"@nindyirna Aku pake susu coklat mang, ditambah pisang. Memang lidahku tida cocok tanpa asin2 :')"
afidazkyy,2020-04-12 13:10:31,"@nindyirna Di alfamart ono e sg ngga rasa2, uenek parah :')"
afidazkyy,2020-04-11 23:11:08,Gini banget ya rasanya makan oatmeal 😣 padahal udah dicampur pisang
afidazkyy,2020-04-10 11:46:55,"@Fikalm1 @RiaRicis Amiiiin, buat bayar masrohiyyah kal 🙃"
