username,created_at,text
arizamarine,2020-06-18 12:20:28,@mintmarblegirl Biasanya karena efek obat. Makanya tiap periksa dokternya selalu tanya punya maag atau enggak gitu 😊
arizamarine,2020-06-18 06:46:15,@bingkairasaku 🤗🤗🤗
arizamarine,2020-06-18 06:31:59,Aku adalah salah satunya 😭 https://t.co/excUAlQ8Nx
arizamarine,2020-06-18 02:24:36,@nananarini Mbak saya izin save ya. Terima kasih 🙏
arizamarine,2020-06-17 10:31:54,Note to myself: Jangan menaruh harap yang berlebihan kepada manusia. Sebab isi hati manusia sering kali berubah-ubah.
arizamarine,2020-06-17 09:16:38,Kata-kata motivasi itu sebenarnya baik. Tapi kalau tak konsumsi berlebihan ya akhirnya malah jadi toxic positivity dan bikin aku makin ga berkembang.
arizamarine,2020-06-17 08:25:47,Ya udah lah ya.
arizamarine,2020-06-15 12:14:32,"Sering terjadi, tapi masih tetep diulangi. https://t.co/qUqhoRaSpa"
arizamarine,2020-06-15 07:35:13,Decluttering itu selain bikin capek fisik juga capek mental. Tapi setelahnya bikin bahagia maksimal 👌
arizamarine,2020-06-14 04:57:03,"Jadi gini ya rasanya ditinggal tugas sama orang tua di masa pandemi. Stay safe and healthy, Bapak 💙"
arizamarine,2020-06-14 03:04:44,Iya iya 😔 https://t.co/L2z5TCNI4F
arizamarine,2020-06-13 23:37:06,@sakina_ardha Enggak lah. Kemarin sama anju sudah dikasih foto seangkatan 😝
arizamarine,2020-06-13 05:59:57,@Txtdariseragam Dari typingnya sudah kelihatan kalau dia bukan orang yang dewasa.
arizamarine,2020-06-13 04:37:19,Setelah ngempet selama berbulan-bulan 💛 https://t.co/6iM9k47xss
arizamarine,2020-06-12 22:29:53,Kalau enggak ada buku kenangan mungkin aku sudah lupa siapa aja yang pernah jadi teman seangkatan 🙂
arizamarine,2020-06-11 16:13:17,"@lennyraficha Sama-sama, Len. Aamiin 🤲 Semoga kamu jg diberi kelancaran buat semuanya."
arizamarine,2020-06-11 15:54:01,"@lennyraficha Semangat, Lenny 🤗"
