username,created_at,text
attamufid,2020-06-15 04:01:20,@humankerdus Bener bet jir maen aja belom kelar
attamufid,2020-06-14 07:03:43,@deameen @AgungAdit @AgungAdit sultan banyuwangi nih de
attamufid,2020-06-13 16:01:54,@camerafrontback @makemac Settt cepett amaattttt orang orang😭
attamufid,2020-06-11 05:31:02,Semua udah dengan porsinya masing2 tinggal jalanin apa yg udah dilakukan dan selalu bersyukur. https://t.co/eymCsYa1YB
attamufid,2020-06-10 17:14:29,Al fatihah🤲🏻 https://t.co/bvgKIjBdxJ
attamufid,2020-06-08 04:56:38,Sepi yekan jadinya hahaha
attamufid,2020-06-08 04:47:16,Seneng bangetlah denger temen2 SMA especially sobat2 yg seperjuangan bareng sama sama kuliah di malang. udah pada dapet tujuannya masing2. Semoga pada sukses udah bisa spare rezeki masing2 dan bisa seru2an lagi di malang. Rumah gue akan selalu terbuka buat kalian guys
attamufid,2020-06-05 14:59:17,@haniikhsani @deameen Thx cui. gue emg kurus sedari dulu gasihhh
attamufid,2020-06-05 09:26:52,@yan_widjaya @finschivira 80th 😂
attamufid,2020-06-05 09:19:55,Pancasila ga cuma satu agama pak https://t.co/i9Kjd8285z
attamufid,2020-06-02 00:46:08,"And there you have it, George Floyd was killed, now arrest the other cops that allowed this to happen https://t.co/hz4DZFVDHg"
attamufid,2020-06-01 11:12:44,Afirmasi https://t.co/VMVe9mRpV2
attamufid,2020-05-31 14:19:14,@humankerdus Yoii brooo sanss
attamufid,2020-05-31 14:13:40,@CNNIndonesia @finschivira
attamufid,2020-05-31 10:13:46,"I really hope this is a fucking joke, what the hell? 🤦🏻 https://t.co/a1fvn9e2ds"
attamufid,2020-05-31 10:11:57,@humankerdus Sabar yaa broo. Semoga segala permasalahan lu selalu ada jalan dan dapat diselesaikan dengan baik baik🙏🏻 tetep semangat sat💪🏻
attamufid,2020-05-31 10:04:31,@finschivira Gwsssss
attamufid,2020-05-30 13:44:43,💯 https://t.co/phUgzqYXBN
attamufid,2020-05-30 08:57:17,"well done to all, the people and government have done a impressive job👏 https://t.co/ZquAsFow4z"
attamufid,2020-05-29 19:23:49,Man I love this guy! #arsenal https://t.co/OPrdm1V15J
attamufid,2020-05-29 16:07:38,"@deameen Zuzurrrr pas di ipd, atleast abis tidur siang eug kalo bangun ga panik panik ganglion kalo belom nugas"
attamufid,2020-05-29 10:53:46,Jengah bet ajgg liat orang orang kepo tu de maxx masalah agama orang https://t.co/4hzIHxZhdu
attamufid,2020-05-28 16:01:23,@oikwabf Tf
attamufid,2020-05-28 15:30:31,Robert Waldinger: What makes a good life? Lessons from the longest study on happiness https://t.co/So0p5W4uck
attamufid,2020-05-28 11:22:20,@selphieusagi @finschivira ada hikmah dibalik ini. Semoga saja😊
