username,created_at,text
benrskbyg,2020-06-15 23:36:39,"@BBCIndonesia Hukumannya mungkin lebih baik disiram balik saja, daripada 1 tahun.."
benrskbyg,2020-06-15 19:29:39,Semoga bisa lekas bertemu dengan ibunya.. https://t.co/nzGvbQvSP7
benrskbyg,2020-06-12 14:28:46,"@h3llatrash @GiaPratamaMD Udah kak, semoga lancar 👍"
benrskbyg,2020-06-12 14:20:18,"@aik_deathripper Biasanya tuh, biasanya lho ya. Itu yang dibelakang cuma ngikut depannya doang, seandainya ada satu orang setelah orang depannya inisiatip lipat sepeda, matiin lampu, turun dari sepeda belakangnya ngikutin. Biasanya sih gitu."
benrskbyg,2020-06-12 01:32:36,"Jangan malas buka link beritanya yaa, jangan judulnya aja. Ini berita 2017, terlepas dari itu tetap saja ini ironi.. https://t.co/cvJKosY4BE"
benrskbyg,2020-06-10 12:17:57,@mahasiswauenyeh Golongan 6 dan 5 msg² bayar brp?
benrskbyg,2020-06-10 12:17:15,"@JuribiUlfi @3CareIndonesia Gak bisa bun 🙏 Kuota item gak kepake gegara ada kuota merah. Kemaren langsung beli paket lagi, ternyata malah numpuk dan masa aktifnya sama, kirain otomatis keganti. 😟 https://t.co/NsGptGyVnI"
benrskbyg,2020-06-10 11:05:46,@3CareIndonesia cara berhenti paket unlimited + 10GB gimana ya min?
benrskbyg,2020-06-10 08:04:51,"@3CareIndonesia min, ini kuota bulanan 60GB aktifinnya gimana ya? Rasanya kok ke pakek yang unlimited, tiap lewat 1GB speednya lemot banget. Mohon bantuannya. https://t.co/f02fdOLWgn"
benrskbyg,2020-06-10 02:49:10,@rasaraba Nek mencelat ulare piyo yo wkwk
benrskbyg,2020-06-09 18:09:45,@ridwanhr Biayanya habis brp bang?
benrskbyg,2020-06-08 13:59:49,@junwanie @aan__ Scrub itu apa?
benrskbyg,2020-06-04 21:59:32,@mubayyinus Tau tuh
benrskbyg,2020-06-04 21:59:23,@emyongssi Tulisane musim semi nek gak salah. Yakali aku gak nonton tau mau ada S2nya 😂😂
benrskbyg,2020-06-04 16:32:43,@emyongssi S2 nya 2021 bulan apa ya Em?
benrskbyg,2020-06-04 00:02:28,Ganti nomer lagi apa ya.. 😂
benrskbyg,2020-06-03 00:54:15,@WidasSatyo Gak sempurna dan masih berlumur dosa rasanya gak perlu pake 'mungkin' mas 😞
benrskbyg,2020-06-02 02:42:41,Hahaha https://t.co/Ho5r7YNYhC
benrskbyg,2020-05-31 23:38:05,@yonanthoni Santuy kang 😌
benrskbyg,2020-05-31 23:35:42,"@Akucimorrrry @emyongssi Yang ada warna biru itu kukunya abis kejepit pintu, atau laci meja"
benrskbyg,2020-05-31 10:58:14,@mubayyinus @RiskyEkaA Mugi ndang mari 😌
benrskbyg,2020-05-31 00:50:04,"@yonanthoni Ketoke iki hadist Nabi, udu pepatah"
benrskbyg,2020-05-30 14:00:21,@autisssssss @Aqimudin @DownloaderBot
benrskbyg,2020-05-30 12:19:39,Joke itu kalo dijelasin gak jadi joke.
benrskbyg,2020-05-30 11:41:39,"Yang salah malah lebih galak, untung gak puasa."
benrskbyg,2020-05-30 10:04:24,Kok bisa anda sesholehah itu..
benrskbyg,2020-05-30 04:21:47,Hahahahaha https://t.co/NdScdDG2Av
