username,created_at,text
bestchrysalis,2020-06-16 14:25:17,@dilarasekarayu @pypergold ttd ku mirip gt juga...
bestchrysalis,2020-06-16 12:17:27,gada minat bgt bljr mandat
bestchrysalis,2020-06-16 05:36:22,@Ah_jib13 nmax mundur
bestchrysalis,2020-06-16 05:31:12,@hertimoo @collegemenfess mao murah unmul aja yakan wkwkwk
bestchrysalis,2020-06-16 00:21:31,peduli heh aku
bestchrysalis,2020-06-15 14:08:05,mls bgt ga sih bsk uasx pagi buta
bestchrysalis,2020-06-15 05:24:44,@FOODFESS2 terbaik lah si boba:'
bestchrysalis,2020-06-15 05:06:00,untung aku ganisa make ini https://t.co/Kdmv1rh8dL
bestchrysalis,2020-06-15 04:58:39,@FOODFESS2 enak!
bestchrysalis,2020-06-12 13:51:33,"@h3llatrash udah, semoga lancar penelitiannya ✨"
bestchrysalis,2020-06-12 13:38:47,ayam geprek smada aku sih https://t.co/GriMmAh13V
bestchrysalis,2020-06-12 13:36:12,@dilarasekarayu weh aku emg suka cupang cu
bestchrysalis,2020-06-12 13:29:12,@dilarasekarayu macam kita bertukar
bestchrysalis,2020-06-12 05:04:16,"ayo tmntmn yg lagi ada perlu diluar rumah atau mau olahraga mau sepedaan atau sekedar ngopi cantik jgn lupa dipake maskernya, seenggaknya cuman hal kecil itu yg bisa kita lakuin buat ngejaga mereka yg lagi kerja di luar rumah✨✨✨"
bestchrysalis,2020-06-11 13:36:49,gausa betingkah.
bestchrysalis,2020-06-10 23:09:00,"@subtanyarl tergantung, kalo lagi pengen jalan sendiri ya ga ajak temen. kalo pengen jln sm temen ya ajakin..."
bestchrysalis,2020-06-10 14:55:48,pengen es kopi susu pandan xxi!
bestchrysalis,2020-06-10 14:55:26,guys saranin drakor atau film
bestchrysalis,2020-06-10 13:44:01,"bikin akun os lg ga ya, bingung deh males ngumpulin followers itu loh..."
bestchrysalis,2020-06-09 14:57:29,"ga terasa besok dah uas, mana ga ngerti sistem informasi lagi ajg:("
bestchrysalis,2020-06-09 14:12:30,pernah ga sih kalian tu udh pernah beli itu dan rasanya b aja trs grgr ada yg review jd pengen beli lagi dan berharap rasanya better🥺
bestchrysalis,2020-06-08 13:55:58,untuk apa nyesal sm keputusan yg ku buat sendiri hm
bestchrysalis,2020-06-08 01:51:20,"bener juga kata org ""jangan iri liat kebahagiaan org lain karna kita gapernah tau apa yg sudah diambil dari dia"" https://t.co/6N2wpjV8HV"
bestchrysalis,2020-06-05 19:25:26,@dilarasekarayu kompak dl
bestchrysalis,2020-06-05 19:24:46,"hebat yg bisa bergaya kalo photobox sm doix... dulu jaman jahiliyah nyoba photobox, blm digesek kartux dah ngakak bgt kaku dan akhirx gajadi🙂 https://t.co/N3jtVpF61P"
bestchrysalis,2020-06-05 18:52:23,sumpah baru ini galau bgt smpe gabisa tidur:)
bestchrysalis,2020-06-05 11:02:54,@rlthingy kalo salah dan km yg lakuin ya lgsg minta maaf...
bestchrysalis,2020-06-05 08:50:47,@puspitas_ semoga songhwa ikjun berlayar yaallah
bestchrysalis,2020-06-05 07:29:16,"iseng bgt jual sabun tiktok, belum nyampe dah sold. keren emg tmntm onlineku"
bestchrysalis,2020-06-04 15:02:33,"putihan muka drpd tangan dikomenin, gak putih dikomenin. salah trus anjg"
bestchrysalis,2020-06-04 08:41:03,@dilarasekarayu maranu😭
bestchrysalis,2020-06-02 13:37:28,lemes dan sakit bgt perut ku abis makan ayam neraka:)
bestchrysalis,2020-06-02 00:19:05,@txtsamarinda @kadaptg
bestchrysalis,2020-06-01 17:12:15,asli banyak banar rintangan jae hyun sm ji su 🙂
bestchrysalis,2020-06-01 14:06:54,dan rasa sabar mana lagi. anjir terngiang lagux
bestchrysalis,2020-06-01 11:18:16,@dilarasekarayu mending sendiri syg. ribet klo barengan menurutku sih
bestchrysalis,2020-06-01 11:17:04,@dilarasekarayu meganshop coba
bestchrysalis,2020-06-01 03:49:12,@debiindahps @gariskerasindie @calldatstyles @syafirarahmaa oh pengalaman
bestchrysalis,2020-06-01 03:13:45,@gariskerasindie @calldatstyles @syafirarahmaa @debiindahps kok kt gprnh bgini jink
bestchrysalis,2020-05-31 13:43:10,@subtanyarl beliin spotify premium atau netflix aja ehhehe
bestchrysalis,2020-05-31 13:19:37,@dilarasekarayu pdhl kan bisa pesan dua ya🙂
bestchrysalis,2020-05-31 11:01:45,@dilarasekarayu halo km tida sendiri
bestchrysalis,2020-05-31 03:05:33,@kadaptg iss jd pengen
