username,created_at,text
bodoamatbrou,2020-06-12 14:08:30,"Kangen bgt nonton masalembo di NET, dulu gapernah se episode pun ketinggalan, sampe nge twit nge twit di Twitter lama isinya masalembo semua wkwkwk"
bodoamatbrou,2020-06-12 13:25:45,@txtanakfesbuk Taburin gula
bodoamatbrou,2020-06-12 09:14:20,"Pgn cepet cepet bsk, lusa, dst"
bodoamatbrou,2020-06-12 06:35:04,Hahaha iyaaa banget https://t.co/X54futsa92
bodoamatbrou,2020-06-12 02:49:37,@satrionw__ Saya nya😢
bodoamatbrou,2020-06-12 02:45:54,Lucuuuu https://t.co/Y3TIrrVjYf
bodoamatbrou,2020-06-11 14:41:37,buldog
bodoamatbrou,2020-06-11 13:33:54,@RatuAinunn_ Ayo baca tread
bodoamatbrou,2020-06-11 13:27:02,@RatuAinunn_ ahahaha yes ad bahan ni buat nanti
bodoamatbrou,2020-06-11 13:07:50,Banyak banyak makasih
bodoamatbrou,2020-06-11 11:28:31,Sampe makan enak pun udah gak ada rasanya sama sekali
bodoamatbrou,2020-06-11 11:21:37,"If you know rasanya pendem rasa sakit seumur hidup, dr kecil, tumbuh dewasa, kira bakal berhenti dgn sendirinya seiring waktu krn udah bisa wujudin kebahagiaan sendiri, ternyata engga, blum juga, blum dan mungkin ngga akan pernah bisa diterima sbg diri ini sendiri, itu sakit"
bodoamatbrou,2020-06-11 10:06:12,cpek bisuin nya
bodoamatbrou,2020-06-11 02:41:18,@RatuAinunn_ @fermendkis Hahahahaha
bodoamatbrou,2020-06-10 10:00:33,"ga punya akses emang susah sih, gimana coba caranya, sedangkan keadaan nya mendesak, dihadapkan sama 2 pilihan sulit, dan otak hrs terus berfikir, pfft"
bodoamatbrou,2020-06-10 05:48:41,@hloktr Ku menangisssss..... Melepaskan
bodoamatbrou,2020-06-10 05:47:35,Oh may God
bodoamatbrou,2020-06-10 01:30:19,@RatuAinunn_ Omg my hnuuny
bodoamatbrou,2020-06-10 01:29:31,@RatuAinunn_ Bullsrit
bodoamatbrou,2020-06-09 16:02:09,"Gerak ini rasanya kaya cuma bisa perlahan-lahan dan sulit, tapi kalo nggak sama sekali pasti bakal makin sulit sih, jadi ya percaya dan terus percaya aja, entah gimana hasilnya, optimis selalu pasti bisa menang lawan musuh, yang mungkin dan memang sudah berbentuk luka"
bodoamatbrou,2020-06-09 09:19:31,@RatuAinunn_ @mwv_mystic Yomannnn on the woy
bodoamatbrou,2020-06-09 04:25:47,@RatuAinunn_ Aa aaa aaaaa
bodoamatbrou,2020-06-09 02:32:50,tengil bangat https://t.co/zGcvUd9TWr
bodoamatbrou,2020-06-08 12:29:08,@Anggunmnjk Hahahaha dah sono ama bapa nye aja
bodoamatbrou,2020-06-08 11:07:02,@Anggunmnjk Mau liat mba dia bales apa
bodoamatbrou,2020-06-08 11:06:37,@Anggunmnjk Hahahahahha woiiiiiiii
bodoamatbrou,2020-06-08 10:03:28,@Vidatriaynd Nangis masa gue vid wkwkwk
bodoamatbrou,2020-06-08 01:49:33,Sekarang gue ngerasa lebih sayang kucing daripada orang
bodoamatbrou,2020-06-08 01:48:04,"Finally did it!! Dari 3 kitten, satu sakit 3 hari trs sembuh, nular ke satunya dan gbs bertahan krn dia ngilang gtw kemana waktu sakit dan sekarat trs meninggal, satunya lagi ketularan juga sampe sekarat dan sekarang sembuh bgt gue rawat dirumah, skrg mkn nya super banyak bgt😭♥️"
bodoamatbrou,2020-06-08 01:42:59,@hloktr Eh iya betulan mimpinya ga indah kalo abis subuh
bodoamatbrou,2020-06-07 16:32:56,@nisiull bismillah for better 2020 wkwkwk
bodoamatbrou,2020-06-07 16:31:16,@NurulDrewAmalia Tidakk drew enaaa
bodoamatbrou,2020-06-07 14:38:30,@nisiull Wadohhhh peka amat nih sister
bodoamatbrou,2020-06-07 14:38:07,@diamdiamvae Ehmmmmhhh kenapa dimmmmm
bodoamatbrou,2020-06-07 13:56:30,Hahahahhhhh nohhh nohhh https://t.co/iUkcDg74ia
bodoamatbrou,2020-06-07 12:37:24,"Tau ga apa part ter the best dari makan ketoprak? Pas ketemu potongan bawang putih mentah segede ujung jari, cuyy sumpah cuyy enak bet"
bodoamatbrou,2020-06-07 12:35:51,@RatuAinunn_ @ilovboytears Alhamdulillah
bodoamatbrou,2020-06-07 10:18:48,@Anggunmnjk Wu dua h
bodoamatbrou,2020-06-07 09:55:30,@RatuAinunn_ Yg bukan nak gaol gausah komen deh
bodoamatbrou,2020-06-07 09:54:55,@RatuAinunn_ Ya juga brou
bodoamatbrou,2020-06-07 08:48:41,@RatuAinunn_ berhati hati lah wahai kakak https://t.co/h6BVakG8kg
bodoamatbrou,2020-06-07 08:47:40,@andihiyat Iyaaa maunyaaa mah gini ehmmmmhm
bodoamatbrou,2020-06-07 08:36:27,"Rasa-rasanya mau pms udah ada seminggu-2 mingguan ini tapi blum pns juga, selalu aja begituuu, padahal udah kerasa bgt gitu tuh mulai dari mood, sakit pinggang, sumi, pegel pegel, dll"
bodoamatbrou,2020-06-07 08:33:39,Not in a stable mood
bodoamatbrou,2020-06-07 06:44:42,Boseennnnnnnn
bodoamatbrou,2020-06-07 06:44:34,bakal sehari sekali kok ngetwit bosen
bodoamatbrou,2020-06-06 18:07:14,"Nyelap tuh artinyaa nyelip kan? Perasaan s ainun suka ngomong nyelap pas lg nyelip Kok kt sobat betawi artinya seret, ih gataulah"
bodoamatbrou,2020-06-06 17:59:13,jualan yakult dimana mba topi pink🙏 https://t.co/6QxEeIFr6K
bodoamatbrou,2020-06-06 16:45:11,Booooooooooo seeeeeeeennnnnnn
bodoamatbrou,2020-06-06 14:51:44,o my mind . I hate this
bodoamatbrou,2020-06-06 09:50:51,kalo diem buat nungguin 💰 jatoh dari pesawat sih gpp. Lah ini
bodoamatbrou,2020-06-06 09:48:34,bingung bgt harus apaa gabisa nih diem begini doang
bodoamatbrou,2020-06-06 01:23:24,"Mau lu apa yoh coba sini ngomong, masa dateng ke mimpi mulu, udah eneg bgt ga ada seneng senengnya gua fucek,"
bodoamatbrou,2020-06-06 01:19:42,@NurulDrewAmalia gua jugaaa mau ngerasain pop mie nyaa Belum pernahhh
bodoamatbrou,2020-06-06 01:17:32,bgun tdr lemes bgttt ga ada tenaga masa
bodoamatbrou,2020-06-05 15:47:13,Karti
bodoamatbrou,2020-06-05 15:46:33,Dengerin lagi soto aym bu krdi
bodoamatbrou,2020-06-05 15:30:04,@RatuAinunn_ kalo di snap wa insekyur iyyh
bodoamatbrou,2020-06-05 13:49:32,"@RatuAinunn_ @MothershipSG @ntsana_ Smpe smt 8 aja , gamau sampe smter 23😭"
