username,created_at,text
chandnidevi,2020-06-12 11:49:24,Bagian paling malas dari pergi jauh adalah: packing 😂
chandnidevi,2020-06-12 07:53:43,WHAAAAATTTTTTTT https://t.co/0HTMnIJVXF
chandnidevi,2020-06-12 02:24:37,@pramestidn ((mbak2 galak yg riwil)) Mwahahahaha 😂😂😂😂
chandnidevi,2020-06-12 02:11:10,Si Johnny mirip Ailee 😭😭😭😭😭 https://t.co/DnNgq8pkxB
chandnidevi,2020-06-12 02:09:34,"@pramestidn Wkwkwk.. Bar dw bully yen dhe'en leader ra kanggo, akhire arep nduwe album solo 🤣"
chandnidevi,2020-06-12 02:06:56,Akhirnya punya solo album nih suaminya @pramestidn sunbae 😂 https://t.co/FFdu15TPfo
chandnidevi,2020-06-11 15:25:37,@pramestidn Mwahahahaha.. Isih kelingan salak tah bocahe? Wis isa ngoncek'i rung? 😂
chandnidevi,2020-06-11 15:10:30,@pramestidn Wkwkwk.. Padahal kwi tweet muspra..asal nggo hangul 🤣
chandnidevi,2020-06-11 11:39:20,And BM too 😭😭😭 *though he spelled it wrong 🤦‍♀️ https://t.co/1kmD3eR8yy
chandnidevi,2020-06-11 11:30:21,The day when #JSEPH replied to my tweet 😭😭😭 https://t.co/WQJtBwh39r
chandnidevi,2020-06-11 10:20:39,"@GarudaCares Baik kalau begitu.. Terima kasih atas respon &amp; informasinya, Kak Hendry.. 🙏"
chandnidevi,2020-06-11 10:15:27,"@GarudaCares Apakah ada kemungkinan tjd perub jadwal? Karena terakhir kali flight saya dari PKU-SRG transit di CGK berubah jadwal scr mendadak, dan jadwal dari PKU ke CGK menjadi lebih malam dr jadwal CGK ke SRG di hari yg sama sehingga merugikan penumpang 😥"
chandnidevi,2020-06-11 10:09:32,Halo @GarudaCares Penerbangan rute SRG-PKU hari Senin tanggal 15 Juni 2020 apakah tersedia?
chandnidevi,2020-06-10 14:04:36,one person unfollowed me // automatically checked by https://t.co/HfG94iAqwG
chandnidevi,2020-06-10 11:58:29,"@jejewcksn WHOOOOOAAAAAA... NAIS INPO, JELL... MATURNUWUN SANGET 🙏🙏🙏🙏🙏🙏🙏"
chandnidevi,2020-06-10 07:15:57,@pramestidn Oalaahh..delay tah.. Tak kira mur pesawat sing isa delay 😂
chandnidevi,2020-06-10 06:47:44,"@verowidya Thanks, nok.. You too.. 🤗🤗"
chandnidevi,2020-06-10 06:46:42,@verowidya Kaya'nya mau rapid test di lab Cito aja nih.. Yg rada masuk akal harganya..
chandnidevi,2020-06-10 06:42:12,"@verowidya Yg di halodoc tu pripun tah sistemnya? Tadi ku coba buka itu app, trus diarahin buat booking ke RS yg sedia rapid test"
chandnidevi,2020-06-10 06:38:53,"Di Salatiga ada fasilitas rapid test yg ""wajar"" dan nggak paket-paketan nggak sih? Tadi coba telpon Prodia, bisa sih rapid test, tapi bentuknya udah paketan..jadi lebih mahal, nembus sejuta 😭"
chandnidevi,2020-06-10 06:37:13,Begitu ada kabar baik..sekarang bingung kudu rapid test.. https://t.co/A0fUeH6sGT
chandnidevi,2020-06-10 06:28:22,Unit pertamanya RV..yg SeulRene itu kan katanya debut tanggal 15 Juni besok ya? Kok sekarang belum ada bau-baunya sih? Teaser aja belum ada..
chandnidevi,2020-06-10 05:07:58,@pramestidn @yustisiapratiwi He? 😯 Perasaan diriku ngetweet voucher. Mbiyen pas nakokke refund pun aku yo wis reti yen bakal dibalekke bentuk voucher 😅
chandnidevi,2020-06-10 05:03:31,@pramestidn @yustisiapratiwi Hooh.. Lha pripun tah? Refund'e kabeh bentuk voucher..expired tahun ngarep ne' nggonku
chandnidevi,2020-06-10 04:52:26,"@GarudaCares Oh baik kalau begitu.. Terima kasih atas respon &amp; infonya, kak.. 🙏"
chandnidevi,2020-06-10 04:49:53,"Halo @GarudaCares Saya punya voucher dari hasil refund beberapa bulan lalu. Apakah voucher tsb dapat dipakai untuk maskapai Citilink juga, atau hanya khusus Garuda seperti tiket yg direfund? Terima kasih."
chandnidevi,2020-06-10 03:09:11,"Punya suami orang asli Sleman &amp; beberapa hari menghabiskan waktu di Sleman, mulai terbiasa menggunakan kosakata seperti ""sikin"", ""srendel"", ""jenggel"", dan ""ngalas"" 🤣🤣🤣🤣"
chandnidevi,2020-06-10 02:37:19,11. Bad 12. Back 13. Before the Dawn 14. Going to You 15. I Need You Back 16. Love Letter 17. One Day 18. Paradise 19. As Good as It Gets 20. Rocinante
chandnidevi,2020-06-10 02:30:34,1. Man in Love 2. The Chaser 3. Julia 4. Cover Girl 5. Be Mine 6. Destiny 7. Last Romeo 8. She's Back 9. Come Back Again 10. Tell Me https://t.co/r1Z95qlev7
chandnidevi,2020-06-09 06:17:26,"Salatiga - Jogja PP naik @cititransindo Harga boleh lebih murah daripada travel yg lain, tapi pelayanannya 👍👍👍👍👍 Driver &amp; resepsionis poolnya ramah, armadanya bersih &amp; lapang banget, kursinya kaya' kursi pesawat. Berasa naik mobil pribadi karena 1 orang ttp berangkat 🥺🥺🥺"
chandnidevi,2020-06-08 14:30:54,Jadi kangen Mas Howon kaaannn... 😭😭😭😭😭 https://t.co/EGb2J6NRAp
chandnidevi,2020-06-08 10:47:50,"Lhoooo...padahal aku ngefans awakmu lho, dek.. https://t.co/WbYcc7KJD8"
chandnidevi,2020-06-08 10:17:55,Bismillah..mudah-mudahan ada kabar baik buat penerbangan 🤲😭
chandnidevi,2020-06-08 04:18:55,@pramestidn Sayange sing kedip2 kok skype tah..dudu si Chittapon 😂
chandnidevi,2020-06-08 04:17:05,@pramestidn Wkwkwk.. Chittapon
chandnidevi,2020-06-08 03:59:40,@pramestidn Skypenya genit..suka kedip2 😯
