username,created_at,text
chtime__,2020-06-08 12:24:09,"Setelanmu terlalu get Gusti, kulo nganti mobat-mabet 🙃"
chtime__,2020-06-07 14:39:20,@khnafaa Itu dele bacanya dele apa dele?
chtime__,2020-06-07 06:47:49,"@subtanyarl Real adanya, di palembang jg gini"
chtime__,2020-05-31 14:44:31,@harrssu Tumben agamis ngono sing mbok reply wkwk
chtime__,2020-05-31 14:30:31,@harrssu Tumben
chtime__,2020-05-30 09:38:52,@harrssu Berarti awkmu pakde no??
chtime__,2020-05-30 09:38:51,@chocholischol Isuk2 mangan seblak yo diare
chtime__,2020-05-30 05:30:19,@harrssu Aku enom2 msok dadi tante
chtime__,2020-05-30 05:30:19,@chocholischol Mangtups
chtime__,2020-05-30 05:28:58,"@riosptr28 @ayusew Inget banget dlu, temen se kelompok yang cowok di suruh beli selada malah dapetnya sawi 🤐"
chtime__,2020-05-30 03:11:40,Apa yang sedang terjadi?
chtime__,2020-05-29 21:04:39,@jeriancelvin A n j a y anjay
chtime__,2020-05-29 21:04:18,@harrssu Ck gblk
chtime__,2020-05-29 21:04:03,@chocholischol Bner juga u
chtime__,2020-05-29 15:53:20,Kalo w nyicil sepeda mtor dah lunas nih pasti.
chtime__,2020-05-29 15:29:58,@harrssu Artinyaaa
chtime__,2020-05-29 04:25:54,@chocholischol Sudah saya antisipasi 👌
chtime__,2020-05-28 15:31:48,Trying to find my way back home to you
chtime__,2020-05-27 13:57:14,@Paessigit Thinking of you memang gak ada obatnya 👌
chtime__,2020-05-26 16:46:03,You're like an Indian summer In the middle of winter.
chtime__,2020-05-24 16:31:58,@khnafaa Selamat Hari Raya Idul Fitri 1441 H. Mohon maaf lahir dan batin lur 🤝
chtime__,2020-05-24 15:40:20,#EidMubarak
chtime__,2020-05-24 13:21:27,Makanan di meja semua buatan tangan ibokkk ❤
chtime__,2020-05-24 04:14:31,@chocholischol RT
chtime__,2020-05-22 21:56:00,@chocholischol Itu stalking namanya
chtime__,2020-05-22 21:18:22,Semakin tau semakin penasaran.
chtime__,2020-05-22 16:12:23,@harrssu Piye lur
chtime__,2020-05-22 15:07:59,Ini lagu untukmu… Khayalan Tingkat Tinggi oleh Peterpan https://t.co/27rqdn9vPh
chtime__,2020-05-22 05:18:19,Sometimes mortals can be more horrible than monsters.
chtime__,2020-05-20 16:25:30,@harrssu Wes kelas 2 SD gaes
chtime__,2020-05-20 16:24:43,"@OfficialGTVID Kembalikan chalkzone, jimmy neutron dan teman2nyaaaaaaaa"
chtime__,2020-05-20 14:22:00,#HariJadiTwitterSaya https://t.co/xVcYPs2Xd8
chtime__,2020-05-19 21:17:09,@harrssu 🤭🤭🤭
chtime__,2020-05-17 21:41:39,@chocholischol Isuk2 wes ngegas
chtime__,2020-05-15 14:22:00,@AdixLk Aku jorokin k laut
chtime__,2020-05-15 14:02:27,"@bintangemon Daripada nyablak, nyeblak adalah jalan ninjaku."
chtime__,2020-05-14 21:26:51,@RakRakhaa Barakallah fii umrik slurrr
chtime__,2020-05-14 17:06:22,"Taka, Since 2012. https://t.co/6vmroYmwtO"
chtime__,2020-05-14 11:31:37,@harrssu Bayangne wong tuo mu seng ngadepi w bendino piye perasaane 😂
chtime__,2020-05-14 07:51:44,@naniuraaa Sepertinya saya kenal 🤔
chtime__,2020-05-14 03:56:19,@harrssu sepertinya berkunjung ke kehidupan nyata
chtime__,2020-05-14 03:55:54,@khnafaa penuh drama
chtime__,2020-05-14 03:55:34,@chocholischol enggaaaaaaaaa
chtime__,2020-05-14 02:10:19,Mimpiku seperti film horor.
chtime__,2020-05-13 16:02:01,@khnafaa Tuhaaannnnnnnnn maafkan diri ini
chtime__,2020-05-13 15:38:32,@khnafaa Nahan kangen smpek bawaannya pngen marah2 🙃
chtime__,2020-05-13 02:41:00,@khnafaa Jadi tersanjung ehe
chtime__,2020-05-12 15:10:20,@naniuraaa Lkmm pra td kalik
chtime__,2020-05-12 13:28:19,@khnafaa Terimakasih sensei sudah membagi ilmu
chtime__,2020-05-12 13:18:05,@khnafaa 🤭🤭🤭
chtime__,2020-05-12 11:20:02,@harrssu Kisihin dih lii
chtime__,2020-05-12 10:51:33,@chocholischol Enggk mas
chtime__,2020-05-12 04:12:14,@chocholischol Ibuku mari operasi ra iso ngeloni wong
chtime__,2020-05-11 18:08:19,Spotify emg jos
chtime__,2020-05-11 17:41:21,Long time no insom
chtime__,2020-05-11 17:17:44,@mengapaaaaaa Hbd kenapaa
chtime__,2020-05-11 14:37:41,Even lovers need a holiday
chtime__,2020-05-11 05:54:19,@khnafaa Pesawat pribadi ku lagi d service
chtime__,2020-05-11 05:52:51,@hafiddanthe Sak ngerti ku Jakarta Utara
chtime__,2020-05-11 05:45:01,Kenapa aku secara random pngen makan sate pardi yang letaknya di palembang :(
chtime__,2020-05-11 01:50:52,@harrssu Sitik 🤏
chtime__,2020-05-11 01:50:25,@khnafaa 😭😭😭😭
chtime__,2020-05-10 16:11:31,@AdixLk Tidur pagi i gk podo rasane kro tidur malam 👌
chtime__,2020-05-10 15:25:36,"@AdixLk Bisa jadi, begadang akibate tubuh jadi lelah. IMO"
chtime__,2020-05-10 15:13:27,@AdixLk Kecapekan wi iso ae
chtime__,2020-05-10 15:00:44,@chocholischol Dah ada klo itu mah
chtime__,2020-05-10 14:23:07,@khnafaa Kenak prank
chtime__,2020-05-10 14:22:39,"@chocholischol Tentu saja, belum."
chtime__,2020-05-10 14:17:20,@khnafaa Hiya hiya hiya
chtime__,2020-05-10 13:26:18,Kangen gabut2 pergi ke mekdi.
chtime__,2020-05-09 15:48:50,Jadi pengen ngerti bahasa kucing biar tau pas lagi berantem mereka ngomongin apaan sih kayaknya seru
chtime__,2020-05-09 15:32:06,"Set fire in my purpose, and you let it burn."
chtime__,2020-05-09 09:09:22,"Kalo bukan hak mu, bagaimana pun cara nya pasti akan hilang."
chtime__,2020-05-09 06:42:18,@jeriancelvin ini kaci
chtime__,2020-05-09 02:32:55,Masyarakat pluto jam segini lagi ngapain ya?
chtime__,2020-05-09 02:27:32,@victoriayovita Pengen minggat dari Indonesia tapi tidak ingin meninggalkan budaya Jawa.
chtime__,2020-05-09 02:20:47,@chocholischol Tapi sampean luweh suhu sih
chtime__,2020-05-09 02:20:12,@harrssu Tidak salah
chtime__,2020-05-09 02:16:24,@khnafaa Siapa hayo siapaaa
chtime__,2020-05-08 17:02:06,Ini Twitter
chtime__,2020-05-08 16:36:40,Kok enek wong swabar e kyok ngene uwuuuu 😚
chtime__,2020-05-08 16:05:41,@dameofharlem @khnafaa I found it
chtime__,2020-05-08 13:50:15,@chocholischol Buang pada tempatnya
chtime__,2020-05-08 13:20:05,@khnafaa Lanjut lanjut lanjut!!!!!
chtime__,2020-05-08 11:36:57,"@txtanakfesbuk Melihat ini jadi ke inget pas kumpul2 mp wajib ada gorengan, kata salah satu senior mp 'jaman dlu kalo ada gorengan rasul pasti makan tuh'"
chtime__,2020-05-06 11:50:12,@harrssu Up gan
chtime__,2020-05-06 10:53:00,@hafiddanthe Iya
chtime__,2020-05-02 03:42:30,@khnafaa Check out in shopee termasuk hawa nafsu
chtime__,2020-05-02 01:38:40,Kenapa scroll shopee nagih bet duh gusti😭
chtime__,2020-05-01 13:34:53,"Kenapa w dulu tiap teraweh dan bagian ""aamiin"" selalu ketawa 🤔"
chtime__,2020-04-28 11:06:27,@kamalbukankemal @dxaraswt apa betul begini jeng?
chtime__,2020-04-25 10:02:55,@khnafaa Up gan
chtime__,2020-04-24 11:54:56,@chocholischol Sek tak tertandingi
chtime__,2020-04-24 11:46:26,@chocholischol Aku kalah ayu :(
chtime__,2020-04-24 10:13:07,Ntah hari ini dah brp kali nonton ini https://t.co/b0eK5r1v2G
chtime__,2020-04-23 23:26:19,@SUBAREAJULID Pengen ngatain tapi lagi puasa 🤐
chtime__,2020-04-23 21:01:08,"@yourayy_ Ayok ay, kipasin dlu itu ayam bakarnya"
chtime__,2020-04-23 15:56:09,Kemping dulu gaes https://t.co/XSpKQlpznc
chtime__,2020-04-23 12:49:27,@dxaraswt Pager ayune wes cocok jadi manten po?
chtime__,2020-04-23 12:43:40,@harrisssetyo Astagfirullah akhi
chtime__,2020-04-23 12:43:23,@dxaraswt Ritwittttttt
chtime__,2020-04-23 05:16:46,@dxaraswt Gladi resik jadi pager ayu 🤧
chtime__,2020-04-23 02:14:03,#FotoProfilBaru #GladiResik https://t.co/Yi2igQJQ0j
chtime__,2020-04-22 01:15:16,@PenjahatGunung 😂😂😂
chtime__,2020-04-20 04:48:12,@dxaraswt aku benci ke-uwu-an ini
chtime__,2020-04-18 16:21:43,"Ojo alok, engko melok."
chtime__,2020-04-18 11:46:23,"@hafiddanthe Anak SD, SMP, SMA juga berseragam"
chtime__,2020-04-18 01:57:24,@chocholischol Versi nur ama versi widya 😭😭😭
chtime__,2020-04-17 15:51:06,@harrisssetyo Rai ne kemampleng 😂
chtime__,2020-04-17 15:48:07,Hampir tiap malem denger sayup2 bunyi gamelan. Udah mikir horor. Ternyata emang tetangga ada yg suka nyetel musik gituan 🤐
chtime__,2020-04-17 06:55:18,@jeriancelvin Haga nyak amen niku lawangan wkwkw. Bange kaba
chtime__,2020-04-17 05:35:03,@jeriancelvin radu nyak mengan
chtime__,2020-04-17 02:41:09,"@jeriancelvin Aooo, neduh at niku"
chtime__,2020-04-17 02:30:34,@jeriancelvin Nyak sa tiuh negeri batin 😅
