username,created_at,text
daranagas,2020-06-16 13:13:23,"Baru mau genjreng, tali 1 putus. Pas liat set cadangan ternyata gada juga tali 1 nya *menangys*"
daranagas,2020-06-15 12:47:19,Yaaelah bro narsistik sekali anda ini https://t.co/sCbCfmTXDM
daranagas,2020-06-14 12:16:37,Ssamungdong 💗 https://t.co/jegYwLyjCr
daranagas,2020-06-14 02:11:56,@agungmrheza Ga pernah lupa
daranagas,2020-06-13 16:28:15,Ilham malam ini https://t.co/RkFpBdTHrK
daranagas,2020-06-13 12:03:22,@nasgortiarbah Bengkulu gada harapan kayanya :(
daranagas,2020-06-13 04:46:03,Iri ih https://t.co/2vWIeBpopd
daranagas,2020-06-13 03:49:28,"@zarryhendrik Sebenarnya yang 3, tapi karna duit masih dikit jadi berkamuflase dulu ke no2"
daranagas,2020-06-12 04:23:26,"@jessica_romaa @Nenii_Simbolon Wooiilah, aku mau hidup di jalan yang sehat. Jangan kalian jerumuskan https://t.co/1UATlNvGv4"
daranagas,2020-06-12 03:04:11,Day 4 yoo semangat. Lupakan dulu nasi padang Dar https://t.co/YfCaELqqgA
daranagas,2020-06-10 15:11:59,@KuntoAjiW Yha ini masih mendingan maskun
daranagas,2020-06-08 15:25:46,"DearMama: maafin anakmu yang banyak kekurangan, yang kurang pengertiannya. Makasih udah sesayang itu sama aku. Aku anak yang paling beruntung di dunia. Sehat2 terus ma, aku gak bisa hidup tanpa mama"
daranagas,2020-06-07 08:04:59,Nyari kunci motor udah dua minggu ga ketemu.. gini bgt siik😭😭
daranagas,2020-06-06 15:02:49,@CenayangFilm @monstreza Sayang Jung Hwan jugaa
daranagas,2020-06-06 07:18:14,"Jarang2 pms. Sekalinya pms langsung senggol bacok, hasilnya jadi perkara panjang gini."
daranagas,2020-06-05 04:09:08,Trus harus kelihatan b aja
daranagas,2020-06-05 04:09:07,Kacau bgt perasaan 😭😭😭😭😭
daranagas,2020-06-04 14:54:26,@_aadc47 @NitaSellya Engga ah
daranagas,2020-06-04 06:01:49,"@NitaSellya Pisces tu ya, mentang2 ikan"
daranagas,2020-06-04 05:59:11,Gak cuma aku ternyata https://t.co/otfcIgbDeh
daranagas,2020-06-02 15:54:20,Typo kalo ga dikoreksi tetep ngerti kan
