username,created_at,text
dennisransun,2020-06-12 01:09:25,😂😂 https://t.co/thjYk0vLT3
dennisransun,2020-06-10 16:02:45,Love banget 2 pemain ini. Tau apa yang harus dilakukan. https://t.co/KcCpClKQhN
dennisransun,2020-06-10 15:07:48,@zupzupp @iwesome_ Iwe Doremi
dennisransun,2020-06-10 08:39:45,@fznfbriansyah @wahyutoriqul @detikcom @detikHealth Hari ini udah sold. Pesan sekarang untuk besok.
dennisransun,2020-06-10 07:17:08,@fznfbriansyah @wahyutoriqul @detikcom @detikHealth Gak kuat dengkul gue
dennisransun,2020-06-10 06:42:05,@wahyutoriqul @fznfbriansyah @detikcom @detikHealth https://t.co/GmxprxGqWK
dennisransun,2020-06-09 11:16:29,@Rakha_as Yaudah besok 😝
dennisransun,2020-06-09 09:10:39,@Rakha_as Harusnya sih salad
dennisransun,2020-06-09 03:02:18,@wahyutoriqul Tapi aku PSBB bu...
dennisransun,2020-06-09 01:02:10,@wahyutoriqul jangan seperti itu dek..
dennisransun,2020-06-08 13:09:35,"Alhamdulillah, saatnya rebahan 😴"
dennisransun,2020-06-07 02:34:10,"@Stanisaaa @iwesome_ yaampuunn Salam kenal ya teh, seneng deh bisa jadi followers teteh. 😂😆"
dennisransun,2020-06-07 00:03:54,@iwesome_ @Stanisaaa Alhamdulillah sehat
dennisransun,2020-06-06 12:10:47,"@wahyutoriqul @putraardhii @febryXsetiadhy @Rozzidane Iya namanya bejol, gue aja kenal put. Slow aee put sesama cucu adam mah"
dennisransun,2020-06-06 00:38:56,@wahyutoriqul @strawbery021 Kerennn.
dennisransun,2020-06-05 23:48:59,"@Stanisaaa Percayalah, Allah memiliki rencana yang lebih baik untuk kita. Hiyakkk 😆"
dennisransun,2020-06-05 23:09:47,@strawbery021 udah lama kagak dipake mikir https://t.co/LMrYX8TVP4
dennisransun,2020-06-04 18:02:37,2 people followed me // automatically checked by https://t.co/M2H0bDDldY
dennisransun,2020-06-04 14:52:31,@derrymap83 Mending lu makan salad der biar gak kesel
dennisransun,2020-06-04 14:11:28,Sangat sederhana https://t.co/q5JcRyUKqH
dennisransun,2020-06-04 11:15:36,@putraardhii @febryXsetiadhy @wahyutoriqul @Rozzidane Gue baca nya atheis 😅
dennisransun,2020-06-04 04:38:06,@febryXsetiadhy @wahyutoriqul @putraardhii @Rozzidane 🤣🤣🤣
dennisransun,2020-06-04 04:34:57,@wahyutoriqul @putraardhii @febryXsetiadhy @Rozzidane Boleh ikut gak sih? Apa ada persyaratannya?
dennisransun,2020-06-02 09:58:48,Distributor wkwk https://t.co/DhHyYlbutq
dennisransun,2020-06-01 20:15:02,one person followed me // automatically checked by https://t.co/M2H0bDDldY
dennisransun,2020-06-01 11:26:58,Milan vs Juve final champions league. https://t.co/sr30CDHNOQ
dennisransun,2020-05-29 17:45:01,one person followed me // automatically checked by https://t.co/M2H0bDDldY
