username,created_at,text
destaard,2020-06-15 15:35:34,Gini amat nyari dunia https://t.co/4Ls7OtkjLn
destaard,2020-06-11 06:24:14,"Yg dirasain sih guyonan khas mereka ilang, kebanyakan sketsa malah kayak opeje dulu. alih-alih mencari penonton baru, malah penonton lama pada ilang. Cc : @TonightShow_NET https://t.co/DtEpy2jmet"
destaard,2020-06-11 03:16:01,Keliatan dari mukakmu nampak2 hasrat tak tersalurkan 😂 https://t.co/VD3jI00Vti
destaard,2020-06-11 02:24:49,"Gak usah banyak alibi kau nak, mamak tau kau galau aja mikriin jodoh https://t.co/E1UHOvQqpc"
destaard,2020-06-11 01:08:06,"@Khairulabdii1 Nak, mamak cuma mau mantu"
destaard,2020-06-07 09:44:50,😂😂 https://t.co/MS3YieVUQm
destaard,2020-06-06 02:32:49,@TonightShow_NET undang nadin amizah dong pengen denger album barunya
destaard,2020-06-02 09:44:22,😭😭 https://t.co/ByYlBua3sL
destaard,2020-05-27 12:40:59,Alig alig 😂 https://t.co/CwtIudsW95
destaard,2020-05-26 05:01:51,"Bingung aku woyyy, udah nyerah atau bijimane? https://t.co/uOQj07PWaC"
destaard,2020-05-25 03:20:40,Lebaran tiduran saja
destaard,2020-05-23 19:45:48,"Goblog, bingung sendiri kan 😭"
destaard,2020-05-20 16:28:28,Dengan corona Tuhan seakan menunjukkan ada banyak orang goblok disekitar kita https://t.co/EhVYJX7oUC
destaard,2020-05-19 08:00:42,Setannn 😂😂 https://t.co/UnHd4oWF6v
destaard,2020-05-19 04:13:49,Sebuah bacaan menampar sekali ya https://t.co/lg78cLo587
destaard,2020-05-15 18:05:50,Ckck dagelan bener https://t.co/7EZ2JvnDyX
destaard,2020-05-15 13:46:29,👏🏻 https://t.co/KWag8nqfvw
destaard,2020-05-12 04:34:47,Dia lebih ingin berbagi tawa daripada memperlihatkan rapuhnya
destaard,2020-05-12 04:32:28,"Yang selalu berusaha membuat lelucon, dialah yang paling banyak memendam kesedihan ~"
destaard,2020-05-11 06:52:04,😂😂😭😭😭 https://t.co/qFtJiOsVMd
destaard,2020-05-10 16:58:23,😔 https://t.co/DETZAw2Jeb
destaard,2020-05-09 22:07:02,Mau ngomong kasar tapi kok udah imsak
destaard,2020-05-07 12:34:16,Apa gak pegel aku nyatat dosa aja ini https://t.co/hZyoQRbNLX
destaard,2020-05-07 12:31:19,@panditfootball Asyuuu
destaard,2020-05-04 17:27:19,"Pengen tidur cepet, tapi kok sayang bgt hidup cuma buat tidur. Tapi gak tidur juga hidup kok gak berguna juga"
destaard,2020-05-01 21:43:09,https://t.co/4wQYVJY87L https://t.co/KT54KsYVdX
destaard,2020-05-01 16:59:00,@Hallomumu111 Tapi pernah ngerasa “lain” gak dtg kesuatu tempat?
destaard,2020-04-28 12:35:39,"Ramadhan Pengen ikutan jualan kayak yg lain, tapi baru sadar yg bisa dijual cuma harga diri 😅"
destaard,2020-04-22 02:06:21,Kurang gede barbelnya https://t.co/VYaDyCoMKM
destaard,2020-04-19 14:27:45,Resepsionis syurga https://t.co/BXSSgzx4BS
destaard,2020-04-16 12:16:05,"Mau pipis tapi tangan baru dioles balsem, apakah aku harus lepas tangan??"
destaard,2020-04-14 12:40:14,@Khairulabdii1 Ah 2019 hahaha
destaard,2020-04-14 12:21:28,@Khairulabdii1 Anak 2019 tau juga too hahaa
destaard,2020-04-14 03:13:32,"@wsdimas92 Ya cb ntr dicari mas, mgkn tertarik 😄"
destaard,2020-04-14 02:48:19,@wsdimas92 Gak tau tp jadi bahan ya hahaha
destaard,2020-04-13 19:05:38,Gak usah ngaku anak twitter lama kalo gak tau sarah ardhelia ~
destaard,2020-04-03 16:39:45,Perjuangan bgt ya aktifasi kamu @byu_id
destaard,2020-04-03 07:17:08,@byu_id kok gagal terus sih aktifasi
destaard,2020-03-31 11:27:47,@gidew Tes kejiwaan dek haha
destaard,2020-03-31 04:57:02,"Ditengah corona, kesehatan yg lain butuh juga dijaga cuy. https://t.co/2qzuymZrRQ"
destaard,2020-03-20 16:09:51,Mabok agama ternyata lebih bahaya dari mabok yg lain
destaard,2020-03-18 11:36:59,Elahhhh pak https://t.co/2TtDTor1w8
destaard,2020-03-16 10:30:43,"@frozencantik18 Welcome dek, senang bisa membantu"
destaard,2020-03-16 10:24:42,@frozencantik18 Coba hidungnya disemprot pake kompresor biar gak mampet 🙏🏻
destaard,2020-02-19 01:48:50,Mancing mania mantap! https://t.co/ufyqhyEdiK
destaard,2020-02-11 17:52:21,@Khairulabdii1 Ckck sadboy
destaard,2020-02-11 17:46:44,@Khairulabdii1 Jodoh terooosssss
destaard,2020-01-30 03:42:32,Hmmmm https://t.co/TseLXSWIn0
destaard,2019-12-22 01:22:31,Mbrebes mili cok https://t.co/4y3UTGTi3u
destaard,2019-12-14 14:17:27,@TirtoID Hadehhh
destaard,2019-12-10 15:46:52,Teriak AllahuAkbar tapi kelakuan barbar https://t.co/ZoQckLgxgv
destaard,2019-12-07 16:03:36,@myXLCare paket nelpon axis bisa dipake nelpon ke xl??
destaard,2019-12-06 12:53:03,Donlod bokep kenapa lebih gampang dr donlod anime bgst!!
destaard,2019-12-04 16:12:06,@bepe30 @Telkomsel Putus2 bukan gak masuk kepet
