username,created_at,text
destandriyani,2020-07-03 15:21:34,"@kautsarannisaa Iya kita harus semangat, gaboleh ngeluh, biasanya kalo makan pasti bagian terenak disimpen terus dimakan terakhir kan ! https://t.co/cPdJ6g4uhf"
destandriyani,2020-07-03 15:17:49,Seru bgt sih orang2 pasti selalu deg2an tiap jam 23:59 KST nunggu foto teaser atau video teaser baru ! Seru bgt pasti itu. Aku bener2 deg2an tadi tapi ternyata ga ada apa2 https://t.co/jpJYJ0JIQj
destandriyani,2020-07-03 08:01:41,Dude emang nyatanya pertemanan sesama perempuan itu jauh lebih mengerikan sih
destandriyani,2020-07-03 02:28:38,@Inta1212 https://t.co/xko8CLDvoV
destandriyani,2020-07-03 02:23:01,@LadyRainz614 Omg I love cheese and I love durian but I can't really imagine if they combined both of them 🤪
destandriyani,2020-07-03 01:31:38,I'm kind of envy when others already announced their exact comeback or debut date meanwhile Taemin https://t.co/7eggQ3BTSt
destandriyani,2020-07-03 01:02:34,Wow https://t.co/DEzQUuOKPb
destandriyani,2020-07-02 17:18:07,Taemin say hello to clear all this mess in my timeline https://t.co/0iyIu8ODI1
destandriyani,2020-07-01 16:14:43,@JongInWanKenobi You are the one who better shut the fuck up
destandriyani,2020-07-01 09:11:49,The cutest youtube thumbnail ever 🥺 https://t.co/NysRIcWUFq
destandriyani,2020-07-01 09:10:51,Adik potong rambut dulu guys https://t.co/ZgLxTisKpu
destandriyani,2020-06-29 08:06:49,He fckg think we can send him pictures. I will done that if I can Taemin please don't make me sad
destandriyani,2020-06-28 15:01:41,@SHINee Anjing sumpah gue kaget
destandriyani,2020-06-25 04:48:41,@kaaseps Coba cek di promotion. Tadi emailku masuknya ke inbox promotion bukan inbox biasa 🤣
destandriyani,2020-06-25 03:20:01,"Anyway if any of you need ace member discount for the photobook, you can check out with mine. Karena gue gajadi pake, tapi barangnya urus sendiri 🤗"
destandriyani,2020-06-24 10:49:45,"@radheaology Berisik bgtttt, sampe after gamenya juga berisik semaleman !"
destandriyani,2020-06-24 09:25:42,Sofa 100jt emang beda sih liatnya aja udah so comfy gimana duduk disitu 🥺 cita2ku jadi kaya raya supaya bisa beli sofa mahal https://t.co/G83atUrjZ2
destandriyani,2020-06-24 09:06:46,"Berisik bgt main gamenya, fix kalo kita main bareng langsung dilempar sapu sama emak gue"
destandriyani,2020-06-24 06:56:54,@kautsarannisaa Sama gue juga ! 🥺
destandriyani,2020-06-24 06:07:07,@kautsarannisaa Ga ada mulletnya kan ? Plis kenapa kemaren ada sih di video greeting. Gue gemes dah
destandriyani,2020-06-24 06:06:35,@ONEWsBlueLight https://t.co/XqUSG55P7c
destandriyani,2020-06-23 10:32:23,"If Taemin really release his new song on 20th, he is the biggest Onew bogoshipda energy ever. We can't even compete https://t.co/F47Zl3SAra"
destandriyani,2020-06-23 05:01:14,@wantae718 @SMTOWNGLOBAL Itu ballerino yg sepertinya akan kerjasama sama Taemin ternyata orangnya problematic bgt !
destandriyani,2020-06-23 04:39:46,SM gimana sih ! @SMTOWNGLOBAL
destandriyani,2020-06-23 01:10:01,Taemin late late late July bgt fix https://t.co/BuqI5AVacl
destandriyani,2020-06-22 13:13:05,Gilasi ketika gue fikir udh gabakal kaget lagi dengan konsep comeback Taemin. Ternyata tetep kaget ! Why I never think of ballet 🤦‍♀️
destandriyani,2020-06-22 13:07:13,Ballet with this hair ? 🤔 https://t.co/shWB79ujIY
destandriyani,2020-06-22 06:49:39,샤이니 사랑해 https://t.co/A3ppiNlYGP
destandriyani,2020-06-22 03:08:10,"Gue gagitu suka mullet sih asli deh, yaudah deh tp gapapa !"
destandriyani,2020-06-22 03:07:30,다른 비디오 https://t.co/rPJBCLFELR
destandriyani,2020-06-22 03:05:41,머리 🥺 https://t.co/zFWcynYM5S
destandriyani,2020-06-21 13:10:59,@Ridhaflame Iyak wkwkwk aku juga tau siapa itu🤣 same person who used to hate me cause she thought that I was the one who made taemin rcti invitation canceled 🤡
destandriyani,2020-06-21 13:04:16,"Ngomongin kkt idol, dulu jaman masih bocah. Masih jadi elf, inget bgt ada yg ngasih gue kkt donghae sama kyuhyun, trus gue yg bertanya pada rumput yg bergoyang. Apa faedahnya 🤡 sampai akhirnya kkt diuninstall karena hp jadulku tidak sanggup menopang kkt"
destandriyani,2020-06-21 12:21:58,"@koalahug9193 @flamingtaem Gue udh hopeless sih, cuma bisa bersyukur gue udh jadi shawol dan ter2minned since then 🥺"
destandriyani,2020-06-21 11:54:41,@koalahug9193 @flamingtaem Mon maap tapi yg natural emang selalu menang 🥺 https://t.co/OK4QJUcz7l
destandriyani,2020-06-21 11:47:49,@flamingtaem HAHAHAHA NGAKAK. CANTIK BGT ANJIR ?
destandriyani,2020-06-21 11:41:13,@flamingtaem hah ? Apaaa ? Whyyyy
destandriyani,2020-06-21 11:21:18,엉덩일 흔들어 봐 https://t.co/oJJnaKHFTC
destandriyani,2020-06-21 10:49:31,OnTae when Jinki finally come home at 20th July 🥺
destandriyani,2020-06-21 10:48:25,👉👈 https://t.co/k405GgAEom
destandriyani,2020-06-21 10:05:24,"@shiningineast Ini sih, pertama liat jangan-dong di maps gue ngakak kenceng bgt 🙃"
destandriyani,2020-06-21 05:41:10,"@ronzzykevin Please mending gak dulu deh, macam2 aja Indonesia. Naiknya tiap hari masih ribuan aja bener2 nantangin banget deh udh mau jalan normal kek gini. Negara lain yg udh hampir ga ada kasus baru aja masih antisipasi kagak kepikiran bikin acara massal, disini malah🤦‍♀️ dikira debus apa 🤦‍♀️"
destandriyani,2020-06-20 17:10:31,"Situasinya sama sih, kondisi badan letih luar biasa, pasang headset dengerin lagu playlist ballad. Trus sepanjang jalan hujan dan bisnya adem trus gak rame2 amat. Bablas"
destandriyani,2020-06-20 17:08:01,"Ya Allah ini gue pernah ngerasain ketiduran di bis bandara pulang dr Korea kemaren lol untung turun di last stop dan pas bangun bisnya dah kosong, kata abang2nya gue dibangunin ga bangun2. Malu bet https://t.co/L47OVzEqD2"
destandriyani,2020-06-20 10:22:05,@radheaology Gila gabisa hati gue 🥺
destandriyani,2020-06-20 10:19:07,"@radheaology Kalo liat dr bajunya ini kayanya di hari yg sama kaya waktu dia share foto di bubble yg cantik luar biasa itu sih. Mungkin mekapan dikit, tp gilasi"
destandriyani,2020-06-20 10:04:42,"@radheaology *nangisssss* cantik bgt ga ngerti lg, ini mekap-an gasii"
destandriyani,2020-06-20 10:04:03,@kaaseps Aku juga email yg buat pesen fanclub ituuu. Belum ada email deh emang kayanyaa
destandriyani,2020-06-20 09:39:46,@radheaology Kek barbie bgt coy gue pusing
destandriyani,2020-06-20 09:38:59,"@kaaseps @Ci_5HINeeNoona Aku udh ga beli setnya lagi nih :""("
destandriyani,2020-06-19 09:05:15,"@DiamondTaem Nope, put them on SHINee members hands 🤣"
destandriyani,2020-06-18 01:45:50,"@sagyehan Huhuhu sedih deh. Biarkanlah kita happy masing2 gasi, tak habis pikir 🙃"
