username,created_at,text
ditdandep,2020-07-01 13:41:13,@bibbidibabidibo 😭😭 https://t.co/XQ34DH50QJ
ditdandep,2020-07-01 06:11:39,@raflidwntr atuh kasiann
ditdandep,2020-07-01 05:05:53,@raflidwntr ikan buntal gtt iniii?😭
ditdandep,2020-06-30 15:27:35,@adiyakult oiyaa? aku gatau ini ikan apa😭
ditdandep,2020-06-30 10:50:59,@nickeyqs_ bukan ikan gabus😠
ditdandep,2020-06-30 10:43:47,'mam titip beli ikan neon' yg dateng : https://t.co/zHoTXzdScc
ditdandep,2020-06-28 11:45:05,@sarningg 💯
ditdandep,2020-06-28 10:55:09,🤩 https://t.co/mQTQcSZ9MC
ditdandep,2020-06-26 02:19:06,tumbuh daun baru😍 https://t.co/6EnpyDibdg
ditdandep,2020-06-19 14:56:18,the ONLY cheesecake that i approve https://t.co/fuQ12Wx14h
ditdandep,2020-06-19 12:36:07,ok charlie reed🤧 https://t.co/tpc3KXusTF
ditdandep,2020-06-16 11:42:10,@diyangwr workout apaan yang baseuh gt:(
ditdandep,2020-06-16 06:54:30,@adhfnr aku udah gak seuhah lagi😭
ditdandep,2020-06-12 13:08:21,@nickeyqs_ https://t.co/3G6wN2zoMG
ditdandep,2020-06-11 17:04:48,pagi chloe ting jam 12 malem makan mie @ aku
ditdandep,2020-06-04 10:45:31,@raidnsa sampe hafal gk sih??wkwk
ditdandep,2020-06-01 04:36:42,@raidnsa semangat aku juga br mulai lg🤤
ditdandep,2020-05-30 03:00:31,@raflidwntr tos dulu✋🏻
ditdandep,2020-05-29 15:59:49,@neverknewloves dan jualan pizza uwu
ditdandep,2020-05-29 15:58:28,@diyangwr harus bangga dan sabar 😔✊🏻
ditdandep,2020-05-29 15:31:39,@raidnsa hehehhehehe yg penting gk salah ambil jurusan kuliah itu nyeselnya seumur hidup:(
ditdandep,2020-05-29 15:10:07,"dulu pas smp sebelum tau per-hierarki-an ipa ips pgn masuk ips, trs setelah dikasih tau info2 pgn masuk ipa karna ya 'katanya' lebih gampang ambil jurusan, setelah dilema akhirnya pilih ips &amp;&amp;&amp; skrg menurut ku masuk ips adalah one of the best decisions i've ever made👉🏻👈🏻 uwu https://t.co/g2bZSG8Mfi"
ditdandep,2020-05-29 01:29:57,random bgt mimpi nonton sm ahn jae hyun trs syuting we got married 🙂🙂🙂
ditdandep,2020-05-28 15:20:38,@pipipipoot @torantula @awkarin bagus biar gaada maling:(
ditdandep,2020-05-28 15:10:08,@pipipipoot .... berapa yah😭
ditdandep,2020-05-28 15:09:24,@pipipipoot wkwkwkkw
ditdandep,2020-05-27 12:27:17,bye bye koki🤧 https://t.co/mOdRispkDd
ditdandep,2020-05-25 14:55:27,@nickeyqs_ kawin paksa
ditdandep,2020-05-24 08:00:33,@atletkarambol anak buah kapal?
