username,created_at,text
effendisgurl,2020-06-18 06:42:23,Suka bingung kalo anaknya pendiem...
effendisgurl,2020-06-17 16:44:22,Buy a house and fill with my chosen furniture 🤍
effendisgurl,2020-06-17 15:14:44,Jadi kepoin kevin nishimura
effendisgurl,2020-06-15 17:18:49,"Glad to teach them again. Here’s Dom and Kell, who brightened my day. https://t.co/ZwThD9l3QA"
effendisgurl,2020-06-15 13:54:13,"hehe aku nga suka digambar jadi tidak perlu menyenangkan aku dengan menggambar mukaku. liat orang yg dibikinin karikaturnya aja langsung komen ""ko lo mau sih digituin"". I might need therapist."
effendisgurl,2020-06-15 12:50:10,@dio_LZ Wah bentar lagi
effendisgurl,2020-06-15 11:16:42,@sebuahkeju @dio_LZ Kalau kangen mesti nge chat yang itu
effendisgurl,2020-06-15 11:13:40,@sebuahkeju @dio_LZ Yang mensyen barusan dulu dah
effendisgurl,2020-06-15 11:02:34,@sebuahkeju @dio_LZ Dio kangen acis
effendisgurl,2020-06-15 09:38:16,Sekalinya bayar qodo yang berhari hari aku selalu skip abisnya gabisa bangun saur :”). Pantesan kemarin kemarin dikasi tamat sebulan
effendisgurl,2020-06-15 05:30:59,"@dio_LZ @sebuahkeju Manggilnya acis tapi di tweet aku, iki piye"
effendisgurl,2020-06-15 01:24:54,Thanks but no thanks
effendisgurl,2020-06-14 15:34:33,"Travis Scott bangetsi kamu, not social media person but productive."
effendisgurl,2020-06-14 15:07:20,Sudah kudugong
effendisgurl,2020-06-14 14:31:24,@sebuahkeju Topiknya kebetulan tepat gitu mbak hhe
effendisgurl,2020-06-14 14:30:38,@Brainofsteels @VVatermelongvrl @sebuahkeju Mangat untuk nimbun buat nikah dan biaya masa depan 💪
effendisgurl,2020-06-14 13:29:54,@sebuahkeju Wgwgwg one and only
effendisgurl,2020-06-14 12:24:33,"@Brainofsteels @sebuahkeju @VVatermelongvrl Jadi spesialisnya teh kaya beda beda gitu, pernah di jelasin tapi lupa hhe bisi salah, cuma dia minatnya game jd fokusnya ke situ. aku cuma ngikutin sampe previewnya dia sih. Bikin game buat di anroit, lucu deh game masakan sunda gitu ceritanya"
effendisgurl,2020-06-14 12:11:46,@Brainofsteels @sebuahkeju @VVatermelongvrl DKV kir. Temenku dkv marnat minatnya game
effendisgurl,2020-06-14 05:05:43,Kak maria stop bikin aku kangen melaka deh :”)
effendisgurl,2020-06-13 15:06:56,"Ternyata cerita-cerita di ftv bener ya. Russell asalnya galak banget, les cuma mau 30 menit. Lama-lama malah dia gamau tutup video callnya."
effendisgurl,2020-06-13 14:41:02,To the point ngapa
effendisgurl,2020-06-13 10:39:36,@sebuahkeju @VVatermelongvrl Wkwk demi konten masa
effendisgurl,2020-06-13 10:23:58,"@VVatermelongvrl Aku pernah diginiin, dibilang duniawi wkwkwk. Kaget dong kan aku juga masi inget ibadah sebagai umat muslim :”)"
effendisgurl,2020-06-12 14:33:45,"Udah dua orang kayak, Lin ko ngga ada kabar? Hah emang aku sebegitu hilangnya :("
effendisgurl,2020-06-11 13:23:21,Kayak sepupu Spongebob ya kamu hobinya merusak :)
effendisgurl,2020-06-10 15:55:01,"I wish she is my closest friends, so I could tell her, “maksudnya kalo mo ngedit mening diedit semua gitu mbak”"
effendisgurl,2020-06-10 13:47:16,3 minggu di Jogja bener-bener ngubah aku banget. Yang tadinya niat kerja disana sampe gatau kapan eh pulang ke Bandung bawa bekel banyaak banget. Sayang deh.
effendisgurl,2020-06-10 13:46:06,Monangis kangen Tamsis
effendisgurl,2020-06-09 06:27:54,@dio_LZ Jelaslhaa
effendisgurl,2020-06-09 05:14:33,"Ada juga kebalik inimah, aku yang beresin mamah yang rebahan https://t.co/70b6UZDoJi"
effendisgurl,2020-06-07 17:32:42,I can’t live without IT oriented people. I ask that much to make my life easier.
effendisgurl,2020-06-06 20:48:25,@sebuahkeju @dio_LZ Gatau dio suka gajelas nih
effendisgurl,2020-06-06 18:38:17,Fucking hypocrite
effendisgurl,2020-06-06 15:48:07,Kenapa 13reason why kayak Riverdale... unknown caller? We’ll Im still interested.
effendisgurl,2020-06-06 08:35:56,"I wish my student become real artist, bcs I don’t think I have that chance."
effendisgurl,2020-06-06 03:43:12,"Out of topic sih tapi menurutku cantik bgt dia, mata sama bibirnya bagus :”) https://t.co/xacPCjHKX7"
effendisgurl,2020-06-05 15:01:43,"I’m drawing like all the time, and now I feel something wrong with my right hand."
effendisgurl,2020-06-05 10:04:38,Demen nih yang gini gini https://t.co/tIcPmu4a5S
effendisgurl,2020-06-05 05:48:08,@sebuahkeju @dio_LZ Cimahi dingin mandinya duahari sekali aja
effendisgurl,2020-06-05 05:21:24,@sebuahkeju @dio_LZ Pagi mbakkk
effendisgurl,2020-06-05 02:35:07,@dio_LZ @sebuahkeju Kayak maling aja
effendisgurl,2020-06-04 19:47:46,"I’m not a person who good at covering scars, I let them bleed."
effendisgurl,2020-06-04 18:15:23,Wish I could just move on from his death
effendisgurl,2020-06-04 18:01:11,@dio_LZ @sebuahkeju Ada apa ini ribut-ribut
effendisgurl,2020-06-04 15:28:51,@sebuahkeju dah kaya jaga malem yha
effendisgurl,2020-06-04 15:13:56,I want to be as creative as Gigi
effendisgurl,2020-06-04 15:13:31,@sebuahkeju Lha ngapen mbaknya 😃
effendisgurl,2020-06-04 13:52:29,Kangen jalan-jalan buat bahan tulisan dan jadi jutawan https://t.co/KI0u0Nv3Nf
effendisgurl,2020-06-04 10:56:32,@sebuahkeju Astagfirullah
effendisgurl,2020-06-04 10:46:51,Aku seneng kalo jam segini udah ngantuk. Mestinya tidur lebih awal
effendisgurl,2020-06-04 04:50:00,@Brainofsteels @VVatermelongvrl Iya juga ya 😅
effendisgurl,2020-06-04 04:16:07,@Brainofsteels @VVatermelongvrl Biar ngga disangka gendong tuyul itu
effendisgurl,2020-06-03 18:01:54,@sebuahkeju @VVatermelongvrl Iyaa 😂
effendisgurl,2020-06-03 17:25:46,"@VVatermelongvrl Adik aku mah obsessed banget sama Bali, sampe nyari guesthouse buat sekeluarga buat karantina😂"
effendisgurl,2020-06-03 13:56:10,@VVatermelongvrl impian adik aku banget
effendisgurl,2020-06-03 09:00:09,@iamicoooo Mee ☝️
effendisgurl,2020-06-03 04:50:53,They say you don't know what you got until it's gone.
effendisgurl,2020-06-02 22:25:26,Now it’s very clear.
effendisgurl,2020-06-02 16:21:47,Giliran aku begadang tar ada yg mo les pagi
effendisgurl,2020-06-01 23:01:23,"Selalu mimpi balik lagi ke normal. Kelas dibuka kaya semula dan aku ketemu shob, ka monic dll. Kangen emang"
effendisgurl,2020-06-01 16:41:06,@sebuahkeju Iya toh? 👁👁
effendisgurl,2020-06-01 16:12:54,@sebuahkeju Yampun mbak dah 10 taun kita followan
