username,created_at,text
egabetari,2020-06-18 10:49:12,@uchimaiscka iyaa pengen pake masker charcoal terus mata di tutup pake potongan timun dingin gitu loh ..
egabetari,2020-06-18 01:38:19,@surameto jidat ke hiding nggak bisa dong?
egabetari,2020-06-18 00:10:58,boleh nggak sih kerja di kantor sambil maskeran wajah? pengen :(
egabetari,2020-06-18 00:05:28,@Dafriz1407 @ranabud inggih
egabetari,2020-06-17 17:28:31,"@ranabud tetep ada yg lahir sih, tapi dari yg middle up 😅 itu juga kan ada list foto2 maternity, pas persalinan, baby moon, yaa mehong lah jadinya."
egabetari,2020-06-17 14:23:23,🤣🤣 rasa rengginang. berminyak dan renyah https://t.co/O3jRkp1syq
egabetari,2020-06-17 14:21:25,"@ranabud bisa jadi.. aku juga belom cek ke rumah sakit umum. dan itu untuk ceasar ya.. normal lebih murah biasanya. kalo mau nabung ya nabung untuk biaya Caesar sekalian, tapi usaha lahiran normal."
egabetari,2020-06-17 11:33:51,hai @gojekindonesia dan @GrabID .. kapan yaa ojek online (motor) kalian operasi lagi di Tangsel?
egabetari,2020-06-17 11:21:35,"dari palmerah sih bisa physical distancing. sampe kebayoran, ya begini... well, namanya juga jam pulang :) https://t.co/cvgGwtqWov"
egabetari,2020-06-17 11:16:05,"temen kantor cerita, dia dulu ceasar di Siloam Simatupang, paket 4D3N (kelas vip yess) habis 40jt. biaya dokter bisa 8jt. nggak pake acara maternity shoot, pembukaan moment, dan apalah2 itu. jadi yg di tulis si akun itu mungkin vip room kayak gini kurang lebih ya."
egabetari,2020-06-17 11:08:51,@ranabud ajari toh mbok ran.. mungkin kurang genep nyawanya itu
egabetari,2020-06-17 11:08:16,pas nunggu kereta juga nggak rame. thanks @CommuterLine dan Palmerah station. https://t.co/BbSdYhttVH
egabetari,2020-06-17 10:59:42,"antri lagi, beda arah aja. antri mau turun ke peron 1. nice lah. walaupun antri lama, tapi teratur gitu.. https://t.co/ESSqBz5eks"
egabetari,2020-06-17 10:57:21,"tujuan: peron 1. pic sebelumnya itu antri cek suhu dan tapping. nah abis tapping, antri lagi sebelum turun ke peron 1. https://t.co/kURnZO5DrR"
egabetari,2020-06-17 10:46:14,now at Palmerah Station. paling nggak berjarak... https://t.co/3t1VQQp279
egabetari,2020-06-17 10:37:45,"@ranabud mbok ya subuh2 abis sholat itu, bantuin mamaknya masak atau siram2 taman depan rumah gitu loh.."
egabetari,2020-06-17 10:30:01,@jiemiardian best ever 😍
egabetari,2020-06-17 10:18:09,@ranabud lah itu subuh2 siram2 muka 🤣
egabetari,2020-06-17 02:13:37,"loh? loh? film India tanpa joget2 kan, kayak pempek tanpa cuko 😱 https://t.co/FA6lKOn75b"
egabetari,2020-06-17 01:24:45,jadi pengen nanya pengeluaran temen kantor yg melahirkan secara ceasar di rumah sakit Siloam..
egabetari,2020-06-17 01:22:03,"baca tweet orang ttg biaya selama hamil sampe biaya persalinan dari akun financial advisor, got me cringe. kayaknya, adminnya ini pegawai BKKBN. biar rangorang mikir lagi kalo mau punya anak."
egabetari,2020-06-17 01:14:41,@ranabud mungkin karena nggak subuh2 (?)
egabetari,2020-06-16 11:51:15,"ini nggak ""nggak sengaja"" juga?? https://t.co/uCNwRovJ3Y"
egabetari,2020-06-16 11:50:09,@ruthdrsk ikutan uthee kalo ada 🙏
egabetari,2020-06-16 05:44:22,makan terlalu cepat bisa menyebabkan sakit perut.
egabetari,2020-06-16 01:42:48,@ruthdrsk uthe belajar sendiri?
egabetari,2020-06-16 01:20:31,"@WindraBN timun lagi nggak panen paling, wind. Pak tani-ny resign :("
egabetari,2020-06-15 11:25:49,@WindraBN @Prambors adegan sherina bawa M&amp;M se-tempat bekal terus kasih makan kancil (eh apa anak rusa ya?)
egabetari,2020-06-15 07:45:22,"@surameto aku pasti les baca nama tempat itu dulu, baru ke sana"
egabetari,2020-06-15 06:30:35,@surameto bilang aja 'hah? apa?' 😆
egabetari,2020-06-15 02:06:54,"@surameto @ranabud aku tadi mau ngomong gitu, metoo 😆"
egabetari,2020-06-15 02:02:39,@ranabud @surameto yoi 😆 kalo aku kan badan minimalis (pendek maksudnyaaa)
