username,created_at,text
fanirchm27,2020-06-15 13:40:01,@aqngatau tapi ak blm pernah kesana hyung wkwkwk
fanirchm27,2020-06-15 13:33:42,@aqngatau kalo udh diisi dapet apa hyung?
fanirchm27,2020-06-15 13:00:03,@kdrama_menfess joy - introduce me a good person wheein - with my tears
fanirchm27,2020-06-15 10:46:51,@ebikuhibiniu_ sama udah stress bgt pengen ngonser tapi gamungkin jd yaudahlah😊
fanirchm27,2020-06-15 10:45:34,@curcolsuju 🥰🥰 https://t.co/HJrSPpF1Gl
fanirchm27,2020-06-15 08:50:34,@ebikuhibiniu_ kangen siapa? aku atau om?
fanirchm27,2020-06-15 08:17:33,"Hari ini, selama satu tahun SS7S. kangen ngonser lagi🥺 @SJofficial https://t.co/eh8too0XM1"
fanirchm27,2020-06-14 16:15:03,@keshya__ @awliahaha kasian bgt udh ditolak padahal blm maksa mba mba nya
fanirchm27,2020-06-14 16:07:21,@keshya__ kok sama sih sama bni taplus muda
fanirchm27,2020-06-14 16:06:54,@awliahaha gimana tu rasanya mam kerang ijo ama pacar?
fanirchm27,2020-06-14 16:00:49,@awliahaha cie pengalaman
fanirchm27,2020-06-14 15:59:42,BNI taplus muda cuma 5000/bulan https://t.co/rzFyAKThvF
fanirchm27,2020-06-14 15:51:49,@dinafkahinn bapak akuuu😍
fanirchm27,2020-06-14 15:48:41,@dinafkahinn bapak Asep😍
fanirchm27,2020-06-14 15:45:17,@dinafkahinn DIA KOTA INDEPENDEN GAMASUK MANA MANA SORRY:)
fanirchm27,2020-06-13 17:20:16,@awliahaha lagi membiasakan diri😭
fanirchm27,2020-06-13 16:54:11,"@awliahaha udah 2 bulan gak minum bun, jadi setiap sakit pake minyak sampe panassss🤣"
fanirchm27,2020-06-13 16:44:34,"nemu koyo menstruasi di tokped tp pricey banget jd ga bisa nyetok, kecuali bapak ku @siwonchoi https://t.co/Aoyyte9RDd"
fanirchm27,2020-06-13 16:42:47,kenapa ya setiap haid kalau gak minum obat anti-nyeri udh kaya mau mati diri aja ga bisa.
fanirchm27,2020-06-13 14:58:08,@yashmrh sayang sekali padahal aku udh motivasi kamu terus tiap hari
fanirchm27,2020-06-13 05:38:10,"@keshya__ @yashmrh @cymocy_ oh ngga maav, ini khusus yg masih waras🤪"
fanirchm27,2020-06-13 03:26:24,bisa banget hyung https://t.co/yCb6RumUEm
fanirchm27,2020-06-13 03:25:04,"@yashmrh @cymocy_ ayoo chat oma, dia lg buka sesi konseling"
fanirchm27,2020-06-12 17:40:20,dari dulu setiap abis cerita sama dia. selalu di apresiasi kaya gini. padahal ga ngerasa abis ngelakuin hal yang spesial heheee ♥️u @cymocy_ https://t.co/hnQbVNMooH
fanirchm27,2020-06-12 17:26:16,"pernah, kabur ke rumah temen garagara ga dibeliin tiket konser sdgkn kaka gue dibeliin. cuman seharian sih soalnya di iming-imingin beli hape. tapi dikibulin:) https://t.co/OUsyDBbxG2"
fanirchm27,2020-06-12 17:10:59,@ebikuhibiniu_ iya di stasiun😊
fanirchm27,2020-06-12 17:09:37,@ebikuhibiniu_ nginep sini dong ebi biar aku bisa tidur
fanirchm27,2020-06-12 17:08:47,@ebikuhibiniu_ bisa apa? bisa gila😩
fanirchm27,2020-06-12 17:07:06,"gak pernah bisa tidur, selalu insomnia. padahal udh ngantuk banget😭"
fanirchm27,2020-06-12 14:12:26,@emalaikatt tapi km ada mbanking wkwkw🤪
fanirchm27,2020-06-11 17:37:39,"@emalaikatt setuju bgt, ditambah shopeepaylater😩"
fanirchm27,2020-06-11 15:18:50,kyooot🤣😍 https://t.co/8uhlHZveS4
fanirchm27,2020-06-10 10:58:04,@zsazsaa_ season 2 bapak uju sama songhwa😍
fanirchm27,2020-06-09 17:48:13,@yashmrh kok curhat hyung😊
fanirchm27,2020-06-09 17:28:15,@yashmrh request kali kedua dong🙂
fanirchm27,2020-06-09 13:54:41,"@ohmybeautybank dari SMP gue selalu gini nder karna emang dari gen mama, coba ke dokter dulu di cek pasti ada beberapa faktor yg bikin setiap km dateng bulan jadi sakit"
fanirchm27,2020-06-08 17:43:18,mending sekarang buat ktp jd org citayem sini https://t.co/f4Kj2u0Xqm
fanirchm27,2020-06-08 05:30:02,@CommuterLine halo admin tolong infoin dong kereta terakhir dari stasiun lenteng agung ke bogor jam berapa? terima kasih🙏🏻
fanirchm27,2020-06-08 05:28:35,psbb masa transisi apa iya kereta terakhir ke bogor masih jam 18.00? masih sore bangeeeed.
fanirchm27,2020-06-08 05:26:16,@ohmybeautybank emina glossy stain &amp; tonimoli
fanirchm27,2020-06-07 17:17:38,ini gimana jadi nya kamar kemasukan belalang
fanirchm27,2020-06-07 14:07:49,@yashmrh ngakak banget yg nyundul bola😭😭
fanirchm27,2020-06-07 14:03:43,@yashmrh hayooo sbg fens yg baik editin https://t.co/GBSP9GB6br
fanirchm27,2020-06-06 10:44:09,"@auliamunadiahh hmm bentar bentar, dari 2014 baru kemarin ya nad"
fanirchm27,2020-06-05 17:02:50,@salsabila_sha maaci byuti♥️
fanirchm27,2020-06-05 16:27:32,@emalaikatt buka jasa bantuan ga? aku minat
fanirchm27,2020-06-05 16:27:09,@auliamunadiahh semenjak lulus smp kan
