username,created_at,text
fitrisip,2020-06-12 12:45:14,Beli makanan yang pengen banget tuh entah kenapa bikin mood jadi seneng banget dan happy seharian
fitrisip,2020-06-11 06:38:22,&lt;- si anak yang harus diet gula tapi tiap hari kerjaanya liat ig orang jualan yang manis2. Dasar aku sukanya cari masalah.
fitrisip,2020-06-11 04:19:43,@anggy_dayo tq :)
fitrisip,2020-06-11 03:30:58,"@anggy_dayo bagi tipsnya gyyy, pake mixer kah?"
fitrisip,2020-06-10 14:35:43,"Gimana cara bikinnya, terkejut aku kok keren banget 😲 https://t.co/FgZn0BWx1j"
fitrisip,2020-06-09 05:10:51,@anggy_dayo Pertengahan agustus gyy
fitrisip,2020-06-09 02:54:22,@anggy_dayo Mainannya langsung tusuk ya 🤣
fitrisip,2020-06-08 15:12:06,"@nisawedestiara Iyaa dek, beli aja dek alat perlindungan skrg sebelum kamu masuk kerja lagi"
fitrisip,2020-06-08 15:05:45,@ichaaka Orang2 mulutnya suka ngga bisa di jaga 😔
fitrisip,2020-06-08 15:02:26,"@nisawedestiara Serem banget dek, mulai skrg bawa macam semprotan merica atau alat perlindungan lainnya buat jaga2"
fitrisip,2020-06-08 14:19:32,"Pernah diginiin orang padahal baru nikah 1 bulan ""Ngga tokcer kayak gue baru nikah langsung jadi"" Toh punya anak juga mikirin soal persiapan mental jadi orangtua bukan cuma bikin anak terus uda kelar https://t.co/S5T6Ol2vui"
fitrisip,2020-06-06 16:56:38,Diet gula lagi~ Padahal baru beberapa hari lalu bandel makan/minum manis Uda disuruh kurangin makan/minum manis lagi
fitrisip,2020-06-05 02:10:15,@friskakw Sedih rasanya pas tau ngga jadi kontrol tuh 😔
fitrisip,2020-06-04 13:04:47,@dewantee Makasih deeew! Sehat sehat jugaa
fitrisip,2020-06-04 13:00:35,"@dewantee Belum kook masih bulan agustus, ketemu bayi pas kontrol maksudnya hehehe"
fitrisip,2020-06-04 12:56:11,Yhaaa diundur ketemu bayik 2 hari lagi gegara perubahan jadwal mendadak 🙃🙃🙃
fitrisip,2020-06-02 02:42:37,"@cindoot Iyaa uda masuk TM3, makasih kaak! Sehat sehat juga 😁"
fitrisip,2020-06-01 15:21:01,"@nisawedestiara Aamiin ya Allah, deg degan bayi kegedean"
