username,created_at,text
fridamayanti,2020-06-12 14:49:39,@MUSIC_FESS Setelah ke undo dan ulang lagi https://t.co/3W7YiBlTa3
fridamayanti,2020-06-11 22:43:17,"Jam segini udah pada ngantri di kecamatan buat ngurus e-ktp, petugasnya mah meureun masih gogoleran di rumah"
fridamayanti,2020-06-11 10:48:12,"Merasa energi habis oleh pekerjaan, nyampe rumah lemes bener"
fridamayanti,2020-06-11 06:08:46,Abstain
fridamayanti,2020-06-08 15:16:19,"Jerawatan sampe bosen sumpah, apa klo udah bosen jerawatnya mau pergi lalu hilang"
fridamayanti,2020-06-06 11:24:29,@JeromePolin 0 alias tidak ada peluang 🤣
fridamayanti,2020-06-06 11:23:24,@JeromePolin Seiman tapi beda perasaan ya gk bisa juga 😅
fridamayanti,2020-06-06 09:21:33,Baca komen2 nya ngakak https://t.co/O6SrgahpPP
fridamayanti,2020-06-05 10:43:02,Bangsuy emang https://t.co/7eApmOy3Qn
fridamayanti,2020-06-05 09:59:30,@strawbery021 Uwuwu apa ini https://t.co/dPG2wn677Z
fridamayanti,2020-06-05 09:51:51,"Aku gk mau lagi pinjemin buku ke orang yg gk serius suka baca buku, buku rusak belum balik pula 😡 https://t.co/Tr0lVvvXd8"
fridamayanti,2020-06-05 09:49:04,@JeromePolin Susu
fridamayanti,2020-06-04 14:15:51,"Entah kenapa jadi sebel aja klo baca ""protokol kesehatan"""
fridamayanti,2020-06-04 09:13:56,"Mau kesini, entah sendiri entah dengan seseorang https://t.co/mQkJhBAE3C"
fridamayanti,2020-06-04 09:07:39,Nyebelin emang klo begitu https://t.co/s1e7QinGtN
fridamayanti,2020-06-02 08:52:02,@radenrauf Gk kebayang
fridamayanti,2020-06-01 14:45:40,Pen naik gunung deh
fridamayanti,2020-06-01 14:00:00,@PRIMAYANGPUTRI Aamiin
fridamayanti,2020-06-01 10:04:38,Yang belum aku lihat adalah sunset di tempat menakjubkan
fridamayanti,2020-06-01 05:11:20,"Awalnya seneng tapi ternyata itu bohong, biar orang lain gk nanya2 aja"
fridamayanti,2020-05-31 15:26:29,Gramedia ngangenin emang
fridamayanti,2020-05-31 13:22:02,@CekeranMidun Min bisa kirim ke luar kota?
fridamayanti,2020-05-31 13:16:27,@PRIMAYANGPUTRI Baik suhu 🤣
fridamayanti,2020-05-28 02:39:46,Pengen ngatain
fridamayanti,2020-05-28 02:34:42,Kebanyakan ingat hal-hal dianggap penting padahal tidak penting
fridamayanti,2020-05-28 02:03:26,@mediakita Pagi-pagi ngajak ribut
fridamayanti,2020-05-28 01:29:44,PSBB : Pura-pura Sibuk Biar Bubar
fridamayanti,2020-05-27 13:49:24,@JeromePolin Bacanya jadi nyanyi
fridamayanti,2020-05-27 13:48:45,@RianiNurasri @jiemiardian Iya mba 😁
fridamayanti,2020-05-27 11:05:05,@RianiNurasri @jiemiardian Sepertinya kita baca buku yg sama mba 🙂
fridamayanti,2020-05-27 10:59:05,"@infobdg Kup, bangun, ucing"
fridamayanti,2020-05-27 07:24:01,@Greschinov Indomie empal gentong pake telur dan tambahan saos cabe itu enak banget
fridamayanti,2020-05-26 13:43:45,"Lagi maskeran baca timeline twitter, auto retak"
fridamayanti,2020-05-26 10:59:33,Balik kanan bubaaaaaar jalan
fridamayanti,2020-05-25 05:37:47,Jadi ngerasa aneh makan jam segini
fridamayanti,2020-05-21 04:04:00,@ikakusumas Itu rame banget
fridamayanti,2020-05-20 06:30:16,"@nfaiha Memecahkan celengan rinduku, berboncengan denganmu mengelilingi kota"
fridamayanti,2020-05-19 11:22:13,"@nfaiha Menggenggam erat jari2mu, mendengarkan lagu sheila on7"
fridamayanti,2020-05-18 07:47:22,Kenapa jajanku banyak sekali 😶
fridamayanti,2020-05-18 03:52:39,"@mardiasih Itu nikah umur 17 tahun, emangnya gk lagi sekolah ya, bukannya 17 tahun lagi sekitar 2 atau 3 sma kecuali akselerasi terus kali ya"
fridamayanti,2020-05-18 00:35:37,Kesal tapi tidak tahu kenapa
