username,created_at,text
gieskalaila,2020-06-16 14:48:03,one person followed me // automatically checked by https://t.co/qsviBUjHZt
gieskalaila,2020-06-13 15:09:41,one person followed me and one person unfollowed me // automatically checked by https://t.co/qsviBUjHZt
gieskalaila,2020-06-10 14:57:51,one person unfollowed me // automatically checked by https://t.co/qsviBUjHZt
gieskalaila,2020-06-07 15:23:49,one person followed me // automatically checked by https://t.co/qsviBUjHZt
gieskalaila,2020-05-29 17:31:36,one person followed me // automatically checked by https://t.co/qsviBUjHZt
gieskalaila,2020-05-20 15:31:34,one person followed me // automatically checked by https://t.co/qsviBUjHZt
gieskalaila,2020-05-16 13:58:12,lupa kalo ini malam minggu #AdaptasiDenganCorona
gieskalaila,2020-05-15 15:29:24,@fritnbbn woi kok jd reuni disini😭 @fritnbbn @AfifahNurFD @isnenyelmnd
gieskalaila,2020-05-11 16:21:49,"uda buat emosi malem malem tbtb ngpc pakepake beb eh rupanya ada maunya, gt y taktik cewe2 jaman now"
gieskalaila,2020-05-09 09:52:47,@priaestetic Wkwkwkwkkwk
gieskalaila,2020-05-09 06:56:58,"""berseri-seri jadi bergeraham-geraham"" humorkuuu😂😂 https://t.co/3iYEvopUoL"
gieskalaila,2020-05-06 07:50:55,"@violinjingga blsan chat pembimbing kami: ""nanti dipastikan antara 11-19 mei"". Lhaaa disitu udah pleno, sampe skrg blm ada instruksi apapun😭"
gieskalaila,2020-05-06 01:55:30,one person followed me // automatically checked by https://t.co/qsviBUjHZt
gieskalaila,2020-05-04 16:55:07,@lucyanarusida2 sadd😭😭
gieskalaila,2020-05-03 04:09:43,@kodeeelll get well soon mama dheaa
gieskalaila,2020-05-02 06:37:36,one person followed me // automatically checked by https://t.co/qsviBUjHZt
gieskalaila,2020-04-28 16:57:41,one person unfollowed me // automatically checked by https://t.co/qsviBUjHZt
gieskalaila,2020-04-13 16:24:05,@aan__ Doctor John Good Doctor Kewreenn dokkk
gieskalaila,2020-04-13 14:21:24,Hei teringat jaman esempe😭 https://t.co/DVXl72Rz36
gieskalaila,2020-04-13 13:41:33,https://t.co/FVzjrJ704r #dirumahaja #SumutYouthAction
gieskalaila,2020-04-11 12:27:26,Bedak baby😂😂 https://t.co/MBUb8OPP24
gieskalaila,2020-04-11 06:12:37,@Greschinov 😭💔💔
gieskalaila,2020-04-02 11:03:58,🤣🤣 https://t.co/r6GwwZox53
gieskalaila,2020-04-01 17:39:05,@tirta_hudhi stay healthy dok!! https://t.co/O8EXPyrVGb
gieskalaila,2020-03-27 17:34:09,knp pd ngepost dgn kepsyen until tomorrow ya?
gieskalaila,2020-03-26 10:28:22,@aan__ Dokkk🥺🥺
gieskalaila,2020-03-25 08:51:41,@collegemenfess Rapat onlen😭
gieskalaila,2020-03-24 16:02:18,pantas saja WHO ubah social distancing jadi physical distancing🤣 yg berjarak fisik sajaa..kabar jangannnn.. https://t.co/Y4SngMawV4
gieskalaila,2020-03-23 10:44:40,@GiaPratamaMD stay healthy dokkk🥺
gieskalaila,2020-03-22 06:24:07,Woi jangan pake handscoon (sarung tangan lateks) untuk tenaga medis elah. Udah cukup masker aja yg harganya meroket.
gieskalaila,2020-03-21 05:22:33,@AfifahNurFD Wkwk minggat atau diusir? Jd ada berapa cht grup dihpmu td malam?banyaak pastiya wkwk
gieskalaila,2020-03-21 04:34:42,"@AfifahNurFD He yu td malam ngapain aja, kok gada muncul di grup"
gieskalaila,2020-03-20 13:04:33,2 people followed me // automatically checked by https://t.co/qsviBUjHZt
gieskalaila,2020-03-20 10:36:47,@lucyanarusida2 Saddd
gieskalaila,2020-03-20 04:37:44,Online class : RIP kuota
gieskalaila,2020-03-19 11:29:00,"""there are people dying. If you care enough for the living, make it a better place."" https://t.co/68kKLfmFfD"
gieskalaila,2020-03-19 02:37:25,the saddest part: ketika seorang dokter terpaksa harus memilih pasien mana yang harus diselamatkan dahulu karena keterbatasan fasilitas
gieskalaila,2020-02-09 17:08:58,Nguquq😭 https://t.co/8zaSpdfAkK
gieskalaila,2019-10-04 05:51:22,@frita_nababan @isnenyelmnd @AfifahNurFD Yokkklaa sabtu
gieskalaila,2019-10-02 06:19:25,@frita_nababan @AfifahNurFD Welkambek party laa buatt
gieskalaila,2019-10-01 13:46:53,@AfifahNurFD @frita_nababan Woi wkwkwk baru on lg nih wkwk
gieskalaila,2019-10-01 03:09:00,@frita_nababan 😜
gieskalaila,2017-12-03 10:34:23,"Tahun ini, program beasiswa DataPrint telah memasuki tahun ketujuh. Hingga saat ini lebih dari 1500 beasiswa telah diberikan bagi penggunanya. Pendaftaran periode kedua: 15 Juli - 21 Desember 2017 di https://t.co/aDIRl9cOkm"
gieskalaila,2017-08-20 06:28:03,@DickyOkadaA Maaf kak baru buka twitter sekarang
gieskalaila,2017-03-10 15:02:07,@isneniekarina wkwkwk isnen😙
gieskalaila,2016-03-24 12:33:01,Thx😁🍪
gieskalaila,2016-03-06 14:29:53,Mau ngedc tapi cemanalah kawan awak😅
gieskalaila,2016-02-27 12:27:22,itulah alasan mengapa~
gieskalaila,2016-02-16 12:45:36,Ternyata mengetahui kenyataan itu sangat menyakitkan(个_个)
