username,created_at,text
granweastery,2020-06-18 10:59:00,@shmramsya Iya mbuh wkwk
granweastery,2020-06-18 07:18:20,Adek gua wisuda online nggak ada haru²nya. Mau mindahin tali toga aja gatau timingnya kapan. Takbir serba terlambat. Bapak udah tidur tidur duduk doang. Gua sama ibu di samping tawa tawa aja wkwk
granweastery,2020-06-17 23:50:10,@Safirarzkn Diganti dong?
granweastery,2020-06-17 22:23:17,@Safirarzkn Abis diapain pir laptop lu?
granweastery,2020-06-17 11:34:52,"@De_iLaa Iya aku terseleksi oleh alam ig, line dan whatsapp wkwk"
granweastery,2020-06-17 10:47:48,@De_iLaa Selamat menempuh hidup sambat disini lagi menud😊
granweastery,2020-06-16 21:51:13,"@afrkml Izin bertanya, kenapa ya kalau habis lihat sumber cahaya kaya lampu atau matahari, di mata itu seperti ada bayangan hitam yang menutup sebagian penglihatan? Nggak seluruh mata tapi hanya di tengah² aja, tapi lama lama menghilang sendiri"
granweastery,2020-06-16 10:09:59,@zakiyeuhh @FOOD_FESS Masuk tambun jadi 8 dolar mi wkwk
granweastery,2020-06-16 10:06:54,"@sagitaaaws @niaaaw20 @sabnatamara Nia, stop mempurbakan diri wkwk btw idenya boleh jg, bagi bibitnya ya sist"
granweastery,2020-06-16 06:12:46,"@Bamskuyyy Modalin bim, terus ntar kudanya nitip di rumah lu ya"
granweastery,2020-06-16 05:45:58,"Pengen ternak lele, apa toge gitu yang gampang"
granweastery,2020-06-15 11:12:59,@niaaaw20 Udah samaan sama primitif wkwk
granweastery,2020-06-15 09:01:02,@niaaaw20 Purba banget si wkwk HAHA maap ya nia aku suka gaya pak satpamnya wkwk
granweastery,2020-06-15 06:10:25,@umitameyp Segala ada behind the scenenya wkwk
granweastery,2020-06-11 03:40:25,"Bagus nder, lanjutkan https://t.co/H0aD6sazvI"
granweastery,2020-06-11 01:20:32,@shmramsya @Bandungfess Keknya aku kebanyakan nonton jurnalrisa sama dms dah wkwk
granweastery,2020-06-10 23:14:56,"@shmramsya @Bandungfess Kenapa aku lihat wisata alam begini bawaannya takut ya, cemen banget diriku:("
granweastery,2020-06-10 23:09:11,"@iftth21 Sekarang tambah gemesin, soalnya mulai gendut lagi wkwk"
granweastery,2020-06-10 17:34:51,@umitameyp Bikin thread contohnya wkwk
granweastery,2020-06-10 17:27:18,@umitameyp Ini twitter adalah caraku menulis wkwk
granweastery,2020-06-10 17:19:54,@umitameyp Aku mau bisa membaca dulu sensei :')
granweastery,2020-06-10 17:16:33,"@umitameyp Sedih, puisinya bagus, tapi karena belom tahu latar cerita atasnya jadi aku biasa aja, ini salah satu puisi yg aku paham maksudnya, puisi low order thinking kali kalau di bahasa cagur kek kita mah wkwk aku takut review lebih banyak, takut wkwk gak mumpuni wkwk"
granweastery,2020-06-10 17:12:49,@umitameyp Gimana gimana nih? Wkwk
granweastery,2020-06-10 05:08:12,@umitameyp Cek dm sist
granweastery,2020-06-10 04:02:18,"Aku new normal dgn berat badan bigsize ku yg baru, dia new normal dengan cosplay jadi dora 😂 @umitameyp https://t.co/4J73HPAblR"
granweastery,2020-06-09 07:53:36,@Rizkary_29 Iyaa gemuk bgt dulu wkwk
granweastery,2020-06-09 07:26:52,@iftth21 Sekarang lebih lagi tah wkwk
granweastery,2020-06-09 07:26:28,"@umitameyp Kebalik, silet yg setajem mata aku wkwk"
granweastery,2020-06-09 07:25:55,@Rizkary_29 Wkwk mirip ya riz?
granweastery,2020-06-09 04:32:54,@umitameyp Digunakan dgn bijak ya warganet😂
granweastery,2020-06-09 04:32:34,@shmramsya Wkwk udah gedenya makin beda wkwk
granweastery,2020-06-09 04:31:36,@Aisymn Emang aku babang ais😂
granweastery,2020-06-09 02:49:43,Ternyata bapak ini mewarisi bentuk matanya pada anaknya https://t.co/V6vJAatj67
granweastery,2020-06-08 18:24:56,@umitameyp @Rizkary_29 Sekarang gantian aku yg ketiduran wkwk
granweastery,2020-06-08 10:33:26,"@Rizkary_29 Lah iya sps, lieur wkwk"
granweastery,2020-06-08 09:50:01,Lama lama tebak tebakan dah ni kuliah pps hari ini
granweastery,2020-06-08 04:22:23,Ayo gais dikit lagi sampe bulan https://t.co/0R8jiSwflY
granweastery,2020-06-07 10:53:16,"Dulu dosen gua ada yg bilang, semesta itu gak ada batasannya. Kita ini harus selalu mengorbit untuk menstabilkan keadaan. Makanya bumi mengorbit matahari, begitu jg dgn planet² lainnya. Bisa jadi, matahari kita selama ini juga mengorbit pd bintang super duper masif yg jauh bgt. https://t.co/SZb1mbUWf0"
granweastery,2020-06-03 19:55:12,"@afrkml Wah terima kasih @afrkml, pemahaman saya jd sambung menyambung menjadi satu seperti indonesia😂 saya jd inget pelajaran biologi SMA dan selalu merasa kesulitan memahami fenomena² masa kini dgn materi biologi yg dulu saya pelajari. Akhirnya ada yg berbaik hati menjelaskan ini :)"
granweastery,2020-06-03 04:30:45,@semestasains Ucul banget si wkwk bayangin crew dragon ngejar² iss wkwk
granweastery,2020-05-31 03:52:53,@umitameyp Iya yg belom kesampean sampe sekarang wkwk
granweastery,2020-05-30 21:08:21,Apalagi iniii?😂😂 https://t.co/76QXXPaqDA
granweastery,2020-05-30 20:34:16,"@semestasains Crew dragon milenial banget, pakaiannya juga lebih simple, kereeen"
granweastery,2020-05-30 19:56:32,"Tahan napas dihitung begini, nggak sadar 17 detik lebih tahan napas wkwk https://t.co/4nYOIq2Efw"
granweastery,2020-05-30 19:52:20,"Hah, baik baik yaa @Astro_Doug dan @AstroBehnken disana, kabar kabarin kalo ada apa apa. Salam dari Indonesia, kalau lewat diatas rumah telpon yaa:)"
granweastery,2020-05-30 19:47:28,"@semestasains Min, sampai di iss nya, ada streaming dan jam berapa ya?"
granweastery,2020-05-30 19:42:31,@semestasains Pengen nangis lihat penerbangan roket langsung pada waktunya walaupun cuma streaming🥺
granweastery,2020-05-30 15:43:16,Kumohon hari ini jadi🥺 https://t.co/fe1iRqueGs
granweastery,2020-05-29 04:15:31,"@Rizkary_29 @putriumitaa Sehat sehat ya riz, siapatau kapan kapan bisa collab lagi😂"
granweastery,2020-05-29 04:00:05,"The real hidden curriculum during work from home, unconsciously it happen in their home not their school. https://t.co/8Rms1ti0oN"
granweastery,2020-05-29 03:46:01,@putriumitaa @Rizkary_29 Hoiya ya wkwk
granweastery,2020-05-29 03:44:28,"@putriumitaa @Rizkary_29 Kalo rizka sekre, aku siapa?🥺 Btw, barakallah fii umrik kabirku, partner pusing bareng soal proposal dan LPJ😅 jadi kangen masa masa itu kan wkwk ini buat nambah²in kemerian di twitter wkwk maapin ya gapunya foto kamu yg sendiri, punyanya yg berdua wkwk https://t.co/wahgzzzqgt"
granweastery,2020-05-28 02:38:56,@putriumitaa @AstroBehnken @Astro_Doug Iyaa wkwk
granweastery,2020-05-28 02:38:47,@putriumitaa Put aku nyari tanda petiknya satu lagi loh wkwk
granweastery,2020-05-28 00:01:34,"@Rizkary_29 Daripada kehilangan mata, mending merem wkwk"
granweastery,2020-05-27 23:28:29,@Rizkary_29 Ntar matamu keluar riz wkwk
granweastery,2020-05-27 23:27:22,@putriumitaa @AstroBehnken @Astro_Doug Kata NASI youtube wkwk
granweastery,2020-05-27 23:21:26,"@putriumitaa @AstroBehnken @Astro_Doug Itu mobilnya CEO spaceX, CEOnya pengusaha besar, jadi sekalian bikin roket, sekalian nganterin pake mobilnya"
granweastery,2020-05-27 21:16:16,"Setelah 4 jam streaming, hanya kabar pahit yg didapatkan, mereka delay. Delaynya 2 hari :( semoga lusa cuacanya bagus ya.. aku gamau kehilangan kuota buat nerjemahin native speake ngomong 4 jam lagi, pusing😭 https://t.co/UPHM38Q5VH"
granweastery,2020-05-27 17:38:48,"Now i understand how it feels. Saying goodbye to them for the long journey, to flying so far, godspeed @AstroBehnken and @Astro_Doug! https://t.co/mgx9pomfmD"
granweastery,2020-05-27 15:21:00,"@Astro_Doug @NASA As long as the plate has NASA badge, the dish being powerful and precious😅"
granweastery,2020-05-27 13:49:06,@putriumitaa @niaaaw20 Di igs harus di buremin gak seru wkwk
granweastery,2020-05-27 07:14:31,@Rizkary_29 Kalo kangen orang suka caper riz wkwk
granweastery,2020-05-27 07:04:55,@niaaaw20 @putriumitaa Disini dong biar trending wkwk
granweastery,2020-05-27 07:02:41,"@putriumitaa @niaaaw20 Ni, aplot ni wkwk"
granweastery,2020-05-27 07:01:46,"@putriumitaa Masama cil, makan yg banyak ya biar nyusul aq hihihiw🤭"
granweastery,2020-05-27 06:59:40,Iya ayah.. https://t.co/7v7oEFPI1E
granweastery,2020-05-27 06:52:15,@niaaaw20 @putriumitaa Jan dibongkar napa si wkwk
granweastery,2020-05-27 06:48:50,"@putriumitaa Pibesdey ciiilll, kuat kuat ya (sambil nepok pundak dan senyum senyum ala kating)🤭 cepet gede yaa🥰 ni editnya pake poto yg paling ciamik wkwk https://t.co/qReg7EMmEp"
granweastery,2020-05-27 05:53:21,@Rizkary_29 Lagi pada kangen kali wkwk
granweastery,2020-05-27 03:49:08,@yourbae134_ Jadi mikirnya jadi laporan dong wkwk
granweastery,2020-05-27 03:47:14,@yourbae134_ Mikirin apa tu kak?😅
granweastery,2020-05-27 03:46:39,@shmramsya Mikirin apa mbuh? Wkwk
granweastery,2020-05-27 00:19:24,Pernah nggak kalian bermimpi akan suatu hal dan membayangkan bahwa kalian yg berada di posisi itu? That was i am. https://t.co/0Yg9S4FKf5
granweastery,2020-05-26 17:34:38,"https://t.co/hJKqWqeLdW Kalau masih ada yang bingung nanti malam itu ada apa dgn SpaceX dan NASA, boleh lihat informasi versi NASI ini 🙃 #BukanBerpihak #CumaBelajar"
granweastery,2020-05-26 17:30:25,https://t.co/VWE1I81X7l Bisa dinikmati streamingnya disini mulai nanti malam jam 23.00 WIB
granweastery,2020-05-26 17:13:41,@FarahRafah_ Walaupun jarang disautin wkwk
granweastery,2020-05-26 16:22:19,"@FarahRafah_ Hwaa, maapin aku yaa😅 dulu dia temen w ngobrol klo lagi ngintilin lu ama dia jalan wkwk"
granweastery,2020-05-26 16:19:22,@FarahRafah_ Dulu dia pernah terluka karenaku😢
granweastery,2020-05-26 16:18:12,@putriumitaa Oiya miftah dulu yaa Kesian miftah kena mulu dah wkwk
granweastery,2020-05-26 16:17:32,@FarahRafah_ Kangen bgt w ngebut²an ama motor lu tek wkwk
granweastery,2020-05-26 14:37:47,@FarahRafah_ Jamuran wkwk
granweastery,2020-05-26 07:40:29,Yang mau lihat streaming liftoff roketnya SpaceX yang bawa astronot NASA ke ISS bisa di hari kamis jam 1 malam https://t.co/7LAv7myZuJ
granweastery,2020-05-25 03:14:01,@semestasains Hiya hiya hiya
granweastery,2020-05-25 02:43:34,"Itu dia sekelumit kisah kasih anak acara yg sebenernya aneh. Ini tulisan dibuat bukan karena lagi kangen, tapi lagi rindu (halah). Entah seberapa banyak dosa yg udah gue buat diantara mereka, dosa karena terlalu sering membuyarkan keadaan karena serba gak ngerti, maaf ya gais :') https://t.co/VFqT5eXldi"
granweastery,2020-05-25 02:43:27,Seberjuang itu dulu kita buat nggak ketawa di rapat. Alhamdulillah uang yang kekumpul banyak. Salah satu cara mereka biar gue tetep fokus sama selama rapat adalah jadiin gue notula rapat yang langsung diketik di laptop. Biar kalau selesai rapat bisa langsung di share di grup.
granweastery,2020-05-25 02:43:27,"Kalau nggak karna gue, ya cecep. Entah kenapa gue suka ribet aja memahami maksud² yang ada dalam rapat. Kadang kerecehan gue juga suka di kritik sama temen² di forum. Saking kelewat bercanda, kita sampe bikin denda buat satu kali ketawa setiap kali rapat."
granweastery,2020-05-25 02:43:26,"Terakhir, adalah posisi Bang Dika, si serba gak ngertian, apa apa itu harus dijelasin dulu sejelas²nya supaya nggak salah faham jatuh kepada sisanya yaitu Gue dan Cecep. Yap, gue mengakui kalau sumber segala keribetan yg ada ketika lagi rapat itu sedikit banyak sebabnya -c-"
granweastery,2020-05-25 02:43:26,"itu jatuh pada Fahmi dan Aci. Fix mereka ini adalah dua insan yang memiliki jiwa kesabaran paling tinggi diantara kita semua. Meskipun sering geregetan, mereka itu pengertian banget, baik gitu. Rela jelasin alur eval yang kompleks itu."
granweastery,2020-05-25 02:43:25,"yang bingung di pertengahan. Terutama kalau lagi rapat, pas bahasannya penting contohnya lagi bahas alur evaluasi wkwk Kemudian, untuk pemeran Bang Ryan yg selalu sabar menghadapi kawan²nya yang serba nggak ngertian, selalu ngejelasin supaya nggak ada temen²nya yang ketinggalan"
granweastery,2020-05-25 02:43:24,"Next, kalau orang yang selalu banyak ngomong, paling greget kalau bang Dika nggak pernah ngerti sama pembicaraan forum, jatuh kepada Ndo dan Maldini. Sesekali ini juga jatuh kepada Putri dan Adila, mereka² ini orang paling greget kalau obrolan udah jauh, tapi masih ada -c-"
