username,created_at,text
h3llatrash,2020-06-19 11:33:24,"lagian ngapain sih nanya nanya agama, just mind yo own damn business. emang susah ya?"
h3llatrash,2020-06-17 14:20:29,@alfianlutfi09 Yakan 😌
h3llatrash,2020-06-17 14:20:09,@danarjon wkwk abis ngeselin
h3llatrash,2020-06-17 14:04:37,goblok kok bangga https://t.co/UlV6ru6PTd
h3llatrash,2020-06-16 22:11:31,@animalfess2 Semlekum
h3llatrash,2020-06-15 23:31:57,@animalfess2 sebel bgt liatnya https://t.co/NlgfrkY03P
h3llatrash,2020-06-14 21:34:19,got bored at 3am and just dyed my hair lmao
h3llatrash,2020-06-14 14:36:47,@taurentino HxH superior periodttt
h3llatrash,2020-06-14 09:40:41,@monsouleil they’re not understand this ‘💖🧚‍♀️💫’ that’s why
h3llatrash,2020-06-14 06:28:15,@ruangmini @paramore @yelyahwilliams Gila sih di notice 😭😭
h3llatrash,2020-06-13 17:52:09,Terimakasih semuaa yang udah bantu isii 🥺 🙏🏻 ga nyangka sampe sekarang udah dapet 700+ responden! Sesuai janji dalam bbrapa hari kedepan bakal aku undi buat 5 orang pemenang dan langsung aku DM sesuai username yang udah diinput diform ya. Sekali lagi terimakasiih 😇
h3llatrash,2020-06-12 15:53:56,@rlthingy Ini link nya yaa -sender https://t.co/E0VcPQWEqV
h3llatrash,2020-06-12 13:09:35,"@GiaPratamaMD misi dok, boleh minta tolong share? untuk keperluan tugas akhir. Terimakasih https://t.co/E0VcPQWEqV"
h3llatrash,2020-06-12 12:55:47,@stillyourbae @rlthingy gabisaa dm
h3llatrash,2020-06-12 12:48:09,@rlthingy ada yg udh difollbak? Mau nitip dong
h3llatrash,2020-06-12 12:40:47,@collegemenfess Udah minn
h3llatrash,2020-06-12 12:39:04,@collegemenfess Mauuuu
h3llatrash,2020-06-12 12:36:56,@rlthingy Yg udah di follback aku mau nitip dong
h3llatrash,2020-06-12 12:34:10,@collegemenfess Ada yg udh di follback? Mau nitip dong
h3llatrash,2020-06-12 12:31:51,"Halo! demi menyelesaikan tugas akhir, saya membutuhkan responden dengan kriteria: - memiliki akun twitter - bersedia mengisi tes kepribadian big five (ada didalam form) link pengisian: https://t.co/YwlDL25ZHm akan ada hadiah saldo ovo/gopay sebesar 100k untuk 5 org pemenang https://t.co/lsVDhxQUbd"
