username,created_at,text
hkawilarangg,2020-06-12 20:13:08,@nxzulul @maharabsen24 @ratnaindju Klean belum pada tidur apaaa
hkawilarangg,2020-06-12 14:10:03,@99suxk Alida dewi n ulum mulu
hkawilarangg,2020-06-12 13:57:21,"@rettamfh Tullllll, angin sepoi2 juga enkkk"
hkawilarangg,2020-06-12 13:50:07,@maharabsen24 Gordenwarteg mh favorit sih
hkawilarangg,2020-06-12 13:48:10,@ulummolo Karna ulum
hkawilarangg,2020-06-12 13:48:02,@rettamfh Siapa ya? Wkwk
hkawilarangg,2020-06-12 13:47:19,@laksmicahyanii Tulll
hkawilarangg,2020-06-12 13:42:45,Lama-lama kesel juga ya ngeliat 4 org di kelas wkwk
hkawilarangg,2020-06-12 13:23:15,@ocilyft @dearzoyas Unnie kebanggaan
hkawilarangg,2020-06-12 13:21:34,"bahasanya ringan jg, di grup diskusi ama temen2 juga suka pake datanya CMU sih, berita2 yg diringkas juga up to date sih jadi diantara temen2 kadang suka lebih tau duluan wkkw yaudah pokoknya sukses terus newsletter kebanggaan 🎉🎉 kuy pada subscribe juga gaes @ulummolo @99suxk"
hkawilarangg,2020-06-12 13:16:50,"HBD @catchmeupid , yg sering bikin aing buka email tiap pagi, klo libur juga sering ngerefresh dan lupa kalo ga bakal ngirim😅 pertama tau dari bang @imanlagi dan ternyata emg goks parah sih beritanya ringkas tapi detail, enak dibaca , informatif, based on data,"
hkawilarangg,2020-06-12 13:05:56,@auliavikaar @netmediatama Moga aja dikit sih
hkawilarangg,2020-06-12 06:40:30,@mwarnai Wow campbell
hkawilarangg,2020-06-12 06:14:28,@netmediatama Tagggg @auliavikaar
hkawilarangg,2020-06-12 06:10:17,@anakieso Pasti karena botak wkwkw
hkawilarangg,2020-06-12 06:09:44,@rettamfh Parah parah adik macam apa kauuuu? 😂😂
hkawilarangg,2020-06-12 06:09:27,@laksmicahyanii YaAllah laks😂
hkawilarangg,2020-06-12 02:52:06,@99suxk Gas gas
hkawilarangg,2020-06-11 12:41:04,@ratnaindju @stanmenfess Siapkan mentalmu mendapat BB anak smp (lagi)
hkawilarangg,2020-06-11 12:36:37,@ulummolo @stanmenfess Udah kek yg bodoanat ya lum biarkan naik apa adanya wkwk
hkawilarangg,2020-06-11 12:36:00,@ratnaindju @stanmenfess Ngakak😂
hkawilarangg,2020-06-11 12:35:44,@godwatchinyou Wah kenapa ni?
hkawilarangg,2020-06-11 08:28:39,"@ekaabayu Wkwkwkw ada2 saja emg ruben ini, bayar denda juga kan doi?"
hkawilarangg,2020-06-11 06:10:33,@99suxk Mantep lur wkwk
hkawilarangg,2020-06-11 04:32:20,@99suxk Ngapain lagi wa?
hkawilarangg,2020-06-10 14:35:22,"Bisa-bisanya lupa ngemute dan ngga sadar ngomong gtu, untung ibunya ngga sadar 😅 hampura pisan ya bu"
hkawilarangg,2020-06-10 11:39:29,"@cherrywiseu Jomblo ampe akhir, klah mulu ama taek"
hkawilarangg,2020-06-10 11:18:47,@stanmenfess Tebak2an ajalah 1 soal 1 menit mg
hkawilarangg,2020-06-10 11:07:27,@ch3coohhhe Emang gila
hkawilarangg,2020-06-10 10:16:23,@stanmenfess Tukeran sini wkwkwkw
hkawilarangg,2020-06-10 07:24:35,@CoachJustinL Udah pada ngereport akun kochi tuh 😅😅
hkawilarangg,2020-06-10 07:21:56,@mwarnai Ini lu konteksnya baca manganya kah?
hkawilarangg,2020-06-10 05:51:28,"@blue_miaw Mantappp di, emg sih bnyk juga dosen yg ga peduli ama kondisi mhswa di rumahnya seperti apa taunya mungkin ya sama2 aja bisa di rumah dgn nyaman"
hkawilarangg,2020-06-10 05:48:32,@blue_miaw Nah betull
hkawilarangg,2020-06-10 05:46:15,@resiprokaI @sinjalll @rettamfh Kannn
hkawilarangg,2020-06-10 05:46:03,"@blue_miaw Ya tapi kn di rumah tuh.. gajadi dehwkwk, semangat dii"
hkawilarangg,2020-06-10 05:25:52,@blue_miaw Hmmm ngga apple to apple ga sih? Smt ini bukannya kebanyakan bljar di rumah toh?
hkawilarangg,2020-06-10 05:20:37,@blue_miaw Itu disuruh apa gimana di?
hkawilarangg,2020-06-10 05:18:54,@blue_miaw Mau ngirim kemana dah di?
hkawilarangg,2020-06-10 05:05:10,@blue_miaw Kirim aja dii
hkawilarangg,2020-06-10 05:04:29,@rettamfh Angkringan juga jatohnya bisa mahal sih mnurutku
hkawilarangg,2020-06-09 14:50:51,@99suxk Istirahat lur
hkawilarangg,2020-06-09 10:12:12,@kalmong18B Wkwkaksk
hkawilarangg,2020-06-09 02:59:18,@resiprokaI @rettamfh Yg jawa mh ga terlalu mahal lah ngirim berkas lah yg luar jawa kasian cuy lagi kek gini keluar duit yg ... ...
hkawilarangg,2020-06-09 02:51:23,@rettamfh Baru liat dan anjing emg ribet
hkawilarangg,2020-06-09 02:48:38,@rettamfh Apa ni tta?
hkawilarangg,2020-06-08 22:21:40,@stanmenfess Jago pajak sih
hkawilarangg,2020-06-08 13:20:12,@logos_id Big brother is watching you!!
hkawilarangg,2020-06-08 13:03:36,@ulummolo @99suxk Pala kau
hkawilarangg,2020-06-08 11:56:58,@stanmenfess @99suxk silakan kak
hkawilarangg,2020-06-08 11:54:55,@ch3coohhhe Iya anjir dari jaman BBF😂
hkawilarangg,2020-06-08 08:49:20,@resiprokaI @broh ... kwkwk
hkawilarangg,2020-06-08 08:47:05,@resiprokaI Pak ibrohim da best emg
hkawilarangg,2020-06-08 05:35:59,@usenumberletter Ridwan saidi
hkawilarangg,2020-06-08 04:55:35,@ratnaindju Wkqkwkwk sama
hkawilarangg,2020-06-08 03:04:44,@resiprokaI @babatatariri Nyatanya emg gitu kan dosen byk juga yg ignorant ama kondisi mahasiswa
hkawilarangg,2020-06-08 01:03:45,@99suxk Turu maneh
hkawilarangg,2020-06-08 01:03:28,@anakieso Wkwkk makanya prefer tugas individu sih klo kelompok mh untung2an dapet yg rajin ya enak cepet kelar klo not lucky yawes banyak sabar
hkawilarangg,2020-06-07 16:39:59,@freshteaaa Kecepatan koneksi n sizenya gede bet keknya ya
hkawilarangg,2020-06-07 16:39:24,@mwarnai Uyeee
hkawilarangg,2020-06-07 14:29:55,@ssarahmajid Betul 😂
hkawilarangg,2020-06-06 17:31:50,"@senjatanuklir Nyesek bgt emg ntn ini sih, kalo dengerin ostnya sering keinget scenenya"
hkawilarangg,2020-06-06 06:49:58,@yakitakoyakii Bukannnn
hkawilarangg,2020-06-06 05:39:47,@stanmenfess @usenumberletter syaidul si tampan😂
hkawilarangg,2020-06-05 17:44:05,@ratnaindju @Nikesrim WOEEEE INDJU SI NACKAL HABEDEEEEEEEEE
hkawilarangg,2020-06-05 14:06:35,"@usenumberletter Padahal mereka cocok sih, etapi katanya hyun bin ama hye kyo lagi wkwk"
hkawilarangg,2020-06-05 12:30:30,@nxzulul Kalo hot stove league gimana? Baru tau drakor ada genre sport gtu
hkawilarangg,2020-06-05 12:29:12,"@99suxk Ttg wnita, makanya sulit dimengerti kak"
hkawilarangg,2020-06-05 11:57:27,"@nxzulul Njir gue kira hyunbin bakal menang, btw drakornya itu bagus ga?"
hkawilarangg,2020-06-05 06:40:10,@Nikesrim Siappp
hkawilarangg,2020-06-05 06:40:03,@laksmicahyanii @resiprokaI @kalmong18B @ratnaindju Padahal udah nungguin daritadi
hkawilarangg,2020-06-05 04:24:37,@laksmicahyanii Hah? Siapa? Gatau euy
hkawilarangg,2020-06-05 04:23:15,@stanmenfess Saham bukan mainan nder :( uang riil lhoo
hkawilarangg,2020-06-05 04:20:56,@laksmicahyanii Sapa laks? Spill dong wkwk
hkawilarangg,2020-06-05 04:06:49,@bomathehe Rep
hkawilarangg,2020-06-05 04:00:13,"Ya inilah nilai paling rendah yg pernah aing dapet, matkul lain nilainya ya aman2 aja tapi kok matkul ini susah bgt keknya dapet nilai yg masih ""accepted by myself"" padahal pas ngerjain tuh ada ngehnya tapi hasilnya ya begitulah"
hkawilarangg,2020-06-05 03:54:10,Ga ngerti lagi
hkawilarangg,2020-06-05 00:38:44,@tidaksukafruit0 Mbanya cantik gitu
hkawilarangg,2020-06-04 14:03:56,@stanmenfess Enteng bener ya ngetiknya
hkawilarangg,2020-06-04 01:13:27,"@catchmeupid Pantesan refresh beberapa kali kok tetep gaada, semangat min!"
hkawilarangg,2020-06-03 15:10:58,@kalmong18B Hhh
hkawilarangg,2020-06-03 15:10:27,@babatatariri Ayo bat bikin
hkawilarangg,2020-06-03 11:52:08,@laksmicahyanii @ratnaindju Lu berjualan kosmetik laks
hkawilarangg,2020-06-03 10:14:21,"@nxzulul Ngga zulul, aing ngeliat saham jpfa lagi murah aja sih jadi tak beli eh tudei naik bgt😂 nnti jga pling turun lagi"
hkawilarangg,2020-06-03 09:15:53,Bosen bangetdah bapaknya tiap ngajar ga ketinggalan ngeluh ttg gmeet plislah klo emg ngerasa zoom better mnurut anda ya pake zoom aja sih sih
hkawilarangg,2020-06-03 08:20:54,@ulummolo Wkwkwk mayan lum 😂
hkawilarangg,2020-06-03 08:20:27,@ratnaindju Betul kaka
hkawilarangg,2020-06-03 07:08:19,Moodbooster hari ini adalah pergerakan saham japfa
hkawilarangg,2020-06-03 01:18:34,@mnurwahidf @FOODFESS2 Nitip lur
hkawilarangg,2020-06-02 05:10:18,@mwarnai Wkwkwk aneh padahal biasanya ya iklan yutub sesuai ama minat sih
hkawilarangg,2020-06-02 05:09:17,@mwarnai Mbanya sering ntn india berarti atau searching ttg india sih
hkawilarangg,2020-06-02 02:40:17,@mwarnai Itu di kongo virus ebola ada lagi
hkawilarangg,2020-06-02 02:34:05,Etdah corona belum kelar eh ini ebola udah nimbrung lagi aja😣
hkawilarangg,2020-06-02 02:25:43,@resiprokaI Itu dimana kak? Kok familiar ya
hkawilarangg,2020-06-01 11:15:51,@99suxk @ulummolo Karena ulum mutual aing sdangkan anda tdak follow😂
hkawilarangg,2020-06-01 11:13:51,@99suxk Semangatttt kakkkkkkk
hkawilarangg,2020-06-01 08:34:54,Ya Allah yg penting lulus aja semester ini mah :)
hkawilarangg,2020-06-01 04:59:52,"@Nikesrim Bener, suka kaget pas ada iklan"
hkawilarangg,2020-06-01 03:42:40,Anjirlah kek suara semut alias kecil banget woee
hkawilarangg,2020-05-31 16:48:35,@resiprokaI Boleh tuhhh
hkawilarangg,2020-05-31 16:38:48,@resiprokaI KUY
hkawilarangg,2020-05-30 14:34:01,"@jeyo__ Terlalu gengsi jungpal tuh kesel, si taek mh gercep euy. Tapi kerenan kakanya jungpal sih klo percintaan mh wkwk"
hkawilarangg,2020-05-30 14:22:21,@jeyo__ Aing teriak2 pas ini 😂 sama pas di tempat makan tuh malah bilangnya becanda kan anjir
hkawilarangg,2020-05-30 14:09:46,@jeyo__ Wkwkka tim jungpal mah pasti gregetan pasti
hkawilarangg,2020-05-30 14:09:12,@resiprokaI Bapaknya taek n istrinya wkak
hkawilarangg,2020-05-30 12:29:37,@jeyo__ Mnurutmu itu chae song hwa bakal ama siapa ge?
hkawilarangg,2020-05-30 12:28:12,"@ulummolo Hospital playlist n hotel del luna, kalo suka 1988 haruse suka hospital playlist juga sih, klo del luna mh IU lucu bgt rada horror2an tpi lucu sih intinya"
hkawilarangg,2020-05-30 12:27:05,"@resiprokaI Iyaaaa, bikin nangis juga, ohiya malah ada cameo reply 88 sih"
hkawilarangg,2020-05-30 12:26:18,@ratnaindju Kamu belum nemu aja orgnya aja ndju
hkawilarangg,2020-05-30 11:31:01,Terima kasih telah menemani libur 2 mingguku wkwkw. https://t.co/YPX1MTh6u6
hkawilarangg,2020-05-30 08:25:30,@jeyo__ Kemistri mereka tuh ya mantep bgt
hkawilarangg,2020-05-30 04:14:36,Alhamdulillah ye kan dapet rezeki lagi padahal dah kelar jauh-jauh hari kegiatannya
hkawilarangg,2020-05-30 02:54:36,Ga ngerti dah pada buru2 amat nikah
hkawilarangg,2020-05-29 13:07:00,"@stanmenfess Cans parah si, pinter juga, religius, suaranya bagus"
hkawilarangg,2020-05-29 13:04:41,Kalo chae song hwa irl ada mah aing juga bakal jatuh cinta sih
