username,created_at,text
ilma678,2020-06-12 04:03:06,minder bgt liat replyannya😭 https://t.co/ZwM2YpPtpC
ilma678,2020-06-11 14:07:13,pfffttt 🙊 https://t.co/1p8ErHsLLN
ilma678,2020-06-10 01:40:15,@WD_Willy aduh ketauan tuanya suka nonton ini
ilma678,2020-06-09 09:08:01,wey park bo gum sungguh tidak santay visualnya https://t.co/X0YeU3BPhv
ilma678,2020-06-08 12:08:55,"@revarevaa hoho nanti yaa akan release kalo potonya dah banyak, skrg masih kentang 😂"
ilma678,2020-06-08 11:27:04,@revarevaa btw thankyouu :*
ilma678,2020-06-08 11:26:32,"@revarevaa wqwq bukan yg itu partneeer, aku ada lg ig yg isinya emang scenery view"
ilma678,2020-06-08 10:32:31,@ceeedt wkwkw yg penting cuan yees
ilma678,2020-06-08 10:18:40,@ceeedt udah bapak bapak :(
ilma678,2020-06-08 08:38:08,@ceeedt akun photography gitu cee wkwk capslock lo jebol yak?
ilma678,2020-06-08 08:24:40,ilma is photographer now hahaha https://t.co/1Xe0JZzQIo
ilma678,2020-06-08 03:21:26,aku nanti kalo meninggal mau donorin semua organ yang bisa didonor ah mamaku: aku nanti nggak ngizinin autopsi ah my mind: oh my mom confirmed that I will die earlier than her 😶
ilma678,2020-06-07 04:54:46,"betah banget bacain replyannya, kisah hidup orang orang ternyata sangat beragam :"") https://t.co/QSrQNx1Qlg"
ilma678,2020-06-07 02:15:06,@revarevaa nggak ada lawan🤤
ilma678,2020-06-06 05:37:54,awas aja kalo di surga nggak ada monde egg rolls
ilma678,2020-06-05 04:28:40,@alikwangbieber @Kintut_ itulah perlunya edukasi dari keduabelah pihak sebelum berhomeladder
ilma678,2020-06-04 02:31:12,@AfifahNAisha ya khaan kayanya udah jd format penciptaan manusia deh ini wkwk
ilma678,2020-06-04 02:15:43,"aku saat temanku menghadapi masalah: yang sabar, this is not the ending, this too shall pass, its okay to be not okay, no wave ever stay they always wash away aku saat menghadapi masalah: https://t.co/avAvztYhWH"
ilma678,2020-06-03 12:29:07,menemukan hobi baru ternyata menyenangkan sekali :)
ilma678,2020-06-03 06:33:00,"paling heran sama yg apa apa solusinya nikah, orang depresi disuruh nikah, ga punya duit dibilang nikah aja, ini nyeri haid disuruh nikah juga, smh -_- https://t.co/tBnzoy0sYO"
ilma678,2020-06-03 05:59:53,@ceeedt trueee :(
ilma678,2020-06-02 21:16:34,4 https://t.co/WA6vrCLHGI
ilma678,2020-06-01 08:10:33,"""dari mata turun ke hati"" (mukanya ketutup masker)"
ilma678,2020-05-30 16:59:19,"bisa bisanya night talk sama yang baru kenal 2 hari, nonton fan meeting bareng mbak mbak random, punya playlist yg sama kek mas mas korea hidup kadang aneh dengan cara yang menyenangkan"
ilma678,2020-05-30 09:40:16,"new normal: ga ada lagi yg nanyain ""malem minggu di rumah aja niiih? jomblo yaaa?"""
ilma678,2020-05-27 01:35:02,wow such a hidden gem https://t.co/OykydI74BD
ilma678,2020-05-27 01:33:50,@ikaikaan legooo!
ilma678,2020-05-26 14:32:52,"@wulancahyai bener siii, aku pun"
ilma678,2020-05-26 13:40:56,"@KompasTV auto unfoll, bye"
ilma678,2020-05-26 10:40:13,"aku tidak percaya ini, tapi aku kangen main di mall, ke gramed, nonton, main dance baze, nongki nongki, karokean 😭"
ilma678,2020-05-26 06:36:30,lelah sekali
ilma678,2020-05-25 15:00:48,terhibur dengan replyannya 😂 https://t.co/F4LWnXk9xS
ilma678,2020-05-25 04:30:15,"wait, what? how? . . . whyyyy? https://t.co/I9i8EW7FcV"
ilma678,2020-05-24 11:39:20,so basically Tom is a Tsundere 🤷 https://t.co/t3kgPla3NT
ilma678,2020-05-24 09:57:56,@karinatgwti heeey sama sama yaa mohon maaf juga 🤗
ilma678,2020-05-24 09:26:04,aku bangeeet 😭 https://t.co/S3B6vcUDO3
ilma678,2020-05-24 06:21:41,@ceeedt heeey kenapa?
ilma678,2020-05-22 10:42:36,@angellxxbb @AdjieSanPutro karena sesungguhnya rindu bukan perkara lokasi tapi komunikasi
ilma678,2020-05-22 03:28:50,@oagassy template bentuk kepalanya sama ya ky hahaha
ilma678,2020-05-22 03:25:04,@oagassy 😎😎😎 btw mas baju biru mirip dirimu ky wkwk
ilma678,2020-05-21 08:44:43,"""peningkatan 973 orang, tertinggi selama covid-19 masuk ke Indonesia."" gini nih kalo baju lebaran lebih penting dari kesehatan. smh."
ilma678,2020-05-17 07:44:37,literally me 😒 https://t.co/BNwgnJ0E31
ilma678,2020-05-17 07:35:07,"@JhJoni ih kan aku ga minta, siapa suruh ngasih #gataudiri"
ilma678,2020-05-16 16:07:39,@Natasyandalucki semangat tacuuun https://t.co/rprc9k3lDq
ilma678,2020-05-16 10:08:45,"👩 nih Il kado 😮 knp? gue kan ga ultah 👩 pengen aja ngasih 👨 misi pakeeet 😮 hah (perasaan ga beli apa2) pas dibuka isinya baju dari temen 👨 halo, saya gojek kak ada kiriman 😮 s-saya gapunya gojek.. pas nyampe ternyata kue dari temen my heart cant handle it, thankyouu😭💗"
ilma678,2020-05-14 09:34:28,@evansazka alamat nikah greenscreen gini caranya haiish
ilma678,2020-05-14 07:12:41,i'm so done with this🤦 https://t.co/1wr1tnq0C8
ilma678,2020-05-12 15:53:23,@ceeedt rangga sm*sh? 😮
ilma678,2020-05-11 04:42:18,"@Natasyandalucki seru bgt baca replyannya, jd drama baru gituu"
ilma678,2020-05-08 16:30:33,@JhJoni yeaaay! pasti ku tonton! ini series nya jg 2 season napa yak 🤧
