username,created_at,text
indrayyyy_,2020-06-12 13:37:16,"In other words, please be true! In other words,.........."
indrayyyy_,2020-06-12 12:20:01,"@WoiBeer1 @tasikfess Sister mom, baik 😭"
indrayyyy_,2020-06-12 06:18:26,@handyyf 97 mun ek gabung aya perpeloncoan
indrayyyy_,2020-06-12 02:35:48,Lagu Modern loneliness adalah sebuah representatif bagi anak anak angkatan 1995-1996 👌
indrayyyy_,2020-06-12 02:30:20,"@Litapuspitaaa @handyyf Sempat tidak sempat harus sempat atuh, bahaya kalo telat mah"
indrayyyy_,2020-06-12 01:03:27,@cutsky_ Sing siap membatalkan we hahaha sebel 😭
indrayyyy_,2020-06-12 01:02:21,@Litapuspitaaa Kpn bukana cnh ceu?
indrayyyy_,2020-06-11 22:49:34,@cutsky_ Ke batal di waktu yg tepat wkwk
indrayyyy_,2020-06-11 19:09:30,@cutsky_ Udah lama puasa 😭😭
indrayyyy_,2020-06-11 12:48:28,Knpa kalimat itu bisa bisanya bikin pikiran ku travelling. Plis atuhlah wkwkwk 😭
indrayyyy_,2020-06-11 12:43:01,"@cutsky_ Maap, khilap"
indrayyyy_,2020-06-11 11:42:07,"@cutsky_ Cerita gibah, belum keluar sekuel pedas ya yah. Padahal aku menanti momen momen seperti itu eh astaga 🙏"
indrayyyy_,2020-06-11 11:40:17,@subtanyarl Spotifart kuw https://t.co/eycEbWfX0K
indrayyyy_,2020-06-11 10:03:38,Lama lama fitur story di ig atau watsap berubah jadi playlist lagu
indrayyyy_,2020-06-11 05:44:20,Semoga segera terealisasi https://t.co/X062rzbhsb
indrayyyy_,2020-06-11 03:50:03,"Punten, naha jadi ketagihan https://t.co/fAn3OcoYWE"
indrayyyy_,2020-06-11 00:57:34,@restiechy05 Knp mirip si Park soroyi 😭
indrayyyy_,2020-06-10 12:35:43,"Makanya, harus punya batas wajarnya sendiri. Ekspektasi boleh, cuma jangan lebih dr batas. Kalo mendekati batas wajar, alarm di otak langsung bunyi. Awas lo! Awas lo! Awas lo! https://t.co/2DedPuBin5"
indrayyyy_,2020-06-10 11:30:46,Dalam sekali rasanya https://t.co/ohmzKXjyzM
indrayyyy_,2020-06-09 11:37:52,"Akhir akhir ini, aku sering kali memintamu tanpa malu."
indrayyyy_,2020-06-07 08:19:53,"Punten inimah, punten pisan. Naha abi nembe terang album Chronicles of you by adhitia sofyan ena ena laguna 😭"
indrayyyy_,2020-06-07 07:33:28,"Hati sm otak mulai g sinkron ni, tenang tenang tenang"
indrayyyy_,2020-06-07 07:29:08,"Duh gmn ya, pengen ngaminin semoga jadi tapi gamau terlalu berekspektasi. Ah elah ribet"
indrayyyy_,2020-06-06 15:43:19,Aamiin ku selalu https://t.co/MxSo7blbDO
indrayyyy_,2020-06-06 15:23:16,"Gngn juga aku suka nyebut nama km disetiap doaku, meskipun doainya belang betong"
indrayyyy_,2020-06-06 15:11:54,"@handyyf Iya atuh, harus seimbang"
indrayyyy_,2020-06-06 15:02:38,"Slow but sure ajalah ya, semoga ymh kuasa menghendaki ☺️"
indrayyyy_,2020-06-05 10:17:30,"Ekspresiku ketika sudah ready to go, ternyata hujan ☺️👍 https://t.co/raHJjpgrAO"
