username,created_at,text
iqbalpaz,2020-06-17 14:07:03,"@siputriwidi Sebagai orang yang punya pikiran bunuh diri, saya sangat setuju sama twit ini"
iqbalpaz,2020-06-17 12:47:33,"@cocopshofi saranku coba dikonsultasikan ke profesional. kalau sudah mengganggu fungsi sehari-hari itu sudah bisa dikategorikan ""gadget addict"" dan perlu terapi/intervensi psikologis."
iqbalpaz,2020-06-17 11:24:02,@ekokepe Ini pemerintah bener2 melakukan segala cara ya buat nyari duit
iqbalpaz,2020-06-17 11:23:21,"My ex didn't do this even if I ask her to. I thought I wasn't attractive. No, it's not. She just didn't respect me. https://t.co/OQwIGi0DxJ"
iqbalpaz,2020-06-17 11:02:45,@annisaoctian Udah koordinasi dengan @Blood4LifeID kak?
iqbalpaz,2020-06-17 11:00:36,@deedgy Preferensi setiap orang beda dee
iqbalpaz,2020-06-17 10:58:56,@hirzanando @ariefbros @Kemdikbud_RI @NetflixID @TVRINasional Tabu eta mah ja
iqbalpaz,2020-06-17 10:37:13,@pipittriani Ga Zoomba?
iqbalpaz,2020-06-17 10:00:22,@pipittriani btw harusnya kamu pulang ke indo ga sih tahun ini? tapi tak jadi
iqbalpaz,2020-06-17 09:59:43,"@ninirmaa dunia ini abu-abu kok ir, makanya bener salah itu beda tipis haha"
iqbalpaz,2020-06-17 09:31:46,@ninirmaa bukankah ini sangat relate makanya banyak diangkat?
iqbalpaz,2020-06-17 08:48:05,@_hanifamillati tes narkoba aja kalo dibredel
iqbalpaz,2020-06-17 07:09:27,"Belajar online ngantuk, giliran netflix matanya belo"
iqbalpaz,2020-06-17 06:20:12,@rantyari Yah sad :(
iqbalpaz,2020-06-17 06:06:57,"@rantyari Netflix weh, bawa earphone ga?"
iqbalpaz,2020-06-17 06:01:12,@rantyari Sad :(
iqbalpaz,2020-06-17 05:51:27,Nonton 13 reasons why emang harus dari awal. Disclaimernya ga boleh diskip. Ini penting banget soalnya. Beberapa orang terutama yang punya tendensi bunuh diri bisa ketrigger gara gara nonton ini.
iqbalpaz,2020-06-17 05:49:07,@ekokepe @traphole Aku g buka emailnya wakakak
iqbalpaz,2020-06-17 05:48:26,@rantyari Punteun kok kamu kaya bukan orang riung bandung ya? Kalo samsat langsung ijo itu baru keajaiban dunia ke-9
iqbalpaz,2020-06-17 03:31:48,@nagotejena Selamat leader nago atas pernikahannya.
iqbalpaz,2020-06-16 23:00:18,"@ekokepe Luas banget cuma sayang yang berkembang cuma garut kota, padahal kalo akses ke pantainya diperbaiki kan bisa jadi cuan"
iqbalpaz,2020-06-16 16:16:02,"Perilaku tersebut menunjukkan bahwa pelaku yang mencaci maki itu tidak bersikap welas asih, tidak mampu memaafkan dan menyayangi sesama. Terima kasih kepada dokter @jiemiardian saya berkesempatan untuk belajar hal ini. Boleh cek kelas ""menyembuhkan luka dengan memaafkan""."
iqbalpaz,2020-06-16 16:14:09,"Itu analisis saya sih ya. Ga tau apakah ada motif lain di balik cercaan itu seperti pengen viral atau yang lainnya. Yang jelas menurut saya hal itu sangat tidak berguna, malah merugikan diri sendiri dan orang lain."
iqbalpaz,2020-06-16 16:12:33,"Buktinya liat aja di twitter. Isinya cercaan dan makian ke akun ybs. Saya nanya deh. Buat apa ngelakuin itu? Ybs udah minta maaf. Kaliannya aja yang hatinya keras, ga mau maafin orang lain."
iqbalpaz,2020-06-16 16:09:54,Ingin sedikit menanggapi terkait isu yang lagi rame. Setiap manusia itu pasti pernah melakukan kesalahan. Pertanyaannya adalah apakah kita mampu berbesar hati untuk menerima kesalahan tersebut dan memaafkan yang bersangkutan? Yakin deh ga semua orang mampu.
iqbalpaz,2020-06-16 15:40:49,@IlhamBasya @infobdg tolong dibantu @Blood4LifeID
iqbalpaz,2020-06-16 15:09:18,@mi_chiamo_joel like dan RT atuh bang
iqbalpaz,2020-06-16 15:05:28,Buat yang lagi cari buku agama islam boleh cek thread ini kk https://t.co/MPPGvU227S
iqbalpaz,2020-06-16 14:53:51,We are human after all. We make mistakes. https://t.co/NIa10wejB6
iqbalpaz,2020-06-16 13:44:55,Bener ini @deedgy ? https://t.co/fKgBWzZtQL
iqbalpaz,2020-06-16 12:35:04,@_hanifamillati #RIPJustice
iqbalpaz,2020-06-16 11:47:46,Sama kaya orang yang pengen resepsi mewah dengan dalih nikah kan cuma sekali. Bro sis boleh aja kok resepsi mewah tapi coba liat lagi abis nikah masih punya duit ga? Kan ga lucu kalo nikahnya mewah tapi abis itu makan indomie tiap hari. https://t.co/8QIycE9SPW
iqbalpaz,2020-06-16 06:42:22,Apakah kamu begini @rantyari ? https://t.co/CTgwmYwmQN
iqbalpaz,2020-06-16 06:15:33,"""Bahagia itu tanggung jawab masing-masing"" Kale @ardhitoprmn @film_nkcthi https://t.co/53aUh3kilV"
iqbalpaz,2020-06-16 02:40:08,"balik lagi kata dokter jiemi, ""izinkan orang lain untuk membantu."" kalo kita nutup terus pintunya ya gimana orang lain mau bantu ye kan? sama kaya kita mau berkunjung ke rumah tapi pintunya dibuka kan ga etis kalo pintunya didobrak. emang mau nangkep buronan?"
iqbalpaz,2020-06-16 02:38:18,"beneran deh kalo idup udah kerasa berat mending cari bantuan orang lain. minta bantuan itu bukan tanda bahwa kita lemah, itu tandanya kita bijak dalam bersikap. i know bagi sebagian orang susah banget buat minta pertolongan entah karena alasan apa pun."
