username,created_at,text
jollajoly,2020-06-12 14:43:25,Harus cepet cepet beli eye patch karna kantung mata suda bengkak dan menghitam😰
jollajoly,2020-06-12 12:16:04,@khansamiawmiaw @be Kpan ya aku bisa merasakan kenikmatan itu smua sedi kwwkkwkw
jollajoly,2020-06-12 12:15:24,@AiniAibee Makasi ainiik xixi
jollajoly,2020-06-12 01:18:02,@juliyaaaanisrn Boleh sis dibuka aja shopee nyA sis wkwk
jollajoly,2020-06-12 00:16:59,@oppieyolandaa Ayah adala aku kwkw da emg gada yg wa🤣
jollajoly,2020-06-11 17:11:07,"Knp ya skrng jadi takutan, tidur sndiri aja jadi gabisa🙃 kaya slalu was-was gitu, deg degan"
jollajoly,2020-06-11 16:29:34,Sebelum dan sesudah pake susuk di ig ;) wkwk skinker apaan tuh? Haha https://t.co/UW56yToMI4
jollajoly,2020-06-11 12:29:42,Padahal tadi uda search salad buah digrabfood tp scara tidak sadar ordernya mcd lagi mcd lagi ;) https://t.co/ZbQm63GE2p
jollajoly,2020-06-10 12:36:01,@chairizkasekar HA HA
jollajoly,2020-06-10 11:49:32,"kalo org-org lg males idup katanya pd cpt mau nikah, kalo gw mau jdi princess ajalah🙃"
jollajoly,2020-06-10 06:03:48,@oppieyolandaa Hhahaa imo mo mo yuk aku temenin sis beli imo wkwk
jollajoly,2020-06-10 06:01:55,@adindayulintang Sini ngobrol sama gua aja ;( wkkwwk
jollajoly,2020-06-07 14:23:48,"Dulu diajakin foto sama mama gapernah mau, ini aja dipaksa, dan ternyata waktu ke surabaya kemarin itu liburan terakhir sama mama 😊 11/2018 https://t.co/byyrN149ZC"
jollajoly,2020-06-07 14:01:30,@khansamiawmiaw Sumpah pengen kaya enak dipake untuk yg tidur sendiri gtgasi wkwk
jollajoly,2020-06-07 14:00:15,Yaampun ngerebus air dari penuh sampe tinggal setengah ;”) lupa bgt
jollajoly,2020-06-07 02:31:20,"Yah sedih, kayaknya gabakal ada wisuda deh, masa iy dipending setaun ;”))"
jollajoly,2020-06-06 13:24:23,Yippii❤️ https://t.co/CGO5jq1hvQ
jollajoly,2020-06-06 09:28:20,Pengen main bgt tp ngantuk
jollajoly,2020-06-05 14:18:19,@srdmysfr Gw liatnya jd nherasa gatel sendiri🙃 pen langsung peletusin wkwk
jollajoly,2020-06-05 13:46:33,Pms sakit amatzi🥶😭
jollajoly,2020-06-05 11:55:56,@FathurEdward @unaaana Kwkwkw menyimak klarifikasi husna
jollajoly,2020-06-03 23:45:52,@oppieyolandaa Kwkwkwkwk
jollajoly,2020-06-03 16:25:08,Seyeng deh sm enjel enjel q😂😇 https://t.co/ae3tNoKv3Y
jollajoly,2020-06-03 16:21:52,@chairizkasekar Termakan janji palsuw
jollajoly,2020-06-03 13:58:31,"@oppieyolandaa Pamer bojo, korban janji, buang mantan cari yang baru, conta tak direstui ;)"
jollajoly,2020-06-03 13:53:56,Gw bngt otaknya lancar kalo ud h-beberapa jam pengumpulan tugas ;) https://t.co/jfl2CpkwG5
jollajoly,2020-06-01 14:46:58,"Uda awal bulan lagi, waktunya mulai dengan yg baru baru🤣"
jollajoly,2020-05-29 11:31:15,@rxdbc Sayang abee
jollajoly,2020-05-28 14:50:24,@juliyaaaanisrn @unaaana @harunhaha Sumpa aku juga jd rontok parah si
jollajoly,2020-05-23 13:57:05,@khansamiawmiaw Sayank sasa❤️ haha
jollajoly,2020-05-02 14:30:17,@khansamiawmiaw Omg mau review nya dongg aku bnyk bgt whiteheads nya di idung
jollajoly,2020-05-02 05:25:23,@dhakaprayoga Makasii dakkaaaa
jollajoly,2020-05-01 12:20:44,@rxdbc Km lucu bgt si suka masak masaak xixi
jollajoly,2020-05-01 01:58:44,"Baru hari ini ketemu mama di mimpi ;”) seneng bgt!❤️❤️ Walaupun cuma mimpi tp real bgt, sebelum saur sama sesudah saur rasanya gamau bangun dr tidur😂"
jollajoly,2020-04-30 02:24:58,@AiniAibee Iya gpp jahat drpada nangis dikamar mandi sambil ngidupin keran air kwkwkw
jollajoly,2020-04-29 15:17:35,Hehehe sukurin !
jollajoly,2020-04-29 09:13:02,@faizalasady Rasaa
jollajoly,2020-04-28 14:40:09,@rxdbc Seru seru. Tp aku gatahan aku lgsung loncat ke episode terakir ekwk
jollajoly,2020-04-28 11:23:26,1 episode dulu baru abistu pre-test deh. Zanzi🙃
jollajoly,2020-04-28 11:19:47,@adindayulintang @chairizkasekar Kangen bukber pake daster ;(
jollajoly,2020-04-28 03:28:06,"Beneran deh, gk percaya lg sm orang yg uda perna ngebohongin atau ngecewain gitcu.😏"
jollajoly,2020-04-27 17:18:45,Beralih dr drakor kita nntn lucifer wkwk seru sih parce😂 keracunan smpe jam sgini blm tidur ;”)
jollajoly,2020-04-27 14:32:22,@atrdvn Iya enakkk tikkk hehe
jollajoly,2020-04-27 14:19:54,@oppieyolandaa Ceian qm yea Ha Ha
