username,created_at,text
kirannaurora,2020-06-12 01:13:54,@arihleonhart @Dyahlarasatis @ajayinwkwkwland Maaf mba aku ketawa bgt ini😭
kirannaurora,2020-06-11 16:59:43,Selamat memasuki jam overthinking dan tiba2 sedih tapi bingung sendiri sedih kenapa?!?!!!
kirannaurora,2020-06-09 05:35:44,@briankhrisna KAU TERIMAA~
kirannaurora,2020-06-07 13:08:30,@traveloka tentu sj komedi romance wkkk
kirannaurora,2020-06-06 12:21:40,"Konteks nya mungkin jokes, tp ngena sih..kebayang ada di posisi si ocon😢 https://t.co/bk01VzOaeD"
kirannaurora,2020-06-06 12:21:22,@briankhrisna Duh suka ingin nyanyi Mustofa sakit hati ditinggal sang kekasih biar saya obati dengan geboy sepat~~
kirannaurora,2020-06-06 07:01:10,@indomiegoreenng @rizkaayul_ @Dwfbiantv @dwnvtsr @mutiaracitraya @FiersaBesari @jarkasih_p Ini jaman kapan pak😭
kirannaurora,2020-06-05 13:04:06,"@andihiyat @luckytribeid ""Emang kamu tau tempatnya? Pernah kesana emang?. "" Emang kalo mau kesitu kesini, segala aktivitas w harus di update kaya ente ya samsul?"
kirannaurora,2020-06-05 12:49:27,Aku ketawa karena mas nya yg ketawa😂bukan karena naik pager https://t.co/3IX3SHLnxd
kirannaurora,2020-06-05 09:59:20,@andihiyat Lucu:( terus Kalo ngetweet selalu sama dengan yg aku rasain apa jangan-jangan kitaa?..
kirannaurora,2020-06-05 04:09:27,https://t.co/mWQs7THidz
kirannaurora,2020-06-04 14:09:44,أستغفر الله العظيم
kirannaurora,2020-06-04 10:03:43,@zarryhendrik Akusih no
kirannaurora,2020-06-01 01:44:56,@cwutties @AncahNhaga Teks nya Bersuara😭
kirannaurora,2020-06-01 00:28:05,"Hai, Juni Mari kita berlomba-lomba Di bulan ini, siapa yang bisa jadi lebih baik Kamu, atau aku? https://t.co/UoWcDbwNtA"
kirannaurora,2020-05-28 14:14:37,@FOODFESS2 Lotek
kirannaurora,2020-05-26 15:54:00,Ya Allah semoga sehat-sehat aamiin
kirannaurora,2020-05-26 00:42:11,Sedihh 😂 fizi memang gada akhlak https://t.co/NmrhJNOQJY
kirannaurora,2020-05-25 09:20:31,@tirrafzr @indo35meme Iya ih ko asri welas sih😅
kirannaurora,2020-05-25 02:20:48,Bismillah.. InsyaAllah Allah selalu mempermudah segala niat baik hamba nya😊
kirannaurora,2020-05-24 13:38:44,"Ga dibales takut disangka sombong Kalo dibales, nnti awkward😅🙄"
kirannaurora,2020-05-24 12:50:50,Alhamdulillah.. Panjang umur orang-orang baikk😊
kirannaurora,2020-05-22 13:21:03,@jek___ Proshopp? Peter says denim donggss😂
kirannaurora,2020-05-22 13:20:34,@dagonisme @jek___ @syahruddinsyrf Darbost pada taugaa😂
kirannaurora,2020-05-22 06:01:19,@rifeshh Terus kalo yupinya bentuk cicak jg unyu gitu? 😂
kirannaurora,2020-05-22 05:35:38,Apa akunya yang lembek ky yupi?
kirannaurora,2020-05-22 05:32:11,😢
kirannaurora,2020-05-21 14:41:02,@IlmaMediarti @farajilmann Maaf ku memang receh gaes😅
kirannaurora,2020-05-21 08:49:50,@farajilmann Indonesia : senang Inggris : happy Bahasa Sunda : https://t.co/uZlCcaZMJO
kirannaurora,2020-05-21 08:17:24,@Fikri_hdayt Indonesia : nyebelin Inggris : annoying Bahasa Sunda : https://t.co/SQdisigH2j
kirannaurora,2020-05-21 08:03:43,@imanzkkk Indonesia : pintu Inggris : door Bahasa Sunda : https://t.co/Y6kWKA983s
kirannaurora,2020-05-21 07:16:41,@Fikri_hdayt Yg jawab pdip ditabok ya😌
kirannaurora,2020-05-21 07:16:21,@Fikri_hdayt Indonesia : timun Inggris : cucumber Bahasa sunda : https://t.co/5Pay4VekTc
kirannaurora,2020-05-21 06:58:31,@ayuretnissa Bukan aing yg bilang loh😂😫
kirannaurora,2020-05-20 14:36:01,Sering ngerasa gapunya tmn😂😅apalagi dirumahaja hmm😌
kirannaurora,2020-05-20 12:48:44,Ya Allah sabar bgt😥😌 https://t.co/rINmkrcs5z
kirannaurora,2020-05-20 07:33:07,@ayuretnissa Enya long enya ratu kalong panutanque
kirannaurora,2020-05-20 07:32:07,@ayuretnissa Hihhh barin we atuuu na bet soak haha sokwe nikah mumpung lagi corona murah gausa pk resepsi😂😂
kirannaurora,2020-05-19 15:18:23,Yg gakuat jangan liat😭 https://t.co/wk11FApmBN
kirannaurora,2020-05-19 15:09:09,@briankhrisna Belum modal nikah😂😂
kirannaurora,2020-05-19 14:01:01,"Udah 3bulan, minta maap kagaa terima kasih kagaa wkwk kulit muka nya berapa lapis dah? Ratusaan~😂😂"
kirannaurora,2020-05-19 13:59:10,@MuhamadBillyyy @ayuretnissa @irwanshohei Minggir klean semwa bapa billy(udh jd bapa2) mu lewatt😋😍 jadi kmha bil lebi bohay km atau istri km? 😂
kirannaurora,2020-05-19 13:57:54,"@ayuretnissa Iyaaa pokonya nyontek di barisan km hahaha ngakak anjiw, btw anda rajin ya pelajaran buendah🙃"
kirannaurora,2020-05-19 13:57:09,@ayuretnissa @irwanshohei Maenya? Ah wadul wkwk
kirannaurora,2020-05-19 13:56:56,@ayuretnissa Wkwk gembel ternyata ada yg lebih gabut idupnya drpd w:( Ceuk sahateh? Haha soklah didoainn
kirannaurora,2020-05-19 13:55:22,Yang diutangin sama yang ngutang lebih judesan yang ngutang itu isi kepala nya apaan si?
kirannaurora,2020-05-19 13:09:14,@MuhamadBillyyy @ayuretnissa @irwanshohei Eh bapa billy kumaha damangg? Inget aja anjir sula sule😪
kirannaurora,2020-05-19 13:06:10,@ayuretnissa Haha aku jg suka nyontek pelajaran buendah ke syp sii lupaa da ngisi LKS te kudu loba wkwk😂
kirannaurora,2020-05-19 13:05:13,@ayuretnissa @irwanshohei Iyaa pacarnya skrg jg cantik akuge bogoh hm:( apalah daya kita yg balasbogo
kirannaurora,2020-05-19 13:04:39,@ayuretnissa Akuu baru 1bln tp udh bulukan:( Ciye gaia baturmah udh mu kenalan sm camer hmm😍
