username,created_at,text
liputarinns,2020-06-12 10:47:26,"@animalfess2 Belom seminggu pelihara kucing, selasa kemarin beli asal aja buat litter. Kitcat soya clump coffee. Menghilangkan bau, sm sekali ga kecium, gumpal dan ga debu(krn bukan pasir).. krn asal beli ga ada label harga, barusan googling ternyata harganya termasuk mahal 60k++ 7liter 😭"
liputarinns,2020-06-12 10:36:09,"Kunamain phillo, dikasih nama suami ulubana. Dipanggil lublub (pake qolqolah) https://t.co/nmPfR6sBNP"
liputarinns,2020-06-12 08:05:06,"Gamau refill air dr dispenser kantor karena takut aja. Jadi harus bertahan dengan 750ml air putih, dan 500ml air jahe selama dikantor. Sedih banget"
liputarinns,2020-06-11 14:13:51,Liat animalfess byk yg bilang df df apaansi ampe googling. Kirain degree of freedom gataunya dryfood
liputarinns,2020-06-11 13:20:28,Lima besar? Tojeng. Salamaki....... https://t.co/zHjnTgkbGC
liputarinns,2020-06-11 12:46:24,Orang² kok bisa deket sm orang tua sih. Gue dichat aja tremor panas dingin tegang.
liputarinns,2020-06-11 03:19:32,Sejak wfo kok jd capek bgt rasanya badan ini 😭
liputarinns,2020-06-11 03:11:15,@rexyand Mending ya kalo bocil... kalo org dewasa yg begitu. Aku pusing.
liputarinns,2020-06-11 00:30:23,@rexyand Paling bocil alae itu
liputarinns,2020-06-10 12:14:26,Dia ga mau makan selama ditinggal kerja. Barusan baru mau makan. Hadeh ceng https://t.co/Q17seTeFej
liputarinns,2020-06-09 05:43:56,"@animalfess2 Aku dulu punya 3 kelinci yg bebas di rumah, banyak kucing liar keluar masuk rumah juga... Kalau kelincinya segede gini sih aman, cuma pas punya anak dimakanin kucing kalo emaknya ga jagain 😭😭 https://t.co/jGW1qUoFIm"
liputarinns,2020-06-08 13:51:50,"@rexyand Aku ga ngerti ini update² UI sistemnya gimana wkwk. Yg jelas kalo kamu nanya, enakan swipe up apa ga.... ya swipe up rex lebih clean.. tapi lama sih kudu scroll² mau nyari app"
liputarinns,2020-06-08 13:47:12,@rexyand Hahh. Kayaknya tertentu deh. Aku ga ada swipe up makanya pake launcher 😭
liputarinns,2020-06-08 13:42:39,@rexyand Hah udh ada updatean😱😱😱😱😱😱
liputarinns,2020-06-08 12:54:15,"@emyonoo Kenapa ya di tempat gue yg produksi malah terpaling kinclong dari seksi lain. meskipun ke sawah dari pagi smpe sore, make up tetap on tanpa kekurangan. Kulit ga gosong 😭"
liputarinns,2020-06-08 12:50:03,@wulandevv Masalahnya babunya ga ngerawat.. Itu poinnya. Bisa²nya sphynx kutuan kan berarti keterlaluan
liputarinns,2020-06-08 12:49:07,"Depan rumah gue ada spanduk ""kami menolak rapid test covid, kami semua sehat"". Yg tadi gue lihat sih ada 3 titik. Kok bisa ya ada org begini amat"
liputarinns,2020-06-08 12:47:58,@wulandevv Divideo sih keliatan kutunya jalan² aja ga bisa diem
liputarinns,2020-06-08 11:39:40,Ada juga british sm maine coon. Ya ampun kalau ga mau disayang mah sini hibah aja ke aku 😭😭😭
liputarinns,2020-06-08 11:37:52,Diceritain sama mbak2 kenalan kalau temannya ada yg suka impor kucing tapi habis itu tidak dirawat. Dikasih liat video kucing kutuan. Salah satunya ada sphynx...kutuan.... sphynx kutuan woy 😭😭😭😭😭😭😭😭😭
liputarinns,2020-06-07 09:22:45,@rexyand Emg bisa hemat sampai brp lama rex?
liputarinns,2020-06-07 09:22:24,@wulandevv Kenapa you 😱
liputarinns,2020-06-07 09:22:08,@gitaaa_wl Untung kepala kantor jarang banget ngechat huhu
liputarinns,2020-06-07 08:48:09,@rexyand Pantesan chat sm sama kamu seringnya centang 1 😭
liputarinns,2020-06-07 08:05:05,"@subtanyarl Lah gue sampe lupa kalo indomie yg biasa gue makan dulu ada bawang gorengnya.... Hm bubuk cabe ok koo, tambah saos sendiri tapi wkwk"
liputarinns,2020-06-07 07:43:38,@sanjayaaaaa Aku buka chat org kantor biasa aja :(
liputarinns,2020-06-07 07:25:41,Tiap dichat walau entah apa isinya kayak lgsg stress aja. Kayak ada tekanan apa gitu. Ada ga sih org yg gue kenal ngalamin gini juga.... Buka chat seseorg trs lgsg ga mood 😭
liputarinns,2020-06-07 03:39:59,@wulandevv Itu di menu yg kanan atas garis 3 itu
