username,created_at,text
llakhr,2020-06-12 15:43:23,bro.... https://t.co/ApFvYZ0SnO
llakhr,2020-06-12 14:20:18,@chickablackpink https://t.co/Uvw5rCKTiF
llakhr,2020-06-12 12:37:12,@aitumiranda hmmm https://t.co/wBJABoGkCS
llakhr,2020-06-12 10:18:17,sakit bgttt tenggorokan akuuu ini azab ya allah maafin aim
llakhr,2020-06-12 09:09:58,@gpuntia cabenya lebih banyak
llakhr,2020-06-12 08:07:25,@aitumiranda https://t.co/jMfnGDj77k
llakhr,2020-06-12 07:12:19,mau jd swami org😭😭 congratssss https://t.co/bQADhjZ60o
llakhr,2020-06-11 17:21:14,@aitumiranda doain ak sm kai smg berjodoh lg makasih supportnya
llakhr,2020-06-11 16:37:32,jam segini laper brouuu
llakhr,2020-06-11 12:34:07,"@subtanyarl kl di samsung bixby vision, tp masih harus diedit sih soalnya format tulisannya bisa jadi kurang rapi"
llakhr,2020-06-11 11:56:02,meninggal gaksi hpnya https://t.co/BKm1JeLmG3
llakhr,2020-06-10 13:42:14,drama musikal emang keren ky gt atau krn itu di korea ya?? belum pernah nonton di indo c
llakhr,2020-06-10 13:40:49,@aitumiranda tiny🥺🥺 https://t.co/MfQa8N9Xrs
llakhr,2020-06-10 13:38:04,@aitumiranda ooo aku kira hajar terus 10 jam
llakhr,2020-06-10 13:32:11,@aitumiranda brp jam anjay
llakhr,2020-06-10 13:31:45,ksoo kecil bgt knp😭😭😭😭
llakhr,2020-06-09 12:16:43,pengen bisa gambar https://t.co/8ZbHvOnIi2
llakhr,2020-06-09 09:37:13,https://t.co/6xvmVLcEHP
llakhr,2020-06-09 09:34:57,menunggu paket... aku menunggu paket.... https://t.co/Q0Vj5Jt8bX
llakhr,2020-06-08 13:08:20,@chickablackpink oo pempek satu
llakhr,2020-06-08 12:40:29,jd mau makan tekwan dkt stasiun duri...
llakhr,2020-06-08 12:36:43,tekwan🤤🤤 https://t.co/kBQ6xUey0v
llakhr,2020-06-08 12:29:41,@chickablackpink apansi bhs apa bhs jawa x melayu???
llakhr,2020-06-08 12:24:27,@chickablackpink sini ku pecahkan balek pala kaw
llakhr,2020-06-08 12:21:22,@chickablackpink apatu balak
llakhr,2020-06-08 11:46:23,"@chickablackpink die tu memang setan, bukan aku ngejek"
llakhr,2020-06-08 08:45:36,ngeselin bgt ni setannnnnn😠😠😠😠😠😠 https://t.co/9J8lRLUTll
llakhr,2020-06-07 12:40:09,@meirymutiara @Dphitaloka @daniyaisaf @divakiranaa @chickablackpink @w__ua knp lu pilih kasih jah dlm ngesave nmr temen sendiri @wedusgewmbel
llakhr,2020-06-07 12:28:11,@daniyaisaf parahhh disindir guysss @divakiranaa @chickablackpink @Dphitaloka @meirymutiara @w__ua
llakhr,2020-06-07 12:08:37,@_adltiara amin
llakhr,2020-06-07 11:50:52,@divakiranaa lambemu
llakhr,2020-06-07 11:50:42,@w__ua @syafiracaputih @divakiranaa jangan takut sm uzma
llakhr,2020-06-07 11:24:16,tapi di rumah aja
llakhr,2020-06-07 11:24:07,pengen make baju pink
llakhr,2020-06-07 11:23:53,@divakiranaa @w__ua https://t.co/TECpZ3ucQt
llakhr,2020-06-07 11:13:54,@divakiranaa @w__ua bahaya emg anjer diledekin dipa tuh. tlg dipa ledekin gue sm cogan kapan2
llakhr,2020-06-07 11:12:18,@w__ua @divakiranaa ko usma jadi suka beneran dah wowkwowk
llakhr,2020-06-07 11:09:40,mi goreng: mi sedap mi kuah: indomie no debat https://t.co/GtKaSH9ddD
llakhr,2020-06-07 08:50:02,just hug broouuuuu https://t.co/G1Me0ouRPk
llakhr,2020-06-07 08:48:42,the fact that jongdae coming home to a wife and a baby https://t.co/ZBbifL9VFb
llakhr,2020-06-07 08:47:35,oh fuk yeeeedd married dae https://t.co/fxCYqTVJue
llakhr,2020-06-07 08:45:20,@aitumiranda MANA??????
llakhr,2020-06-07 08:44:23,astaga nangis baru ngeh jm kan udah ga ada ya😭😭😭😭 pantes kok sepi bgt tp ngomongnya all exo members BRB cryin https://t.co/Htn6oRLkgt
llakhr,2020-06-07 07:20:48,@sitihaniifah galak
llakhr,2020-06-07 07:11:16,@Viu_ID minnn the ghost detective udah ga ada di viu???? baru nonton episode 1 masa huft
llakhr,2020-06-06 11:21:29,I LAUGHED https://t.co/iaSOlm3xC5
llakhr,2020-06-06 09:25:02,@syafiracaputih yaampun image gue baik banget dimatamu
llakhr,2020-06-06 09:21:51,@w__ua awowkw9wkwowow ayah
llakhr,2020-06-05 17:08:10,"udah cape2 nanem beras di shopee, nyiram siang malam, pas udah panen, ternyata beras donasi....... https://t.co/tGxuOEWgLr"
llakhr,2020-06-05 14:33:52,@jek___ elo ngaca
llakhr,2020-06-05 12:09:21,sediiiiiiiii https://t.co/Gld3ic8gWX
llakhr,2020-06-04 23:47:27,that feeling when u just woke up and the surrounding feels all too familiar and the memories come at once u are beaten up first thing in the morning https://t.co/Xj5TgPFMpG
llakhr,2020-06-04 15:38:36,@syafiracaputih @divakiranaa REMAKE DONG SYAF PLISSSSS
llakhr,2020-06-04 07:24:20,@divakiranaa @syafiracaputih demi mirip anya jaman susah
llakhr,2020-06-04 07:22:54,@syafiracaputih @divakiranaa kang vila?
llakhr,2020-06-04 02:34:46,"@chickablackpink jgn merendah gitu, sahabat"
llakhr,2020-06-04 02:33:27,@chickablackpink siapa temen gue
llakhr,2020-06-04 02:31:28,pengen pacarannnnn https://t.co/PILiCgfomi
llakhr,2020-06-04 00:40:51,@chickablackpink yekan kaga ngomong sama lu boi
llakhr,2020-06-03 20:26:48,https://t.co/5r6Um3iMOd
llakhr,2020-06-03 20:18:23,cut my hair so i could live a little
llakhr,2020-06-03 16:42:48,i love this song https://t.co/SM0bviRnlC
llakhr,2020-06-03 16:05:31,mauuuu ke pku aja😭😭😭😭😭😭 https://t.co/zghPajkops
llakhr,2020-06-03 13:47:48,normalize not wanting to have kids
llakhr,2020-06-03 13:18:59,baekyeolist can go home now
llakhr,2020-06-03 11:35:54,@meirymutiara ❤❤❤ emang dah lu dimana2 @chickablackpink https://t.co/DIfWQYhLRW
llakhr,2020-06-03 11:28:15,@syafiracaputih @divakiranaa istipar lo!
llakhr,2020-06-02 19:24:09,😥😥 https://t.co/MEWsMleUDz
llakhr,2020-06-02 15:01:47,@syafiracaputih @pacarnyatmski gak lah masa kawean
llakhr,2020-06-02 15:00:07,@syafiracaputih @pacarnyatmski lah iya **** jaman masih sekola asli
llakhr,2020-06-02 13:01:17,@chickablackpink gmn coba ngakaknya
llakhr,2020-06-02 12:02:18,kapan sekolah masuk lagiiii udah muak liat aga di rumah
llakhr,2020-06-02 10:45:50,awowkwowkwkkwowwk https://t.co/Y5LB2MiGpf
llakhr,2020-06-02 08:00:03,@syafiracaputih WKWKWKWKWKWKKW SA AE
llakhr,2020-06-02 07:13:58,@ayunp_ bisa diam gak sih?!
llakhr,2020-06-02 07:13:41,@chickablackpink iya grgr kelakukan dakjalmu ya hyung
llakhr,2020-06-02 06:58:02,trump senyebelin ini knp bisa menang ya https://t.co/lGlvpMgWdT
llakhr,2020-06-02 06:24:15,@siwonchoi JAMET
llakhr,2020-06-01 23:15:02,ini workoutnya seru bgttt shayyyy https://t.co/KWZn41FHgl minimal seminggu ky gini bisa joget so asik lah
llakhr,2020-06-01 21:43:17,"kadang tiba2 pengen teriak ""bisa diem ga sih?!"" padahal gada yg ngomong"
llakhr,2020-06-01 20:54:52,whoops you cant reply to this tweet
llakhr,2020-06-01 13:43:32,flis ada yg main ini gaaaa buntu😔😔 https://t.co/o3txqoxSe6
llakhr,2020-06-01 08:44:58,@meirydies @w__ua tolong yg erat pegangannya
llakhr,2020-05-31 13:30:33,@meirymutiara https://t.co/i3R6Ee4IXF
llakhr,2020-05-31 13:25:53,@meirymutiara https://t.co/X1gxckbVvA
llakhr,2020-05-31 13:22:09,iiiih tolol https://t.co/JgYmsdpYw2
llakhr,2020-05-31 13:21:26,absolutely right. the hornie part sucks big time😔😔 https://t.co/LJ2A748lJ2
llakhr,2020-05-31 13:17:18,@meirymutiara awoakwokwowkw sapa ne
llakhr,2020-05-31 11:50:15,ngeliatnya aja jerawat di muka sudah ke triggered https://t.co/82TaqS7nKP
llakhr,2020-05-31 11:49:19,@syafiracaputih memang kulkas tetangga lebih abu2
llakhr,2020-05-31 11:10:13,memang kulkas tetangga lebih hijau https://t.co/KhVLGfGZHN
llakhr,2020-05-30 17:19:05,@meirydies @syafiracaputih cari di kantor imigrasi byk
llakhr,2020-05-30 16:57:48,yuhuuuuu https://t.co/GTSehoyNnr
llakhr,2020-05-30 12:09:10,why does drinking coffee make me so happyyyyy
llakhr,2020-05-30 11:14:22,@syafiracaputih iya mereun
llakhr,2020-05-30 11:13:56,@divakiranaa iya😔
llakhr,2020-05-30 10:03:51,@syafiracaputih kalau kamu bingung brrti kamu tidak terlalu membutuhkannya ceunah
llakhr,2020-05-30 10:02:15,bm bikin pas foto background biru
llakhr,2020-05-30 09:23:49,@w__ua @divakiranaa kojie san bikin kering ga uzma-san?
llakhr,2020-05-30 08:57:48,ya kok bisa gitu.....? https://t.co/ZIyGmElWar
llakhr,2020-05-29 16:07:31,@chickablackpink @meirydies @syafiracaputih dipa mirip anak kecil yg jd meme iri bilang bos itu😭😭
llakhr,2020-05-29 14:21:57,@syafiracaputih @meirydies tot
llakhr,2020-05-29 14:13:36,anak main rawamangun https://t.co/bsFpj494C0
llakhr,2020-05-29 14:11:55,gaya apa c https://t.co/DC9jyJdxYZ
llakhr,2020-05-29 13:22:11,abis update os trus app2nya suka kelock sendiri gasuka ya ak
llakhr,2020-05-29 09:38:34,podcast yg seru di spotify apa c
llakhr,2020-05-29 09:17:03,kok lagi males fangirling ya
llakhr,2020-05-29 07:32:29,@aitumiranda halo indostruggle
llakhr,2020-05-29 06:43:09,@aitumiranda WKWKWKWKWKWK LAWAKK
llakhr,2020-05-28 13:17:29,seru pengen ke dufan tp make masker https://t.co/GTz3jwpVFG
llakhr,2020-05-28 13:13:00,@aitumiranda makasih gan tapi agak beda ya nyampe sini https://t.co/hCr1I4oQPg
llakhr,2020-05-28 13:09:28,@aitumiranda nyamnyam
llakhr,2020-05-28 12:24:00,wkwkwkwkwk udah stres jadi apapun lucu https://t.co/9oNOM2qWpD
llakhr,2020-05-28 11:25:38,@gpuntia sender: https://t.co/g5FNRonpIE
llakhr,2020-05-28 11:16:03,saya iri sm km nder https://t.co/21uCQLBfwR
llakhr,2020-05-28 08:06:34,@ayunp_ berapa kali
llakhr,2020-05-28 06:43:23,@w__ua @atfhss tu mertua apa majikan bun
llakhr,2020-05-28 00:48:31,NGAKAK BGT😭😭😭😭😭 https://t.co/ABCnD66j8G
llakhr,2020-05-27 23:48:22,love thisssss https://t.co/toRR1smiG0
llakhr,2020-05-27 10:01:36,childhoods songs check alias kita smw perna jamet https://t.co/mrwccGjDOa
llakhr,2020-05-27 09:30:17,@B_hundred_Hyun BITCH???¿¿¿¿¿
llakhr,2020-05-27 08:09:04,@w__ua @divakiranaa @syafiracaputih gatau. yadi ya?
llakhr,2020-05-27 08:06:21,@w__ua @divakiranaa @syafiracaputih maraaaa mas yudi
llakhr,2020-05-27 08:05:16,@divakiranaa @w__ua @syafiracaputih ihh budiawan mah mas arief cakeppp. yg hakim2 itu mas arif klaim bukan??
llakhr,2020-05-27 08:01:58,@divakiranaa @w__ua @syafiracaputih namanya yg pertama itu dip??
llakhr,2020-05-27 07:45:32,@w__ua @syafiracaputih @divakiranaa tolong konfirmasi
llakhr,2020-05-27 07:44:03,@w__ua @syafiracaputih WKWKWKWKWKWK dosa lu maaa
llakhr,2020-05-27 06:52:15,@w__ua @syafiracaputih arif klaim? ya sok aja sih syaf. emang doi masi single👍🏼
llakhr,2020-05-26 15:38:45,@w__ua ya allah orang ganteng
llakhr,2020-05-26 14:51:12,lawak lo jongin😭😭 https://t.co/uJD3lr0wAN
llakhr,2020-05-26 11:04:13,skrg ngeliat fizi bawannya pengen jutekin
llakhr,2020-05-26 10:54:38,ayo sobat plank berkumpul https://t.co/eWidN69teX
llakhr,2020-05-26 09:22:54,mbah turunin ujan dong @infoBMKG
llakhr,2020-05-25 14:49:15,girls who play drums just hit different🥵🥵https://t.co/x8oyxIN0jv
llakhr,2020-05-25 14:49:14,spent an hour binge watching mcr and paramore in 2020????
llakhr,2020-05-25 12:53:50,tidur telat bangun pagi2 nyalain komputer online lagi
llakhr,2020-05-25 05:17:08,@majjaeralin udah ngerti tp ga pengen ketawa
llakhr,2020-05-25 05:03:41,pgn ketawa tp nga ngerti https://t.co/x8tlqUHErj
llakhr,2020-05-25 04:16:02,@atfhss loh justru gue mau flexing krn dpt paling gede alias adil
llakhr,2020-05-25 04:01:49,ketika u paling gede dan dikasih duit 100rb sedangkan yg lain cuma 50rb https://t.co/6AYpV2PP01
llakhr,2020-05-25 03:59:52,boong kan? ini pisang beneran kan? https://t.co/gsoRzG4bxA
llakhr,2020-05-25 02:54:06,me: baru jalan keluar also me: ga sabar pulang
llakhr,2020-05-24 12:43:03,hari ini cuma makan sekali.... aneh bgt
llakhr,2020-05-24 04:11:30,@Dphitaloka egois
llakhr,2020-05-23 23:27:02,@infoBMKG https://t.co/FVuvaZomlg
llakhr,2020-05-23 23:26:45,minnnn😭😭😭👍🏼 https://t.co/tsyKEj4jvk
llakhr,2020-05-23 20:37:19,@aitumiranda AWOEKWOWKWOWKWOKWWOK tiap mereka selesai ngomong aku nyautin cakeeeppp
llakhr,2020-05-23 20:14:13,@aitumiranda mmgnya ak kau??????¿¿¿¿
llakhr,2020-05-23 20:09:24,@aitumiranda aku bangun stgh jam lebih cpt dr kw😪
llakhr,2020-05-23 20:07:36,@aitumiranda https://t.co/5FJovw6a3J
llakhr,2020-05-23 20:05:05,@aitumiranda mmg gila🙏🏼
llakhr,2020-05-23 20:02:50,@aitumiranda mentang2 dilock ya akunnya
llakhr,2020-05-23 20:01:43,@aitumiranda krn kita tidur bareng
llakhr,2020-05-23 20:01:00,@aitumiranda kau baru bangun
llakhr,2020-05-23 15:04:43,kok ada ya orang udah makan lontong pas malam takbiran. bukannya nunggu besok si
llakhr,2020-05-23 13:27:30,met lebaran all. stay safe. di rumah aja udah https://t.co/WiIkHHnoTy
llakhr,2020-05-23 12:42:12,ku menangis
llakhr,2020-05-23 12:34:07,@syafiracaputih @w__ua bolela bole
llakhr,2020-05-23 11:32:11,@majjaeralin thanks
llakhr,2020-05-23 11:25:17,mau nangis aja tiap liat berita kyk gini about time i mute all of this??¿¿¿ https://t.co/bfHUfyGVwt
llakhr,2020-05-22 22:18:35,@infoBMKG oh ternyata penjelasannya beneran......
llakhr,2020-05-22 22:14:29,@infoBMKG lucu lu
llakhr,2020-05-22 12:25:43,@meirymutiara @kusumawdn tapi emang iyasiii kudungnya apalagi dahlah mer kita musuhin aja yuk
llakhr,2020-05-22 12:21:53,@meirymutiara @kusumawdn WKWKWKWKWKWK baperrr
llakhr,2020-05-22 11:53:47,found suho bday ad🥺🥺 https://t.co/1lMxIcgwlJ
llakhr,2020-05-22 11:49:50,@aitumiranda kau ga kebanyakan makan kebab tapi suka gt juga
llakhr,2020-05-22 11:34:39,@aitumiranda WKWKWKWKWKKKWWK BEBY NGP
llakhr,2020-05-22 11:20:00,@gallinluv kalo ngtweet foto pake kamera lgsg yg dari twtnya munculnya emg kaya difoto dari storyyy
llakhr,2020-05-22 09:09:13,kalian tau ga sbnrnya email kalian ku gunain untuk ngirim proposal mlm🙏🏼 https://t.co/lunFfy2a3x
llakhr,2020-05-22 09:07:51,@gallinluv udah diapus fiturnya
llakhr,2020-05-22 05:50:22,🥺🥺🥺❤❤❤❤ https://t.co/TCIvv79GqZ
llakhr,2020-05-22 05:05:49,@meirymutiara @chickablackpink ksl bgt bacanya
llakhr,2020-05-21 23:49:35,"@w__ua yahhh demi apasi kekirimnya 5.23?? padahal udah diset 5.22😔😔 samasama btw, thanku for the reply also!❤❤"
llakhr,2020-05-21 22:14:05,@divakiranaa @w__ua @_adltiara @meirymutiara @chickablackpink @pacarnyatmski @fannyfarizka1 ya allah maap ya del gue termakan fitnah dajjal
llakhr,2020-05-21 21:54:26,"@_adltiara @divakiranaa @meirymutiara @chickablackpink @pacarnyatmski @fannyfarizka1 @w__ua ya emg kalo lu kentut bilang, kaga bau gitu????"
llakhr,2020-05-21 21:49:46,@_adltiara @divakiranaa @meirymutiara @chickablackpink @pacarnyatmski @fannyfarizka1 @w__ua LAH GUE KORBAN DI TKP KALE
llakhr,2020-05-21 21:48:19,@chickablackpink @w__ua goblok baru juga ultah
llakhr,2020-05-21 21:47:13,@pacarnyatmski @_adltiara @chickablackpink @fannyfarizka1 @w__ua btw kirain uzma sm yola pake baju pt
llakhr,2020-05-21 21:46:36,@divakiranaa @_adltiara @meirymutiara @chickablackpink @pacarnyatmski @fannyfarizka1 @w__ua SETUJU
llakhr,2020-05-21 21:23:40,tweet suho if you miss him
llakhr,2020-05-21 16:30:52,@syafiracaprozen iya kl sama kamu &lt;3
llakhr,2020-05-21 15:58:03,cantik bgtttt baju lampung🥺🥺 https://t.co/xEXdT9o0FK
llakhr,2020-05-21 12:49:22,@syafiracaprozen SYAF ASTAGHFIRULLAH
llakhr,2020-05-21 11:56:11,@pacarnyatmski @_adltiara @chickablackpink @fannyfarizka1 @w__ua WKWKWKWKWKEKWK ADEL DEFENSIF AMAT
llakhr,2020-05-21 11:50:44,kalo mau cepet ovo gue 50k trims
llakhr,2020-05-21 10:05:06,astaghfirullah kok rame hyung takuttt https://t.co/lunFfy2a3x
llakhr,2020-05-21 00:43:33,drop email ak mau nulis surat cinta
llakhr,2020-05-21 00:42:07,no. https://t.co/kZBQGqcnUS
llakhr,2020-05-21 00:40:08,shut up https://t.co/TlxQXOl0d5
llakhr,2020-05-20 17:06:11,lelang my insecurities aja ada yg mau nga
llakhr,2020-05-19 18:13:15,@divakiranaa BGT*** WKWKWKWKWK
llakhr,2020-05-19 17:29:08,@chickablackpink 🥺🥺🥺🥺
llakhr,2020-05-19 10:04:07,@divakiranaa sebelum dia jatoh udah ketawa duluan alias apal bgt😭😭😭
llakhr,2020-05-19 01:12:02,@chickablackpink https://t.co/4y3xOBYJUG
llakhr,2020-05-19 01:09:39,tapi ada cinta gaada di spotify lagi padahal tu lagu pamungkasnya dong
llakhr,2020-05-19 01:06:06,asli ya kalo dgr lagu2 dari heart tu rasanya mau nangis gitu... they make me feel nostalgic https://t.co/5T0Fj9Q12r
llakhr,2020-05-19 00:56:36,@chickablackpink mandiri
llakhr,2020-05-19 00:55:52,jd ni dramanya worth to watch nga https://t.co/vIvjLykGOq
llakhr,2020-05-18 22:20:42,https://t.co/qxKN4byqmj
llakhr,2020-05-18 22:19:07,meski ku bukan yg pertama di hatimu tapi
