username,created_at,text
marisahafsyah94,2020-06-12 15:12:55,@bayu_joo Hahahaha @ElissyaS @beatrycelynaa
marisahafsyah94,2020-06-12 01:04:11,@Edwardberl @ElissyaS “ya ampun km wangi bgt” HUAHAHAHAHAHAHHAHAUAHHA
marisahafsyah94,2020-06-11 21:22:06,@allkpop https://t.co/MkCR48Dkl0
marisahafsyah94,2020-06-11 21:17:21,Sal voice makes me emotional bgt.
marisahafsyah94,2020-06-11 20:59:51,😳
marisahafsyah94,2020-06-10 06:52:50,Hahaha gemessssss https://t.co/vjOReE1nLB
marisahafsyah94,2020-06-09 13:10:39,@firmanrdiansyah Hahah iya mau ka 🤟🏻
marisahafsyah94,2020-06-08 14:02:21,@firmanrdiansyah Ini teh aku antara kagok nonton aja karna seas terakhir jd harus ngefinishin apa yg aku mulai atau gausah nonton karena kaya lebar pisan bakal kgn si zach dempsey ka :(
marisahafsyah94,2020-06-08 14:00:02,@vicyadha Kalo aku rambut🤟🏻
marisahafsyah94,2020-06-08 11:20:28,"@vicyadha Untung bandan yg rontok, bukan lemak ehehehe"
marisahafsyah94,2020-06-08 09:29:49,@firmanrdiansyah Hahah gmn review nya ka?
marisahafsyah94,2020-06-08 09:09:05,Gimana udah nonton belom 13 Reasons Why seas finale nya belom kamu heeeee
marisahafsyah94,2020-06-08 08:56:44,"@ElissyaS Jangan dong, nanti ga bisa eklusip lg aku🙂"
marisahafsyah94,2020-06-08 02:53:44,"@razkasaja Hahahha ngeselin km, kan amazonnya indonesia jd weh🤪"
marisahafsyah94,2020-06-07 03:48:50,@DedyAlbar 🙂🙂🙂🙂 Km kenapa sih ih hahaha
marisahafsyah94,2020-06-06 14:35:34,"Huhuhu makin cinta bgt sama rambutku ini, terima kasi @ElissyaS tanpa sentuhan ajaibmu, ini tdk akan terjadi, gokil lu 👏🏻"
marisahafsyah94,2020-06-06 03:19:29,@razkasaja Jelek di andir mah ka🥺
marisahafsyah94,2020-06-05 07:11:57,mari meluruskan badan sejam🤟🏻
marisahafsyah94,2020-06-05 03:07:11,"@DedyAlbar @anisyaea Udah jam 10 lebih 5 menit ini, park sae ro yi, kok ga tepat waktu??? udahlah ga usah jemput aku mau ngambek aja setauneun"
marisahafsyah94,2020-06-05 03:05:35,"@anisyaea Lah kan ji chang wook sama park sae ro yi mah banyak dekengan, jadi kita aman org2 jg pada hormat kaleee sama mereka hahahha"
marisahafsyah94,2020-06-05 02:52:09,"@anisyaea Ketemu disana aja lah kita, si Park Sae-ro-yi baru otw jam 10 soalnya, langsung ke Myeongdong aja"
marisahafsyah94,2020-06-05 02:38:04,"@anisyaea Asli bgt hupirna menyebalkan, hayu kita pindah ke korea"
marisahafsyah94,2020-06-05 01:59:11,Ini 3 dari kemarin napa sih ah
marisahafsyah94,2020-06-04 08:57:15,@iKOFF_2 https://t.co/DkWobewkNO
marisahafsyah94,2020-06-03 16:29:12,"@ElissyaS @Ekeyls Misteri iqbal masih belum terpecahkan, yasudah skip saja nanti kebawa mimpi, selamat malam semoga mimpimu seru dan keren, jgn lupa jgn turun dari motor ketika sedang mengisi bahan bakar, okay"
marisahafsyah94,2020-06-03 16:27:07,@ElissyaS @Ekeyls IQBAL😭😭😭😭
marisahafsyah94,2020-06-03 16:24:43,"@ElissyaS @Ekeyls Yauda besok fix ya, km jemput sini kita ke bober, jam 10 sabi sih. Cuti ya. Trims"
marisahafsyah94,2020-06-03 16:21:47,"@ElissyaS @Ekeyls HAHAHAHAH kenapa sih, tp emang enya oge, udahlah salah banget emg tag ini ke km🙂"
marisahafsyah94,2020-06-03 16:18:01,@ElissyaS @Ekeyls HAHAHAHAHHAHA GA GITU HEY!!! 😠
marisahafsyah94,2020-06-03 16:13:48,"@ElissyaS @Ekeyls iya juga ya aku no 2, lg ngelamun itu atau ga nungguin gebetan gak sih hahaha, kalo km nomer 8️⃣🤪😭🤣🤣🤣"
marisahafsyah94,2020-06-03 16:07:32,"@ElissyaS @Ekeyls Sumpah berkaca2 bgt ini km mengakui, kalo aku rajin? 🥺"
marisahafsyah94,2020-06-03 14:26:53,"@Ekeyls Aku yg rajin ini sudah di pastikan nomer 3, ya kan ya @ElissyaS ☺️"
marisahafsyah94,2020-06-02 15:40:53,I love u
marisahafsyah94,2020-06-02 15:40:24,"lebih ke nyesel jg karena aku ga bisa nemenin pas dulu. Skrng aku ga mau km sedih lg, apalagi sampe menderita sendirian, dadah dulu sama hal2 yg bikin sedih, say hi untuk hal2 baik🤗 semoga hidup km selalu dekat dgn hal2 baik, semoga km ga akan pernah ngerasain kepahitan lg🍉💛"
marisahafsyah94,2020-06-02 15:36:10,"Ga pernah setakjub ini ke manusia, kaya waw km kok kuat bgt? Km kok jagoan bgt? Sedih, bikin sesek ampe nangisin ini lg, terpenting sih semua hal km syukuri bahkan hal pahit sekalipun, dan mari kita lihat hasil yg lahir dari semua hal pahit yg km alami, waw u did it🥺💛"
marisahafsyah94,2020-06-01 14:17:56,"Yea like if u don't like her, just don't watch, yaudah gausah di ambil pusing dan ribet, tidak ada yg merugikan kok dari yg dia lakuin gak sih???? https://t.co/6cpr2mtF3f"
marisahafsyah94,2020-06-01 01:13:09,Hah gila nih
marisahafsyah94,2020-05-31 16:39:45,"Padahal udah bener2 ngurangin permen karet, coklat, ekim dsb tp kenapa sih"
marisahafsyah94,2020-05-31 06:06:08,@monikasari_ @vicyadha ADA APAAAAAA???!!!
marisahafsyah94,2020-05-31 03:40:20,Ga bisa berhenti ngemilin kacang sama sistik🙂
marisahafsyah94,2020-05-30 12:32:07,ASTAGAAAAAAAAA 🍉❤️🥺😭 https://t.co/7uNFUU5Q4q
marisahafsyah94,2020-05-30 05:15:16,"Aku beneran ga bisa dan ga mau lupa, please season 2 ga sabar🥺 https://t.co/kyiw5T5pq0"
marisahafsyah94,2020-05-30 04:56:30,"@chiewdiosas Pengen yg real, tp takut banjir hahaha"
marisahafsyah94,2020-05-30 04:44:35,Yuk mam siangnya kita beli lotek aja yuk
marisahafsyah94,2020-05-30 04:19:36,"Yasudah yuk mari disyukuri aja, yuk☺️"
marisahafsyah94,2020-05-29 14:39:25,@Zoel___ Hahahah km bgt ya saat dicariin sama aku dan si kaka hhhah
marisahafsyah94,2020-05-29 13:15:23,@vicyadha Ka sumpah gue ga ngerti🥺
marisahafsyah94,2020-05-29 11:12:13,"@vicyadha Pohon semangka atau kersen aja gpp, pohon duit terlalu halu kaya kau🙃"
marisahafsyah94,2020-05-29 08:55:37,@DeeTwoGd 🍉🍉🥺😭😭
marisahafsyah94,2020-05-29 07:09:48,Please bgt kangen si tejo parah gak sih🥺 @monikasari_
marisahafsyah94,2020-05-29 06:14:02,Pgn berkebun
marisahafsyah94,2020-05-28 23:09:33,https://t.co/p7De8MoOr5
marisahafsyah94,2020-05-28 06:03:48,@runniak Gila bgt aku baru ngeuh
marisahafsyah94,2020-05-28 04:57:01,@Zoel___ Ur TIRED of being a boy?
marisahafsyah94,2020-05-27 18:01:48,@weirdtunings Ih kok keren
marisahafsyah94,2020-05-27 17:27:48,Selamat ulang tahun @rahasiabulan 🌔https://t.co/bwMtyj1pF3
marisahafsyah94,2020-05-27 17:19:23,@rahasiabulan Keren banget🥺🌻💛
marisahafsyah94,2020-05-27 14:33:14,Happy bgt parah
marisahafsyah94,2020-05-26 22:45:38,@chiewdiosas @mutahul https://t.co/stwaOVVXnw
marisahafsyah94,2020-05-26 22:43:41,@chiewdiosas Pgn tp mager nyetirnya :( aku pgn ambil paket hahahah
marisahafsyah94,2020-05-26 09:46:33,"@DedyAlbar Km ini rese bgt ya, udh kebayang ketawa km kaya gmn🙂"
marisahafsyah94,2020-05-26 08:22:09,"Udah di rencanakan seharian ini aku akan males malesan seharian rebahan dikasurku yg nyaman dan empuk, ya gimana lagi ya selalu ada ajaaaaaaa gitu penghalangnya🙃"
marisahafsyah94,2020-05-26 08:14:34,@vicyadha Hahahah ya kan karena nda ada laki nyeeee
