username,created_at,text
nadhira42,2020-04-30 11:51:32,@halidade @ukhrasm @collegemenfess Alhamdulilah kita turut berkontribusi atas keUWUan masa kuliah ukhty yaa 🤭🤭🤭
nadhira42,2020-04-30 10:40:03,"@ukhrasm @collegemenfess Mulai pedekate dari semester 1, mhlai jadian setelah... semester berapa deh? 🤭🤭🤭"
nadhira42,2020-01-30 00:24:27,"@ClimateReality We're changing too. But sadly, not in the good way :("
nadhira42,2020-01-12 02:35:38,@ukhrasm @jawafess Ty ini yang waktu itu kita ke sana pas di jepara bukan sih?
nadhira42,2020-01-06 13:53:20,@hvirzah @Jae_Day6 Iyuh kebayang alay banget ayam bias luu
nadhira42,2020-01-06 12:16:44,@hvirzah kebayang dong doi ngalay kek bocah2 sd mainan tiktok https://t.co/DXlFE14Je4
nadhira42,2019-09-17 14:26:22,@DAY6_BOBSUNGJIN Orang tua kalo udah hijrah ke makanan sehat demi ga komplikasi nih gini nih
nadhira42,2018-12-08 11:25:34,"@GrabID bisa tolong dijelaskan, biaya tol dan lainnya itu maksudnya apa? Saya naik grabbike, nggak lewat tol, kok ada biaya tol? https://t.co/30NVXe8Gyl"
nadhira42,2018-10-13 04:59:06,"@CommuterLine Tujuan serpon udah bisa masuk pondok ranji, tapi kenapa menuju tanah abang masih belum bisa berangkat?"
nadhira42,2018-08-02 11:17:27,@ukhrasm Jaman dikejer deadline ku juga gini haks
nadhira42,2018-08-02 11:08:53,Want to win August 2018 HUGE Hand-Dyed Yarn Giveaway!? I just entered to win and you can too. https://t.co/JGqYzKEekK
nadhira42,2018-08-02 11:07:16,"Enter our ~~ HUGE Hand-Dyed Yarn GIVEAWAY! Ends August 31st, 2018 @ExpressionFiber https://t.co/JGqYzKEekK"
nadhira42,2015-11-20 13:30:19,"Ketika kamu nanti jadi seorang profesional, cobalah mendengarkan pendapat dari dia yang masih belajar, dan coba beri saran kalau dia salah"
nadhira42,2015-04-16 12:42:25,@Kafadelin ga nonton part itu lin langsung ke ending aja dengerin ost yang dinyanyiin cabe
nadhira42,2015-04-12 13:05:37,@ukhrasm makasih mba ukh :*
