username,created_at,text
nwindaputri,2020-06-12 16:16:17,"Resiko depan rumah ada pos ronda, yg ngeronda udah kayak lagi nonton balapan tamiya.. berisik"
nwindaputri,2020-06-12 10:47:44,Bantalpun ku jadiin guling https://t.co/DOxB6jBs9G
nwindaputri,2020-06-12 08:56:49,Pre Order 😭 https://t.co/xoiS6JSuFC
nwindaputri,2020-06-12 06:25:16,Awalnya ngga doyan tapi karna terpaksa lama2 doyan https://t.co/yNOBow76kN
nwindaputri,2020-06-11 15:00:03,Sampe sekarang juga masih masa https://t.co/X9XReueweo
nwindaputri,2020-06-11 13:13:38,@Abangshelleee https://t.co/ZyBm1upVxR
nwindaputri,2020-06-11 08:22:13,@Tesaaayul Larissa?
nwindaputri,2020-06-11 08:21:14,@hiiikkk_ Besok deh iya besok aja iya besok aja deh 👉👈
nwindaputri,2020-06-11 07:20:09,"@hiiikkk_ Songong si ya, udah garapnya sambil ngantuk :("
nwindaputri,2020-06-11 07:04:16,"Itu nile hasil TO apa nomer absen si :"""
nwindaputri,2020-06-10 00:20:17,Nemu juga yg jual daster aahhh bahagianyaaaaaa
nwindaputri,2020-06-09 13:46:29,Ngakak dong woooii 😭 https://t.co/v3XCMulPHj
nwindaputri,2020-06-08 09:01:34,@Abangshelleee Aku ketawa dulu ya bli
nwindaputri,2020-06-08 06:50:56,Lagi nntn drakor aja ngga tenang bentar2 disuruh ini disuruh itu pantes ngga kelar2 hmm
nwindaputri,2020-06-08 03:03:12,Apakah aku kelainan setelah minum kopi jadi ngantukk
nwindaputri,2020-06-07 19:11:38,@SaphiraHanan Sama 😭
nwindaputri,2020-06-07 19:01:53,@SaphiraHanan 2in
nwindaputri,2020-06-07 18:54:47,Recomend nih https://t.co/z0oe0uZKSf
nwindaputri,2020-06-07 18:50:43,"Telapak kaki digigit nyamuk yaudah bikin kebangun dan ngga bisa bubu lagi, pengen marah tapi ngapain"
nwindaputri,2020-06-07 14:22:04,@Tesaaayul Duh yg nanya sopan bet bahasanya
nwindaputri,2020-06-07 13:02:49,"Valid, pasti penonton setia indosiar nih kayak aku 😭😭😭 https://t.co/AW3fDNn7u2"
nwindaputri,2020-06-07 07:34:16,Ngentut mulu tapi ngga pup2 ahhh perut terasa penuh tapi mulut tetep pengen ngunyahh
nwindaputri,2020-06-07 06:03:00,@dinaaprly_ @anindykaa maap nih maap gatau jombss apa engga 😅
nwindaputri,2020-06-06 14:49:14,@HANIuswah @Tesaaayul Dududududududuuuu 👉👈
nwindaputri,2020-06-06 11:55:42,@sylviatrimurti Baso aci juga ada ngga mba 🙄
nwindaputri,2020-06-06 10:05:05,@Tesaaayul Wow salut aku salut wkwk
nwindaputri,2020-06-06 04:33:59,Pengen banget ih makan baso aci 😭 https://t.co/qhgW7LmLmw
nwindaputri,2020-06-06 03:18:10,@HANIuswah Lebih ke berisiknya si 🙈
nwindaputri,2020-06-06 00:57:13,Semalem ada yg meninggal tetangga depan rumah dan ngga bisa tidur dong pengennya cepet2 pagi aja gitu.. Semoga husnul khotimah mbah 🤲
nwindaputri,2020-06-05 16:10:19,"Ketiduran hampir tiap hari kok ya bisa gitu, sedangkan aku ngga pernah bisa hmm"
nwindaputri,2020-06-05 15:20:09,Sering lewat jaman praktek tapi ngga pernah mampir https://t.co/E3mwI3oTso
nwindaputri,2020-06-05 14:45:02,@FOODFESS2 Kayak iket rambut
nwindaputri,2020-06-05 13:18:41,Almost paradiseeeeeeeee na na na naaaaaaaa https://t.co/GghgvVycXL
nwindaputri,2020-06-05 12:36:57,Aing nabung 5 hari buat beli cilok https://t.co/SJ8oE7K40A
nwindaputri,2020-06-05 11:18:29,@gamgim16 Oke baikk makasiii gamma 😁
nwindaputri,2020-06-05 09:13:09,Telegram tu sama aja kek wa ngga to? Kok aku gaptek
nwindaputri,2020-06-05 06:08:44,Cimplukan. depan rumah banyak tapi dulu https://t.co/mycADPe7ke
nwindaputri,2020-06-04 16:22:23,@nitalufheryanaa Padahal aku minum 1 gelas aja masi berasa kurang 🙄
nwindaputri,2020-06-04 14:27:44,@r_saddd Alhamdulillah
nwindaputri,2020-06-04 13:25:04,@RizkyErinda Pengen banget nyobain belum kesampean2
nwindaputri,2020-06-04 12:00:22,@Aghniapunjabi Bar bar banget ditwitter 🤣
nwindaputri,2020-06-04 08:39:57,"Terus ku kasih liat juga, eh ketawa bareng deh https://t.co/6rKguoYYBu"
nwindaputri,2020-06-04 05:29:45,"Tiap abis ngangkat barang yg berat, berdiri kelamaan pasti pinggang berasa pegel itu kenapa ya :("
nwindaputri,2020-06-03 14:51:32,Kehilangan 1 daster aja berasa sakit ati banget :( https://t.co/lA4RKZJZLy
nwindaputri,2020-06-03 08:51:47,@hiiikkk_ Wkwk diam yaa
nwindaputri,2020-06-03 08:48:13,"Pada ngira ku udah kerja, ku aamiinin aja hehe #buatygtautauaja"
nwindaputri,2020-06-03 04:54:11,Terdapat penyesalan dulu sempat menolak hehe
nwindaputri,2020-06-02 16:05:11,Freya trending lagee uwuuu https://t.co/VVuwdkqIXL
nwindaputri,2020-06-02 13:15:47,Ditempat aku namanya gobak sodor https://t.co/KV8zTHgy99
nwindaputri,2020-06-02 11:44:35,Pengen nyobain mie gacoan 😭
nwindaputri,2020-06-02 10:14:04,"Kuncinya ""banyak duid"" dulu https://t.co/IOueTO5L8V"
nwindaputri,2020-06-02 00:30:28,@gamgim16 Nwindaputri gamma 💃
nwindaputri,2020-06-01 12:13:02,@MayliaPrimasari @RizkyErinda Erin ndang nikah.. meme ndang nikah.. ndang ndangdutan wkwk
nwindaputri,2020-06-01 10:53:32,Kamu adalah aku https://t.co/xPz6k6OJ6v
nwindaputri,2020-06-01 10:50:00,@gamgim16 Kok kita ngga saling follow ig 😭
nwindaputri,2020-06-01 10:48:10,@im_silvias Tremor wkwk
nwindaputri,2020-06-01 00:59:51,"Ini ayam alay 10k dapet 3 ekor, pernah melihara sampe nurut banget giliran udah gede eh pada mati https://t.co/3iIE5595G5"
nwindaputri,2020-05-31 15:24:52,#FotoProfilBaru https://t.co/lWD8Z9lcQ6
nwindaputri,2020-05-31 14:09:36,@Abangshelleee Rahmatullah ya bli 🙈
nwindaputri,2020-05-31 10:44:10,"@MayliaPrimasari Dan banyak ""oh"" nya"
nwindaputri,2020-05-31 10:32:55,@SaphiraHanan Belum ada budgetnya haha
nwindaputri,2020-05-31 09:28:53,@gamgim16 @jayakabajay Jangan sampe kita berantem gegara rebutan kulit
nwindaputri,2020-05-31 08:10:02,Nikah ditengah pandemi gini hemat budget kali ya
nwindaputri,2020-05-31 07:51:04,@jayakabajay Sakit hati banget kulit sampe dibuang dong 😭
nwindaputri,2020-05-31 05:58:48,@adelladellaide Cupangku entah kemana :(
nwindaputri,2020-05-30 15:22:39,"@GiaPratamaMD Dari dulu pengen cobain donor tapi ngga memungkinkan, yg ada malah donor balik"
nwindaputri,2020-05-30 14:31:41,"Liat kebanyakan temen dah pada dapet kerja, nah aku masih rebahan aja :("
nwindaputri,2020-05-30 13:27:38,Jungpal nih gegara lampu merah pokoknya mah 🙈 https://t.co/5EKb2wZYeU
nwindaputri,2020-05-30 06:16:00,Pengen punya tapi ngga dibolehin https://t.co/2Pc2KjpSkZ
nwindaputri,2020-05-29 21:18:56,Ni nyamuk ngajak perang!
nwindaputri,2020-05-29 12:58:09,Tbtb kangen pengen ke pewete pengen nntn ke bioskop pengen makan ramen pengen milmax pengen yampun pengen :(
nwindaputri,2020-05-29 12:54:02,@Abangshelleee NGAKAK TAPI KESIAN KETUKER SAMA KANG TELOR TAPI YA TETEP NGAKAK 🤣
nwindaputri,2020-05-29 07:54:42,Itu termasuk mengumbar aib istri masing2 bukan si?
nwindaputri,2020-05-29 07:54:09,"Aku menguping, 2 tukang saling cerita tentang istri masing2.. A : istriku ya bisa ngerti, oh iya ya oh iya ya gitu B : lah istriku mah belum kayak istrimu mas pikirannya udah jauh, lah ini dikit2 baju dikit2 baju"
nwindaputri,2020-05-29 03:52:45,But konser ambyar dah nggada :( https://t.co/gqvfgndCFG
nwindaputri,2020-05-28 14:46:12,Nonton Hotel del luna aja masih stuck di eps 4 mulu
nwindaputri,2020-05-28 12:30:16,Aamiin paling serius. paling kenceng. https://t.co/PaCeFDw5Nh
nwindaputri,2020-05-28 12:29:00,@ZOO_FESS Nih de @lydiana_a ada aa kasep wkwk
nwindaputri,2020-05-28 12:22:34,@im_silvias Luapin semua buk ayoo luapin enegnyaa 😂
nwindaputri,2020-05-28 00:27:07,Pagi pagi tetangga depan rumah udah full musik india volume udah kayak lagi hajatan 🙈
nwindaputri,2020-05-27 12:28:03,Di wangon tu ada yg jual seblak ngga ya? Pengen..
nwindaputri,2020-05-27 09:08:21,Wkwk napa ngga nntn yg ini ya https://t.co/PZyM4fCfxg
nwindaputri,2020-05-27 02:42:56,Ku suka mukaku kalo abis bangun tidur 😁
nwindaputri,2020-05-26 13:00:05,Oke aku psikopat https://t.co/1bqzJaY41z
nwindaputri,2020-05-26 04:48:55,Kamu berharap bakal manis selamanya? yg ada kamu diabetes.
nwindaputri,2020-05-26 02:35:50,@NinaatriyanaRN Berubah jadi gini nin 😭 https://t.co/rPLnxR7Sxs
nwindaputri,2020-05-26 02:32:02,@NinaatriyanaRN Udah lumutan kali ya
nwindaputri,2020-05-26 02:08:59,Apa kabar kamar kostan dan apa kabar pula motor aing 😟 https://t.co/5sE1LuU7Gq
nwindaputri,2020-05-25 04:07:06,Me too 😂 https://t.co/p3fdI3h8AB
nwindaputri,2020-05-24 16:15:37,Ngakak https://t.co/wqZgYiHpa4
nwindaputri,2020-05-24 11:59:22,Segerrr banget liatnya pengen tak mam https://t.co/Je4z9XhcgM
nwindaputri,2020-05-24 11:58:35,Apa yg aku batin kadang sok bener wkwk
nwindaputri,2020-05-24 04:47:14,"Makan opor udah, sekarang siomayyy homemade.. makan terooosssss pokoknya https://t.co/mwTtf2xLO3"
nwindaputri,2020-05-24 03:17:27,@HANIuswah Ngga jago ah main gamenya kalah doi
nwindaputri,2020-05-24 02:36:24,"""Buk beliin ini"" wkwk https://t.co/c4PSvck1oC"
nwindaputri,2020-05-23 04:38:22,"Sama anaknya sendiri mah galak marah2 terus, giliran ada orang lain baik baik ahh memang anak selalu salah"
nwindaputri,2020-05-22 16:45:27,@Abangshelleee Dih baru beberapa hari nikah udah minta cerai paling
nwindaputri,2020-05-22 16:16:29,@im_silvias Apa kabar apd level III
nwindaputri,2020-05-22 14:54:57,Suka gibah nih ayamnya https://t.co/yXBRMQuM0Y
nwindaputri,2020-05-22 14:52:23,Es batunya stand up masa 😭 https://t.co/Iyp2BFgjiq
nwindaputri,2020-05-22 10:26:09,Sayang banget si nggada 1/2 jam lagi buka puasa eh udah keduluan sama haid :(
nwindaputri,2020-05-22 07:00:40,Ngga pernah make dan emang ngga dibolehin make soplen :( https://t.co/FdYIUdojEe
nwindaputri,2020-05-22 04:00:41,@im_silvias @recehtapisayng @antony_jrs Dah lah terserah aja lah terserah 😭😭
nwindaputri,2020-05-21 20:46:39,@RizkyErinda Tenyata aku ngga sendirian
nwindaputri,2020-05-21 11:28:43,Mas limin 💕 pengen tak hiihhhh gumushh https://t.co/8jezSS4flK
nwindaputri,2020-05-21 11:13:52,@Abangshelleee Mandi dulu bli mandii
