username,created_at,text
ociirosiana,2020-06-12 07:48:23,@aMrazing Dari siapa dulu ini foto wallpapernyaaaaaa.. 😊😊 https://t.co/tIjj4zkUTk
ociirosiana,2020-06-07 12:04:37,Homesick
ociirosiana,2020-06-02 01:58:52,@miund Kirain otak ini sudah membatu 🤭🤭 https://t.co/l1a5VdDWys
ociirosiana,2020-06-01 10:23:12,"@aan__ Kamipun dok, januari lalu cuci ac, sampai akhirnya akhir bulan 5 kmarin ada yg netes2 a.k.a bochorrrr karena debunya udh nyumbat, pdhl udh dicoba semprot sendiri, ga mempan. Manggil kang ac akhirnya.."
ociirosiana,2020-05-31 23:19:34,Cuy @cindyekasg https://t.co/s8KbC1PQuL
ociirosiana,2020-05-31 14:35:54,@sambellbawang Ini kereeeen..
ociirosiana,2020-05-30 07:08:01,@DiajengLrst Emang cantiqqqq.. ku juga suka..
ociirosiana,2020-05-29 14:28:52,Apa yg lebih dingin dari sikap kamu ke aku? AC yg baru diservis bro.. jgn GR kamu..
ociirosiana,2020-05-28 08:11:53,@falla_adinda 😭😭😭
ociirosiana,2020-05-27 10:37:46,@ohmybeautybank Klairs myluvvvv
ociirosiana,2020-05-26 10:05:36,"@amwidyou Sama Teh ☹️☹️ Tahun baruan, persis 1 Januari balik rantau.."
ociirosiana,2020-05-26 05:33:08,@vabyo Semangka. Tidak jelas apa rasa dan teksturnya 😔
ociirosiana,2020-05-26 05:30:46,"@BanyuSadewa @skinbynofilter Tetap di rumah dengan hobby baru, bercocok tanam. Skrg ada aktivitas baru jenguk ""anak2"" di teras, nyiremin, awas2in ulet, pindahin2 pot. kalau mood udh gk bagus, lgsg keluar liat geng ijo lgsg adem lg. Kelihatannya merawat tanaman, tp justru ini self carenya aku 😊 Wish me luck!"
ociirosiana,2020-05-26 01:58:58,@maulidhst @selphieusagi Coba https://t.co/MIoXwbLN4g
ociirosiana,2020-05-25 11:51:18,"@tey_saja Roti jala, donat, roti goreng, pau, stick royco, kripik malaysia, kue bawang, bakwan, risol, martabak, dadar gulung, mie, pastel, puff. Wah banyak Mba"
ociirosiana,2020-05-23 21:46:03,"@aMrazing Malahan badan auto menolak Koh. Suami blg itu alarm udh heboh sampe mau bolong meja, yg punya hp gk sadar 🤪🤪🤪"
ociirosiana,2020-05-23 13:55:30,@viyalukitasari Iya Vi.. sama.. ak jg mohon maaf lahir batin yaa.. 🤗
ociirosiana,2020-05-23 04:38:59,@viyalukitasari Hug 🤗
ociirosiana,2020-05-23 01:33:50,Wah sudah nyapu dan ngepel.. rumah wangiiiii.. meskipun yg dtg gk ada 🤪
ociirosiana,2020-05-22 13:56:12,"@tey_saja Alhamdulillah, tahun ini pakai baju 2 tahun lalu, Mba. Dikala itu sesak, sekarang longgar. MasyaAllaah 🤭🤭"
ociirosiana,2020-05-21 20:54:06,"@DiajengLrst Not that hard if you see 98 on your weigher :) (Me, a year ago 😭)"
ociirosiana,2020-05-21 20:49:04,@DiajengLrst Just stop 😊
ociirosiana,2020-05-20 21:29:14,@aan__ Tongseng sapi dok..
ociirosiana,2020-05-18 12:31:38,@motulz Siyaaap 😊
ociirosiana,2020-05-18 10:26:08,@motulz Gini Bang? https://t.co/qskuaqAkfC
ociirosiana,2020-05-16 13:56:13,@puspaBA Iyeeh udh liat cm ku blm paham beli taneman dr luar kota hahaha..
ociirosiana,2020-05-16 12:35:35,"Tapi ya, bunga ada yg mati kena serangan ulet. Hiiiih. Tu ulet banyak kaliiiii mbuh ngapa cm di pot itu aja. Apa karrna bunganya wangi ya.. hffff R.I.P bunga cancikuuu. gk foto keadaan terakhir. Miris ☹️ https://t.co/b8FMFnXCF2"
ociirosiana,2020-05-16 12:27:28,"Sangking gatau mau ngapainnya selama psbb ini ya, udah nyemai cabe rawit, buah matoa, nangka, pokat mentega. Matoa cakep2 ada kali 10 batanga udh 20 cm lebih, rawit udh setelunjuk tingginya, nangka udh mau pecah biji, pokat blm ada tanda2."
ociirosiana,2020-05-16 04:54:31,Mau servis ac tp parno. Hhhh
ociirosiana,2020-05-16 04:54:00,@adelladellaide Sama yang BOHONG juga. Hhhhh
ociirosiana,2020-05-15 15:45:38,Menjadi tidak berdaya itu menyebalkan
ociirosiana,2020-05-15 08:30:48,"Jadi ya kalaupun itu untuk sesuatu yg baik, tp kalau dieksekusi dengan sebuah kebohongan, ya gak ngenakin. Kepercayaan bukan barang main2."
ociirosiana,2020-05-13 21:36:29,@gueamu @NitaSellya Hallo kak.. kakau berkenan bisa kesini.. https://t.co/3ZkwLDyH3c
ociirosiana,2020-05-13 12:17:28,"@NitaSellya Sama teh. Haha. Ini lg nyemai buah matoa, nangka, pokat mentega sama rawit setan.. 🤣🤣🤭"
ociirosiana,2020-05-12 04:56:23,Lucu2 kali hoyyy https://t.co/FbrpOLSap9
ociirosiana,2020-05-11 11:00:58,"@chawrelia Kambing! Coba satenya, oh gini rasanya. Coba sate kambing yg lain gk kemakan, kok beda2 ya. Huks. Lalu kapan tau coba nasigoreng kambing. Oh enak yhaa."
ociirosiana,2020-05-07 09:53:47,Setelah sekian lama hanya memantau TL @belindch Paru balado. #masakdemikonten https://t.co/0060SQjDt6
ociirosiana,2020-05-05 22:03:41,"@SiiJagoan Titip jualan mamaku ya kak :) Yuk yg di Batam, ready kue utk berbuka puasa. Roti kirai kuah kari, risol, bakwan, lupis, putu mayang, epok-epok, donat, soya home made. Icip dulu, baru langganan yuuuuk.. https://t.co/4UaF4tG5pn"
ociirosiana,2020-05-05 21:19:31,@putriaditaa ☹️☹️ jd insecure gtu yak.. so sad..
ociirosiana,2020-05-05 12:41:45,@putriaditaa Sumpriiiiit? Baper gmn? Hahaha
ociirosiana,2020-05-03 05:33:59,"@kamalbukankemal Jualan mamaku, titip ya mas.. Area Batam.. https://t.co/DTB5ZqCUbu"
ociirosiana,2020-05-01 09:19:10,"@adelladellaide Misoa, tahu balik krispi, pempek kakdel.."
ociirosiana,2020-05-01 05:01:25,"@mommy_elzar BATAM AREA. Jualan mamaku mamay, kue takjil buka puasa. Spesialnya Roti Kirai alias Roti Jala kuah kari ayam.. https://t.co/6MOEevTWCc"
ociirosiana,2020-04-28 12:59:07,"Waktu Isya. Yah, berapa rakaat? 15. Ha? Iya, Isya 4, tarawih dan witir 11 bang. Gak capek? Abang kalau gk sanggup, mundur gapapa. Elahh, jawaban bapak2 mau cepat2 aja 🧘🧘"
ociirosiana,2020-04-27 13:08:40,"Day 3. Mulai kena teror. Acin ngapa gk puasa? Acin ngapa gak solat? Boy, ini pinggang lagi cenut-cenut. Plisss."
ociirosiana,2020-04-25 12:09:38,"@infoSumbar Desember lalu di Bukittinggi, jam 3 dini harian mgkin damin, balap liar plus keber2an knalpotnya yg bikin kuping pakak, yg ginian kok didiemin sih yaa heraaan.. Hampir subuh baru bubar.."
ociirosiana,2020-04-24 08:02:29,"@anandabadudu Jualan mamaku! KIRAI ENAK SEJAGAT RAYA. Batam Area ya guys. Bakwan sambel merah merona, bakalan nagih dijamin! Kabarnya hari ini ready kirai, bakwan, risol, epok2, moci, nona manis, lapis dan soya juga. Kuenya bisa ganti2 tiap hari emak emg suka iseng2 bikin tau2 enak aja gitcu. https://t.co/gxZifiYPBS"
ociirosiana,2020-04-23 23:11:39,Pee time ini agak setengah jam lg lah baru kelar. Mana bisa tidorrrrr kalau begini
ociirosiana,2020-04-21 17:33:15,@mutiarasantosa @infoPKU Sepakat.
ociirosiana,2020-04-17 23:00:54,@infoPKU 😭😭😭
ociirosiana,2020-04-16 12:29:39,@aan__ Martabak sayur ma tempe grg dok. Tp udh lamaaaaaaaaaaaa bgt gk beli gorengan 🤭
ociirosiana,2020-04-16 07:28:16,@FunJunkies Jado jadi kang cukur juga Tan..
ociirosiana,2020-04-12 11:08:56,"@belindch Bubur bayi, kaldu, soto, semur, sop, tongseng bisaaa doc"
ociirosiana,2020-04-12 10:52:58,"@belindch Kalau aku, yes!"
ociirosiana,2020-04-11 10:22:15,@denadaintan @DiajengLrst Life skill seorang istri 😂
ociirosiana,2020-04-11 10:21:48,@DiajengLrst Iyhaaa.. itu kepala kalo bisa dicopot jg udh kececer entah dimana kakyass 😩
ociirosiana,2020-04-11 08:59:40,"@DiajengLrst Suamiku engga kalau ini. Tp yg paling ngeselin masalah kunci. Taroknya suka serampangan, padahal udah aku sediain gantungan dan box utk kunci kakyasss. Ntr ujung2nya tanya aku, ya meneketeheeeek!"
ociirosiana,2020-04-07 06:08:21,"@dr_koko28 Nah!! Akhirnyaaaa.. ada negara yg menyuarakan isi hati saya dok. Dari awal2 bahas ini sama suami, gila aja nih kerugian 1 dunia 😌😌"
ociirosiana,2020-04-05 14:53:12,@infoPKU Naik naik ke punc.. *Ilang sinyal 😌
ociirosiana,2020-04-05 06:24:35,"@DiajengLrst Semalam nyoba ngupi, berakhir kembung kakyasss 😭😭"
ociirosiana,2020-04-05 02:59:27,"@belindch Sambel terasi, ayam bakar, lalapan"
ociirosiana,2020-04-04 11:18:05,@selphieusagi Mainan dan buku2 anak 😃
ociirosiana,2020-04-04 09:17:49,"Hallo Admin @infoPKU Perkenalkan saya Oci admin PUAN Official, lembaga yg membersamai ibu2 menyusui di Riau. Sekiranya berkenan meretweet twit ini, saya ucapkan terima kasih. 🙏 https://t.co/24SEK5q60H"
ociirosiana,2020-04-04 09:14:50,🍀 🍀 🍀 🍀 🍀 🍀 🍀 Kunjungi kami di👇 🌐 : https://t.co/5fFO8gkLue Fanpage : inisiatif zakat Ig &amp; Twit : @inisiatifzakat 💗💗💗💗💗💗 WA : 081221812981 (Mutia) Fanpage : Puan Official Ig : @puanofficial
ociirosiana,2020-04-04 09:14:50,Mari kita gotong royong dengan zakat atasi corona bantu ketahanan pangan keluarga dhuafa menghadapi Covid-19. Segera Zakat &amp; Infaq ke rekening : Bank Mandiri Syariah 777.888.1211 A.n Inisiatif zakat Indonesia Gunakan kode unik 12 di belakang nominal Infaq Contoh : Rp. 100.012
ociirosiana,2020-04-04 09:14:49,"PUAN bersama IZI Perwakilan Riau, galang donasi yang nantinya akan digunakan untuk membantu keluarga2 terdampak COVID-19 dan penyediaan APD bagi rekan2 tenaga medis dalam melawan gelombang wabah penyakit ini."
ociirosiana,2020-04-04 09:14:49,"Sahabat, terfikirkah pada saudara kita dengan ekonomi rendah yang mengandalkan penghasilan harian? Mereka tetap memilih bekerja untuk memenuhi kebutuhan, walau ekonomi menurun karena banyak pelanggan melakukan WFH maupun social distancing."
ociirosiana,2020-04-04 09:12:47,"Dalam situasi wabah COVID-19 yang kini melanda hampir seluruh negara di dunia termasuk Indonesia, dan dengan diberlakukannya social distancing di wilayah kita, mungkin tanpa kita sadari hal ini menimbulkan dampak terhadap ekonomi keluarga kita, rekan, tetangga maupun kerabat kita"
ociirosiana,2020-04-04 09:12:47,*Inisiatif Zakat Indonesia (IZI) Perwakilan Riau* &amp; *PUAN* GOTONG ROYONG ZAKAT ATASI CORONA https://t.co/b7c3lYb15B
ociirosiana,2020-04-02 12:50:53,"@fairyteeth Salam. Kenalkan diri. Pertanyaan. Mohon jawaban, Terima kasih."
ociirosiana,2020-04-02 07:15:14,@dirgarambe @restinbitjfeis @ezash Cyiin @cindyekasg
ociirosiana,2020-04-01 11:30:34,@motulz Sumpah ngakak woooooy!!!!
ociirosiana,2020-03-29 08:11:21,@dhumaharahap @belindch @lrstdw_ @polikromasiii @dduwiik @doctor_kureha Disini jadi 92rebu kak. Tp tetep beli 🤭
ociirosiana,2020-03-29 00:30:37,@amwidyou Dapeeet teh https://t.co/zAfuI7bRil
ociirosiana,2020-03-26 12:30:31,@oxfara Semangat juga dok!! ❤️
ociirosiana,2020-03-26 12:15:08,"@oxfara Anak jd susah tidur siang karena ada ayahnya. Maunya maiiiiiiin terusss. Dan banyak rules bergeser karena ayahnya ""longgar"""
ociirosiana,2020-03-23 12:50:57,Saatnya ngoplos~ Cc teh @NitaSellya https://t.co/vjg5yxFGis
ociirosiana,2020-03-21 05:44:56,"SD-day6 Gofood kaefsi. Abis makan, gegoleran. Wow. Mantap! 🤪"
ociirosiana,2020-03-21 05:44:11,"SD-day5 Anak melukis. Sore olahraga. Makan minum seperti biasa. Jgn lupa buah, keluarga kami makan salak dan jeruk."
ociirosiana,2020-03-19 02:31:25,"Yg habis restok belanjaan, jgn lupa sblm masuk mobil cuci tangan pake sabun. Di mobil bawa sabun, nanti suami wajib cuci tangan. Terus nanti di garase, juga wajib cuci kaki tamgan sebelum masuk rumah. Udh ready sabun di keran garase. Ikhtiar ikhtiar ikhtiar. Bahaya udah deket."
ociirosiana,2020-03-19 02:29:39,Skrg suami lg beli sayuran. Wangi duren udah semobil. Sedeeep. 😍
ociirosiana,2020-03-19 02:28:16,"Mobil parkir, tau2 maju, nubruk pot taneman dari drum besi. Ternyata gigi masih di D. Mamak duduk di bangku penumpang panik lgsg aja narik ke P. Berhenti. Telpon suami yg lg mampir di kang duren. Suami lupa sepertinya mindahin ke gigi P, lalu ketendang sama bocah 😌"
