username,created_at,text
okkyskripsi,2020-06-16 17:29:39,"@pajekpenyok @dhekhyul @namasungguhan @indracahyow Ciookk din wkwkwk kepsyen e ""From this to this"""
okkyskripsi,2020-06-03 19:02:53,"Pantesan wajahe bengep kabeh, la wong lek bengi sek tetep sambang :') Salute for Mr. President 😢 https://t.co/RRLcZPhBgo"
okkyskripsi,2020-06-03 05:01:28,"@qwonidin Mending mereka berdua timbang mas2 yang ngomenin itu deh.. he do nothing, but complaining"
okkyskripsi,2020-06-02 13:12:29,"@indracahyow Tangi ndro, ngelindur ae 😒"
okkyskripsi,2020-05-07 18:40:28,Kayak kang vila :( https://t.co/xH5VpvdTFN
okkyskripsi,2020-04-09 14:16:18,@hitshalom Auto dikirimin stiker handmade by orang lapangan :((
okkyskripsi,2020-04-07 01:40:58,"@hitshalom Ya haramlah, kamu salah doa wkwkwk"
okkyskripsi,2020-04-06 23:18:27,"@hitshalom Tergantung, minumnya pake bismilah apa nggak 😅"
okkyskripsi,2020-03-26 15:47:46,@vvicevrsa Kamu pinginn khaaannnn 😏
okkyskripsi,2020-03-26 03:39:49,@ywslah Awowksoakkwoiakkakkak
okkyskripsi,2020-03-26 02:05:06,"@RottingOldWreck Lek suroboyoan, cengkal !"
okkyskripsi,2020-03-26 01:42:50,@ywslah Petasannya dikelonin kamunya dilempar
okkyskripsi,2020-03-24 10:44:00,@urbaehapp Nah gitu dong ngegasss 😂😂😂
okkyskripsi,2020-03-19 20:21:38,@selenophils_ Cadel ya? Wkwkwk :p
okkyskripsi,2020-02-08 17:37:50,@AlterEgoFess Ayokk mutualan
okkyskripsi,2020-02-08 11:22:02,"@verisajc Ketika temen sama pacarnya beradu, apa yang kamu rasain? :(("
okkyskripsi,2020-02-08 10:13:12,@vvicevrsa Ayokkk :3
okkyskripsi,2020-02-08 10:03:22,Mau ngetag orangnya tapi ngga punya twidernya https://t.co/acUpFo9ctx
okkyskripsi,2020-01-27 17:59:09,"@sojuapel Sojuapel, apelnya malem minggu apa senin pagi?"
okkyskripsi,2019-10-21 11:35:36,@hitshalom Sapatu berani bgt 😤
okkyskripsi,2019-09-17 08:38:17,https://t.co/BGMBVs4Pzv
okkyskripsi,2019-09-04 18:56:30,@fatchikx Aioooo
okkyskripsi,2019-09-04 18:44:33,@hitshalom Hiyaaaa hahaha Anak alter juga dia?
okkyskripsi,2019-09-04 12:16:05,"@hitshalom Jadi kelarnya karena uda tau siapa, apa karena kamu tonjok pake kunci shal? :| Ngga cuma masalahnya yang kelar, orangnya juga wkwk"
okkyskripsi,2019-09-03 10:49:35,@AlterBaseNSFW Ayuk
okkyskripsi,2019-09-03 01:05:48,@AlterBaseNSFW Ayuk
okkyskripsi,2019-09-03 00:10:33,MANTAB!! Lol https://t.co/lyRjoVkMkg
okkyskripsi,2019-09-03 00:04:13,"Daily routine mahasiswa: Kuliah, Kostan, Ngewe :)"
okkyskripsi,2019-08-31 20:02:07,@askmenfess Dek tidur
okkyskripsi,2019-08-31 13:32:15,@sucirhty @radenrauf Ayukkk sama aku yukk :))
okkyskripsi,2019-08-31 13:30:35,@shfffzh @radenrauf Ya dah mutualan dulu yuu
okkyskripsi,2019-08-31 13:03:49,@gosbagos @nksthi Artinya kamu tydac menarik :'))
okkyskripsi,2019-08-31 12:59:59,"@sayakanngatau Yauda asal kamu bahagya, sekalipun ngga sama aqw"
okkyskripsi,2019-08-31 12:57:23,@sayakanngatau Sedih aku liat kelakuanmu mba :'
okkyskripsi,2019-08-31 12:49:50,@hitshalom Ngode aja trus hmm 🤔
okkyskripsi,2019-08-31 04:30:01,@cindereilin @runchickenrunn Install line aja udah
okkyskripsi,2019-08-31 02:43:50,@sayakanngatau SESUATUUUU!!!! gitu?
okkyskripsi,2019-08-31 00:14:33,@Stkaapn @Jessicaked @askmenfess mending kamu cari temen sharing cerita apapun sih.. sapa tau apa yang kamu ntar bisa lebih lega
okkyskripsi,2019-08-30 23:28:38,dia yang bawa tapi kok aku yang ngerasa keberatan ya. Ajg. https://t.co/GoFZAadEXF
okkyskripsi,2019-08-30 12:32:59,"@hitshalom Sebenernya tinder, line atau twitter.. aplikasi cuma alat, tergantung usernya. Twitter pun sekarang ngga jauh beda kayak tinder kan? Bisa digunakan cari partner eue"
okkyskripsi,2019-08-30 12:14:20,@askmenfess Cuma sebulan doang baru awal semester nder sans
okkyskripsi,2019-08-30 12:10:23,@askmenfess Sapa tau yang diajakin buksn cuma kamu doang nder :)))))
okkyskripsi,2019-08-30 12:00:43,@askmenfess Ada appnya kok donlot ae lah
okkyskripsi,2019-08-30 11:58:04,@hitshalom Abisnya kamu lucu ihh🙃
okkyskripsi,2019-08-30 11:17:10,@hitshalom Kamu buat aqu :p
okkyskripsi,2019-08-30 11:14:49,@hitshalom Tapi ada syaratnyaa
okkyskripsi,2019-08-30 11:13:15,@hitshalom Ayokk cepet
okkyskripsi,2019-08-29 23:38:13,@maulina_dyn Desa ponari
okkyskripsi,2019-08-29 11:00:08,@sayakanngatau Mana saya tau :(
okkyskripsi,2019-08-28 15:45:03,"Why you should going back to me then? Did u really miss me? or you just stuck with your life and you can't find somebody better than me? But.. Sorry honey, i move on :)"
okkyskripsi,2019-08-28 10:48:30,@teqwilaa Sendiri ga nih?
okkyskripsi,2019-08-28 10:19:27,@askmenfess Yukk
okkyskripsi,2019-08-27 08:17:50,@MelindaAghnia Muka sih.. klo sip lanjut karakter
okkyskripsi,2019-08-26 08:15:44,@_goodwomen Uwu bett
okkyskripsi,2019-08-26 00:19:55,@askmenfess Diajakin vcs adek sendiri gimana rasanya :|
okkyskripsi,2019-08-24 16:10:14,"@heyitsshallow Tapi kalo misal ditinggalin kamu balik lagi kek kamu yang sebelumnya, itu sisi negatifnya sih.. not literally changed you into someone new, mending cari orang yang terima kamu apa adanya :) Tanpa tuntutan untuk berubah.. dan pd waktunya nanti juga bakal berubah sendiri"
okkyskripsi,2019-08-23 10:19:12,@sayakanngatau Sama aja gitu semua -..-
okkyskripsi,2019-08-22 23:12:33,@aRtSadden Writing?
okkyskripsi,2019-08-22 15:53:34,@anjanialam Kaget ternyata cuma sebatas teman :(
okkyskripsi,2019-08-22 15:47:13,"@heyitsshallow Kita manten, bukan mantan :p"
okkyskripsi,2019-08-22 12:49:32,@maulina_dyn Yukk :)
okkyskripsi,2019-08-22 12:37:13,@maulina_dyn Ga wis gajadi wkwkwk 🤗🤗 Ngopi dimalang yang enak dimanasi?
okkyskripsi,2019-08-22 12:22:49,@ainunnnnnnnnn @temankomplek Sekalipun bukan dia yang salah :)))
okkyskripsi,2019-08-22 12:21:51,@heyitsshallow Kek matanya mantanku :(
okkyskripsi,2019-08-22 12:21:02,"@maulina_dyn Aku pingin sih diajak, ngajakin mulu soalnya :|"
okkyskripsi,2019-08-22 11:52:17,@bucinjoji Ngapa dah?
okkyskripsi,2019-08-21 15:01:49,@FANBASESYG Yukk nder
okkyskripsi,2019-08-21 14:59:04,"@askmenfess Sans nder, banyak kok yang ngga masuk ptn favorit tapi masa depan cerah"
okkyskripsi,2019-08-20 21:50:55,@heyitsshallow @akun_dr Ngapa kok gitu? Hmm
okkyskripsi,2019-08-20 16:01:11,@FANBASESYG Yu nder :)
okkyskripsi,2019-08-20 13:23:55,Cowonya kena kutukan 9bln 10hari :| https://t.co/K6BYtzvPsj
okkyskripsi,2019-08-19 16:49:50,"@FANBASESYG Dek, pulang!! Dicariin mama!"
okkyskripsi,2019-08-19 16:48:27,@FANBASESYG Yukk
okkyskripsi,2019-08-19 11:47:01,@sayakanngatau GAADA BAMBANG
okkyskripsi,2019-08-19 11:44:36,"@sayakanngatau Pilih yang memilih aku, percuma juga aku pilih dia tp dia memilih orang lain :("
okkyskripsi,2019-08-19 11:25:01,@rinimeilia @askmenfess Itu kepala kayak telor ayam kampung
okkyskripsi,2019-08-19 11:16:46,@askmenfess Yuk
okkyskripsi,2019-08-19 10:58:22,@FANBASESYG Galiat ga liat.. gatau
okkyskripsi,2019-08-19 10:48:33,@rinimeilia @askmenfess Yadah dm in aku ntar diajarin :)
okkyskripsi,2019-08-19 10:10:55,@rinimeilia @askmenfess Ganjil muehehe Plesetanku fail :((
okkyskripsi,2019-08-19 09:36:25,@askmenfess Belom tau susahnya nyari duit ya kamu nder? :)
okkyskripsi,2019-08-19 09:19:47,@tanya2rl Roy kimochi
okkyskripsi,2019-08-19 09:11:23,"@rinimeilia @askmenfess 1,3,5,7 ?"
okkyskripsi,2019-08-19 08:55:13,@FANBASESYG Mutualan yu nder
okkyskripsi,2019-08-19 08:46:09,@sitsnoe Aku kira kamu klan uchiha
okkyskripsi,2019-08-19 08:41:25,@FANBASESYG Dom mana nder?
okkyskripsi,2019-08-19 08:38:49,@FANBASESYG Yuk
okkyskripsi,2019-08-19 08:35:32,@serlywlndrs Pernahnya disalah salah in :(
okkyskripsi,2019-08-19 08:33:55,@rinimeilia @askmenfess Mending jual baju
okkyskripsi,2019-08-19 08:32:50,@askmenfess Kamu juga ntar kayak gitu kalo udah pacaran hmm
okkyskripsi,2019-08-19 08:30:54,@FANBASESYG Yukk
okkyskripsi,2019-08-19 08:03:56,@FANBASESYG Yukkk
okkyskripsi,2019-08-19 06:14:23,@FANBASESYG Yuuuk
okkyskripsi,2019-08-19 05:51:30,"@heyitsshallow @askmenfess Kek lulus kuliah, lulus disaat yang tepat. Bukan cuma tepat waktu :)"
okkyskripsi,2019-08-18 14:04:51,@teqwilaa Yuk starbak ngagel maw?
okkyskripsi,2019-08-18 04:25:42,@FANBASESYG Dm
okkyskripsi,2019-08-18 04:19:51,@FANBASESYG Yuu lah
okkyskripsi,2019-08-13 13:26:29,@eatmysin 9.biskuat ? 10. Yakult
okkyskripsi,2019-08-07 13:48:31,@Geryndia Gapaham wkwk :|
okkyskripsi,2019-08-06 20:58:16,@AyuSHalimtsydh Skin care
okkyskripsi,2019-08-06 13:45:21,@0703__k @womanfeeds Edit lightroom itu wkwk
okkyskripsi,2019-08-02 15:28:27,@teqwilaa Awkward moment :)))))))
okkyskripsi,2019-07-30 18:41:22,@eatmysin Tambut
okkyskripsi,2019-07-29 16:09:55,Ngahahahaha 😭 https://t.co/skB9MuIwm2
okkyskripsi,2019-07-29 15:38:02,@askmenfess Kamu pasti bisa kok :)
okkyskripsi,2019-07-29 11:56:43,@sfrjne Diamatin dari pendaftaran sekolah jangan jangan :/
okkyskripsi,2019-07-29 10:49:53,@sfrjne Gercep yaakk wkwk
okkyskripsi,2019-07-29 10:30:39,Amsyaaaakkk https://t.co/7HMyuNQmE4
okkyskripsi,2019-07-29 10:13:02,Tumbenan foto sama doi :))) https://t.co/4fIoSLZQd7
okkyskripsi,2019-07-28 15:26:58,@eatmysin Creeps
okkyskripsi,2019-07-28 10:52:02,@AyuSHalimtsydh @intanpayu Mara mara rekkk :(
okkyskripsi,2019-07-09 11:53:15,@askmenfess Mending dicopot sekalian 22nya.. jadiin clutch bisa gasi?
okkyskripsi,2019-07-08 16:26:46,ASUU RAIMUU YOOO https://t.co/7rQapHnei4
okkyskripsi,2019-07-08 02:58:38,"Ga makan nasi, tapi pake lontong https://t.co/wllbt5trFl"
okkyskripsi,2019-07-07 17:24:20,https://t.co/GUxJ72yUy0
okkyskripsi,2019-06-06 19:48:35,@risahree @abdlrzzq Introvert tingkat tinggi
okkyskripsi,2019-06-06 06:41:46,@AyuSHalimtsydh Gublug 😂😂😂😂
okkyskripsi,2019-06-05 06:57:35,@askmenfess Abu gunung merapi
okkyskripsi,2019-06-05 06:51:04,"Selamat hari raya idul fitri 1440 H, Mohon maaf lahir premature... 👳👳🙏🙏🙏"
okkyskripsi,2019-06-05 04:31:21,@fnfifi_ Akuuu akuuuuu 🙋🙋🙋😥
okkyskripsi,2019-06-05 02:02:35,Nga gituuu 😫 https://t.co/2tBJuxX9kG
okkyskripsi,2019-06-05 01:04:13,"Judulnya doang mancing, isinya nothing... https://t.co/6AIs2xGiMv"
okkyskripsi,2019-06-04 11:26:06,Wishlist setelah romadon adalah dapet angpao banyak.. dari klien :v
okkyskripsi,2019-06-04 11:24:13,@heyitsshallow Dapet teman nge-room wkakaawkaksowkkajsjsazkka
okkyskripsi,2019-06-04 10:59:20,@fannykharisma Sapatuuuu
okkyskripsi,2019-06-03 11:23:51,@0703__k @grillrice @askmenfess Mutualan yuuu
okkyskripsi,2019-06-03 10:44:48,@nextarcuklad Kalo seneng fotonya dipajang mbok ya jangan bilang gitu kemantan :))
okkyskripsi,2019-06-03 06:11:03,"@haiidew Katanya trio macan ""jangan nget-ngetan"" ((jangan inget² mantan)) hahaha"
okkyskripsi,2019-06-03 06:01:28,@arigatoumz @educationfess Another variable hahahaha
okkyskripsi,2019-06-02 21:09:48,"@askmenfess Masi lebih jauh harapanku sama dia keknya :"""
okkyskripsi,2019-06-02 11:57:48,@JVLEHA Berarti dempulnya nga ngefek hahaha
okkyskripsi,2019-06-02 11:22:29,"@askmenfess ""aku gaenak sama pacarnya"" Tapi tetep mau aja? Wkwk"
okkyskripsi,2019-06-02 10:50:10,@inkamwrni Sayangnya bales gitu ngga cuma kesatu orang doang wkwk :'))
okkyskripsi,2019-06-02 10:48:45,@heyitsshallow Sapatuuuu
okkyskripsi,2019-05-31 15:21:57,Menjelang lebaran susah tempat enak buat nongki..
okkyskripsi,2019-05-31 13:22:19,"Bukan kewajiban orang tsb untuk meminta maaf, tapi kewajiban kita memaafkan.. karena manusia tak lepas dari kesalahan https://t.co/u7WV8fKhl0"
okkyskripsi,2019-05-31 13:11:18,@heyitsshallow @curhathingy Surprise² madafakaaa wkwkwk
okkyskripsi,2019-05-31 13:08:28,@fnfifi_ @nureginamaulina Itu kalian apa bukan? :))
okkyskripsi,2019-05-31 11:31:25,"@heyitsshallow Yauda ganti baru :"""
okkyskripsi,2019-05-31 11:28:12,@bumpykitten_ Gimana²?
okkyskripsi,2019-05-31 11:26:55,"@askmenfess Cheat, cheat, cheat"
okkyskripsi,2019-05-31 11:25:43,@heyitsshallow Stuck dilogo hape ngga pas dinyalain?
okkyskripsi,2019-05-31 07:31:36,@askmenfess Iya 😂
okkyskripsi,2019-05-31 06:56:59,"Batinku menjerit ndod dengar saranmu :"" https://t.co/wf93yYeokY"
okkyskripsi,2019-05-31 06:34:25,@askmenfess That's called karma :))
okkyskripsi,2019-05-31 06:33:09,@askmenfess Suyono tukang ledeng
okkyskripsi,2019-05-31 05:37:26,Auto nyanyi 😤 https://t.co/gx5KIEeRfS
okkyskripsi,2019-05-31 05:33:15,@stnrl Alisnya ga simetris
okkyskripsi,2019-05-31 02:46:07,"@cindyviran @askmenfess Generasi nineties can't relate :"""
okkyskripsi,2019-05-31 02:39:15,"@askmenfess Bosen nder, sepertinya kamu tidak memenuhi ekspektasinya :"""
okkyskripsi,2019-05-31 02:30:43,"@askmenfess Liat ae nder, bentar lagi fotomu diposting di wa sama fesbuk kayaknya :))"
okkyskripsi,2019-05-30 13:08:46,"@RottingOldWreck 2018 kalo ga 2017, SMA khadijah hangtuah 2"
okkyskripsi,2019-05-30 11:22:41,"Ekspektasi: bikin layout, ngedit foto, brainstorming konsep. Realita: https://t.co/ZLHB8kCjP2"
okkyskripsi,2019-05-30 11:19:24,#NewProfilePic
okkyskripsi,2019-05-29 19:42:40,@sindi_maharani Bakal nutup kemungkinan orang baru yang dateng sih
okkyskripsi,2019-05-29 18:14:04,@askmenfess Are you busy tonight?
okkyskripsi,2019-05-29 12:34:20,"Ketika kamu sebelumnya tidak memberi penjelasan terlebih dahulu, Apalagi untuk ia seseorang yang baru mengenalimu... Bagaimana ia mengerti dirimu?"
okkyskripsi,2019-05-29 12:29:19,"Tiap orang pasti punya masa lalu, tapi tidak semua orang tahu.. Begitu juga tentang masalalumu, pasti punya sisi gelap sendiri dibatinmu"
okkyskripsi,2019-05-29 11:31:20,"It's just a jokes, sorry if you feel offended.. Didn't meant to be that way"
okkyskripsi,2019-05-28 21:28:31,@askmenfess Kamu suka makan upil
okkyskripsi,2019-05-28 11:11:42,"@askmenfess Sejauh ini belom ketemu nder :"""
okkyskripsi,2019-05-28 03:49:57,"@KembaranKamu Mau ngebuktiin omongan ""biar Tuhan yang bales""."
okkyskripsi,2019-05-28 03:42:06,"@sindi_maharani @askmenfess Aku gasuka cowo, karena semua cowo brengsek :|"
okkyskripsi,2019-05-27 21:13:27,"@askmenfess Bank shariah, mandiri shariah/bni shariah"
okkyskripsi,2019-05-27 12:37:11,"Lek sd lulus sampek kuliah luar negeri mungkin ganti jeneng ""miss roro southern sea"". Saiki wis dadi menteri kelautan https://t.co/pmVG75cjfs"
okkyskripsi,2019-05-27 11:34:51,@RottingOldWreck Pesennya cuma cappuccino doang lagi 😭
okkyskripsi,2019-05-27 11:31:34,@tanyarlsub Aku tim baju temen
okkyskripsi,2019-05-27 05:16:47,"@askmenfess Mie judes nder, tapi keknya tutup deh abis lebaran buka lagi wkwk :("
okkyskripsi,2019-05-26 11:17:14,"@askmenfess Coba mihara cicak dulu nder, sapa tau hokimu dicicak bukan kucing :("
okkyskripsi,2019-05-26 10:12:59,"Cuk ndod, belom buka pikiranku kemana mana -.- https://t.co/R2nnKT5wb6"
okkyskripsi,2019-05-26 10:04:31,@sfrjne @askmenfess Kecup aja aku maooo 😳😳
okkyskripsi,2019-05-26 09:13:40,😭😭 https://t.co/OijpKJrXJ1
okkyskripsi,2019-05-26 04:53:59,"@fnfifi_ Jujur itu emang menyakitkan :"")"
okkyskripsi,2019-05-25 21:36:13,"@aulmaulidiana Besok, kalo ngga ketiduran :"""
okkyskripsi,2019-05-25 21:28:10,@askmenfess Kamu mau masuk abri apa gimana nder? Kok butuh mental kuat -.- Cari gebetan baru ajalah :)
okkyskripsi,2019-05-25 21:18:30,@heyitsshallow @tanyarlsub REVENGE!!!!! lol
okkyskripsi,2019-05-25 19:58:23,Kudu nangeeeeessssssz 😂😂😂 https://t.co/ceWOEcQ27J
okkyskripsi,2019-05-25 19:04:41,@putrinassyfa 😭
okkyskripsi,2019-05-25 08:25:00,😂😂 https://t.co/J74k55JCpq
okkyskripsi,2019-05-25 01:33:27,@askmenfess Bau air hujan
okkyskripsi,2019-05-25 01:25:49,😅 https://t.co/rdyIUQwdBM
okkyskripsi,2019-05-24 23:13:24,"@askmenfess Pake bis ae nder, biar muat satu gang sekalin"
okkyskripsi,2019-05-24 10:01:38,Gobloknya maksimal .-. https://t.co/IemGUZthbx
okkyskripsi,2019-05-24 07:59:40,@ccmlndsr31 Iya bener
okkyskripsi,2019-05-24 07:11:03,"@ccmlndsr31 Gasemua, tergantung tipe couonya"
okkyskripsi,2019-05-24 07:09:38,@putrinassyfa Wokesiyaaapppp 😂😂😭
okkyskripsi,2019-05-24 04:52:38,"@Noviarilyani @stnrl Ini sosial media jangan baperlah tolong. Harus tau mana konteks bercanda dengan bener² mengkritisi... Ngga perlu saling serang juga, toh ya ngga nyindir kamu @noviarilyani, Kritis perlu tapi bego jangan ya mbak. Respect both sides. :)"
okkyskripsi,2019-05-23 23:37:38,@FarisSalm @DivHumas_Polri min tolong dicek ya ini postingan nya :)
okkyskripsi,2019-05-23 21:11:47,"@kanegaaa Anak yang sebatangkara, pergi mencari ibunyaa"
okkyskripsi,2019-05-23 19:01:40,@askmenfess Mending kost harian
okkyskripsi,2019-05-23 18:55:45,@askmenfess Cara nge-hook yang menarik nder wkwkwk
okkyskripsi,2019-05-23 18:43:45,Deep as fuck https://t.co/dv6ORI3cZk
okkyskripsi,2019-05-23 18:34:05,@briliyalhabsyi Boys can't relate :v
okkyskripsi,2019-05-23 18:30:46,"@AyuSHalimtsydh Kalo vpn yang gratis memang rawan pencurian data kak 😣 Semoga bisa dibantu sama pihak banknya.. Berapapun nominal yang terselamatkan, at least tersisa untuk lebaran 😢"
okkyskripsi,2019-05-23 18:28:12,@heyitsshallow @askmenfess Akwowkswoakowkwaoqoka
okkyskripsi,2019-05-23 13:44:45,😭 https://t.co/RCjurXBdP9
okkyskripsi,2019-05-23 13:39:58,@tehcelop @askmenfess Motornya satria modif gimana? :|
