username,created_at,text
pelangikecilll,2020-06-17 08:14:41,@fannprieskila Cepat pulang😠😭
pelangikecilll,2020-06-17 07:44:16,How could someone take pictures effortlessly estetik
pelangikecilll,2020-06-16 23:17:11,Kan typo zzzkdkskekskka
pelangikecilll,2020-06-16 23:14:07,Napa si twitter gada fitur edit tweet
pelangikecilll,2020-06-12 10:55:59,@widigdo97 Debut lagi asekkkk
pelangikecilll,2020-06-12 10:46:53,@rizkalarasati @aMrazing Buset https://t.co/WS0eHdke32
pelangikecilll,2020-06-07 10:17:23,@Irgimartin @hasbyanshar Yg keliatan anya doang😭👍🏻
pelangikecilll,2020-06-07 06:05:51,Org2 ko bisa pada konsisten workout gitu sik
pelangikecilll,2020-06-07 04:25:33,Disanguin micin xixixixi https://t.co/iVbquqO4PJ
pelangikecilll,2020-06-07 00:47:26,Ttp aja kalo ak yg gambar jdnya jele😭 https://t.co/BWqI5C2noK
pelangikecilll,2020-06-05 14:46:47,@havysb Sobat jompo merapat
pelangikecilll,2020-06-05 01:41:41,@fannprieskila @farahdibazs Akuuu bukaaaan bonekamuuu bisa kau rayuuuu rayuuuuuuu
pelangikecilll,2020-06-04 05:15:46,@FOODFESS2 Fan tolong dipertimbangkan untuk mencobanya di kos @fannprieskila
pelangikecilll,2020-06-03 22:08:58,@widigdo97 @yusrilihzani Ahahahahaha mirip😭😭😭
pelangikecilll,2020-06-03 05:04:01,@rizkalarasati @FOODFESS2 Rasis ninu ninu!1!!1!1
pelangikecilll,2020-06-02 22:36:31,@FOODFESS2 Halo samyangers @rizkalarasati
pelangikecilll,2020-06-01 23:02:37,@sucitika_ Happy bday tisuuuu! Semoga sehat dan bahagia syelalu🥰 ih copaste mamah banget ya😭😍
pelangikecilll,2020-06-01 22:54:17,@HeriHz Soalnya mataharinya banyak
pelangikecilll,2020-06-01 06:01:15,@ponikecilku Huhu asik bangay pasti gada mayat kecoak😭
pelangikecilll,2020-05-29 11:15:51,@FOOD_FESS Indomi ayam geprek.
pelangikecilll,2020-05-28 21:48:18,@HeningTyas1 @hainunad Ahahahahahhaa yaampunnn maap ya hening dan bang roy😭😭😭
pelangikecilll,2020-05-28 13:48:58,@hainunad Beuh bukan mainnnn. Ada acara diajakin main abc sama kukuh agi pas jam peminatan pula
pelangikecilll,2020-05-28 13:35:30,Flashback jaman sma dodol banget beli buku mahal2 tp ga perna dibawa karena berat. Kalopun dibawa ujung2nya ditinggal di kolong meja sampe ilang. Tiap pelajaran heboh sama @hainunad buat minjem buku orang huwkakwkakaka https://t.co/T71TzIwCF1
pelangikecilll,2020-05-27 10:32:39,"@maysiskazr Happy bday chika, semoga sehat selalu dan dimudahkan segala urusannyaa!🥰"
pelangikecilll,2020-05-27 02:00:22,@istighfar_yuk https://t.co/wNKJnISIHA
pelangikecilll,2020-05-26 02:30:31,Hobi baruku adalah berbagi quotes dengan @fannprieskila
pelangikecilll,2020-05-24 07:18:38,@farahdibazs Meminimalisir haha hihi dengan org lain🙏🏻
pelangikecilll,2020-05-24 07:17:44,Akan terus terputar selama 1 minggu ke depan https://t.co/abWIsTCNgP
pelangikecilll,2020-05-24 07:16:54,Cakep bener https://t.co/eSxTj5gXQM
pelangikecilll,2020-05-24 05:02:22,@rizkalarasati Rasane wagu tauuukk. Dah emg paling bener solero aja
pelangikecilll,2020-05-23 13:00:47,@hilaaaf Alhamdulillah hilalnya udah muncul🙂
pelangikecilll,2020-05-23 08:28:28,@farahdibazs Gapapa itu tandanya mau cepet gede🙆🏼‍♀️
