username,created_at,text
prastikavivi,2020-06-12 13:51:47,@yashhhhh_ Ada apaa? Sini aku peluk https://t.co/Aj7alXSC3T
prastikavivi,2020-06-12 13:22:59,"@yashhhhh_ Wkwk Yash terbaik emang! Tetep baik sama orang yg jelas"" salah"
prastikavivi,2020-06-12 13:11:58,@isnansayyidinaa Kasih mereka tau Nan
prastikavivi,2020-06-12 13:04:18,"@yashhhhh_ Tolong marahin Yash, yang bandel suntik aja biar tau rasa :"""
prastikavivi,2020-06-12 12:20:15,"@yashhhhh_ Kalo udah gini bilangnya ""gak sengaja"""
prastikavivi,2020-06-12 11:41:01,"Ini orang"" pada kenapa sih? Kok pada jahat"" banget :("
prastikavivi,2020-06-11 02:46:03,"Need some vitamins, please. https://t.co/4iAOQBB1gr"
prastikavivi,2020-06-10 12:50:50,"@handokotjung Padahal virusnya belum ilang, tapi orang"" udah biasa aja, seakan keadaan udah normal. Ini aku yg parno tetep #stayathome apa gimana :("
prastikavivi,2020-06-09 03:40:24,Apaansi gak jelas banget :(
prastikavivi,2020-06-08 13:41:14,"Nyobain elbow plank sama knee to elbow plank tiga menit, pusing banget sumpah"
prastikavivi,2020-06-08 06:14:45,si Gina kesenengan banget dah wkwk https://t.co/rpbw88o47H
prastikavivi,2020-06-07 13:31:56,"@nikitayasha Dulu gerak kesana kemari masih bebas, sekarang gerak dikit kesandung kalo enggak kejedot dinding wkwk"
prastikavivi,2020-06-07 13:14:08,"Gerak dikit cidera, emang yang paling bener rebahan aja"
prastikavivi,2020-06-07 08:24:57,@ShafitriNP @arafahrianti02 Semangaaat
prastikavivi,2020-06-06 11:17:30,@ImNeddsie OMG she's so cute!!
prastikavivi,2020-06-06 07:56:12,Jam pulang lama banget 😭
prastikavivi,2020-06-05 13:03:06,"Ikut-ikutan mawik @dwihandaanda, lumayan baru pertama nyoba udah peringkat ke-4 https://t.co/QvWp4LVMSY"
prastikavivi,2020-06-05 06:30:18,Alhamdulillah ✨
prastikavivi,2020-06-02 00:46:33,Ngantuknyaa :(
prastikavivi,2020-06-01 14:08:47,@cursedkidd Marahin bang wil
prastikavivi,2020-06-01 04:02:59,"Semakin kesini tuh harus lebih hati-hati. Bukan membatasi diri, apalagi pilih-pilih."
prastikavivi,2020-05-31 18:33:35,Semakin kesini harus dibanyakin pillow talk bareng mbak
prastikavivi,2020-05-31 12:26:17,Don't amazed by the basics. NOTED!!! https://t.co/h8yY9fACSn
prastikavivi,2020-05-29 15:25:39,@tasyanuzulaa @hrdbacot Good luck mbak! Semoga rezekinya
prastikavivi,2020-05-29 10:38:41,Setelah 23 tahun hidup akhirnya aku bisa juga bikin ini 🙃 https://t.co/tdU952a5bc
prastikavivi,2020-05-28 08:19:49,@FOODFESS2 Chef Arnold menangis melihat ini :(
prastikavivi,2020-05-27 06:09:24,@ShafitriNP Iyoooo bener banget ku 👍
prastikavivi,2020-05-26 13:40:50,"Ini nih yang bikin aku males sama pacaran. Misal mau pergi tapi gak bilang, terus sembunyi dibalik kata ""bohong aja daripada ribet ditanyain yg aneh-aneh""."
prastikavivi,2020-05-25 10:32:33,Hari ini intinya movies marathon yang disponsori by TransTV
prastikavivi,2020-05-25 06:56:05,@yashhhhh_ Ibuk kangen Yash jugaa
prastikavivi,2020-05-25 05:57:37,@yashhhhh_ Pikirannya ibuku oot banget yaa wkwk
prastikavivi,2020-05-25 05:45:08,"Ditengah obrolan keluarga, ibuku tibatiba nyeletuk ""kadang aku tiap malem mikir, corona itu gimana rasanya? Kenyal apa gimana gitu?"" Oke fix. Sekarang aku tau dari mana datangnya ke-anehan pikiranku."
prastikavivi,2020-05-24 09:30:35,"@butuhjalanjalan Yaaas, Minal aidzin wal faidzin yaaa 🙏"
prastikavivi,2020-05-24 03:47:31,Minal aidzin wal faidzin semuanyaaa 🙏 https://t.co/kinopiIOfe
prastikavivi,2020-05-23 01:36:48,"Cape. Tiap hari ribut mulu, debat mulu. Diem"" bae tenang gitu gabisa ya? Udah ah mau pingsan aja."
prastikavivi,2020-05-22 13:31:25,"@PEMBIMBINGUTAMA Dirumah saya juga sepi Pak, tapi gaada yang mudik"
prastikavivi,2020-05-22 13:16:24,Enaknya ngapain ya?
prastikavivi,2020-05-20 05:13:21,"Kalo gak dapet, udah gapapa, relain ~"
prastikavivi,2020-05-19 13:37:49,"Nih mulut kenapa sih, kalo lagi suasana serius malah diem bae. Tapi kalo disuruh ngomong gk penting aja nomer satu!"
prastikavivi,2020-05-18 14:27:31,"AMPUUUUUN, MEREKA BERDUA JADI SATU FRAME! GAK KUAT :)) https://t.co/j9UkXsc0Cy"
prastikavivi,2020-05-16 00:54:25,Perasaaan dari kemaren nyebrang mau ditabrak mulu dah
prastikavivi,2020-05-15 15:21:42,@niko_junius Haha lucu.
prastikavivi,2020-05-15 11:13:47,"@JeromePolin Offline, otakku kadang dijelasin secara langsung aja masih mikirnya luama pol. Gimana mau kelas online, yang gak tatap muka secara langsung :)"
prastikavivi,2020-05-15 06:56:03,Lucu banget astagaaa 😭 https://t.co/Y4RR36YUIt
prastikavivi,2020-05-15 06:17:25,Dibercandain anak SMP dong :) *forward detected* https://t.co/LbyuizAisl
prastikavivi,2020-05-13 06:50:04,Alhamdulillah 🌼
prastikavivi,2020-05-12 08:40:11,"Lagi puasa ngeluh terus, pahalanya kurang gak sih?"
prastikavivi,2020-05-11 15:26:33,"@subtanyarl • Lahir di Malang • Besar di Malang • Papa orang Malang • Mama orang Malang Sering ditanya: ""Kamu gabisa Bahasa Jawa ta? Kok pake Bahasa Indo terus"""
prastikavivi,2020-05-09 08:21:38,@hrdbacot Pustakawan :( Mungkin tugasnya yang mereka tau cuma gitu aja. Tapi sebenernya kerjaannya lebih complex dari itu
prastikavivi,2020-05-08 13:36:53,"@bayu_joo Gatau, udah bawaan dari lahir, gimana dong :"""
prastikavivi,2020-05-08 13:15:35,"Pernah banget. Kita ngobrol suatu hal gitu (berimajinasi ria), seru banget, sampe berasa kek beneran terjadi gitu. Eh dia lama"" baper :( https://t.co/1i1qnD9Y9V"
