username,created_at,text
puspapradinaa,2020-06-17 12:04:24,@hymniez HAHAHHA tau gitu gw makan aja ayam bagian lo
puspapradinaa,2020-06-17 12:00:47,@hymniez emg bawaan lu caper ajg....
puspapradinaa,2020-06-16 13:30:36,@3asyp3asy @pembaalut tergantung dia pacarannya sama siapa sih
puspapradinaa,2020-06-16 13:27:54,indonesia sekali namaku:) https://t.co/3z44FzllXz https://t.co/TGJ7CVPZT5
puspapradinaa,2020-06-16 04:39:43,@erlindaseptiani kelak keburukan sebiji zarah pun akan dibalas. Astagfirullah:(
puspapradinaa,2020-06-15 16:14:06,kamu tuh bego apa gimana sih:) https://t.co/xNNVkAv6XY
puspapradinaa,2020-06-15 01:35:10,@nsryhanifah terpantau produktif
puspapradinaa,2020-06-14 17:25:56,@devinurani1 karena hari ini baru berlangsung selama 25 menit dev:(
puspapradinaa,2020-06-14 16:59:29,nemu full movienya nkcthi di yutub dan tetep mewek pas scene mereka kumpul semua kemudian mas angkasa teriak ke ayahnya
puspapradinaa,2020-06-14 11:39:16,@HafidznaL siap siap dulu
puspapradinaa,2020-06-14 11:32:26,@HafidznaL kemana hyung
puspapradinaa,2020-06-14 11:28:57,"@HafidznaL yaudah kalo maksa, berangkaaaatt!"
puspapradinaa,2020-06-14 11:25:26,@HafidznaL bukan bahan bercobaan kak🙏
puspapradinaa,2020-06-14 08:45:17,@HafidznaL tapi udah siap jadi kepala keluarganya belom?
puspapradinaa,2020-06-13 15:36:40,@nsryhanifah mari kita pantau
puspapradinaa,2020-06-13 15:35:05,@talkingnanss berangkaaaatttt
puspapradinaa,2020-06-13 12:27:41,gabuuuutttttt banget sampe di titik gatau harus ngapain lagi udahan atuh corona yu
puspapradinaa,2020-06-12 06:14:54,@kopiarabb eh aku juga kemaren bikin yg pelukku untuk pelikmu tapi yg kamu lebih niat bgt sihh👌👌
puspapradinaa,2020-06-11 05:10:07,@keknyagudboi @zaidannadli gaada akhlak!
puspapradinaa,2020-06-11 03:53:47,@animalfess2 gemoyy kaya gendong anak
puspapradinaa,2020-06-10 14:30:10,pms terparah jatuh pada usia 21 tahun alias dismenore sampe day 3 ditambah sakit kepala dan laleleus😭😭
puspapradinaa,2020-06-09 16:12:31,"@safitriindrs ih ini valid sih, kenapa ya indomi ayah lebih enak daripada indomi mamah atau aku wkwkw"
puspapradinaa,2020-06-09 16:09:26,@btarytrieb @erlindaseptiani https://t.co/W7tuKZo05U
puspapradinaa,2020-06-09 13:36:45,@urfuturegurlll @urlilzy aq izin mencuri quotesnya ka..
puspapradinaa,2020-06-09 08:54:06,@alliyasmin_ sabarrrrr dikit lagi
puspapradinaa,2020-06-09 00:31:02,@HafidznaL brisik kamu!
puspapradinaa,2020-06-08 16:48:21,@dnuuyshyu mungkin kamus mini waktu di sma bisa membantu sist
puspapradinaa,2020-06-08 16:43:01,"@sintakayaknyaa padahal katanya kepintaran anak itu banyak nurun dari ibunya, terus madrasah pertama anak tuh ibunya jd ya ga percuma kalo sekolah tinggi ujungnya harus jadi ibu rumah tangga dan ngurus anak justru kita jadi ga ketinggalan momen buat liat tumbuh kembang anak yg gabisa diulang"
puspapradinaa,2020-06-08 15:00:35,lohh gini ternyata rasanya di follback selebtwit..... @3asyp3asy https://t.co/1g4KioAx9A
puspapradinaa,2020-06-08 14:57:54,@3asyp3asy wa dong biar shareloc:)
puspapradinaa,2020-06-08 14:57:28,@safitriindrs ah geus kamana mah ta
puspapradinaa,2020-06-08 14:46:39,@3asyp3asy ntar ke bandung mampir kerumah hyung
puspapradinaa,2020-06-08 14:44:57,@hymniez aww serasa best friend forever gini
puspapradinaa,2020-06-08 14:44:06,@safitriindrs sering kepoin profil aku dong ka
puspapradinaa,2020-06-08 14:43:35,@hymniez bisabisanya samaan
puspapradinaa,2020-06-08 14:42:45,@hymniez jgn bilang day 2???
puspapradinaa,2020-06-08 14:42:21,@safitriindrs padahal aku pernah like loh
puspapradinaa,2020-06-08 14:41:56,@hymniez galak amat si qq
puspapradinaa,2020-06-08 14:40:37,@erlindaseptiani aku mah mutualisme ya
puspapradinaa,2020-06-08 10:03:44,@safitriindrs @Bandungfess WKWKWKWK nonton hafalan sholat delisa bgt sis
puspapradinaa,2020-06-08 08:35:59,udah gila kali buka instagram isinya story org mindahin tali toga taun kemaren semua anjir lah gaada kasian kasiannya sama angkatan aing
puspapradinaa,2020-06-07 16:18:44,@Bandungfess eh ko bagus sih..
puspapradinaa,2020-06-07 12:17:14,@hymniez aslii
puspapradinaa,2020-06-07 12:16:51,@nisrinaayuu jd mau bang aripnya ga?
puspapradinaa,2020-06-07 12:16:29,@hymniez harus kuat 8 kali dulu sehari hyung
puspapradinaa,2020-06-07 12:04:03,@selamatinaja @yolandavaniasgl lah lohh...
puspapradinaa,2020-06-07 12:03:17,@hymniez nah cakeppp biar kek minum obat kak
puspapradinaa,2020-06-07 11:59:56,@hymniez jangan lupa post ke-uwu-an diseluruh sosmed biar seantero jagad raya tau kalo mereka dah jadian.....
puspapradinaa,2020-06-07 11:58:44,@erlindaseptiani manusyaa...
puspapradinaa,2020-06-07 11:57:55,"aku teh nonton vlognya arip tipang yg selamat datang Ibrahim, sugan teh mau kaya bukaan moment gt kan, ternyata isinya lebih banyak ke-uwu-an mereka berdua:( jd teh kesel tp gemes wkwk"
puspapradinaa,2020-06-05 14:38:05,"setelah ngetwit ini eh ada ini, emang harus cepet2 tobat:) https://t.co/X3MpmW8DTW"
puspapradinaa,2020-06-05 14:34:43,"Setelah meeting zoom hari ini banyak kata kata mengumpat dan kasar yang saya keluarkan. Tuhan, maafkan hamba🙏"
puspapradinaa,2020-06-04 23:38:50,@unmagnetism__ SEDERHANA MATAMU HEHH!!
puspapradinaa,2020-06-04 16:18:50,@dnuuyshyu @mithaanidya najis
puspapradinaa,2020-06-04 16:18:41,@hymniez demi apa napas tp mual? makan minum yg anget anget eh cobain
puspapradinaa,2020-06-04 16:14:43,@getarkrisna berdoa atuh masdim!
puspapradinaa,2020-06-04 16:14:21,aku sedih mba @NajwaShihab bikin #WisudaLDR2020 😢
puspapradinaa,2020-06-04 10:30:11,@hymniez ah jgn suka nakutin:(
puspapradinaa,2020-06-04 08:55:40,jangan sampe ya wisudaku online😡😭 https://t.co/12yzIrnbaZ
puspapradinaa,2020-06-04 08:53:35,@jupitersbabee sangat tida cocok dengan dompetku😭😭
puspapradinaa,2020-06-04 02:25:20,@nsryhanifah misi mau sombong dulu aku gaikutan tos online ah cause soapku dah beres xixi🤭
puspapradinaa,2020-06-04 02:24:12,@rezaadillalest1 resep nya mencari cuan teh
