username,created_at,text
ramdaneinstein,2020-06-17 04:20:28,@ganjar_dna Bekas mining coba jar wkwkw
ramdaneinstein,2020-06-15 08:23:29,@ganjar_dna Wkwkwkw mendekati 90 persen aja susah
ramdaneinstein,2020-06-02 15:06:01,@azharizkita Stop it before too late wkwkkw.
ramdaneinstein,2020-05-25 12:38:14,@ganjar_dna Ngerakit pc jar?
ramdaneinstein,2020-05-18 12:36:57,@putriranati_ Jangan direspon lagi put
ramdaneinstein,2020-05-18 12:35:32,"Project semakin kompleks di android studio, spek laptop meminta untuk ditingkatkan."
ramdaneinstein,2020-05-11 21:25:16,Corona kapan beres?
ramdaneinstein,2020-05-08 00:15:36,@zayichi Semoga lancar ya aamiin
ramdaneinstein,2020-05-05 13:01:29,@suandy21 Nyalakan roket nuklir di tetanggamu jang
ramdaneinstein,2020-04-30 13:34:23,@suandy21 @fakealchemistt Waduh wkkwkw
ramdaneinstein,2020-04-29 01:31:53,@GaniaSilfi Rancaekek jugaaa
ramdaneinstein,2020-04-22 06:16:25,@agus_juliana77 Bgst
ramdaneinstein,2020-04-17 09:24:00,@anggitamfm Jiga lagu virgoun wae.
ramdaneinstein,2020-04-15 13:53:15,@regi_ramdhany Aslina mang?
ramdaneinstein,2020-04-15 13:52:49,"@anggitamfm Mau lulus, gausah besok juga kuliah s2"
ramdaneinstein,2020-04-15 13:50:02,@putriranati_ Mentaaa link puttt
ramdaneinstein,2020-04-08 06:09:15,@agus_juliana77 Budak senja maneh gus?
ramdaneinstein,2020-04-08 06:08:40,@suandy21 Kaya konten deep web
ramdaneinstein,2020-04-05 13:26:51,@putriranati_ Wkkwkw. Eh gak harus nunggu parah kan put? Biar langsung ilang minusnya
ramdaneinstein,2020-04-05 13:23:29,@anggitamfm Maneh ngepel maju gid?
ramdaneinstein,2020-04-05 13:22:15,@putriranati_ Lasik ke cicendo
ramdaneinstein,2020-04-05 13:21:53,@agus_juliana77 Make tisu gus
ramdaneinstein,2020-04-04 16:51:46,@mijunm_ @suandy21 Mantaps
ramdaneinstein,2020-04-02 02:13:46,@putriranati_ Mantap nih pejuang skb. Wkwkkw
ramdaneinstein,2020-04-02 02:12:53,@putriranati_ Minyak kayu putih cap lang
ramdaneinstein,2020-04-01 10:20:29,@agus_juliana77 Bae gus
ramdaneinstein,2020-03-28 01:00:55,@suandy21 @agus_juliana77 Wkwkwk
ramdaneinstein,2020-03-25 00:29:36,@agus_juliana77 Naon gus?
ramdaneinstein,2020-03-23 10:41:44,@anggitamfm @Telkomsel Pakai vpn gid
ramdaneinstein,2020-03-22 12:11:49,@suandy21 @putriranati_ @ridwankamil Kaya tulisan aku
ramdaneinstein,2020-03-21 14:20:42,"Disaat krisis kaya gini kalau di film sih pasti ada superman yang dengan mudah merubah keadaan. Tapi ini dunia nyata, krisis hanya bisa diatasi oleh supernation. Yuk kita coba ikuti arahan pemimpin kita dan arahan dari orang yang professional di bidangnya."
ramdaneinstein,2020-02-26 00:40:17,@AndrePangestu18 Ggmu
ramdaneinstein,2020-02-26 00:39:35,@putriranati_ Rancaekek gak banjir!
ramdaneinstein,2020-02-18 02:02:55,@putriranati_ Netflix gera put
ramdaneinstein,2020-02-14 13:25:59,@putriranati_ Aktivis palestina euy
ramdaneinstein,2020-02-09 12:13:31,@robbywolv Android developer bukan mas?
ramdaneinstein,2020-02-03 23:23:42,@zayichi Kenapa dengan ig? Hehe
ramdaneinstein,2020-01-27 12:38:45,@mmunisaa Semangat mun
ramdaneinstein,2020-01-27 02:34:27,@agus_juliana77 Meh teu panjang
ramdaneinstein,2020-01-27 02:32:57,@agus_juliana77 Sia
ramdaneinstein,2020-01-26 15:54:29,@yutapyoyaki Oke makasih banyak mba. Segera saya kirim.
ramdaneinstein,2020-01-26 06:38:54,@yutapyoyaki Boleh minta emailnya mba?
ramdaneinstein,2020-01-22 01:25:53,@mmunisaa Semangat mun
ramdaneinstein,2020-01-15 11:52:36,@farahray Bisa pake angka kok farah wkwkw
ramdaneinstein,2020-01-13 13:52:57,@putriranati_ Apakah kita sudah mengubah dunia?
ramdaneinstein,2020-01-07 01:27:48,@mmunisaa Sambil ngevlog aja atuh mun wkwkw
ramdaneinstein,2020-01-07 00:52:44,@mmunisaa Mantaps mun
ramdaneinstein,2019-12-31 08:57:45,Ngoding enaknya sambil makan kemripik karya @kaesangp dan @Chilli_Pari https://t.co/qyXbEv1jy0
ramdaneinstein,2019-12-26 11:35:39,@suandy21 Kalem jang
ramdaneinstein,2019-12-25 14:13:48,Great sharing with @farahray
ramdaneinstein,2019-12-07 11:57:13,"Jika dalam hidup ini kita ingin 'skor yang tinggi' itu adalah hal yang normal. Tapi ingat, prosesnya haruslah dengan cara yang baik. Karena kelak kita akan mempertanggungjawabkan prosesnya 😃😃"
ramdaneinstein,2019-12-07 11:57:13,"Jika kita renungkan, kita selalu ingin skor yang tinggi. Hal itu dengan mudah bisa diperoleh dengan menggunakan hack Kita akan mendapatkan skor yang kita mau. Tapi hal itu terasa hampa, karena prosesnya tidak baik. Ternyata ada yang lebih penting dari hasil yaitu proses."
ramdaneinstein,2019-12-07 11:57:12,https://t.co/5lbxuPNbOR
ramdaneinstein,2019-12-07 11:53:40,Ngehack game dinosaurus google (Ada filosofinya hehe) A thread
ramdaneinstein,2019-12-04 12:08:41,@mbaayaya Hahaha iya
ramdaneinstein,2019-12-04 12:08:30,@farahray Waduh penghasilannya belum segitu wkwkwk
ramdaneinstein,2019-12-03 00:43:16,@farahray Waduh beneran wkwkw Mau berapa digit farah?wkwkwk
ramdaneinstein,2019-12-02 14:51:45,@farahray Mana nomor rekeningnya?
ramdaneinstein,2019-12-02 14:50:09,Jadwal kereta api yang sekarang kurang ramah bagi pekerja.
ramdaneinstein,2019-12-01 13:39:02,@naufiham Kenapaaa nau?
ramdaneinstein,2019-11-20 13:02:09,Alhamdulillah
ramdaneinstein,2019-11-15 12:33:40,@farahray Makin lama standarnya makin naik loh farah wkwkw
ramdaneinstein,2019-11-06 13:32:56,@AndrePangestu18 Ggmu
ramdaneinstein,2019-11-05 06:57:07,@mijunm_ @arindanurariva @candramelati @suandy21 @bintariayu Waduh wkwkwk.
ramdaneinstein,2019-10-08 10:56:10,Aku masih percaya solksjaer https://t.co/pWLxrR0qSp
ramdaneinstein,2019-10-08 09:51:30,Coba deh empatinya dikembangkan sekalian otaknya deh. https://t.co/zOBKHCFHU7
ramdaneinstein,2019-10-07 12:09:06,@farahray Pakai ovo aja farah
ramdaneinstein,2019-10-05 21:27:42,@AndrePangestu18 GGMU
ramdaneinstein,2019-09-30 02:47:55,@enemyofparker Oke makasih banyak mas.
ramdaneinstein,2019-09-30 02:42:37,@enemyofparker Masih ada lowongan back-end mas?
ramdaneinstein,2019-09-29 21:27:51,Get ready
ramdaneinstein,2019-09-28 13:46:00,Ini baru Manchester united https://t.co/oZK4ZOB7kp
ramdaneinstein,2019-09-26 15:59:44,Thomas hobbes dalam karyanya de cive pernah menyebutkan Homo homini lupus yaitu manusia adalah serigala bagi manusia lainnya. Sehingga alasan utama berdirinya negara adalah untuk melindungi rakyatnya. Bukan justru menganiaya dan menumpahkan darahnya.
ramdaneinstein,2019-09-20 11:28:09,@anggitamfm Dss padi
ramdaneinstein,2019-09-16 14:37:21,@naufiham Makan baso nau
ramdaneinstein,2019-09-14 14:09:53,Cinta sejati itu ada
ramdaneinstein,2019-09-14 14:09:33,Mangga yang berminat https://t.co/9NQ6E9YP5h
ramdaneinstein,2019-09-13 16:32:11,@naufiham Makan baso
ramdaneinstein,2019-09-11 02:49:44,"@suandy21 Tanpa vga, bisa maen game berat jeung render cenah jang."
ramdaneinstein,2019-09-09 12:20:37,Kembali diproses cabut giginya
ramdaneinstein,2019-09-06 02:26:56,@AndrePangestu18 @suandy21 GGMU
ramdaneinstein,2019-09-05 12:05:44,@mmunisaa Wkwkwk bebas yang punya kereta mah mun
ramdaneinstein,2019-09-05 11:32:40,Senja di kereta https://t.co/IXGJI1KZJ3
ramdaneinstein,2019-09-04 15:14:47,Ingin mencari yang serius
ramdaneinstein,2019-09-04 15:11:57,Diundur cabut giginya euy
ramdaneinstein,2019-09-04 12:48:57,Cabut gigi dulu ye kan
ramdaneinstein,2019-09-04 11:16:59,Kembali senja di kereta
ramdaneinstein,2019-09-04 08:24:00,I love my job
ramdaneinstein,2019-09-03 15:38:58,#NewProfilePic
ramdaneinstein,2019-09-03 14:57:06,Nikah itu ketika kita menemukan orangnya atau momennya?
ramdaneinstein,2019-09-03 13:26:03,Hidangan malam https://t.co/weoNonKRHe
ramdaneinstein,2019-09-03 07:30:38,Lelah bergerilya sendirian
ramdaneinstein,2019-09-03 07:14:43,@GaniaSilfi Haha iyaaa silfi Dia pengurus bpm ftip
ramdaneinstein,2019-09-02 14:06:39,Sayang bpm ftip https://t.co/HaAMumusHz
ramdaneinstein,2019-09-02 12:51:52,"Rezeki itu datangnya dari Allah, bukan dari gaji."
ramdaneinstein,2019-09-02 12:36:22,"Kalau aku buka pelatihan kodng gratis, kamu mau ikut gak?"
ramdaneinstein,2019-09-02 12:35:35,MU kok malah ngelepas squad ya?
ramdaneinstein,2019-09-02 12:28:09,@mijunm_ @anggitamfm Cawkeun empal gentong?
ramdaneinstein,2019-09-02 11:47:35,Tiap senja selalu berada di kereta
ramdaneinstein,2019-09-02 00:28:52,Lukaku malah bagus di inter
ramdaneinstein,2019-09-01 11:57:09,@mmunisaa Duh wkwkw
ramdaneinstein,2019-08-31 12:42:05,@Isal_Mundel Unicorn startup Sal wkwk
ramdaneinstein,2019-08-31 12:41:32,@AndrePangestu18 Tahun depan juara super cup dan ucl
ramdaneinstein,2019-08-31 10:34:32,Pengen punya unicorn
ramdaneinstein,2019-08-31 10:34:09,@AndrePangestu18 GGMU
ramdaneinstein,2019-08-31 10:33:43,@naufiham Jadikeun nau
ramdaneinstein,2019-08-31 10:33:28,@mmunisaa @naufiham Hayuu atuh meetup
ramdaneinstein,2019-08-30 01:15:31,MU masuk grup apa? :(
ramdaneinstein,2019-08-30 01:00:11,@naufiham Baso iga jando
ramdaneinstein,2019-08-30 00:59:51,@AndrePangestu18 #ggmu
ramdaneinstein,2019-08-29 03:51:52,@suandy21 Anjay laptop anyar
ramdaneinstein,2019-08-29 03:51:24,@GaniaSilfi Yang penting kualitas temennya silfi hehe.
ramdaneinstein,2019-08-29 03:50:42,Rindu manchester united juara Liga inggris.
ramdaneinstein,2019-08-21 12:23:14,@suandy21 Kunaon Jang?
ramdaneinstein,2019-08-16 01:12:47,@AndrePangestu18 Ggmu
ramdaneinstein,2019-08-15 04:34:08,@anggitamfm Sakit gigi Gid?
ramdaneinstein,2019-08-10 12:28:22,Bahasa pemograman adalah bahasa pemersatu para engineer.
ramdaneinstein,2019-07-18 12:43:02,@anggitamfm Kelamaan ngoding
ramdaneinstein,2019-07-10 09:59:49,@mmunisaa Wkwkwkkw
ramdaneinstein,2019-07-10 09:59:49,"Dilukai boleh, melukai jangan."
ramdaneinstein,2019-07-10 02:31:58,@mmunisaa Kunaon mun? Ada yang Lamar? Wkwk
ramdaneinstein,2019-07-07 14:36:06,"Harus bangga dan berbenah. Kalau dulu bisa, kenapa sekarang tidak bisa? https://t.co/doi2nL62DS"
ramdaneinstein,2019-07-06 04:42:07,"Konsep ruang dan waktu membuatku tidak bisa tidur dengan lelap beberapa hari ini. Kita bisa menjelajah ruang ke berbagai arah dan titik, namun berbeda dengan waktu yang hanya berjalan pada satu arah dan begitu kaku."
ramdaneinstein,2019-07-02 01:54:37,@naufiham Wkwkwk
ramdaneinstein,2019-07-02 01:54:22,@mmunisaa Kunaon mun?
ramdaneinstein,2019-06-30 14:43:59,Artis Korea Selatan harus belajar ke artis korea Utara. Untuk menjaga privasi pribadi. Saya tidak pernah mendengar rumor buruk tentang artis korea Utara.
ramdaneinstein,2019-06-29 15:10:25,@mijunmaster Rgb sabaraha tah zun.?
ramdaneinstein,2019-06-28 00:29:05,@mijunmaster Hesoyam
ramdaneinstein,2019-06-27 10:58:20,@yugareksa Sesuai realita!
ramdaneinstein,2019-06-23 13:07:24,@naufiham Iyahhh wkwkwk
ramdaneinstein,2019-06-23 13:06:59,@mijunmaster Wkwkwk asli zun
