username,created_at,text
readytomingie,2020-06-12 16:54:30,@lanadelasol @septmlyd @nurulyuliaaa @YogaRosmananda jadi maneh pun udah tau?! omg.
readytomingie,2020-06-12 16:50:46,@Guesswh00154523 @UPIfess thanks btw uda jawabb
readytomingie,2020-06-12 16:50:39,@Guesswh00154523 @UPIfess oalaaa kirain apaaa
readytomingie,2020-06-12 16:20:00,@gblgya lupa maneh setan:(
readytomingie,2020-06-12 16:18:29,@gblgya istigfar kak shima
readytomingie,2020-06-12 16:07:06,@gblgya love u tooo🥰🥰🥰
readytomingie,2020-06-12 16:06:15,@gblgya t-takut👉🏻👈🏻
readytomingie,2020-06-12 16:04:00,@gblgya ayo cepat balas aku ada teh
readytomingie,2020-06-12 16:00:48,ah kan:(
readytomingie,2020-06-12 14:23:51,WKWKWKWK https://t.co/E9qHa51rep
readytomingie,2020-06-12 14:23:20,@septmlyd @lanadelasol @nurulyuliaaa @YogaRosmananda baru tau:(( asliii
readytomingie,2020-06-12 13:58:47,@lanadelasol @nurulyuliaaa @septmlyd @YogaRosmananda apa cuma ak yg baru tau??? https://t.co/HPqnwlowwe
readytomingie,2020-06-12 13:56:22,hah baru tauuu ini wkwkwkwk https://t.co/HPqnwlowwe
readytomingie,2020-06-12 13:51:24,@UPIfess pendaftaran apa ini?
readytomingie,2020-06-12 12:08:12,outdoor activity makes my body ache
readytomingie,2020-06-12 12:04:54,nangis bgt anjir @lanadelasol https://t.co/u2nOQPgsdl
readytomingie,2020-06-12 12:04:07,@nurulyuliaaa @lanadelasol @ohmybeautybank maksud u apa jelasin😡
readytomingie,2020-06-12 12:03:45,@cinnamonroIls emang mulut lu manis bgt cindi
readytomingie,2020-06-12 12:02:51,@lanadelasol @nurulyuliaaa HAHAHAHAHA BENER BGT MAU NANGIS
readytomingie,2020-06-12 11:47:06,@YogaRosmananda requestnya sudah terpenuhi pak
readytomingie,2020-06-12 11:40:07,@lanadelasol @nurulyuliaaa https://t.co/KS8YwHR7oE
readytomingie,2020-06-12 06:03:14,#NewProfilePic https://t.co/A4snzziEwx
readytomingie,2020-06-12 06:01:41,ahhh benci gue:(
readytomingie,2020-06-11 14:39:34,@cinnamonroIls aaaaaaaakkkkk cindiii✨✨✨✨✨✨
readytomingie,2020-06-11 14:38:37,oh gini rasanya catching feelings? mau gila gue.
readytomingie,2020-06-11 14:24:19,@nurulyuliaaa @lanadelasol @ohmybeautybank hah?:((
readytomingie,2020-06-11 14:13:53,@nurulyuliaaa @lanadelasol @ohmybeautybank aing mau diginiin warna apa ya bagusnya? https://t.co/TSQSoEOCYW
readytomingie,2020-06-10 13:54:05,@rahmaniafitri ada apa nih?
readytomingie,2020-06-10 13:31:40,@subtanyarl taun depan udah ga kuliah anjir smt 8:’) kangen kuliah bgttttt
readytomingie,2020-06-09 16:25:13,@gabrielaleticc kangen conference😭😭😭
readytomingie,2020-06-09 16:17:04,@cinnamonroIls bentar gue chat
readytomingie,2020-06-09 16:10:14,"emang udah ketebak bakal guenya yang kaga bener, ah anj"
readytomingie,2020-06-09 16:04:09,"lapor, username gue sudah diganti sesuai request netizen."
readytomingie,2020-06-08 16:32:43,aaaaanjirrr ini lucu bgt WKWKWKWKWK https://t.co/Z4JbmMu2VV
readytomingie,2020-06-08 16:32:21,@septmlyd kunaon ai maneh?:(
readytomingie,2020-06-08 15:01:03,@septmlyd kgn😭😭😭
readytomingie,2020-06-07 18:06:02,@UPIfess ahhhh kek enak tp nga pernah nyoba sedih bgt:(
readytomingie,2020-06-07 15:28:40,"@UPIfess gue risih sih, tapi gatau juga. kalo bucin banget mah sama orangnya kaga risih kali. kalo skrg mah sih risih."
readytomingie,2020-06-07 15:27:42,@aphrodaitx gue mau numpang WKWKWKWKWK fat
readytomingie,2020-06-07 15:26:54,@pheescha sinii ke rumahh😡😡
readytomingie,2020-06-07 07:29:35,"sakit gigi krn gigi bungsu baru tumbuh, flu, tapi tugas uas numpuk. damn."
readytomingie,2020-06-05 18:44:20,@YogaRosmananda siapa anjirrrrrr
readytomingie,2020-06-05 18:10:18,@YogaRosmananda the biggest reason knp w penyendiri 👆🏻
readytomingie,2020-06-04 06:23:27,sedih banget kucing gue diambil orang😭
readytomingie,2020-06-03 17:58:56,@18autobase ihhh sediiihhh
readytomingie,2020-06-03 15:56:41,@stardustyie cara tau rusak dr mana??🥺🥺
readytomingie,2020-06-03 15:51:22,@mail_oppa masi tk aja banyak gaya lu zi
readytomingie,2020-06-03 15:49:31,maaf ikut ngakak😭😭😭 https://t.co/tKsjKyRS1X
readytomingie,2020-06-03 15:48:49,"@18autobase nyinyir, boong, plinplan, selingkuh, kasar. bye banget jir."
readytomingie,2020-06-03 15:13:29,"@18autobase gak pernah, paling ngerasa dia attractive doang udah."
readytomingie,2020-06-03 14:45:02,"@YogaRosmananda yahh kirain masuk, rame bapanya pundung"
readytomingie,2020-06-03 13:57:09,@YogaRosmananda https://t.co/KGH6C23J5P apakah ingat ini? https://t.co/v3R9tvG4Fc
readytomingie,2020-06-03 03:58:46,"@18autobase bodo amat aja gak sih, its his life not yours. gausah dah ngorbanin diri lu buat dia, toh kuliah atau engga efeknya ke dia. yang ngambil keputusan dia ngapa lu repot jir. save ur self honey."
readytomingie,2020-06-03 03:46:17,@stardustyie hah sumpah?
readytomingie,2020-06-02 20:54:43,@hafdzz https://t.co/c808FVYNSB
readytomingie,2020-06-02 20:21:02,@nurulyuliaaa lu anak hemat kuota gue mau telfon:(
readytomingie,2020-06-02 19:11:35,@18autobase HAHAHAHA sama gue juga mikir gini:(
readytomingie,2020-06-02 19:05:31,k goodnight peeps.
readytomingie,2020-06-02 19:05:00,"but, aren’t we are all broken? dying slowly from a miserable life. our own miserable story."
readytomingie,2020-06-02 19:01:33,"easily replaced, just like a broken things."
readytomingie,2020-06-02 18:58:45,@stardustyie HOW COULD I DIDN’T FOLLOW U BUT SEEING U IN MY TIMELINE? akun lu rusak?
readytomingie,2020-06-02 18:57:57,@stardustyie seketika mikir apakah tetangga gue mikir hal yang sama? 🤔🤔
readytomingie,2020-06-02 18:57:02,"dying slowly, idk what to do."
readytomingie,2020-06-02 18:55:54,yuk semangat yuk bisa hil
readytomingie,2020-06-02 16:43:39,LOL https://t.co/rPX7Rr097e
readytomingie,2020-06-02 16:42:35,gue WKWKWKWK paling kenceng. https://t.co/Lz7kRktKm6
readytomingie,2020-06-02 15:33:26,ngapa si lu bos? https://t.co/pvJazu4OUs
readytomingie,2020-06-02 10:05:19,"please tuhan gue pengen corona ilang bukan new normal, mama gue masi gak ngizinin gue keluar😪"
readytomingie,2020-05-30 17:11:49,@debrisumule deb sumpah ya lu
readytomingie,2020-05-30 17:05:46,bego bgt ngakakkk https://t.co/XT0VLKM0E0
readytomingie,2020-05-30 17:00:01,@stardustyie kapan coronanya abis??:(
readytomingie,2020-05-29 00:02:32,@CNNIndonesia HAH?
readytomingie,2020-05-28 18:54:09,@AREAJULID emang kadang congor orang mending di jait aja biar bisa mingkem
readytomingie,2020-05-28 18:53:01,"@stardustyie gue istigfar aja anjir, bagus dah liat dia bikin gue istigfar inget tuhan"
readytomingie,2020-05-28 15:24:37,puberty. https://t.co/eyNWUa98Co
readytomingie,2020-05-28 14:56:10,@lanadelasol https://t.co/wuDPJ3F4qM
readytomingie,2020-05-28 14:39:53,@gabrielaleticc seru gak tuhh kakk
readytomingie,2020-05-28 14:39:38,@Irfan23R muka sama keberadaan gue keknya lekat banget sama PDP😭
readytomingie,2020-05-28 14:36:51,@cliterature_ flawless banget parahhhhh😭😭 u r welcome pretty!!
readytomingie,2020-05-28 14:36:22,@gblgya ih gue mau cerita
readytomingie,2020-05-27 16:38:23,aaaaa sedih bangettt pengen pelukin😭😭😭 https://t.co/K1zMcHE3sM
readytomingie,2020-05-27 16:37:28,@gabrielaleticc ini drama apa kakkk??
readytomingie,2020-05-27 16:37:13,@Irfan23R gue nyemangatin dah bukan nagih pdp wkwkwk
readytomingie,2020-05-27 16:21:20,bisa bisanya anjir https://t.co/qemqAZ3By6
readytomingie,2020-05-27 16:18:21,cakep banget gilaaaaaaaaa https://t.co/DUPR3P4jdU
readytomingie,2020-05-27 16:16:29,@Irfan23R semangaattt
readytomingie,2020-05-27 15:29:20,@stardustyie can i block a family member?
readytomingie,2020-05-27 15:29:01,@Ghinaalv semangattt banget gueee
readytomingie,2020-05-27 15:28:30,@Ghinaalv ngetag doang soalnya lucu🥺🥺🥺
readytomingie,2020-05-27 15:23:32,@Ghinaalv https://t.co/6c0gN86uRd
readytomingie,2020-05-27 15:16:12,aaaaa mau gini😭😭😭 https://t.co/lEGddM16gP
