username,created_at,text
rvghalif,2020-06-12 13:46:33,@agungsatrioutom Unlock 1 wae ga kelar2 aku
rvghalif,2020-06-12 13:10:59,@agungsatrioutom Pendekar emang
rvghalif,2020-06-09 03:08:45,@agungsatrioutom Saya mencium bau2 bp
rvghalif,2020-06-08 18:42:16,PS4 aja belum kebeli tolong :( https://t.co/0IvFpmm2H6
rvghalif,2020-06-04 11:07:09,Attack on Dota https://t.co/k6Ol3XXLqM
rvghalif,2020-06-01 15:37:27,@SaulRaja Yah lagi serius kenapa malah ketawa namanya Hendarto sih😂😂
rvghalif,2020-06-01 11:15:43,"@wiku Baik, terima kasih untuk informasinya."
rvghalif,2020-05-31 12:35:53,@Soviet_Foxtrot *gelar tiker dipojokan
rvghalif,2020-05-28 15:45:51,"@wiku Halo, boleh minta informasi untuk translator dengan tema gaming dan esports nya? Bahasa yang akan di-translate dari bahasa apa ke bahasa apa? Kemudian tema gaming dan esports secara keseluruhan atau merujuk pada game dan esports tertentu? Terima kasih."
rvghalif,2020-05-26 15:49:24,"@Soviet_Foxtrot Welp, bakal kicep juga kalo tau begituan"
rvghalif,2020-05-26 15:40:55,@Soviet_Foxtrot What's the most terrifying experience you ever had?
rvghalif,2020-05-26 11:57:31,@agungsatrioutom 2025 bp lv100 sejeti
rvghalif,2020-05-26 11:54:24,@agungsatrioutom Minta wang :(
rvghalif,2020-05-26 08:44:55,"@husseinfaisol pensiun kak, sudah kembali ke jalan yang benar wkwk"
rvghalif,2020-05-26 08:01:15,"@husseinfaisol Marketable nya aja masih September, kelar duluan bp nya"
rvghalif,2020-05-26 07:38:42,"@husseinfaisol Niatnya sih ada, duitnya yg engga"
rvghalif,2020-05-26 07:06:46,@husseinfaisol Beliin sen :(
rvghalif,2020-05-25 19:20:28,menangis
rvghalif,2020-05-25 08:17:41,@anandaa_kf @IndiHome Lho sudah pasti restart modem nda 👍
rvghalif,2020-05-25 08:03:36,"@anandaa_kf @IndiHome Selamat siang kak Puja kerang ajaib, mohon kirim nomor pengguna melalui DM akan kami bantu restart dari pusat. Terima kasih :)"
rvghalif,2020-05-24 04:31:08,@rw_ian ಠ_ಠ
rvghalif,2020-05-23 14:21:55,Existential crisis
rvghalif,2020-05-23 14:19:34,@mouldie_sep Itu stand laptopnya pake apa ya?
rvghalif,2020-05-21 07:50:44,https://t.co/gtN98bqukM
rvghalif,2020-05-18 12:38:20,@zahranisa_thifa Lho dulu katanya setrong:p
rvghalif,2020-05-18 12:24:50,@zahranisa_thifa Ni pelaku nya pake ketawa pula🙄
rvghalif,2020-05-16 02:36:35,....dulu bolak-balik nganterin beli jedai sampe nyetok juga ga ada yg awet perasaan https://t.co/AqVDqnYlmJ
rvghalif,2020-05-14 05:39:56,@agungsatrioutom @fuadfakhrizall Ning kene ono gaes
rvghalif,2020-05-14 04:47:14,@haris_novrial @agungsatrioutom buset
rvghalif,2020-05-14 03:45:23,@haris_novrial hah? konten?
rvghalif,2020-05-14 03:14:07,@haris_novrial ati-ati
rvghalif,2020-05-12 09:34:09,"@SoundOfYogi Oh masih dong, email buat tumbal"
rvghalif,2020-05-11 06:33:58,@Soviet_Foxtrot Wah mantap ini
rvghalif,2020-05-08 01:08:35,@zahranisa_thifa me worried whether I did something wrong this time or someone else did
rvghalif,2020-05-08 01:00:04,@zahranisa_thifa https://t.co/yZLA60GCwH
rvghalif,2020-05-04 13:34:59,@zahranisa_thifa Udah itu lho ada yg mepet tu lhoooo😂
rvghalif,2020-05-04 12:04:59,@zahranisa_thifa Ah ga asik emang ni jempol sama keyboard
rvghalif,2020-05-04 11:46:59,@zahranisa_thifa LHOOO KEYBOARD SYALANN
rvghalif,2020-05-04 09:47:39,@zahranisa_thifa Kak besok ada pr ngga ya? Aku mau nyalon nich
rvghalif,2020-04-30 14:04:25,@agungsatrioutom pengen ngerti prestige item opo neh
rvghalif,2020-04-30 13:47:53,:( https://t.co/vaa0RaDdEZ
rvghalif,2020-04-30 12:36:32,@dpasaribu00 Udah disuruh ganti sepertinya.... Maksih bang Don!
rvghalif,2020-04-30 12:28:28,"@dpasaribu00 Konektor keyboard kemana ya, apakah ga sengaja kebuang?"
rvghalif,2020-04-29 13:53:20,@Soviet_Foxtrot Kalo budget 12rb mending TUF ga sih? Soalnya kalo ROG yg harga segitu speknya masih nanggung kayaknya
rvghalif,2020-04-20 20:03:03,"Dilema keyboard, wireless konektor ilang wired kabel ga aturan~~"
rvghalif,2020-04-15 11:52:31,@rw_ian https://t.co/Cyie4hfuCv
rvghalif,2020-04-15 10:42:12,@rw_ian Tifa ma childhood crush
rvghalif,2020-04-14 10:30:30,"@anandaa_kf liyane pubg ml, aku candy crush :("
rvghalif,2020-04-13 13:56:41,@anandaa_kf Probably all the good things in life¿
rvghalif,2020-04-13 13:39:55,"@rw_ian Hmmmmm ""her"""
rvghalif,2020-04-13 13:39:44,@anandaa_kf 🤔
rvghalif,2020-04-12 19:50:01,What crossed your mind on the brink of death?
rvghalif,2020-04-09 18:04:33,@muhammadXarif Eh kok apik
rvghalif,2020-04-07 16:58:50,"Dari dulu tidur selalu lampu nyala, pernah sekalinya nyoba matiin lampu dilemparin kerikil sama digedor jendelanya. Bodo amat ga sehat tidur pake lampu:)) https://t.co/F4bFyaQpT4"
rvghalif,2020-04-05 14:45:53,"@agungsatrioutom Lho, sekarang amd🤔"
rvghalif,2020-04-01 15:21:30,@zahranisa_thifa Maap kak:(
rvghalif,2020-04-01 14:06:32,@tisalika Semangat mba tisaaaaa
rvghalif,2020-03-30 06:19:12,@haris_novrial Kamar abdul tersedia
rvghalif,2020-03-30 05:27:37,@hina__tachibana Pecel kontrakan best pecel
rvghalif,2020-03-29 14:17:51,"Somay langganan juga jadi tutup, covid19 bgst https://t.co/T1sjsLQ8ew"
rvghalif,2020-03-28 11:47:42,"@ryandirachman Nonton dari eps 1 kalo udah, lanjut komiknya dari vol 1 bang 😂"
rvghalif,2020-03-25 07:45:44,"@agungsatrioutom @haris_novrial Tobat gung, masih belum terlambat"
rvghalif,2020-03-24 15:00:29,@haris_novrial Aku siap nampani ris
rvghalif,2020-03-24 14:16:11,@haris_novrial Kalem to bos
rvghalif,2020-03-23 10:23:39,@hina__tachibana https://t.co/nA7rvrxgVw
rvghalif,2020-03-22 16:43:03,"@tisalika @miftus Siap, baek2 ya tis"
rvghalif,2020-03-22 15:15:56,"@tisalika Wkwk sini la nyemarang, sama om-om sekalian @miftus"
rvghalif,2020-03-22 14:21:55,@tisalika Jangan aneh2 weyy
rvghalif,2020-03-22 14:01:48,@tisalika Sehat?
rvghalif,2020-03-22 04:09:12,@agungsatrioutom Ampun suhu
rvghalif,2020-03-19 02:58:31,@agungsatrioutom *nunggu sampe 100rebu
rvghalif,2020-03-19 02:45:58,Menangis RDR2 diskon😭
rvghalif,2020-03-12 15:02:28,@husseinfaisol @anandaa_kf I'm sorry bruh https://t.co/7B4QYRXbCj
rvghalif,2020-03-12 14:51:15,@anandaa_kf @husseinfaisol Ncen kampret emang
rvghalif,2020-03-12 14:51:01,@husseinfaisol Avengers was one time and you spoil one piece every weeks
rvghalif,2020-03-12 14:40:05,"@husseinfaisol Can you stop spoiling one piece not in real life, not in twitter as well https://t.co/bk8HcK9zJi"
rvghalif,2020-03-06 12:15:29,@PridefuISin I can't decide https://t.co/sc14IEoMZF
rvghalif,2020-02-26 03:10:48,@hina__tachibana ಥ_ಥ
rvghalif,2020-02-18 13:20:38,@agungsatrioutom Wut apotik
rvghalif,2020-02-18 13:18:45,@agungsatrioutom Sebelah ndi gung?
rvghalif,2020-02-12 07:24:23,@husseinfaisol Drama complete dota
rvghalif,2020-02-11 18:25:28,Adding salt to the wound https://t.co/Go7S73uHNb
rvghalif,2020-02-08 17:50:24,A series of unfortunate events.
rvghalif,2020-01-30 07:26:42,@anandaa_kf Joroke teko kursi ae nda
rvghalif,2020-01-29 15:31:44,@husseinfaisol More like OG babysitting Sumail through TI.
rvghalif,2020-01-29 15:03:53,@husseinfaisol OG so kind helping Sumail to win his second TI.
rvghalif,2020-01-29 12:36:17,"@husseinfaisol Sumail should be grateful OG recruited him, or he will be a washed up player."
rvghalif,2020-01-29 11:48:33,@husseinfaisol OG so kind taking Sumail after being dumpstered by EG.
rvghalif,2020-01-28 20:47:10,"@agungsatrioutom Tulisannya sih carry, mbuh kalo tipu2"
rvghalif,2020-01-27 12:28:26,@zahranisa_thifa Iya maap iya:(
rvghalif,2020-01-26 06:48:56,@SaveroDR @zahranisa_thifa Hayu kita gelud aja bertiga
