username,created_at,text
salsabilabia,2020-06-18 10:32:42,@Ajengwdy @inindahlestari @merapi_news https://t.co/kCUqn8F3HX
salsabilabia,2020-06-18 10:30:50,@inindahlestari @merapi_news @Ajengwdy Jgn sampe kita balik trs ajeng kesurupan ya
salsabilabia,2020-06-18 10:26:30,@Kntongsemar Tjakepppp
salsabilabia,2020-06-18 09:41:16,@merapi_news Wkwkwk @Ajengwdy @inindahlestari
salsabilabia,2020-06-18 07:27:08,@qnafess Menghafal al-qur’an dungs
salsabilabia,2020-06-18 07:03:22,@jayakabajay Nadddd @nadyaaahs
salsabilabia,2020-06-18 06:26:14,@clarisamarsely @DayangFeniR Bohhhh bm oi wkwk
salsabilabia,2020-06-18 04:43:31,@DayangFeniR Alesan 😠
salsabilabia,2020-06-17 18:43:55,@diaugust8 when an enfp gets mad https://t.co/jjQk0K8mY1
salsabilabia,2020-06-17 17:07:50,@ngemtot temen aku pernah tapi lupa siapa wkwk
salsabilabia,2020-06-17 16:22:09,"Whatever I’m doing 5 years from now, I just hope I’m happy."
salsabilabia,2020-06-17 16:14:59,@diaugust8 https://t.co/bHYXimirHY
salsabilabia,2020-06-17 15:09:33,@diaugust8 Hawo my dear ENFP-mate 👋🏻
salsabilabia,2020-06-17 14:16:17,@faridferre WKWKWKWKWKK
salsabilabia,2020-06-17 08:37:50,@GitaaSS tidak bisa karena ini putussibau 🤗
salsabilabia,2020-06-17 08:32:51,"@latifawp Iya aslik, makin kesini makin cringe bgt 🥵"
salsabilabia,2020-06-17 08:29:00,@genosmad https://t.co/hGQw4mZgEO
salsabilabia,2020-06-17 08:25:46,@miund Nih mom @yemimamim
salsabilabia,2020-06-17 08:23:39,Gils seharian ga ada sinyal 😶
salsabilabia,2020-06-16 14:23:41,@MBHeryasa Aw keren abiezzz
salsabilabia,2020-06-16 14:22:37,"@19__76 Kalo tante suc alergi bulu kucing, reaksimu pasti begini kan 😌 @inindahlestari"
salsabilabia,2020-06-16 14:18:26,@jiemiardian 🤔
salsabilabia,2020-06-16 14:07:30,@GitaaSS Cpt upload jg chat punya lu wkwk
salsabilabia,2020-06-16 14:06:55,@Sambatan_Hatimu https://t.co/G0TssLJSjp
salsabilabia,2020-06-16 12:12:44,@axxipa Kamis 🌪
salsabilabia,2020-06-16 11:19:24,@piyeejal @Ajengwdy maka ikhlaskanlah
salsabilabia,2020-06-16 11:16:15,@piyeejal gapapa mas selama tidak spesifik wkwk
salsabilabia,2020-06-16 11:15:40,open pinterest and post the first 4 pics that come up https://t.co/POIljeX8nU https://t.co/wXuOM4jVwP
salsabilabia,2020-06-16 08:29:08,@pipinpinastikaa Asli wkwkwk
salsabilabia,2020-06-16 06:46:42,@Cak_IAS https://t.co/nxhY9pZukJ
salsabilabia,2020-06-16 06:37:40,@qnafess Aku liat mata tapi gatau pocica apa bukan
salsabilabia,2020-06-16 06:33:29,@Cak_IAS @SIntan_ @latifawp @Ajengwdy Yaelah kan diprotect yas wkwk
salsabilabia,2020-06-16 06:23:21,miki ikhliskinlih https://t.co/DaWtJI0ap7
salsabilabia,2020-06-16 01:57:57,@latifawp @RecehEverywhere Gumush 😍😍😍
salsabilabia,2020-06-16 01:14:26,"Search your name + fantasy gown, crown and weapon. https://t.co/J7uboLAe9I https://t.co/PeQBBbIPBl"
salsabilabia,2020-06-15 17:32:35,@diillla__ https://t.co/OB68wJ9RpB
salsabilabia,2020-06-15 17:25:49,Kangen main path gaksi 🥺💔
salsabilabia,2020-06-15 17:16:32,@inindahlestari https://t.co/Xa4SlQSOsH
salsabilabia,2020-06-15 17:13:31,@inindahlestari Tidur besok progress test + crss 😠
salsabilabia,2020-06-15 16:49:50,@9GAG Cakep benerrrr
salsabilabia,2020-06-15 12:16:22,@NiecoScream wtf 🤧
salsabilabia,2020-06-15 12:14:56,@latifawp @wattpadmenfess https://t.co/MU2uoTCNAq
salsabilabia,2020-06-15 12:13:22,https://t.co/sdHVrf4t7s https://t.co/M3gKuF419I
salsabilabia,2020-06-15 12:09:25,"@wattpadmenfess Aku gataw knp isi timeline aku aneh-aneh bgt, tp kamu hrs liat ini 🤒 @latifawp"
salsabilabia,2020-06-15 12:04:06,@mcflurryoweoo Aku jg sukak itu ena bingbing🤤
salsabilabia,2020-06-15 05:35:04,@FOODFESS2 Lopes
salsabilabia,2020-06-14 18:05:41,@clarisamarsely Knp lu
salsabilabia,2020-06-14 18:01:52,@GitaaSS Malang : miss u too git
salsabilabia,2020-06-14 16:31:38,@jauyarfiari takut bgt 🥺
salsabilabia,2020-06-14 14:43:10,@DayangFeniR https://t.co/xDyIfGBa2a
salsabilabia,2020-06-14 14:27:41,@GitaaSS Ntn gak 😡
salsabilabia,2020-06-14 14:25:59,Cpt ntn guys 😡 https://t.co/76FNT7mm9i
salsabilabia,2020-06-14 10:49:03,@GitaaSS Shopee to the rescue
salsabilabia,2020-06-14 10:48:25,@Sambatan_Hatimu Wkwkw aslikkk
salsabilabia,2020-06-14 08:33:33,@latifawp @mukbaang Keyabauuu
salsabilabia,2020-06-14 06:21:07,@scale_banana Aku takut dia kecipratan minyak 😥
salsabilabia,2020-06-14 05:00:19,"@GitaaSS Iya phm kok, makanya kek apaansi 🤷🏻‍♀️"
salsabilabia,2020-06-14 04:59:04,@GitaaSS Wkwkw story selingkuhan 🤣 apasi
salsabilabia,2020-06-14 01:31:37,@ohmybeautybank Behel
salsabilabia,2020-06-14 01:08:59,"@diaugust8 Oh, that’s genetic 🥺👉🏻👈🏻"
salsabilabia,2020-06-13 16:48:14,why my heart is so fragile like why the hell i even cryin. damn u my soft heart 🥺
salsabilabia,2020-06-13 16:23:52,@Sambatan_Hatimu boleh tp tanggungin dosanya ya
salsabilabia,2020-06-13 16:22:58,"@rifanaaaaa pasti viral kalo covernya pipin, click bait"
salsabilabia,2020-06-13 16:18:31,Post a selfie + meme that matches your personality https://t.co/PvHG4NnBKD https://t.co/yaijUxFVQg
salsabilabia,2020-06-13 12:07:27,@irmmaaaaa Gpp sabar ya
salsabilabia,2020-06-13 10:57:08,@majelismeyong Kagetin aku juga dong meonggg 🥺❤️
salsabilabia,2020-06-13 10:45:52,"@hambesss Wah makasi, jadi penasaran jg ama yg charcoal 🥺"
salsabilabia,2020-06-13 10:44:47,@latifawp @ditelanjangi aku gatau yg aneh2 pasti muncul di tl aku 😭😭😭😭
salsabilabia,2020-06-13 10:44:23,@irmmaaaaa JRX dong wkwk
salsabilabia,2020-06-13 10:44:07,@latifawp Wkwkw jangan 🤣 itu biar yg tau tau aja
salsabilabia,2020-06-13 07:52:56,@diillla__ https://t.co/sjo8B2Pjmz
salsabilabia,2020-06-13 07:50:07,@diillla__ @SIntan_ Emang pak ganjar ni softboi deh wkkw
salsabilabia,2020-06-13 07:45:24,"@luluhusnaa Mulai sensitif sama bau yg sblmnya oke aja, tanda-tanda hamidun nih kak luq 🥰"
salsabilabia,2020-06-13 07:43:36,Pengen update podcast. Enaknya ngomongin apa ya? 🤔
salsabilabia,2020-06-13 07:42:40,"@hambesss Ganti yg apa mam? Bisa nih rekomendasiin ke aku kalo enak. Sikat gigi yg oke yg penting bulu sikatnya halus &amp; kepala sikatnya pas, ga kegedean/kekecilan tu dah jos😁👍🏻"
salsabilabia,2020-06-13 07:39:12,@SIntan_ Semoga rakyatnya yg satu ini bisa kek gubernurnya ya 🤗❤️
salsabilabia,2020-06-13 07:38:30,@9GAG Hawo guguk gemuy
salsabilabia,2020-06-13 07:36:51,"@hambesss Sama-sama mam, semoga corona bisa cpt kelar &amp; kita bisa kontrol gigi lagi huhu 🥺"
salsabilabia,2020-06-13 07:26:18,@PetitYunseong_ takuddd
salsabilabia,2020-06-13 07:25:10,Uwu gemay bgt pak ganjar &amp; istrinya https://t.co/yNVFsL8G0m
salsabilabia,2020-06-13 07:23:31,@Sambatan_Hatimu WKWKWK IYA KZL 😂
salsabilabia,2020-06-13 07:23:12,@ditelanjangi Aku gak tau harus bilang apa saking speechless
salsabilabia,2020-06-13 07:21:04,@GitaaSS Hmmm
salsabilabia,2020-06-13 07:06:08,"Geblek bgt aku baru sadar https://t.co/r2TIPww5YJ connect ke twitter, mana sadarnya setelah 9 jam &amp; pertanyaanya aneh-aneh huhu 🥺👉🏻👈🏻"
salsabilabia,2020-06-13 06:58:45,"@hambesss Terus kumur pake mouthwashnya 30 detik sampe 1 menit aja &amp; jangan keseringan jg, krn kalo keseringan kasian flora normal a.k.a bakteri baik di rongga mulutnya 🥺"
salsabilabia,2020-06-13 06:56:50,"@hambesss Yang pasti kalo abis sikat gigi tetap harus kumur pake air dulu, ga langsung abis sikat gigi trs bilasnya pake mouthwash. Kalo sikat giginya berflouride, abis kumur tunggu dulu bentar baru deh pake mouthwash biar flouridenya gak ikut kebilassss."
salsabilabia,2020-06-13 06:53:45,"@hambesss Jadi ada banyak teori tentang teknik penggunaan mouthwash. Ada jurnal yg bilang sebelum atau sesudah sikat gigi gak masalah, ada jg yg menyarankan setelah sikat gigi aja."
salsabilabia,2020-06-13 06:40:16,"@GitaaSS Jadi kalo aku sih tetap berkumur aja, tapi jgn keras-keras dan ga lebih dari 2x krn pasta gigi di indo rata-rata masih berdetergen jd buat bilas detergen. Trs sikat giginya minimal 2 menit biar flouridenya nempel di gigi 😉👍🏻"
salsabilabia,2020-06-13 06:37:23,"@GitaaSS Sebenernya emg ada jurnal yg bilang kalo setelah sikat gigi jgn kumur, krn efektifitas kerja flour jadi lebih oke. Tapi masih dipertanyakan sih, kalo misal ga kumur gmn sisa2 makanan abis sikat gigi bisa ilang?"
salsabilabia,2020-06-12 16:45:58,@latifawp pukpuk
salsabilabia,2020-06-12 13:57:34,@awallingga2 Tanya terus sampe diblock wkwkw
salsabilabia,2020-06-12 11:12:36,@latifawp Cihuy
salsabilabia,2020-06-12 10:11:40,@aMrazing https://t.co/5nnLVvxNh0
salsabilabia,2020-06-12 08:54:05,@hambesss Review mam
salsabilabia,2020-06-12 08:39:21,@Adriandhy Udah another level ini mah 🥺👉🏻👈🏻
salsabilabia,2020-06-12 08:31:07,@drugsanny Aww kyottt
salsabilabia,2020-06-12 08:30:28,@latifawp @inindahlestari @Ajengwdy Mendaki gunung lewati lembah dulu
salsabilabia,2020-06-12 05:24:10,@achmadrezifahle @hambesss @aintboyf Ntar kuliat kalian transparan
salsabilabia,2020-06-11 20:07:33,@aintboyf Serem bgt kek ga punya darah
