username,created_at,text
sartikadesi212,2020-06-17 00:56:03,@riridls @leviana_fitri Bahkan buat nginget2 soal saja aku ta sanggup 🙃
sartikadesi212,2020-06-16 03:46:13,@luftipujiks @novialintang @ishouldhideaway @KuntoAjiW @leviana_fitri @jonahgabriel_ @riridls @ItsAndiRachman @notnecy Ada aroma2 rumput gitu ya
sartikadesi212,2020-06-13 13:28:35,@iimfahima Apa kabar ponakan gw yg dari baru bisa jalan udah dicekokin mie instan sama emaknye 🙄
sartikadesi212,2020-06-10 02:53:23,Kuis TABK bikin panik panik panik
sartikadesi212,2020-06-09 06:45:02,"@riridls Iyalah, kamu aja yg enggak"
sartikadesi212,2020-06-09 06:44:41,@Rendra_ansya Aku yg nyatet pertemuan 1-7 aja ambyar bang 🙃
sartikadesi212,2020-06-09 05:57:23,Abis mara mara terus nyesel. Suhu udara 38° C di Grobogan emang bikin cepet emosi kayanya
sartikadesi212,2020-06-09 05:47:42,Rusak moodku
sartikadesi212,2020-06-09 04:32:25,@riridls Parah banget lu ri
sartikadesi212,2020-06-09 02:58:30,"Ternyata kalo diliat2 catatan aksk ku banyak juga lho, tapi kenapa kaya ga ada yang nyantol di otak"
sartikadesi212,2020-06-08 16:53:12,"Ealah, nguawur rek"
sartikadesi212,2020-06-08 04:47:14,@notnecy Menu maksi kalo udah mentok gak ada ide makan apa 😭
sartikadesi212,2020-06-08 04:45:44,@maliasaa Ya kan mels 😭
sartikadesi212,2020-06-08 00:17:08,@notnecy Ayam kotor gulung tikar? Yaampun 😭
sartikadesi212,2020-06-07 16:18:28,"Kebiasaan kalo baca chat, balasnya lgsg dalam hati. Wkwk suka lupa buat ngetiknya gitu, tiba2 udah 2 hari baru keingetan kalo blm bales."
sartikadesi212,2020-06-07 16:09:57,Kayaknya uts harus dikorbankan dulu buat ngejar ktta
sartikadesi212,2020-06-04 17:11:36,"Hampir 3 tahun, belum cukupkah untuk berdamai dan memaafkan diri sendiri? https://t.co/k51icVlOBr"
sartikadesi212,2020-06-04 12:11:50,"Hari ini hari ulang tahunmu, Mas. Semoga kamu selalu dalam lindunganNya. Aamiin https://t.co/RP0VsmfKnV"
sartikadesi212,2020-06-04 11:52:58,Pengen bikin twitter please do your magic :(
sartikadesi212,2020-06-04 05:55:29,@riridls Jangan lupa isi SAK
sartikadesi212,2020-06-04 05:55:06,"Setelah 2 minggu libur lebaran, hari ini kuliah 9 sks be like : Fokus 3 sks pertama 3 sks kedua via gmeet, nyimak sambil rebahan dan merem2 dikit alias tertidur. Terus 3 sks terakhir nanti entahlah~"
sartikadesi212,2020-06-01 06:48:09,"Bener2 kaga ada akhlak ponakan gw satu itu. Bisa2nya abis beresin mainan dia ngompol di ruang tamu. Emang tiap tidur malem masih pake diapers sih kalo engga ya ngompol pasti, tidur siang di sofa aje bisa ngompol. Masalahnya udah 6th lebih umurnya 🤦"
sartikadesi212,2020-05-31 12:57:45,@ijupjupjup Ingin ku retweet berjuta2 kali 🙃
sartikadesi212,2020-05-27 02:32:17,"Udahlah bodoamat, dah capek"
sartikadesi212,2020-05-23 17:02:08,@notnecy @gerinpanji Kurang panjang gak tuh intronya?
sartikadesi212,2020-05-23 17:01:46,@ItsAndiRachman @gerinpanji Dalem
sartikadesi212,2020-05-23 14:38:20,"@gerinpanji Malam takbiran anak lanang rewel dri sore smpe malem gegara tumbuh gigi, gendong kesana kemari jungkat jungkit pencilakan, hmpir nyerah akhirnya tak pangku di teras smbil dengerin takbiran dri masjid eh ternyata anak orang. Mohon maaf lahir batin bang"
sartikadesi212,2020-05-23 12:15:43,@riridls Kayaknya gitu sih ri 🙃
sartikadesi212,2020-05-23 08:22:40,"Kalo sampe nih masakanku gagal, udahlah kelar. Bisa dibully abis2an. Dah ga ada wibawanya jadi anak cewek sendiri, berasa paling kaga bisa masak"
sartikadesi212,2020-05-23 08:20:07,"Bisa dibilang akutuh paling cocok dan akrab sama abang no 2, tapi perkara urusan masak memasak udah bisa bikin rumah kaya lagi perang. Debat tiada akhir"
sartikadesi212,2020-05-23 05:12:02,Capek banget bikin kue gagal terus
sartikadesi212,2020-05-22 10:07:37,Hah tahun ini gw 26th dong 😅
sartikadesi212,2020-05-22 00:00:30,@Adiitoo Bagaimana tanggapan anda? @riridls
sartikadesi212,2020-05-20 06:29:17,"92/65, tapi aku tidak merasa apa2. Cuma ga bisa mikir aja 🙃"
sartikadesi212,2020-05-18 21:25:55,💩💩💩 https://t.co/hY2AEUkDMq
