username,created_at,text
seacrabble,2020-06-12 17:51:32,2 people followed me and one person unfollowed me // automatically checked by https://t.co/r2ZOL5Uc8v
seacrabble,2020-06-11 13:31:40,🤣🤣🤣🤣 https://t.co/DrMJdr8TfD
seacrabble,2020-06-11 07:32:46,@husna_n_a Iya yaaa ngakak bgt aslii
seacrabble,2020-06-11 07:06:39,@husna_n_a WKWKWK YA ALLAH MASA ITUUU 😭😭😭
seacrabble,2020-06-11 01:34:48,"Ngakak bgt yg reply ""air susu dibalas air asia"" 🤣🤣🤣 https://t.co/1S1VOE4vZs"
seacrabble,2020-06-10 13:59:53,@farakhnasida Wkwk sobat angkot nomor 8
seacrabble,2020-06-10 13:58:44,"Ga modal, cuci piring aja make sabunku. Wadah sabunku jg ilang 😡😡 Ee ini jd trauma tau :("
seacrabble,2020-06-10 13:58:43,"Ya Allah serius kagetnya msh kerasa sampe skrg, kek mimpi aja dan ga percaya gt lho ternyata ada org kaya gitu 😭😭 Enakan dulu kos ini isinya mahasiswa semua, dasar suami istri kebanyakan drama!!! Left aja kalian penghuni lain jg gasuka sama kalian kok termasuk pemiliknya!"
seacrabble,2020-06-10 13:58:43,"Untung mbankingku ada saldonya. Coba kalo g ada, 01.30 harus keluar ke atm dong, mana indomaret kan udh ga 24h semenjak corona :( Ga ngerti tu suami istri sama2 kerasnya. No wa istrinya aku block. Gamau berurusan sama org kek gt 😭😭😭"
seacrabble,2020-06-10 13:58:42,"BISA GA SI WOY SANTAI, GA ADA AKHLAK BGT TENGAH MALEM GEDOR2 TERIAK2. KAN BISA BAIK2 TOH AKU JG GA SUSAH DIBANGUNIN YA!!!! Pusing tau dibangunin dgn cara kaya gitu 😭😭😭 bener keterlaluan bgt asliiii gilaa sakit hati bgt 😭😭"
seacrabble,2020-06-10 13:58:41,"Pas dinihari 01.30, listrik mati karna pulsa habis, dan si tetangga (suaminya) tiba2 gedor2 kamar w kenceng bgt sambil bilang, ""...jatahe ngisi lho ya, tat tit tat tit wae ngganggu wong turu!!"" SUMPAH KAGET BGT, KAGETNYA MSH KERASA SAMPE SKRG 😭😭😭😭"
seacrabble,2020-06-10 13:58:41,Jadi tuh ya token listrik ku kan barengan sama kamar sebelah yg suami istri (fyi kosanku kayak kontrakan gt bentuknya/kos keluarga) Trs hari ini jatahku ngisi. Tp aku ga sadar kalo semalem udah bunyi tat tit tat tit.
seacrabble,2020-06-10 08:13:10,@_groooot_ Iy tito namanya wkwkwkwk kelupa sensor
seacrabble,2020-06-10 08:12:50,"@farakhnasida Wkwkw bolehhh, betapa sadisnya temen2ku dulu yah dasar anak2 SMP 😭😭😭"
seacrabble,2020-06-10 07:05:05,@dhilavita @rezavahle_ Hadeeeh ngeri euy kalo kinap sudah jadi naga wkwk
seacrabble,2020-06-10 07:03:35,"@rezavahle_ Iya ja wkwk, aku pernah dan sering dimusuhin sekelas karna pelit jawaban kalo ujian wkwkw"
seacrabble,2020-06-10 07:02:48,@batuakikvv Haaa gitu ternyataa 😭😭🤣🤣🤣
seacrabble,2020-06-10 07:02:30,"@dhilavita Wkwkwkwk asliii, kocak aja sampe kepikiran dong dia setelah 10 tahun berlalu loh, SMP kelas 7 kan 2010 wkwk"
seacrabble,2020-06-10 07:01:14,@widigdo97 Hoiyaaa wkwkwk wis rpp lahh 🤣🤣🤣
seacrabble,2020-06-10 05:56:36,"Jadi ceritanya dulu kelas 7 SMP pas break ishoma mau lanjut tambahan kelas bahasa inggrisnya Pak Awan, hp ku tiba2 hilang. Ketemunya di tempat sampah, kerendem air hujan pula. Semua panik nyari, sampe jam tambahan pun habis, guru BK dateng 😂😂 ada ada aja ya https://t.co/ST03j7k3ld"
seacrabble,2020-06-10 05:54:29,Hiburan siang ini 😅😅😅😅 https://t.co/TSWzo9ocLO
seacrabble,2020-06-10 05:50:04,@_groooot_ Ijalku
seacrabble,2020-06-10 03:38:14,@collegemenfess @mathiinulhakim
seacrabble,2020-06-09 03:43:45,@yourmiciin Makasih ayo semangat 😘😘
seacrabble,2020-06-09 03:42:49,@AnnisaHatta Udah abis nasi padangnya 😘😘😘
seacrabble,2020-06-08 23:55:17,@dhilavita 😘😘😘
