username,created_at,text
sobatqasurr,2020-06-12 13:03:08,mo jdi kecap botol aj :(
sobatqasurr,2020-06-12 12:36:02,@bintangemon sibuk ye bnyk endorsan
sobatqasurr,2020-06-12 12:35:39,omdo bgt si mbanya gemey (:
sobatqasurr,2020-06-11 17:44:09,@pagodil @ditaizaty kumpulin duit dlu kuy ahahah
sobatqasurr,2020-06-11 14:47:20,@jritrbl @subtanyarl temen gw org garut kek demit
sobatqasurr,2020-06-11 14:45:22,@ditaizaty @pagodil corona kelar lgsg cusss😌
sobatqasurr,2020-06-11 11:15:41,"@pagodil @ditaizaty testimoni yg jujur dil :"") serius nih. yok ke korea ah🛫"
sobatqasurr,2020-06-11 08:46:08,"@ditaizaty @pagodil gataoo ah bingung mo ngakak aja😭😭 tp dila bener kok, aku kan emg serius orgnya 😌😌"
sobatqasurr,2020-06-10 16:33:31,@pagodil iya geeemm.. polos amat si lu😭😭
sobatqasurr,2020-06-10 16:04:08,@pagodil beneraann ini udh di namsan 😭😭😭😭😭 https://t.co/rJTh8dXhaa
sobatqasurr,2020-06-10 10:20:52,otw seoul🛫
sobatqasurr,2020-06-10 10:20:21,baru tau di hawaii ada bajaj https://t.co/O5mlbOu4LS
sobatqasurr,2020-06-09 05:54:05,"selama dines, kenal sm dokter koas/iship, yg terbaek cuma dari ui. aslii merendaah bangettt monangiss😭"
sobatqasurr,2020-06-08 10:12:02,@FOOD_FESS cangtip banget😭
sobatqasurr,2020-06-08 07:38:30,ya ampuun. gue oon bgt🤦‍♀️🤦‍♀️🤦‍♀️😭
sobatqasurr,2020-06-07 12:59:07,@raisa6690 repnya gaada akhlak semua jir🤣
sobatqasurr,2020-06-07 12:43:53,adzan adl pengantar tidur paling ampuh!! wkwk
sobatqasurr,2020-06-07 02:25:20,badai pasti berlalu
sobatqasurr,2020-06-06 17:18:32,@dondonny121199 @sygkmxixi @FOODFESS2 ditinggal haji apa gimana si nder😭
sobatqasurr,2020-06-06 15:24:55,"@hobbyrebahan @subtanyarl thnk youu :"")"
sobatqasurr,2020-06-06 15:19:37,@hobbyrebahan @subtanyarl gue barusan bubar nih wkwk
sobatqasurr,2020-06-06 09:51:34,gamesnya kereen💛💛💛 https://t.co/UYabdzXt1M
sobatqasurr,2020-06-06 09:37:57,"apakah kopi adalah jodohku (?) :"""""
sobatqasurr,2020-06-06 09:37:12,"lama ga ngopi sekalinya ngopi ndredeg :"")"
sobatqasurr,2020-06-06 09:34:19,@pondoxcina knp si😭😭 bikin ngakak aj😭
sobatqasurr,2020-06-06 09:29:26,udh dah ini mah
sobatqasurr,2020-06-05 15:22:37,"gimana sih mas rasanya pake masker, tp rambut nutup smpe bawah mata👉👈 #sekala #pandangansekala https://t.co/OEqFuniscl"
sobatqasurr,2020-06-05 14:34:56,"@ditaizaty bisa gtu ya. di gua jg ada lg nih :"""")"
sobatqasurr,2020-06-05 09:00:48,apaan sik mas. gemes amat 😭 #sekala #knightfromciputat https://t.co/BODV3o1W1n
sobatqasurr,2020-06-05 05:37:57,"@ditaizaty udh kena copy right ternyata;"")"
sobatqasurr,2020-06-04 15:18:14,"@ditaizaty kesel ga sih loh😭 gua pdhl kga pernah ngeklik. biar ga nambahin viewers. tp ga ngaruh :"")"
sobatqasurr,2020-06-04 10:52:42,@subtanyarl baru duduk. blm pasang pengaman (blm sadar). langsung turun lg. untung lg sepi alias GABERANI GUA WOYY😭
sobatqasurr,2020-06-04 10:45:50,"Terpantau trending yt indo #1 belum tergeser-,-"
sobatqasurr,2020-06-02 08:00:17,@SJmiracle13 kok mirip appa jay kimbab femeli? apa matak gua aja nih🤦‍♀️
sobatqasurr,2020-06-02 06:26:44,keke bukan boneka terngiang2😭😭😭
sobatqasurr,2020-05-31 11:54:53,@Asknonym ke jogja jgn pas liburan 🙄👉👈 https://t.co/a7gFrEw1LT
sobatqasurr,2020-05-31 11:45:03,"padahal 1 lagi selesai :"")"
sobatqasurr,2020-05-30 21:18:24,"semangat buat yg lg puasa syawal puasanya cuma 6hari, tapi pahalanya seperti 1tahun berpuasa"
sobatqasurr,2020-05-29 10:41:08,@CMudrikah @widiaana @riosptr28 @fanioji kelompok gw cuma nyari piring cakep ampe centong cakep. dah🤣
sobatqasurr,2020-05-29 10:38:42,"sepait2nya pare, lidah gua masih bisa nerima tapiii klo daun paya. angkat kaki dah🏃🏻‍♂️"
sobatqasurr,2020-05-29 09:53:36,@widiaana @CMudrikah @riosptr28 @fanioji gw jg lupa sekelompok sm sp. yg gw inget cuma rempongnya pas dirumah anis wkwk
sobatqasurr,2020-05-28 20:02:03,jam segini kebangun😟
sobatqasurr,2020-05-28 18:47:51,@FOODFESS2 mikirin apasi sendernya😭
sobatqasurr,2020-05-28 13:54:32,"punya rumah dipinggir jalan berasa di goa :"")"
sobatqasurr,2020-05-27 07:40:54,terakhir gua nonton apaan ya😭 baru 4eps dah lupa judul😭😭
sobatqasurr,2020-05-27 07:40:28,lama ga ngedrakor
sobatqasurr,2020-05-27 07:37:28,"kayanya baru kmrn liat video org2 yg backsong nya ""romadhon tiba romadhon tiba romadhon tiba"" cepet banget si😭 #rinduramadhan"
sobatqasurr,2020-05-25 16:34:57,Tak ada doa yg sia-sia
sobatqasurr,2020-05-25 09:59:42,lebaran gaada vibes nya sama sekali
sobatqasurr,2020-05-25 06:53:53,kemarin https://t.co/VyaoVK132t
sobatqasurr,2020-05-24 13:20:49,bacot x laaah. pusung palak
