username,created_at,text
tastyducky,2020-06-17 11:54:46,"@anisa_triianii ya disini kan gaada nis, kirimin dong :("
tastyducky,2020-06-17 11:15:27,yaallah bm bgt fremilt
tastyducky,2020-06-17 01:37:55,@anisa_triianii anjir nis trus ko ga ngerjain?
tastyducky,2020-06-17 00:55:00,🤡 https://t.co/h5ktAZybts
tastyducky,2020-06-16 13:21:16,@boru_lbs thanks sum :')
tastyducky,2020-06-16 10:52:27,@ShopeeID SHOPEE 300K #ShopeeRoadTo300k
tastyducky,2020-06-16 10:23:24,why should i cri over little things :(
tastyducky,2020-06-13 14:36:19,"@sisilism mau ngulik dunia fotografi sm painting, trus rajin nonton konser + explore makanaaaaaaaaan"
tastyducky,2020-06-13 12:05:43,@nikkoilham #shotbyphone_blue https://t.co/Iusq4UFNZR
tastyducky,2020-06-13 03:26:49,"@zarryhendrik cari tau harganya dulu, tp ga beli beli"
tastyducky,2020-06-13 03:25:21,yaallah udah kepo &amp; ga sabar bgt nonton #TheKingEternalMonach karna udah complete TP TUGAS LG BANYAK BGT &amp; DEADLINE 😭😭😭
tastyducky,2020-06-12 14:47:05,will never get bored https://t.co/Do33hVhTRH
tastyducky,2020-06-12 11:23:33,@boru_lbs HAHAHA anak siapa ini sum
tastyducky,2020-06-12 10:22:46,APA APAAN 🤡 https://t.co/nHe0BfgWpL https://t.co/qlBo39tv2H
tastyducky,2020-06-11 17:39:13,spotify art orang-orang pada cakep cakep bgt...
tastyducky,2020-06-11 15:36:00,@sushidal 38
tastyducky,2020-06-10 12:49:46,kayanya semenjak punya kitten beban stres makin gede ya. soalnya dulu sebelum lahir si maknya ini gapernah bermasalah mulus ae idupnya. trus skrg ada aja dah kejadiannya dari 6 sisa 2. trus skrg yg 1 sakit monaaang asli plis sembuh jgn meninggal plis aku sayang bgt 😭 https://t.co/qj7THhtISQ
tastyducky,2020-06-10 07:11:54,sumpah kayanya instagram beneran bisa baca pikiran takut
tastyducky,2020-06-09 17:47:14,"udah dari lama nahan napsu mau nonton tkem, nunggu lengkap &amp; proposal kelar dulu 1. tp explore instagram udah penuh sm lee min ho &amp; kim go eun. apa selain dengerin kita skrg instagram bisa baca pikiran juga?"
tastyducky,2020-06-09 15:07:52,@miftahahah 🙂🤝🙂
tastyducky,2020-06-09 14:24:29,f kuliah online sumpah udah eneg bgtbgtbgt capeee 🤯🤯
tastyducky,2020-06-09 09:40:13,permen kaki skrg kicil bingit dah kaya permen kis
tastyducky,2020-06-08 04:28:16,@trafalfiii valid kok pi wkwkwk
tastyducky,2020-06-07 14:52:38,udah punya list antrian drakor tapi tugas + proposal juga ngantri :')
tastyducky,2020-06-06 12:43:23,@unni_cha 😳♥️😳
tastyducky,2020-06-06 10:25:21,@unni_cha AAAA BEBBB miccu
tastyducky,2020-06-06 10:10:51,anjir dikick beneran sialan wkwk
tastyducky,2020-06-06 10:01:00,@unni_cha makasih udah nemenin aku 😭
tastyducky,2020-06-05 12:29:23,nangis bgt kopi gue tumpaaaah sebotol 😭😭😭🙂
tastyducky,2020-06-05 11:13:49,@miftahahah sediiiiih but thaaanks 😭
tastyducky,2020-06-05 10:54:56,@miftahahah o-ok 🙂
tastyducky,2020-06-05 10:51:57,@miftahahah nonton uju dmn?
tastyducky,2020-06-05 10:51:11,@miftahahah aduh mi do cakep amat 😭
tastyducky,2020-06-05 00:00:37,@miftahahah NANGIIISSSSS 😭 cintakuuu fix aku jadiin my top baby crush #2 ♥️
tastyducky,2020-06-04 01:42:11,@miftahahah silahkan ☕☕☕
tastyducky,2020-06-03 17:29:58,@miftahahah ayo sini aku abis eksperimen bikin kopi
tastyducky,2020-06-02 14:07:40,baru ngerasain keselnya baca ini 🙂🙂💔 ayo bersabar 🙂 https://t.co/yGjmYZy4Ah
tastyducky,2020-05-30 08:02:37,tp tugas numpuk 🙂
tastyducky,2020-05-30 08:02:25,me rn: https://t.co/310K8osSy7
tastyducky,2020-05-29 00:44:50,"@miftahahah ok bos santai, tHANKS for remind me x"
tastyducky,2020-05-28 15:26:36,@mayasukasemua tsel
tastyducky,2020-05-27 15:08:05,@anisa_triianii ga keliatan nis pas lagi ngunyah tbtb kaget nyangkutnya tulang udah bukan daging 😭
tastyducky,2020-05-27 14:34:39,mau diteken takut goyang trus copot atau patah gitu kan ngeri kaga ada gantinya bukan gigi susu mana posisinya samping lagi keliatan dari depan aelah kan ga lucu kalo ompong
tastyducky,2020-05-27 14:33:20,gimana cara balikinnya aduh gaenak bgt jadi aneh posisinya 😭
tastyducky,2020-05-27 14:32:23,gigi gue ampe mundur grgr tulang ayam nyangkut anjir sakit bgt 😭
tastyducky,2020-05-27 12:10:50,"kok bisa-bisanya nontonin anak orang mewek sendiri, sedih sekaligus seneng sekala udah gede udah pinter huhu. berasa ikutin tumbuhnya dia sampe udah umur 4 gini ga berasa. mamancipo, papidido aku sayang sm anakmuuu semoga sekala jadi anak sholeh &amp; baik sayang sm mama &amp; dido ♥️♥️ https://t.co/vozBOJdGsL"
tastyducky,2020-05-21 12:14:36,@curlyyminion i miss the taste of coffee :(
tastyducky,2020-05-21 03:42:25,@trafalfiii hehehehe makasi pi
tastyducky,2020-05-18 13:42:23,@aMrazing anjir ga ngeh
tastyducky,2020-05-17 07:51:31,"im flattered of this music video, u @troyesivan r the best! much loves 🇮🇩 https://t.co/uHlAxxVyiN"
tastyducky,2020-05-15 01:56:37,"gue benci bgt spoiler. minggu kemaren dari twitter, skrg dari ig 🖕🏼 kenapasih orang suka ngeshare spoiler gitu ih kesel 😡"
tastyducky,2020-05-14 12:10:53,@miftahahah ok sip yg penting season 1 endingnya ga gantung
tastyducky,2020-05-14 05:14:56,"@miftahahah kalo udah kelar kabarin ya, mau nonton wkwk"
tastyducky,2020-05-13 12:06:57,@CallHerAbigail gapunya pacar ka ayu 🌝
tastyducky,2020-05-13 10:32:07,@mayasukasemua kfc
tastyducky,2020-05-12 22:42:45,@miftahahah nonton film dimana dah
tastyducky,2020-05-12 16:52:36,@miftahahah u nonton the king ga?
tastyducky,2020-05-11 12:14:49,@mayasukasemua tsel
tastyducky,2020-05-11 06:37:08,ok self-haircut (pt. II) 🙂
tastyducky,2020-05-10 02:17:48,"@miftahahah a world of married couple ip, nonton ga?"
tastyducky,2020-05-09 16:08:30,@sushidal kaga si kayanya
tastyducky,2020-05-09 16:07:43,"cukup ini pertama &amp; terakhir kalinya ya nonton drama on going, kapok asli."
tastyducky,2020-05-09 15:57:39,udah ga ngerti lagi mau marah sama siapa di twotm 🙂🙂🙂
tastyducky,2020-05-09 12:25:43,ya pada dasarnya deadliner gimana juga gitu
tastyducky,2020-05-09 11:24:56,@y0urstrulie gatau kenapa tp perahu kertas 🙂 sama now you see me
tastyducky,2020-05-09 08:24:07,@anisa_triianii udah kelar pi nis?
tastyducky,2020-05-09 07:47:36,hAAAAAA CAPEK
tastyducky,2020-05-09 07:29:33,kenapa butuh berjam-jam sampe aing akhirnya bener-bener mood &amp; fokus nugas??? kan wasting time bgt pgn marah 😡😭😡
tastyducky,2020-05-07 10:15:35,"validdd 😭💯 gue bete bgt liatin ade gue dateng ke dapur cuma buat bilang ""hm hari ini kita buka pake apa ya"" 😡 https://t.co/Z7L67XdVCB"
tastyducky,2020-05-05 14:29:56,bm ayam kfc sama kopi susu janjiw 😭
tastyducky,2020-05-04 10:50:21,@boru_lbs buat orang yg parno gmn? aku kepo tp takut wkwk
tastyducky,2020-05-04 03:54:05,@boru_lbs serem ga sih
tastyducky,2020-04-28 10:56:06,aku https://t.co/4ycFWDmbCv
tastyducky,2020-04-27 12:02:15,@awcebok pake motor aja
tastyducky,2020-04-26 12:13:09,@mayasukasemua toast jiwa 😳
tastyducky,2020-04-26 01:23:49,day 3 tp mendung https://t.co/EtweW9B3QD
tastyducky,2020-04-24 23:08:32,day 2 yg kesiangan https://t.co/yOPPgdapOQ
tastyducky,2020-04-24 23:08:25,day 1 https://t.co/2jQd81KL2B
tastyducky,2020-04-24 23:06:03,"mau rutin liat sunrise selama puasa, berhasil ga ya"
tastyducky,2020-04-24 12:10:11,@anisa_triianii @Wariman_ mau nis pas balik jogja 😳
tastyducky,2020-04-20 10:42:51,@starfess anjir dulu pernah sampe berantem sama ayah 3 harian grgr nontonin cinta cenat cenut tapi digangguin wkwk
tastyducky,2020-04-19 05:17:17,ampe mabok dah lu makan pempek
tastyducky,2020-04-18 06:12:10,@svmmerdose yaaaaz!
tastyducky,2020-04-16 16:14:31,sori ya malem-malem ngomel
tastyducky,2020-04-16 16:14:12,"kebiasaan sendiri di kosan kaga ada yg ngelarang gue mau ngapain aja seharian, ini perkara telat mandi aja bisa dibahas seminggu anjrit 🙂"
tastyducky,2020-04-16 16:11:04,"jauh kangen, deket berantem. hadeh."
tastyducky,2020-04-16 16:08:43,"udah sebulanan self quarantine berasa makin ansos gue, kerjaannya cuma ngeliatin hidup orang di instastory :,)"
tastyducky,2020-04-15 13:36:35,ini gemay bgt 😳 https://t.co/YAHdYKc74P
tastyducky,2020-04-13 15:45:46,the one indomie nyemek i tolerate is my father's made
tastyducky,2020-04-10 15:17:22,ngerjain tugas adeku pdhl tugas sendiri kaga kelar 🙂
tastyducky,2020-04-08 13:45:06,william schofield (1917) ♥️
tastyducky,2020-04-07 14:47:21,@bagibagirejeki navy
tastyducky,2020-04-03 13:35:49,@bagibagirejeki @hypeaffordable jogja #GiveawayADIDAS
tastyducky,2020-04-03 08:42:59,mo mati kalo tbtb ada ujian gini 😭😭😭😭😭😭😭😭😭😭😭
tastyducky,2020-04-03 00:58:16,@bilasaje @cosectaalevegro spill aja bah
tastyducky,2020-04-02 11:21:24,@curlyyminion thankyouuu! ♥️
tastyducky,2020-04-02 10:22:59,@cosectaalevegro yg mana tuh? aku harus nebak sebut nama nih disini? 😏
tastyducky,2020-04-02 10:21:42,@curlyyminion rin pls tell me what song is this??? kepo bgt ga nemu nemu lagunya https://t.co/Nvo2QMjma4
tastyducky,2020-04-02 07:35:31,@cosectaalevegro cieee siapa mantan tu lek???
tastyducky,2020-04-01 14:19:21,@crowdstroia bodoh sih
tastyducky,2020-04-01 13:42:57,@Madariyanhadi @nisrinadhiya mas mada mau tanya itu pake font apa aja?
tastyducky,2020-04-01 11:31:16,pulang pulang dia udah bunting hasil frisek ckck https://t.co/JXLtOY7Q4V
tastyducky,2020-03-30 04:49:35,"wah sakit sih cerita geez &amp; ann, jadi pengen ketemu di bioskop 😳"
tastyducky,2020-03-29 10:43:02,@bayu_joo https://t.co/VE5uyLN0Sy
tastyducky,2020-03-29 10:36:26,@bagibagirejeki #giveawaygopay
tastyducky,2020-03-29 08:31:14,@omdirects_ apaan aja terserah lu
tastyducky,2020-03-29 00:46:53,@trafalfiii validdddd 😭🙂
tastyducky,2020-03-28 14:28:47,@chiskiepup done
tastyducky,2020-03-28 09:18:06,pulang kali ini berasa jadi najis di rumah
tastyducky,2020-03-21 14:00:30,@catsedih ca isiin ovo
tastyducky,2020-03-20 18:58:17,anjir serem bgt https://t.co/gmc4RQB3pm
tastyducky,2020-03-20 18:46:40,"tidak hanya mempraktikkan social distancing dalam dunia nyata, tapi juga dalam dunia maya 🙂👍🏼"
tastyducky,2020-03-19 16:34:15,jujur disini dylan cakepan sih p.s: i still love u cole #1 https://t.co/kzjexd3qMt
tastyducky,2020-03-18 07:21:17,"sumpah nonton voice nguras energi bgt, cape aing. 😧"
tastyducky,2020-03-16 10:38:42,@omdirects_ @travlingID done
tastyducky,2020-03-13 17:53:09,nugas ga nugas tetep aja jadwal tidurnya jam segini gini juga 🙂
tastyducky,2020-03-13 11:08:18,@trafalfiii sipa means papa (?)
tastyducky,2020-03-13 11:06:36,@trafalfiii AAAAA CAKEP BGT SUARANYA MIRIP ASLINYA!!!
tastyducky,2020-03-12 21:49:05,@trafalfiii heh kok tauuu wkwk
tastyducky,2020-03-12 21:48:18,ok mari tidur walau hanya sesaat 🙂
tastyducky,2020-03-12 20:45:29,@cosectaalevegro astagfirullah tidur leeek
tastyducky,2020-03-12 19:58:15,@aMrazing masi nugas koh :')
tastyducky,2020-03-12 19:49:35,cape https://t.co/ZuhFVX2ShQ
tastyducky,2020-03-11 22:08:17,@spesdelune yg penting mah urusan perut kelar dulu kreeen 😭
tastyducky,2020-03-11 22:04:52,@spesdelune ka canti semangat :')
tastyducky,2020-03-11 11:41:11,@miftahahah yok ngungsi yok
tastyducky,2020-03-06 08:43:27,@meidianatahir katanya mau pacaran jgn bete dong ka memei :3
tastyducky,2020-03-05 19:17:30,@miftahahah iya udah kok sampe maraton kencing :)
tastyducky,2020-03-05 17:56:39,"@miftahahah failed. udah pada tutup + ga dapet promo, thanks ip ♥️"
