username,created_at,text
upikmera,2020-06-12 14:50:22,"@dwisarirawr nggggg, pernah seboecin itu aing"
upikmera,2020-06-12 14:42:09,yaAllah punya temen cowok pada baik2 bgtsiiii:(
upikmera,2020-06-12 13:15:18,kenapa yaaa manusia bisa berubah sebegitunya;(
upikmera,2020-06-12 11:23:36,langsung w block sajahhh
upikmera,2020-06-12 11:19:34,"Ada yg telpon namanya Dani, suaranya kaya mas2 jamet. Ngaku2 temen lama, ih serem:( https://t.co/uc7gIfSmGT"
upikmera,2020-06-12 10:29:28,@raisa6690 mba yaya kenapa lawak bangetttt
upikmera,2020-06-12 07:37:34,"alhamdulillah cireng gue makin banyak penggemarnya, makasiiiih orang2 baik&lt;3"
upikmera,2020-06-12 07:03:27,panas banget yaAllah hari ini:(
upikmera,2020-06-11 16:38:58,kangen makan sate padang berdua malem2 jam 11 di percetakan negara
upikmera,2020-06-11 14:47:15,@raisa6690 mba yaya kalo cerita ternyata seru juga
upikmera,2020-06-11 10:32:28,"pengen tidur, tapi udah mau maghrib:("
upikmera,2020-06-11 10:14:16,@holimatuslh gak ada akhlak emang tuh cewek
upikmera,2020-06-11 08:55:43,gilak gak ada otak bgt nih cewek https://t.co/OMl7XsHEXl
upikmera,2020-06-11 08:40:40,pengen kesini dah:( https://t.co/AB0NlAAyHN
upikmera,2020-06-11 06:17:24,salut sama orang2 yg pada punya keinginan pengen cepet nikah
upikmera,2020-06-11 05:53:35,"biasanya ada kerjaan dimana2, sampe ujung Depok aja gue samperin. sekarang gara2 di rumah mulu jadi males pergi2 jauh:( tapi w harus kerja keras, karena rebahan mulu jg pusing:("
upikmera,2020-06-10 17:03:48,heran punya temen gini2 bgt:( https://t.co/s57hk9W1LC
upikmera,2020-06-10 16:35:43,"abis maen badminton 2jam, badan gue langsung pada pegel2:("
upikmera,2020-06-10 16:25:04,valid... https://t.co/5pPdTOq1Uc
upikmera,2020-06-09 15:22:20,kok gue jadi gak berenti2 makan hari ini:(
upikmera,2020-06-09 12:58:22,tahun ini emang diajarin banyak2 sabar banget:)
upikmera,2020-06-09 02:23:50,"jadi kangen naik kereta sebelom ada covid, walaupun desek2an w nikmatin aja😂 trs sambil jajan dumdum,gulu2 ato gak kulo sebelom naik kereta di st tanah abang https://t.co/DLL034JFvl"
upikmera,2020-06-09 02:12:35,"belajar dari yg kemaren, gak akan ngabisin waktu sama orang yg gak punya komitmen bertahun2 selama ngejalanin hubungan"
upikmera,2020-06-08 15:39:15,"@dwisarirawr gue pengennya lari dari kenyataan, gimana dong:("
upikmera,2020-06-08 15:18:30,"akhir2 ini yg lagi sering w pikirin dan bertanya2, heu https://t.co/9RfrlNDBJK"
upikmera,2020-06-08 14:49:16,kapan yaaaa... waktunya dateng https://t.co/ktOuJCoa0w
upikmera,2020-06-08 13:34:27,"tukang bakso jalannya cepet banget, baru buka pintu dah ilang"
upikmera,2020-06-08 13:13:01,"paling seru sih ngumpul sama temen waktu SD, banyak aja gt yg di ceritain sampe gak abis2 obrolannya https://t.co/NlwU41EdZh"
upikmera,2020-06-08 13:09:09,pengen makan tapi kenyang
upikmera,2020-06-08 12:27:32,enak bgt sih org2 punya pasangan yg setia
upikmera,2020-06-07 11:15:30,"jangan pernah berhenti berjuang sama diri sendiri, yok semangat yok pasti bisa"
upikmera,2020-06-07 11:12:06,sakit banget dah punggung kepentok gagang pintu
upikmera,2020-06-07 06:03:39,@thata_maretha pamer
upikmera,2020-06-06 08:50:50,Cabe rawit x Daun kemangi Dibelakang rumah https://t.co/HX8hVLRLWj
upikmera,2020-06-05 09:18:52,"wisuda tahun ini di percepat juga ya, itu wisuda online apa bijimana"
upikmera,2020-06-03 11:42:23,"dari kemaren dengerin lagi Indonesia timur, enak2. sampe netesin air mata, nyentuh bgt di hati lagunya"
upikmera,2020-06-02 14:35:22,"hidup tuh tabur tuai ya, apa yg lu tabur hari ini suatu saat lo tuai. yg dulu sia2in hadir lagi tanpa di harapin, but sorry to say don’t come back anymore"
upikmera,2020-06-02 12:55:23,kili kingin iki bisi ipi:’(
upikmera,2020-05-30 20:10:48,"udah 1 bulan siklus tidur kaya gini terus dah, tidur jam 5 subuh bangun jam 8 pagi. gitu terus:("
upikmera,2020-05-30 07:44:40,"sekarang kalo main gue rapih banget, padahal cuma main dirumah2 aja. Krna udh lama ndak pake yg rapih2"
upikmera,2020-05-29 16:22:11,"setelah 2bulan cuma disimpen aja, karena males pake masker ini itu:( https://t.co/A6kTJE3uhF"
upikmera,2020-05-29 16:01:11,semua bakal ada masanya intinya
upikmera,2020-05-29 15:33:29,konsep km apasi kekeyi? tolong ak gak ngerti😭😭😭 https://t.co/aABOBDFKZI
upikmera,2020-05-29 15:29:38,video klip kekeyi kenapa bikin ngakak banget dah
upikmera,2020-05-29 14:32:37,"emang gue overthinking banget sih, apa karena zodiak gue virgo? hilih"
upikmera,2020-05-29 14:30:17,kayanya gue perlu minum obat cacing nih
upikmera,2020-05-29 14:06:00,terlebih gue kuliah salah jurusan euyyy
upikmera,2020-05-29 14:05:47,"udah mau lulus tiap malem yg dipikirin nanti dapet kerjaan gak ya, pengalaman masih sedikit banget, skill juga😭"
upikmera,2020-05-29 01:30:40,"sama banget, biasanya aing beli ditanah Abang. terus duduk dulu di bangku stasiun https://t.co/KlOMvwusnD"
upikmera,2020-05-29 01:29:20,ini masuk kuliah kapan si
upikmera,2020-05-28 15:53:17,"@dwisarirawr hadeeuuu, yaudah dah beli sendiri aja gue"
upikmera,2020-05-28 15:39:58,"@dwisarirawr Valid cuy, nanti teraktir sampe gue mabok pangsit ya pun"
upikmera,2020-05-28 15:35:07,@dwisarirawr sama jirrr🤣
upikmera,2020-05-28 15:34:15,udah boleh ngadain resepsi pernikahan belom sih sekarang?
upikmera,2020-05-28 14:51:17,jadi gak tau kenapa hari ini tiba2 suara gue abis
upikmera,2020-05-27 19:35:57,peluk diri sendiri *pukpuk
upikmera,2020-05-27 12:45:58,overthinking + musik
upikmera,2020-05-24 13:41:17,mending gue beli skincare atau baju:( https://t.co/kd8MxXibmR
upikmera,2020-05-24 11:37:49,"@intoyibah masih lebaran toy, tahan2"
upikmera,2020-05-24 11:37:18,"lebaran tahun ini cuma rebahan, badan memar semua ketiban lemari:("
upikmera,2020-05-22 08:36:45,"ku menangisss... membayangkan, betapa kejamnya dirimu atas diriku.... https://t.co/wGPVzqWgYH"
upikmera,2020-05-22 06:50:59,"banyak orang yg kasih semangat, tapi kok rasanya masih ada yg kurang ya"
