username,created_at,text
ussiiyy,2020-06-17 11:35:52,@MEyssiii_ @yayankMKY_MUfc Lebi para dia kak Drpd ak ngmgnya hmm
ussiiyy,2020-06-17 11:19:33,Bagian paling menyenagkan https://t.co/Dfm4m9MZfK
ussiiyy,2020-06-17 10:01:54,"@dantipuji Iya Dede , makaroni ngehe yang bbq atau keju aja juga enak, lidi lidian si Umang ada Gak deket rumah ?"
ussiiyy,2020-06-17 09:54:40,@dantipuji Ini d https://t.co/WXl3xefdoB
ussiiyy,2020-06-17 09:10:12,@dantipuji Lidi2an mecin
ussiiyy,2020-06-17 04:29:09,Mana w taw https://t.co/foJLRtgbb0
ussiiyy,2020-06-17 04:06:54,@sedangtiduur Et😒
ussiiyy,2020-06-17 00:21:29,WKAKWKWAKWKWKAKA (2) https://t.co/V1RkyzOAJm
ussiiyy,2020-06-17 00:21:20,WKAKWKWAKWKWKAKA https://t.co/vdZ1wsOJKX
ussiiyy,2020-06-17 00:18:07,@tyaramdhani17 Aowkwowkowkwowko sylan
ussiiyy,2020-06-17 00:17:56,Jarjit https://t.co/7M53QeW9QY
ussiiyy,2020-06-17 00:17:31,Ls u yg bener j ko ky mita d virgin https://t.co/87KVyYVpJq
ussiiyy,2020-06-16 23:06:44,Chu bat dah ada celananya aaak https://t.co/rpx6impjHd
ussiiyy,2020-06-16 23:06:09,LADY GAGA AND BLACKPINK LOVE YOU😭😭😭🤗🤗🤗 https://t.co/szIfAOaN8h
ussiiyy,2020-06-16 23:05:21,"Lady Gaga, BLACKPINK - Sour Candy (Lyric Video) https://t.co/szykC1yVF9 lewat @YouTube KAAAN JENNIE SUARA YANG PERTAMA ALIAS LISA WARNA KUNING WOIII SO DETAAAIL BGTTT"
ussiiyy,2020-06-16 22:54:22,@diiansn Coba u tanya dpt jaringan ga di rumah u biasanya di cek dl pas u email
ussiiyy,2020-06-16 14:57:28,"@diiansn W minta rekomen itu ketemen w yg IT, dia jawab First media .kl indihm banya gannguan🌝"
ussiiyy,2020-06-16 14:40:59,@_geraldgerald_ Sour candy lady gaga x blackpink
ussiiyy,2020-06-16 14:16:31,"Seger bat, kuah nya dari jus buah kweni , ga dosa dah malem2 makan rujak https://t.co/0YIsgSwskz"
ussiiyy,2020-06-16 12:52:26,@MEyssiii_ Makan bubur minum pelan2
ussiiyy,2020-06-16 12:18:32,@MEyssiii_ Kenapa bs
ussiiyy,2020-06-16 11:20:14,@diiansn First media k
ussiiyy,2020-06-16 00:06:09,HAHAHAHAHAHAHA https://t.co/EXSrGtyEcl
ussiiyy,2020-06-16 00:03:48,HAHAHAHAH BENER HOW YOU LIKE THAT
ussiiyy,2020-06-15 03:26:05,@sulis_nr Ap
ussiiyy,2020-06-15 02:10:52,Definisi semakin umur tua semakin terlihat muda https://t.co/GpW8QnZZOw
ussiiyy,2020-06-15 00:02:49,Rose kayak bibilung🥰
ussiiyy,2020-06-14 15:02:00,Ngulang Lg dah Dr SD 🤣🤣🤣 https://t.co/JNthIirnXa
ussiiyy,2020-06-14 14:23:20,Nimbrung bae gw wkwkkwkwkwo
ussiiyy,2020-06-14 14:21:37,170 cm😵 how about you? https://t.co/fZfW7i6tCA https://t.co/u0dKjR4miM
ussiiyy,2020-06-14 13:59:22,Seneng bgt da ada efek mehhh di ig wkwokwowkwowow gsre
ussiiyy,2020-06-14 11:14:05,Shani juga ternyata pernah make kacamata gada kaca nya ya https://t.co/vrLynVla6g
