username,created_at,text
v3isvthree,2020-06-12 13:45:47,"@ocee_me08 Aamiin,iya dek.tmnku nunggu anak sulungnya yg baru 5 bln krj di papua tiba.bsk baru nyampe di palu.almarhum 'pergi', gk nunggu si sulung nyampe 😥.dlm hati gw wkt jenguk, berharap, smg msh bertahan sampe si sulung tiba.Allah berkata lain.😥"
v3isvthree,2020-06-12 13:38:52,"@ocee_me08 Sedih https://t.co/jjOdwBqW5w dia atur semua2nya,yos.dah lemes tp dah siap ma nama2 yg hrs krjain ini itu persiapan pemakaman.sampe2 kita tmn2nya minta dia gk usah pikir itu semua.abis mandi,ngaca,dia sadar n ngomong 'saya dah jd janda'.pd nangis kita 😥"
v3isvthree,2020-06-12 13:35:26,@inisifani Judulnya tenda kardus 🤭
v3isvthree,2020-06-12 13:32:57,"@ocee_me08 Aamiin.sedih yos, setiaa n sayang bgt ma istrinya.gk mau istrinya susah n ngeluh.kdg mobil istrinya,dia isiin bbm-nya,kendati dtg k kntr cmn mo ambil mobil,istri lg sibuk.yg emak2 baper liat sikap almarhum kyk gt.😥"
v3isvthree,2020-06-12 13:16:20,"Siang td jenguk suami tmn kntr yg koma krn stroke, sore dpt berita beliau meninggal.orang yg sangaat2 baik ma keluarga n org lain itupun pergi.😥 takkan prnh lg liat sosoknya dtg k kntr tuk bawain makanan tuk istrinya"
v3isvthree,2020-06-11 07:33:22,"Taxol nya sama ma yg kmrn..HR-V, skrg lagunya Kla Project.kmrn lagunya ABBA.😅"
v3isvthree,2020-06-11 05:05:24,"Setelah rapidtest massal di kantor, dioleh2i 👇. https://t.co/PCYt6IWKy2"
v3isvthree,2020-06-10 15:28:41,"@ocee_me08 Iya, yg pd nonton drakor baper2 di medsos.kl aku nonton pilih yg kyk 👇 aja 😁😍 https://t.co/0bs8e1emaG"
v3isvthree,2020-06-10 15:24:50,"@ocee_me08 Sammaaa 😂 gk minat liat pemainnya, muka kok ya laki ma perempuan mirip 🤭😁"
v3isvthree,2020-06-10 09:09:11,"@dio_broto Hahaha aku naek pajero sport-nya tmn kantor, cmn mo ngajak keliling aja n makan donat jco di mall 😂 itu jg aku palakin 😂"
v3isvthree,2020-06-10 08:50:44,Hari ini nge taxol mobilnya honda HR-V..tumben.biasanya apansa 😅😂
v3isvthree,2020-06-10 01:14:25,Uhhh rangaaaa...penjual karpet cicilan datang baribut
v3isvthree,2020-06-10 00:48:21,@dr_koko28 Assalamualaikum dok 😊
v3isvthree,2020-06-09 13:23:43,Yg inih 😍 https://t.co/Jg3s8f31Xr
v3isvthree,2020-06-09 12:55:04,@budihidayat20 🔪🔪
v3isvthree,2020-06-09 12:50:38,@budihidayat20 Tampol yaaa 😂😂😂 ogah
v3isvthree,2020-06-09 12:46:22,@budihidayat20 😫😫😫😫 lebih jauuh lagiii iniii..sampe pluto sonoo
v3isvthree,2020-06-09 12:44:50,@budihidayat20 Ih merusak aja sih potona tu orang...😖
v3isvthree,2020-06-09 12:43:33,@budihidayat20 Jauuhhh...jauuuh....jauuh 😂
v3isvthree,2020-06-09 12:39:56,Cowok cakep tu begini...bukan yg mukanya samaaaa semua n licin klimis 😍😁🤭 https://t.co/DTg6NtTJ79
v3isvthree,2020-06-09 01:34:53,@angkvgadang Ya harusnya dia maen IG aja tuh 😏 #lanjutjulid
v3isvthree,2020-06-09 01:27:07,"@salima252 Baru ngeh, pilihan ttg dia or mobil.aku sih pilih mobil,dia mah gk cakep 😂 #julidpagi"
v3isvthree,2020-06-09 01:26:00,"@angkvgadang Oh yg ttg poto dia pilih dia ato mobil.ya kalo sy pilih mobil, dia mah jelek.biar kata jg dokter #lagipengenjulidpagi"
v3isvthree,2020-06-09 00:55:58,"Khawatir, masuk bulan Juni dah banyak yg menyelenggarakan pesta pernikahan.hari Minggu diumumkan pasien positif covid 16 orang.OTG sbyk 123 org di karantina di pondok perawatan.pada santai2 saja 😖 akibat New Normal digaungkan dimana2 😧"
v3isvthree,2020-06-08 10:25:11,@Bung_Ipay @HajiUmarChelsea @PKSejahtera Cucunya
v3isvthree,2020-06-08 09:32:30,@ocee_me08 Hooh 😅
v3isvthree,2020-06-08 09:19:40,@PoppyBarawas Serem ih 🤣🤣
v3isvthree,2020-06-08 09:06:57,@PoppyBarawas Jutek ih 😏
v3isvthree,2020-06-08 08:59:31,@ocee_me08 🤣🤣🤣 aku jg kaget dgr kata2nya 😂
v3isvthree,2020-06-08 08:57:19,"@PoppyBarawas Tp kalo mereka gk beresin abis maen, jadi diriku yg ngeberesin.secara pas depan rumah 😫😫"
v3isvthree,2020-06-08 08:48:44,"@PoppyBarawas Kmrn2 hujan deras gk ada yg maen begitu,ealah napa hari ini pd maen bendungan..pantesan ada mobil parkir,bukan mobil warga blok, rupanya dah dihalang bendungan 😂"
v3isvthree,2020-06-08 08:44:07,@ocee_me08 Berantakan bgt depan jalan tu..shock aku 😑😩😂
v3isvthree,2020-06-08 08:43:12,"@PoppyBarawas Shock aku 😅 maen hujannya sih gpp,laahh bikin bendungan itu lhoooo 😂 kata mereka nanti diratakan lagi 😜"
v3isvthree,2020-06-08 08:39:20,"Ampuun..kiddos tetangga, maen hujan sambil ngeruk2 tanah,jd kubangan begitu.kata salah 1-nya, bikin bendungan, spy diliat pak presiden hsl kerja kita 😧😩 https://t.co/vvQrBEbQok"
v3isvthree,2020-06-08 00:11:33,Pagi2 dah ngelawak https://t.co/1q43CMTyj9
v3isvthree,2020-06-07 23:02:20,"@blogdokter Nama IG-nya apa,dok?"
v3isvthree,2020-06-07 16:29:18,Cakep 😁 https://t.co/fUMV12gh16
v3isvthree,2020-06-07 14:49:07,@ismailfahmi Kucingnya..🤭 gagal fokus
v3isvthree,2020-06-07 14:34:22,@angkvgadang @budihidayat20 🤣🤣🤣 takut ah
v3isvthree,2020-06-07 14:31:26,"@angkvgadang @budihidayat20 Kacamata lupa pake, mo sebut harimau eh keketik singa 😂"
v3isvthree,2020-06-07 14:16:36,@angkvgadang @budihidayat20 Eh harimau ding 🤣
v3isvthree,2020-06-07 14:16:19,@angkvgadang @budihidayat20 Sangka singa gk taunya mbekk..gitu ya artinya? 😅
v3isvthree,2020-06-07 13:20:50,Dan kota Palu langsung cussss naik jadi 16 orang positif setelah seminggu 0!
v3isvthree,2020-06-07 09:58:11,"@TututSoeharto49 Jadiin buku dong bu, cerita2 ttg bapak yg blm pernah kami dengar 😊"
v3isvthree,2020-06-07 04:41:34,@dokyong_ Owh.🤭😊
v3isvthree,2020-06-07 04:39:46,@tikusmerah1 @akticis Anak papah mamahnya 😂
v3isvthree,2020-06-07 04:34:05,@dokyong_ Dimana tuh dok? Kayak daerah transmigrasi gitu? 🤭😁
v3isvthree,2020-06-07 04:22:40,"Baru perhatiin, rumah yg lama,hampir di semua pertemuan dinding ma lantai ada celah dikit, ada rongga, krn gempa hebat.lantai jg terasa seperti melengkung.downlift 😔"
v3isvthree,2020-06-06 12:18:30,@ocee_me08 Toss 🤣
v3isvthree,2020-06-06 12:16:31,"@ocee_me08 Gpp, tuk dongo2in cebong 🤣"
v3isvthree,2020-06-06 12:13:18,@ocee_me08 🤣🤣🤣
v3isvthree,2020-06-06 12:08:51,@ocee_me08 Sangatt 🤣
v3isvthree,2020-06-06 12:06:52,"@ocee_me08 Poin kedua dr bawah itu real-nya kamu, yos 😜😅"
v3isvthree,2020-06-06 07:32:32,"@hasmi_bakhtiar Bikin buku, bang 😁"
v3isvthree,2020-06-05 13:47:24,@nemubuku Nda bs lagi nantinya mandi2 di laut n liat2 pemandangan indah teluk Palu 😔
v3isvthree,2020-06-05 09:22:21,"@w_runturambi Duh sambal ikan roa nya tuh mengundang lapar, om 🤤🤤"
v3isvthree,2020-06-05 05:24:11,"Sarapan susu ma roti bakar, abis itu makan bubur manado.masih berasa kenyang, dah diundang lg makan kapurung.semua menu berair 🤤 pencernaan lancar jaya 😜"
v3isvthree,2020-06-05 01:31:42,"Hari Jumat, hari penuh berkah, dimulai dengan vidcon 🤭 https://t.co/cMrIXKlHOr"
v3isvthree,2020-06-04 16:17:59,@DukeCondet Alhamdulillah kalo dah pd sembuh 🙏
v3isvthree,2020-06-04 16:06:33,@DukeCondet Innalillahi..smg mrk jg sembuh.goblok aja yg blg tu virus gk mematikan 😫
v3isvthree,2020-06-04 15:59:53,@DukeCondet Si beliau itu dirawat juga gak?
v3isvthree,2020-06-04 06:19:10,"Pusing liat ni anak, plg kerja, protap kebersihannya sampe 2 jam lebih, bersih2 ma air,sabun, dan desinfektan 😫😑 bolak balik keluar masuk rumah, basah lantai 👿"
v3isvthree,2020-06-04 04:33:27,@budihidayat20 Durhaka lo 🤣🤣
v3isvthree,2020-06-04 04:17:44,@budihidayat20 Mana panas pula...hancur perawatan bikin syantik wajah
v3isvthree,2020-06-04 04:16:05,@budihidayat20 @alexander_murfi Butuh tenaga lebih tuk dapat feelnya 😂
v3isvthree,2020-06-03 10:51:19,"@MiniGoldID Kalo 0,1 gr, harganya brp,min?"
v3isvthree,2020-06-03 07:48:30,"@haikal_hassan Pasti nangis, beh 😔"
v3isvthree,2020-06-03 07:47:20,@ictaluri Lebih berapa? 😁😜
v3isvthree,2020-06-03 05:02:20,"Alhamdulillah, tapi tetap waspada n harus selalu patuh himbaun pencegahan penularan virus. Yg skrg bikin kaget2 tu dah 2x berasa gempa skala kecil.smg semua baik2 saja.aamiin 🙏🙏😌😇 https://t.co/hyU9d9ztkb"
v3isvthree,2020-06-03 03:52:26,"@apathoni 200.000, dua 😁"
v3isvthree,2020-06-03 01:40:54,"Tiba2 disuruh join vidcon bimtek...blom mandiiii coyyyy 😂 pake jilbab, lipstick warna favorit, siapkan cemilan dan minumannya 😅 maap bos, jam mandi ku siangan seh 😝"
v3isvthree,2020-06-02 14:47:09,Kayak ada getaran lewat sekilas..langsung dag dig dug...😫
v3isvthree,2020-06-02 13:41:03,@Owi_Owl Sikat owi
v3isvthree,2020-06-02 13:16:38,"Dan jalan panjang yg membelah bukit2 disana, dah jadi tempat poto2.keramaian dah pindah jauh dari pantai 🙃"
v3isvthree,2020-06-02 10:13:33,@ini_nano Minta dibage 😑
