username,created_at,text
virraaa_,2020-06-16 14:35:59,@dapaaah Kiro2 intinyo tu nambah kapasitas jalan tu opsi terakhir betul tidak??
virraaa_,2020-06-16 14:28:53,"Dulu pas belajar mk traffic engineering kayaknya diajarin kalo ada kemacetan buat ngatasinnya mesti diatur dulu volume lalu lintas kendaraannya, setelah itu baru perlebar jalannya. Bener gak sih? Apa gue yang halu pakpolnya bener??? https://t.co/iR8pcQWSMH"
virraaa_,2020-06-16 12:32:09,"I just published ""Lorong waktu” https://t.co/bQzGWS8ooS"
virraaa_,2020-06-15 11:44:27,@_natashaanuar Dalam kasus takde boyfriend kire2 ape yang bagi stress?🤔
virraaa_,2020-06-15 06:34:21,@DewiTriantini @GOODlDEAA Wkwkwkkwk omg I miss this game!!
virraaa_,2020-06-13 22:03:43,@Winda000 @Laras_ap Wkwkwk tuh kan bukan cuma aku bae
virraaa_,2020-06-13 13:34:01,Baru sadar malam ini aku lupa bentuk jangkrik ternyata
virraaa_,2020-06-13 13:06:24,"@ntsana_ mau sebaik apa kalo gak bisa, ya, udah, gak bisa aja gitu"
virraaa_,2020-06-13 09:09:57,@poemsposts Not as easy as it sounds
virraaa_,2020-06-13 08:55:13,"Sekilas liat fuyunghai bikinnya kayaknya gampang, pas nyoba masak jatohnya masih omelet juga. Untung ketolong sama saos🙄"
virraaa_,2020-06-13 06:51:28,@ArnoldPoernomo Shrek harganya nunjukin biar kita ngerti kalo lagi pamer.
virraaa_,2020-06-13 06:49:53,@atikahprnd Makanyaaa doi yang kirim wa kaga pake mikir gue yang pusing ngejelasin ke emak😡😡
virraaa_,2020-06-13 06:44:12,@atikahprnd Boleh gak orang2 kayak gitu jadi pohon pisang aja...
virraaa_,2020-06-13 06:43:13,@atikahprnd Terus ini hukumnya gue penadah meme curian dong???
virraaa_,2020-06-13 06:21:41,@atikahprnd Izin nyuri meme
virraaa_,2020-06-13 06:19:13,@atikahprnd @hehehemels Wkwkwk bener2 dah bikin contekan aja mager2an😂
virraaa_,2020-06-13 06:18:40,My heart breaks for the bereaved family☹😢💔 https://t.co/sJExQaSkBj
virraaa_,2020-06-12 13:45:52,@Ranelsism Semangat ranel!
virraaa_,2020-06-12 01:32:19,"@atikahprnd @TriandiMelsa Semester awal nyatet di binder dipisah2in tiap mk pake pembatas, makin ke atas bawa notebook kecil yang isinya campur aduk semua mk🤣 untungnya kita punya teman2 rajin dan baik yang bisa dipinjemin catetan pas mau ujian"
virraaa_,2020-06-11 23:44:28,@atikahprnd Wkwkwkk padahal jarang nyatet statika mekban gara2 banyakan cabut....
virraaa_,2020-06-11 14:16:33,@nurcahyaulia_ Hmm apa yaa? Biasanya kalo lagi males saya banyak mikir negatif kayak siap2 gagal gitu sampe akhirnya ngerasa gak nyaman dan gerak sendiri😂 Jangan ditiru. Sarannya kurang sehat.
virraaa_,2020-06-11 13:55:52,"@nurcahyaulia_ Same here :"")"
virraaa_,2020-06-11 13:54:50,"May be you need to forgive yourself a little more, enough to give yourself free space to breathe.. It's already hard as it is. You don't have to make it harder for yourself."
virraaa_,2020-06-11 12:50:50,"@Winda000 Halaman rumah kau mah dak perlu disapu, pagi disapu sore kotor lagi🤣 wong pohon galo🤣"
virraaa_,2020-06-11 12:44:56,@Winda000 Itumah ujung2nya aku melipir ke rumah kamu doang...
virraaa_,2020-06-11 12:44:10,@aldikafr Mudah bersilat lidah dick🙄🙃
virraaa_,2020-06-11 12:42:08,"Pengen ke swiss, gak ada yang mau ngajakin apa?"
virraaa_,2020-06-11 11:51:30,"@bayuaditt Kayak kau yo bay, kalo hilang kontrol bawaannyo pengen tawuran🙃"
virraaa_,2020-06-11 11:33:06,@atikahprnd Setengah box gue doang😭😭😭
virraaa_,2020-06-11 11:32:52,@bayuaditt Yang jelas gak tak suruh sebutin hukum Archimedes beserta contoh aplikasinya.
virraaa_,2020-06-11 11:31:41,@atikahprnd 2in😭😭
virraaa_,2020-06-11 11:31:23,@atikahprnd Hhhh.... yaudahlah toh ujung2nya juga gue cuma bisa ngejulitin di twitter🙃
virraaa_,2020-06-11 11:28:26,"Hari ini aku hilang kontrol. Iseng banget tadi abis ada kerjaan di luar sore liat koko martabak langganan pas SMA dulu udah buka. Setelah diputerin 2 kali, sambil mikir2, akhirnya melipir.🙃"
virraaa_,2020-06-11 11:27:11,@atikahprnd Penyakit workout emang gini kalo udah stop mau mulai lagi susah wkwkwk
virraaa_,2020-06-11 11:26:50,@atikahprnd Iya tapi sebel aja gue jadi malah diencourage gitu loh cuma demi cuan..... 🙄
virraaa_,2020-06-11 08:59:03,@BKNgoid Baru tau STIS udah jadi poltek juga.
virraaa_,2020-06-11 08:53:41,https://t.co/Y1QuWcDwr1
virraaa_,2020-06-11 08:48:12,I know that your business needs to keep running but encouraging people to dine-in in groups instead of take-away in this CoViD-19 situation for 20% discount is another thing....
virraaa_,2020-06-11 08:39:02,Lagi mellow2 gitu scrolling homepage facebook terus nemu ginian... YaAllah auto ngakak geli banget😂😂😂😭 https://t.co/CtOMd5YAgh
virraaa_,2020-06-11 08:21:21,@nadhiload @ntsana_ Itu mbaknya nungguin mas2 kurir depan pintu sambil standby hp apa gimana?
virraaa_,2020-06-11 08:10:34,Hhhhhhh...... gakpernah ngerasa secapek ini setelah curhat.
virraaa_,2020-06-11 07:57:07,I just published Self blaming dan konsekuensinya https://t.co/7rsJ5usTrL
virraaa_,2020-06-10 10:06:43,"@seleksicpnspupr DirJen Bina Marga, DirJen Cipta Karya, DirJen Sumber Daya Air, DirJen Perumahan, DirJen Bina Konstruksi, DirJen Pembiayaan Infrastruktur Pekerjaan Umum dan Perumahan, Badan Pengembangan Infrastruktur Wilayah, Badan Pengembangan SDM"
virraaa_,2020-06-10 10:01:07,@fatiiiiiiiiiin @KmsRamadhan @fajarmr29 Wkwkwk demi apooo tin
virraaa_,2020-06-10 10:00:28,@seleksicpnspupr Yaampun pas liat notif kaget kirain ada jadwal🙃
virraaa_,2020-06-10 05:54:25,@Haris_Januar1 @ArnoldPoernomo @radenrauf Cakep amat si shrek minder saya
virraaa_,2020-06-10 05:52:51,@KmsRamadhan @fajarmr29 @fatiiiiiiiiiin Akrab nian fatin samo dosen cak kawan dewek
virraaa_,2020-06-10 03:01:12,I just published Komitmen tanpa batas. https://t.co/RiaNlHD0HY
virraaa_,2020-06-09 23:42:50,"@emkidoki Turut berduka cita yo dek, Innalillahiwainnailaihiraji'uun. Semoga beliau ditempatkan di tempat terbaik di sisi Allah. Aamiin. Yang kuat yo dek... 🙏"
virraaa_,2020-06-09 05:20:08,@nidanafs Hufttttttt
