username,created_at,text
wydyudi_,2020-06-15 16:57:03,Minum dulu neng aus pasti 13jam telponan https://t.co/q9N3lZBBsG
wydyudi_,2020-06-13 10:12:38,Kl di tempatku yg ga ngeroko malah disuruh pegih biar ga kena asep wkwkw https://t.co/TTS1AGwjzq
wydyudi_,2020-06-11 12:37:27,Cape yarob
wydyudi_,2020-06-10 16:43:39,Wasting time. Anjing
wydyudi_,2020-06-07 09:09:04,tugas tugas tugas tugas
wydyudi_,2020-06-05 07:45:50,Selalu menjadi perdebatan yang seru sama fren fren~ https://t.co/dN3Rdzm7ul
wydyudi_,2020-05-30 23:50:13,Udah lama tangan ga digeber buat nyabet kok alias maen badminton apa ke ayu woy
wydyudi_,2020-05-30 21:15:08,Break https://t.co/BmAIqCcg5n
wydyudi_,2020-05-30 12:43:34,woy https://t.co/wwabpFECuH
wydyudi_,2020-05-29 21:05:28,Trying.
wydyudi_,2020-05-29 11:55:40,yang penting pada sehat
wydyudi_,2020-05-28 11:57:04,Superhero landing - deadpool https://t.co/VlYXiWpCYW
wydyudi_,2020-05-25 20:28:55,Selesai smstr 6 harus bgt ke jogja ga mau tau bodo amat udh kusut bgt inii
wydyudi_,2020-05-24 22:25:38,Justin bieber love your selfffffffffff
wydyudi_,2020-05-24 09:21:06,Emang udh paling bener ga deket ama cwe dulu ah tai kuda lumping kesurupan
wydyudi_,2020-05-23 09:27:01,"@tahuisibelatung Dua tiga tutup kontol, muka lu kaya botol"
wydyudi_,2020-05-23 05:34:44,Knp situ ribut mulu karna situ tolol https://t.co/bQga7yDTT1
wydyudi_,2020-05-22 21:43:43,Tiap taun di puasa terakhir pasti selalu mikir kalo pribadi bener² ga maksimal manfaatin bulan yg penuh berkah.
wydyudi_,2020-05-20 04:37:57,kuliah daring padahal banyak waktu luang tp ga ada produktif-produktifnya sama sekali. ancur.
wydyudi_,2020-05-19 11:26:49,Ko ada ya orang kaya gini🤔 https://t.co/TwMF1af5du
wydyudi_,2020-05-19 11:23:59,@septianiay Makasi :*
wydyudi_,2020-05-16 12:08:07,Banyak yg kurang
wydyudi_,2020-05-14 11:42:41,Mabok sampe di ketawain se warkop gara² diajak @faisalarfm https://t.co/GhZo9WcBGb
wydyudi_,2020-05-14 05:11:21,@memefess Gua ngapah
wydyudi_,2020-05-12 10:46:24,Asu kabeh
wydyudi_,2020-05-11 21:44:54,"Suatu hari di bulan puasa, 2jam menjelang buka.. Uta : duy lu laper ga? W : Laper Uta : oke otw W : sip Sebuah Kemistri dari 2 orang yg sudah berteman sejak orok"
wydyudi_,2020-05-11 21:35:43,Halo teman seperjuangan nerakaku kalian kemana ko tumben udh pertengahan puasa ga ada yang ngajak ke warteg belakang istn
wydyudi_,2020-05-11 21:33:42,Susah betul bangunin semangat dalem diri
wydyudi_,2020-05-11 21:31:22,Apapun asal seneng dan ga keinget kemarin²
wydyudi_,2020-05-11 10:41:04,"Melihat dari segala sisi, ambil sisi terbaik dan hargai sisi yang lain."
wydyudi_,2020-05-07 00:06:56,@ehhhrizky Ikut a
wydyudi_,2020-05-04 11:27:05,@syahbani_aban @Ferifirms @septianiay Meluncur
wydyudi_,2020-05-04 00:31:58,Semoga ya hari iniiii~
wydyudi_,2020-05-03 20:35:22,"Father, love.. Dan ntah apalagi kedepannya"
wydyudi_,2020-05-03 20:33:21,Bener-benet tahun terberat
wydyudi_,2020-05-03 04:09:25,Ga ada tukat tukatnya https://t.co/nj3hnlaQYP
wydyudi_,2020-04-26 19:15:24,"@septianiay Hati lg berantakan ay, takutnya nnti gua ratain semua di room sampe temen jg gua hedsotin"
wydyudi_,2020-04-26 19:14:44,Srry
wydyudi_,2020-04-26 18:45:02,Wht shld i do
wydyudi_,2020-04-25 11:55:27,Lemme breakkkkkkkkkkkkkk
wydyudi_,2020-04-22 22:33:23,Waktunya tenangin pikiran
wydyudi_,2020-04-20 18:02:42,Cape
wydyudi_,2020-04-20 03:30:36,Big boys don't cry
wydyudi_,2020-04-19 03:07:42,Ampe ga napsu makan
wydyudi_,2020-04-18 21:58:30,"Istirahat ke, otak"
wydyudi_,2020-04-18 12:36:40,Kusut
wydyudi_,2020-04-17 18:19:11,Tersemogakan
wydyudi_,2020-04-15 17:25:35,"Deket 8 taun, bisa ketemu baru-baru ini wkwkw"
wydyudi_,2020-04-15 14:08:19,Nnti kalo ada bapa-bapa di pinggir jalan bikin saung dadakan https://t.co/4u1k8x3KHA
wydyudi_,2020-04-14 12:33:10,"@nottslimboy Kaya kenal, tp pura-pura ga kenal aja ah"
wydyudi_,2020-04-13 13:29:53,Penyakit untuk penggugur dosa. Aamiin
wydyudi_,2020-04-13 11:14:11,@dwiseptiyannn Saking ademnya sampe tak perlu memikirkan tentang apa yang akan datang di esok hari
wydyudi_,2020-04-13 02:31:57,"Sehari 4 gelas, apa tida batu ginjal https://t.co/3mQWsOnBPS"
wydyudi_,2020-04-12 18:39:51,@kristoimmanuel Deadpool bangg
wydyudi_,2020-04-12 12:24:09,Goblo wkwkw https://t.co/a37oqH4Ee5
wydyudi_,2020-04-11 13:01:56,"@carisangeIina_ ""cepet muntahin ato kita gabisa pulang"""
wydyudi_,2020-04-11 13:01:04,@ItMocchachino @makmummasjid Iya mb sy juga pernah sampe nginep di malll gara² tiket parkirnya di ilangin sm mb mantan
wydyudi_,2020-04-11 12:46:59,"@makmummasjid Masih ada ga sih cwe yang kalo di tanya ""tiket parkirnya sm kamu kan?"" jawabnya ""iya sm aku"" Kalo ada fix idaman"
wydyudi_,2020-04-10 20:25:54,"Abang abangan lg pada mabok dr jam 12 depan rumah tereak² ketawa gajelas, udh mau subuh pd nyetel nisa sabyan - ya maulana. Balance sekali wkwkw"
wydyudi_,2020-04-08 18:22:03,U better now
wydyudi_,2020-04-08 18:20:32,Miss som1
wydyudi_,2020-04-08 17:20:42,Bingung
wydyudi_,2020-04-08 06:53:56,Belom tidur dari semalem trs baru kelar kelas daring dr jam 10 td. Mata blenger
wydyudi_,2020-04-08 06:19:28,orang gila suru bikin kerangka karangan dedlennya sejam
wydyudi_,2020-04-07 10:18:04,Lu keren boy https://t.co/r6XOlYx790
wydyudi_,2020-04-06 15:32:32,"@dwiseptiyannn Bilang aja mau ke gultik wi, kebutuhan instastory"
wydyudi_,2020-04-06 13:25:36,@septianiay Tau warkop jembatan biru jd tutup mulu tai
wydyudi_,2020-04-05 22:01:29,Baru kelar maen poinbleng
wydyudi_,2020-04-04 04:43:38,Dari dulu kalo pala lg puyeng obatnya pasti musik keras
wydyudi_,2020-04-03 03:31:31,"Beda beda si emang, tp nnti kalo lu olang udh cukup tua mungkin baru bisa ngerasain kalo curhat sm ibu itu anugerah terindahhh https://t.co/WL288aiouK"
wydyudi_,2020-04-03 02:59:48,Waktu acara perayaan berdirinya warung bakmi godog mbahku ntah yg keberapa puluh tahun. Sya : mba poto mba Mbanya : (nengok) *spa si sokap* https://t.co/JScNS8QPsC https://t.co/tUTweOs8fN
wydyudi_,2020-04-02 16:21:29,@ehhhrizky Bab 1 Ansis bang kiky cjr 🙏🏻
wydyudi_,2020-04-01 12:19:01,Banyak pikirannnn
wydyudi_,2020-04-01 09:35:52,"Belom tidur dari semalem, di tidurin mata ga merem-merem. Dah lah lanjut maen pb aja ampe ketemu besok pagi lagi"
wydyudi_,2020-04-01 05:17:52,Puyeng
wydyudi_,2020-03-31 05:39:50,Terapi woy
wydyudi_,2020-03-31 05:38:29,"Depok mataharinya lg nyentrik bgt asli, kek lg tetapi akupuntur"
